slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
calamaro-gourmet,Calamaro Gourmet,Ciudad Autónoma de Buenos Aires,Aceite,"Aceites de oliva, Acetos",,"Olive oil producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Aceites de oliva and Acetos.",,,gabrielclavio@gmail.com,https://calamarogourmet.com,https://www.facebook.com/calamarogourmet,,,-34.60841,-58.37214,,parcial,no comprobado,,,320,en,,,,,
cremolatti-a05-especias-el-castillo,Cremolatti / A05 Especias El Castillo,Ciudad Autónoma de Buenos Aires,Condimentos,Especias,"24 de Noviembre 1951, Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires","Condiment producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Especias.",,+5491132346268,ventas@especiaselcastillo.com.ar,,https://www.facebook.com/especiaselcastillo,https://www.instagram.com/especiaselcastillo/,,-34.63421,-58.40950,,parcial,no comprobado,,,420,en,,,,,
ricco-gourmet,Ricco Gourmet,Ciudad Autónoma de Buenos Aires,Aceite,"Condimentos, Aceite de oliva, Pimenteros",,"Olive oil producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Condimentos and Aceite de oliva.",,+5491154105505,riccogourmet@gmail.com,https://www.riccogourmet.com,https://www.facebook.com/riccogourmet,,,-34.60841,-58.37214,,parcial,sí,ecommerce,,937,en,,,,,
chelo,Chelo,Ciudad Autónoma de Buenos Aires,Dulces y repostería,"Limoncello, Maracuchelo, Alfachelos (Alfajores rellenos de limoncello)",,"Confectionery producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Limoncello and Maracuchelo.",,+5491176199820,chelo.grupo@gmail.com,,https://www.facebook.com/chelo.limoncello,https://www.instagram.com/chelo.limoncello/,,-34.60841,-58.37214,,parcial,no comprobado,,,378,en,,,,,
somos-cint-a-veni-a-la-cocina,Somos Cint A Veni A La Cocina,Ciudad Autónoma de Buenos Aires,Fruta y verdura,"Procesadores manuales de frutas, Verduras, Artículos gastronómicos",,"Fruit and vegetable producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Procesadores manuales de frutas and Verduras.",,+5491141952662,j.pascarelli@borner.com.ar,,,https://www.instagram.com/venialacocina/,,-34.60841,-58.37214,,parcial,no comprobado,,,974,en,,,,,
don-bosco-por-los-jovenes,Don Bosco Por Los Jóvenes,Ciudad Autónoma de Buenos Aires,Vino,"Vinos, Acite de Oliva, Dulce de leche",,"Organización que reúne productos elaborados por escuelas agrotécnicas salesianas de Argentina, incluidos vinos, aceite de oliva, quesos y dulce de leche.",,+5491149586411,info@donboscoporlosjovenes.org,https://donboscoporlosjovenes.org,,https://www.instagram.com/donboscoporlosjovenes/,,-34.60841,-58.37214,,parcial,no comprobado,,,441,es,,,,,
islanegrachocolates,Islanegrachocolates,Ciudad Autónoma de Buenos Aires,Chocolate,"Chocolates, Chocolate en ramas, Trufas","Maure 3820, Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires","Chocolate maker at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Chocolates and Chocolate en ramas.",,+5491166881162,ilanguzzo@gmail.com,,,https://www.instagram.com/islanegrachocolates/,,-34.58463,-58.45077,,parcial,no comprobado,,,644,en,,,,,
don-omar-salam-secadero,"Don Omar, Salam, Secadero",Ciudad Autónoma de Buenos Aires,Té e infusiones,"Yerba Mate, Mate Cocido","Alicia Mopreau de justo 1720 1”i”, Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires","Yerba mate and tea producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Yerba Mate and Mate Cocido.",,+5491130479875,contacto@yerbaterahojaverde.com,,,https://www.instagram.com/yerbamatedonomarok/,,-34.60841,-58.37214,,parcial,no comprobado,,,445,en,,,,,
nonna-pia-provoletas,Nonna Pia Provoletas,Ciudad Autónoma de Buenos Aires,Lácteos y quesos,"Provoleta fraccionada lista para la parrilla, Provoleta en horma, Quesos de campo saborizados",,"Dairy producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires.",,+5493541631635,bianchimartin@hotmail.com,https://www.nonnapia.com.ar,https://www.facebook.com/nonnapiaprovoletas,https://www.instagram.com/nonnapiaprovoletas/,,-34.60841,-58.37214,,parcial,no comprobado,,,831,en,,,,,
panaderia-monserrat,Panaderia Monserrat,Ciudad Autónoma de Buenos Aires,Pan y cereal,"Rolls, Chipa, Panes de masa madre",,"Bakery producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Rolls and Chipa.",,+5491164666565,sergio.n_rodriguez@hotmail.com,,,https://www.instagram.com/panaderiamonserrat/,,-34.60841,-58.37214,,parcial,no comprobado,,,864,en,,,,,
bodega-aniello,Bodega Aniello,Ciudad Autónoma de Buenos Aires,Vino,Vinos de alta gama,,"Winery at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Vinos de alta gama.",,+5491164127528,mariacruz@bodegaaniello.com.ar,https://bodegaaniello.com.ar,https://www.facebook.com/bodegaaniello,https://www.instagram.com/bodegaaniello/,,-34.60841,-58.37214,,parcial,no comprobado,,,119,en,,,,,
bodega-bonomi-bernal,Bodega Bonomi Bernal,Ciudad Autónoma de Buenos Aires,Vino,Vinos,,"Winery at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Vinos.",,+5491137022098,bonomi618@gmail.com,,,https://www.instagram.com/bodega_bonomibernal/,,-34.60841,-58.37214,,parcial,no comprobado,,,130,en,,,,,
txapela-julia-echarren,Txapela - Julia & Echarren,Ciudad Autónoma de Buenos Aires,Sidra,Sidras,,"Cider maker at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Sidras.",,+5491170065070,info@txapela.com.ar,https://tiendadesidras.com,https://www.facebook.com/txapelaSidraVascaNatural,,,-34.60841,-58.37214,,parcial,no comprobado,,,1007,en,,,,,
angel-negro,Angel Negro,Ciudad Autónoma de Buenos Aires,Vino,"Vinos Dulces naturales, Blancos, Rosados",,"Winery at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Vinos Dulces naturales and Blancos.",,+5491157661177,olivieri@angelnegrowine.com,,,https://www.instagram.com/angelnegrowine/,,-34.60841,-58.37214,,parcial,no comprobado,,,66,en,,,,,
crudencio,Crudencio,Ciudad Autónoma de Buenos Aires,Aperitivos,"Alimentos, Snacks funcionales, A base de plantas",,"Snack producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Alimentos and Snacks funcionales.",,+5491140867859,crudencioargentina@gmail.com,https://crudencio.com.ar,https://www.facebook.com/crudencioveg,https://www.instagram.com/crudencioveg/,,-34.60841,-58.37214,,parcial,no comprobado,,,422,en,,,,,
miel-ceta-srl,Miel Ceta SRL,Ciudad Autónoma de Buenos Aires,Miel,"Miel orgánica, Convencional",,"Beekeeping producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Miel orgánica and Convencional.",,,jazminbarone@mielceta.com.ar,https://www.mielceta.com.ar,,https://www.instagram.com/bioway__/,,-34.60841,-58.37214,,parcial,no comprobado,,,782,en,,,,,
pampa-s-organic,Pampa´s Organic,Ciudad Autónoma de Buenos Aires,Frutos secos,"Arroces, Semillas, Granos del campo argentino",,"Nut producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Arroces and Semillas.",,+5491127016430,comercial@pampasorganic.com,https://pampasorganic.com,,https://www.instagram.com/pampasorganic/,,-34.60841,-58.37214,,parcial,no comprobado,,,861,en,,,,,
ruta-cacao,Ruta Cacao,Ciudad Autónoma de Buenos Aires,Condimentos,"Blend especias, Sazonadores naturales, Toppings deshidratados",,"Condiment producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Blend especias and Sazonadores naturales.",,,info@rutacacao.com.ar/www.rutacacao.com.ar,,,https://www.instagram.com/rutacacao/,,-34.60841,-58.37214,,parcial,no comprobado,,,943,en,,,,,
trufas-del-nuevo-mundo,Trufas del Nuevo Mundo,Ciudad Autónoma de Buenos Aires,Condimentos,"Trufa negra fresca (Tuber melanosporum), AOVE trufado, Sal trufada","Camino Rural – Circunscripción III, Parcela, 54g. Partida: 001-27538 Buenos Aires y, Cap.—Espartillar, Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires","Condiment producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Trufa negra fresca (Tuber melanosporum) and AOVE trufado.",,+5491159657666,info@trufasdelnuevomundo.com,https://trufasdelnuevomundo.com,https://www.facebook.com/trufasar,https://www.instagram.com/trufasar/,,-34.60841,-58.37214,,parcial,sí,ecommerce,,1000,en,,,,,
paladar-negro-deli-ahumados-patagonicos,Paladar Negro_deli- Ahumados Patagónicos,Ciudad Autónoma de Buenos Aires,Condimentos,"Ahumados patagonicos, Especias",,"Condiment producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Ahumados patagonicos and Especias.",,+5491122619821,pesciesteban@gmail.com,,,https://www.instagram.com/paladarnegro_deli/,,-34.60841,-58.37214,,parcial,no comprobado,,,859,en,,,,,
buller-cerveza-artesanal,Buller Cerveza Artesanal,Ciudad Autónoma de Buenos Aires,Cerveza,"Cerveza artesanal tirada, Cerveza artesanal en lata",,"Craft brewery at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Cerveza artesanal tirada and Cerveza artesanal en lata.",,+5491137589559,bullerfabrica@gmail.com,https://bullerbrewingco.com,,,,-34.60841,-58.37214,,parcial,no comprobado,,,310,en,,,,,
la-fuerza,La Fuerza,Ciudad Autónoma de Buenos Aires,Vermut,,,"Vermouth producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Vermut.",,,nicolas.conrado@lafuerza.com.ar,,,,,-34.60841,-58.37214,,parcial,no comprobado,,,687,en,,,,,
saravi-gin,Saravi GIN,Ciudad Autónoma de Buenos Aires,Destilados y licores,Gin,,"Craft distillery at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Gin.",,,ginsaravi@gmail.com,,,,,-34.60841,-58.37214,,parcial,no comprobado,,,952,en,,,,,
celinda-alimentos,Celinda Alimentos,Ciudad Autónoma de Buenos Aires,Despensa artesanal,Variedad seleccionada de nuestro catálogo libre de gluten,"Av. San Martin 1558, Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires","Artisan food producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Variedad seleccionada de nuestro catálogo libre de gluten.",,+5491144031037,alimentos@celinda.com.ar,https://www.celinda.com.ar,https://www.facebook.com/CelindaAlimentosSinTACC,https://www.instagram.com/celinda.alimentos/,,-34.60841,-58.37214,,parcial,no comprobado,,,337,en,,,,,
oliva-don-mateo-productos-regionales-seleccionados,Oliva Don Mateo Productos Regionales Seleccionados,Ciudad Autónoma de Buenos Aires,Aceite,"Frutos secos, Aceites de oliva, Frutas desecadas",,"Olive oil producer at Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, making Frutos secos and Aceites de oliva.",,+5491166587470,info@olivadonmateo.com.ar,,https://www.facebook.com/OlivaDonMateoArg,https://www.instagram.com/olivadonmateo/,,-34.60841,-58.37214,,parcial,no comprobado,,,846,en,,,,,
