slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
bodega-colome,Bodega Colomé,Molinos,Vino,"Colomé, Altura Máxima y Lote Especial","Ruta Provincial 53 Km 20, Molinos, Salta","Bodega familiar de altura en Colomé, Molinos, que elabora vinos de sus viñedos de los Valles Calchaquíes.",,+543868494200,reservas@bodegacolome.com,https://bodegacolome.com/,https://www.facebook.com/bodegacolome,https://www.instagram.com/bodegacolome/,,-25.512595,-66.392534,,,sí,ecommerce,,147,es,sí,,,,
bodega-el-esteco,Bodega El Esteco,Cafayate,Vino,Vinos de altura,"Ruta Nacional 40 km 4343 y Ruta Nacional 68, Cafayate, Salta",Bodega de Cafayate que elabora vinos de altura de los Valles Calchaquíes.,,,turismo@elesteco.com.ar,https://elesteco.com.ar/,,,,,,,pendiente,no comprobado,,,171,es,,,,,
la-francisca,La Francisca,General Güemes,Carne,"Fiambres, embutidos y cortes de cerdo","Parque Industrial de Güemes, General Güemes, Salta","Elaboradora de alimentos derivados del cerdo en el Parque Industrial de General Güemes, con fiambres, embutidos y cortes.",,+5493874417124,ventas@lafrancisca.com,https://www.lafrancisca.com,,https://www.instagram.com/lafranciscaok/,,,,,pendiente,no comprobado,,,686,es,,,,,
chicoana-sabores-artesanales,Chicoana Sabores Artesanales,El Carril,Conservas,Dulces y frutas en almíbar,"Ruta Nacional 68 km 146, El Carril, Salta","Elaboradora de conservas y dulces de frutas de finca, con fábrica en El Carril, Salta.",,+5491134957835,scornejo@dulceschicoana.com.ar,https://dulceschicoana.com.ar/,,https://www.instagram.com/dulceschicoana/,,,,,pendiente,sí,ecommerce,,379,es,,,,,
don-celedonio,Don Celedonio,Cafayate,Vino,Vinos artesanales y mistela,"Ruta N 68 km 15, Cafayate, Salta",Bodega familiar artesanal de Cafayate que elabora vinos y mistela.,,,,,,,,,,,pendiente,no comprobado,,,442,es,,,,,
cabras-de-cafayate,Cabras de Cafayate,Cafayate,Lácteos y quesos,"Quesos de cabra semiduros, provoletas y quesos saborizados","Finca Auletta, fracciones G y H, Cafayate, Salta",Usina láctea de Cafayate que cría cabras y elabora quesos de cabra en Finca Auletta.,,+543868452862,cabrasdecafayate@gmail.com,,,https://www.instagram.com/cabrasdecafayate/,,,,,pendiente,no comprobado,,,313,es,sí,,,,
don-teodoro,Don Teodoro,Angastaco,Vino,"Mistela, malbec, torrontés, patero dulce y tinto criollo","La bolsa S/N Angastaco, Angastaco, Salta","Bodega artesanal de Angastaco que elabora mistela, malbec, torrontés, patero dulce y tinto criollo.",,,,,,,,,,,pendiente,no comprobado,,,447,es,,,,,
inicios,Inicios,Cafayate,Vino,Vinos artesanales y mistela,"25 de Mayo 227, Cafayate, Salta",Bodega familiar artesanal de Cafayate que elabora vinos y mistela bajo la marca Inicios-Ñawpa.,,,,,,,,,,,pendiente,no comprobado,,,638,es,,,,,
amasuyo,Amasuyo,Metán,Lácteos y quesos,Quesos artesanales y dulce de leche,"Ruta Nacional 34 km 1448, Yatasto, Metán, Salta","Empresa láctea de Yatasto, Metán, que elabora quesos artesanales y dulce de leche con producción primaria integrada.",,+5493876660318,info@lacteosamasuyo.com.ar,https://lacteosamasuyo.com/,,https://www.instagram.com/lacteosamasuyo/,,,,,pendiente,no comprobado,,Dulces y repostería,60,es,,,,,
amalaya,Amalaya,Cafayate,Vino,Vinos de altura,"25 de Mayo s/n, Cafayate, Salta",Bodega de altura de Cafayate que cultiva viñedos y elabora vinos sustentables del Valle Calchaquí.,,+5493873133859,,https://amalaya.com,,,,,,,pendiente,sí,ecommerce,,55,es,,,,,
