slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
bodega-del-fin-del-mundo,Bodega del Fin del Mundo,San Patricio del Chañar,Vino,,,"Winery at San Patricio del Chañar, in the irrigated Neuquén river valley.",,+5492995800414,info@bdfm.com.ar,https://bodegadelfindelmundo.com/,,,,-38.55650,-68.38390,,parcial,no comprobado,,,158,en,,,,,
amar-te,Amar Té,San Martín de los Andes,Té e infusiones,Blends de Té,"Av. San Martin 851, local 3, San Martín de los Andes, Neuquén","Yerba mate and tea producer at San Martín de los Andes, Neuquén, making Blends de Té.",,+5492972430635,amarte.patagoniablend@gmail.com,,,https://www.instagram.com/amartesma/,,-40.15694,-71.35271,,parcial,no comprobado,,,58,en,,,,,
bodega-aicardi,Bodega Aicardi,San Patricio del Chañar,Vino,Vinos,,"Winery at San Patricio del Chañar, Neuquén, making Vinos.",,+5491138291482,lucy.ramos@aicardiwines.com,,,https://www.instagram.com/aicardiwines/,,-38.62588,-68.29990,,parcial,no comprobado,,,112,en,,,,,
zorro-y-arena,Zorro y Arena,Senillosa,Vino,Vinos,"Ruta Nacional 22, Km 1262, Senillosa, Neuquén","Winery at Senillosa, Neuquén, making Vinos.",,+5492995880584,vesperanza@fincasdellimay.com,https://www.bodegafincasdellimay.com.ar,,https://www.instagram.com/bodegafincasdellimay/,,-38.98364,-68.37393,,parcial,no comprobado,,,1062,en,,,,,
el-bocado,El Bocado,Villa La Angostura,Aperitivos,Garrapiñadas,"Las Retramas 125 L4, Villa La Angostura, Neuquén","Snack producer at Villa La Angostura, Neuquén, making Garrapiñadas.",,+5492944963211,fmilanessi@gmail.com,https://www.elbocado.com.ar,,,,-40.76300,-71.64100,,parcial,sí,ecommerce,,477,en,,,,,
familia-cassoli-fly-fishing-master,Familia Cassoli Fly Fishing Master,Villa Lago Meliquina,Destilados y licores,Licores,"S/N Paraje Meliquina, Villa Lago Meliquina, Neuquén","Craft distillery at Villa Lago Meliquina, Neuquén, making Licores.",,+5492944347716,familiacassoli@gmail.com,https://www.flyfishingmasterpatagonia.com,https://www.facebook.com/flyfishingmaster.patagonia,https://www.instagram.com/flyfishingmaster.patagonia/,,-40.38325,-71.25340,,parcial,no comprobado,,,523,en,,,,,
humos-de-la-patagonia,Humos de La Patagonia,Villa La Angostura,Pescado,"Trucha, Salmón ahumados, Escabeches de ciervo","Calle N25 al 600 vla, Villa La Angostura, Neuquén","Fish processor at Villa La Angostura, Neuquén, making Trucha and Salmón ahumados.",,+5491162082103,humosdelbayo@gmail.com,,,https://www.instagram.com/humospatagonia/,,-40.76300,-71.64100,,parcial,no comprobado,,,632,en,,,,,
istmo-hueni,Istmo Hueni,Villa La Angostura,Chocolate,"Mermeladas tradicionales, Dietéticas reducida en calorías, Dulces con chocolate","Faldeo del bayo, Villa La Angostura, Neuquén","Chocolate maker at Villa La Angostura, Neuquén, making Mermeladas tradicionales and Dietéticas reducida en calorías.",,+5492944531336,infohueni@gmail.com,,,https://www.instagram.com/istmo.hueni/,,-40.76300,-71.64100,,parcial,no comprobado,,,645,en,,,,,
mamusia,Mamusia,San Martín de los Andes,Chocolate,"Chocolates, Alfajores, Mermeladas","San Martin 601, San Martín de los Andes, Neuquén","Chocolate maker at San Martín de los Andes, Neuquén, making Chocolates and Alfajores.",,+5492972407989,comercial.mamusia@gmail.com,https://www.mamusia.com.ar,,,,-40.15788,-71.35334,,parcial,no comprobado,,,759,en,,,,,
olivares-del-neuquen,Olivares del Neuquén,Añelo,Aceite,Aceite de oliva extra virgen,,"Olive oil producer at Añelo, Neuquén, making Aceite de oliva extra virgen.",,+5492996212237,ventas@olivaresdelneuquen.com.ar,https://www.olivaresdelneuquen.com.ar,,https://www.instagram.com/olivaresdelneuquen/,,-38.35426,-68.78754,,parcial,no comprobado,,,847,en,,,,,
