producer_id,field,source_locale,source_hash,text,origin,engine,engine_version,prompt_version,glossary_version
2,descripcion,es,12dc8dbdaeb4ffe5d95468decc9ec5682658966c6ab8ce5d7d32a2201ee85fbf,"Confectionery producer in Nonogasta, La Rioja, making traditional and gluten-free artisanal alfajores.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
9,descripcion,es,a112045edd09fd69ff84b5f2b5703457d5a5a05617efeccea8d0f8027b1f5dbc,"Achaval Ferrer makes wine at its winery on Calle Cobos in Perdriel, Luján de Cuyo.",reviewed,codex,gpt-5.6-sol-2026-08-24,chisan-description-v10,2026-08-24.3
15,descripcion,es,4058aa5ecfeb1da05b7c1e988b2f1484462f33fa9252cabeecb1d2a9f6ab6d87,"Bottler of natural spring water in Ushuaia, Tierra del Fuego.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
20,descripcion,es,1697dae135c47f705babef80e7e47c3f9a9f80a4137ecbcf650fe0e0bcd49f1f,"Artisanal producer of smoked seafood and preserves in Ushuaia, Tierra del Fuego.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
22,descripcion,es,368a32020e671c8b516a01599c7a158ab730767fcad33be35eb47a231fba9ff0,"Black-garlic producer in Burzaco, Buenos Aires, making bulbs, paste, peeled cloves and honey with black garlic.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
33,descripcion,es,946da29b86665969aee0f8e6518d18b8f55ed1c2e9686c48e184a573c4ccebdb,"Producer of alfajores and chocolate-coated cones in Río Grande, Tierra del Fuego.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
58,descripcion,es,67d87a3af64d4a4aaa7d410c05e6e5365331d5e93d055b0e230bb6b993bf94c2,"Amar Té makes tea blends with Patagonian fruits, flowers and spices in San Martín de los Andes.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
68,descripcion,es,35cd3c1357ef611270aeb18e6289e4d5239f6518019b4a4778dd9ff322390b1a,Anoka bottles water from Fuegian hanging glaciers in Ushuaia.,reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
82,descripcion,es,207102d515e734ae1f2e61afd0d1a041de607dcc7adcf11a917bef4f791e67a5,"Producer of edible mushrooms, sprouts and microgreens in Ushuaia, with indoor cultivation and sales to local food businesses.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
83,descripcion,es,2b3b3da416878d4f40c0d0fb8f67f941b1830a7979ce77a5957ca9a6386ce36d,Athos Microdistillery produces craft gin and bitter in San Carlos de Bariloche.,reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
91,descripcion,es,2cf77ce361abb35fc9218f222ca9c674b54d91e2616fa43598824f718a1a397b,"Balber Fruit is a San Juan company producing nuts and dried fruit, with a declared location in Santa Lucía.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
94,descripcion,es,2a250c0396b2f882b828fdb8e02eca40622c2ee312641fdfaad19399a6d85084,"Producer of energy bars in Río Grande, Tierra del Fuego.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
96,descripcion,es,566b9aece9aa0691edd294e18fdcef98a1dbbd4b72902483e05a3725c242676b,"Entre Ríos producer of frozen berries, dehydrated blueberries and blueberry juice.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
101,descripcion,es,4e362b7e90378c5b73edc69a177964eb73e6a7dc8b3fe172b34a010f9d7969a4,Family winery in Colalao del Valle producing high-altitude wines in an underground cellar.,reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
102,descripcion,es,c23bb6a5472eafd623e684b754c6fafc3967d62425fa2ce34ef5c2a66eb39dd3,Craft brewery in Ushuaia producing Patagonian beer with calafate.,reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
