producer_id,field,source_locale,source_hash,text,origin,engine,engine_version,prompt_version,glossary_version
1,descripcion,en,117f421e5cc107784c5614dc46d02b05b9b78334861f2318519e2a68b9d84bf3,"Productor de conservas en Villa José León Suárez, Buenos Aires.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
3,descripcion,en,b44cc541d313dd0fc721e4bd35e66b12b0fa9fe5685a9f353f87154256acca8a,"Elaborador de aderezos y chimichurris en Bahía Blanca, vendidos bajo su propia marca.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
4,descripcion,en,bb398de3e426069ac323a94e5994dd990f22c2f328ff2bbcebe071a526a2d231,"Productor de vermut en Concepción del Uruguay, Entre Ríos, que elabora Vermut y Gin.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
5,descripcion,en,4231a6e180e949183a0be3a3300ca917834c66faa85f68e6892aebdd3c7387ba,"Destilería artesanal en Concepción del Uruguay, Entre Ríos, que elabora Aperitivos y Licores.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
6,descripcion,en,37b922298ce3bd99a19d25bf44513b7f194d453e7e763ccd7269d3ed69eda245,"Productor de yerba mate y té en Santo Pipó, Misiones, que elabora Yerba Mate y Merchandising.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
7,descripcion,en,cd013a8412265991e5d1c997d6307d07debcafba9b3bf2e8ff0502122f7d0c6a,"Productor de aceite de oliva en Villa Carlos Paz, Córdoba, que elabora Aceitunas y Aceite de oliva agroecológicos.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
8,descripcion,en,2470aa9fb321d5e4a3cdb059503359b7463e38fa3bba080a8fd9c6023ab2acad,"Productor de aceite de oliva en Cruz del Eje, Córdoba, que elabora Aceitunas y Aceite de oliva.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
10,descripcion,en,573b60ed3c85ffa6310a96f38768f6c3908c1b1dba663e6d0c6f3756db43df4c,"Productor apícola en General Pueyrredón, Buenos Aires, que elabora Miel.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
11,descripcion,en,ec82a3d31e114bfce39624ee83d133fe8930cfb2ac3f3d901c10e8a6adcd50f5,"Elaborador de helados en Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, que produce Helados.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
12,descripcion,en,d9c719727bf30af728b12ecbe2ad88f09690efa6759671272d358c5a122c09f5,"Asociación de productores agroecológicos de Mar del Plata que produce hortalizas frescas de temporada, composta sus propios residuos y abastece la cocina Asian Ghetto, además de atender pedidos directos.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
13,descripcion,en,98efc9606ab45f58582dbd26d760d2014bfc4ffd018f5e8e437bd54fd196e650,"Huerta agroecológica de 3.7 hectáreas en el cinturón hortícola de Mar del Plata, en cultivo desde 2015 y con venta en su propio puesto del mercado mayorista.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
14,descripcion,en,73a8c827d6350d1bc8fb61b9209f821a0c7784fa201d93d49eab15ca55023aab,Productores de Pozo Azul que elaboran condimentos como cúrcuma y pimientos mediante un sistema agroforestal sintrópico.,reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
16,descripcion,en,85b0f421e7aafd737d5eeb10274b3326d6d880c7c360c2b3723c3685b22aaafe,"Explotación agroecológica de frutales y plantas aromáticas en General Ortiz de Ocampo que recolecta hierbas medicinales y elabora mermeladas, conservas, néctares y jaleas.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
17,descripcion,en,548fde34cbdf77488a450a2368cd8c66421756eb3d13ac3036046dadda78f4ab,"Explotación con certificación agroecológica SUCP cerca de Oberá, que cultiva yerba mate, frutas y hortalizas, cría abejas melíferas y abejas sin aguijón yateí, elabora mermeladas y conservas y cría animales.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
18,descripcion,en,f7e3f4e44cb1dfac6b975b509695bc47064d1d1e160520461bc464317ae8d093,"Productor de yerba mate y té en Marcos Juárez, Córdoba, que elabora Bland de té.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
19,descripcion,en,444d3ac789ffbe5bc1c69b2d063dcae8d253f09c11ca7677957460d3dd64e402,"Elaborador de carnes curadas en Ushuaia, Tierra del Fuego, que elabora Salames criollos.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
21,descripcion,en,86186622d53b639599b8cb9fb5086e4ba5985d7691857fb636c4f208b2a146ca,"Productor de confitería en Lago Puelo, Chubut, que elabora Alfajores artesanales y Galletitas con avena artesanales.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
23,descripcion,en,8deedb7ae5f6853dbb31965e25bc0fa1438c772ac698a26dfc0ba4679166984e,"Bodega y viñedo en Médanos, la primera en embotellar en la provincia de Buenos Aires tras la prohibición de varias décadas de elaborar vino allí. Tiene una capacidad de 180,000 litros y elabora cuatro vinos tintos y dos blancos.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
24,descripcion,en,c56056cd7081c095823db9bde9389ee50634346d4f4ff151a78f325aa4223661,"Productor de vermut artesanal en Merlo, San Luis, que lo elabora con vino Pedro Ximénez y hierbas de montaña recolectadas a mano.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
25,descripcion,en,4decbf76d7a8a2d67e483bdb393a83997e3bc276719bd544ed548764ff6c9456,"Alcaparras Argentinas produce, prepara y exporta alcaparras, alcaparrones y otros encurtidos vegetales en La Banda, Santiago del Estero.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
26,descripcion,en,411758a06fe26b1b04b418b8e73717926f4ff25251ba5cb7bdc4628b685172f6,"Cervecería artesanal en Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, que elabora Cerveza Artesanal.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
27,descripcion,en,d0331f6f2127a9aa8b9a8d06cb2794f5d3ac14ab1a054ebb295c921eb20ef59b,"Productor de Tigre que cultiva hortalizas y frutas de temporada desde hace más de veinte años, en el centro de una red de productores y consumidores que ha construido a su alrededor.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
29,descripcion,en,4e5e1815d4b2b1ed3ce0969088cbd43d297f10c56468d5eac5d064c7b880d080,"Productor familiar de confitería en Juana Koslay, San Luis, que elabora alfajores artesanales.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
30,descripcion,en,a538f03eeba05f4596bde8580cc6a07baa1a22ac73ac434c3a9f344e23bbe698,"Productor de confitería en Ushuaia, Tierra del Fuego, que elabora Alfajores.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
31,descripcion,en,a01f3c8b5d52bed727d634b1247ead349a2408050a4cbe239ae809b4fd00b157,"Productor de confitería en Bernal, Buenos Aires, que elabora Alfajores.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
32,descripcion,en,e83d6f2149b33735eb0947bfeda0162185e6aff58d9a5118cc2ba979281201eb,"Productor de confitería en Villa Cura Brochero, Córdoba, que elabora Alfajores Artesanales y Dulce de leche casero.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
34,descripcion,en,8604cabe4c00a25bdcb04f66e67b8ae04ba07a46523bcec141f9002e664abe75,"Productor de confitería en Río Grande, Tierra del Fuego, que elabora Alfajores.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
36,descripcion,en,085af369503c225c3c9202e70328233e0d34fb86ba3501c801d4caa50ccb21e8,"Productor de confitería en La Plata, Buenos Aires.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
37,descripcion,en,7d643d9cc46c6472f9fee9a26c072f77e4b446df942a809c84a4267196823535,"Productor de confitería en Paso de los Libres, Corrientes, que elabora Alfajores y Especialidades de Mandioca.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
38,descripcion,en,c3c6f5592999914479a04c05f650b3101bbc880901cdc53bb5c5a732f272aace,"Productor de confitería en La Banda, Santiago del Estero, que elabora Alfajores.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
39,descripcion,en,61ae03b1412ee296a47b5c6e9252b98f54f4c7b295e987868b13df8d0721eabd,"Productor de confitería en Bernal, Buenos Aires, que elabora Alfajores y Galletitas.",reviewed,codex-subagent,gpt-5.6-luna-2026-08-24,chisan-description-v10,2026-08-24.3
