slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
bodegas-mariscal,Bodegas Mariscal,Mondéjar,Bodega,"Vinos DO Mondéjar, catas, enoturismo","Av. de la Constitución, 37, 19110 Mondéjar, Guadalajara","Bodega familiar fundada en 1913 y acogida a la DO Mondéjar, con vinos de la Alcarria y visitas con cata.",Lunes a viernes 9:00-14:00; sábados 10:00-14:00,+34949385138,pedidosmariscal@gmail.com,https://www.mariscal.es,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Mariscal%2C%20Av.%20de%20la%20Constituci%C3%B3n%2C%2037%2C%2019110%20Mond%C3%A9jar%2C%20Guadalajara,40.321600,-3.106700,/productores/castilla-la-mancha/guadalajara/bodegas-mariscal.webp,verificado,sí,ecommerce
sociedad-cooperativa-santa-maria-magdalena,Sociedad Cooperativa Santa María Magdalena,Mondéjar,Bodega,"Vino DO Mondéjar, blancos, tintos y rosados","Av. de la Constitución, 39, 19110 Mondéjar, Guadalajara","Cooperativa vinícola de Mondéjar integrada en la DO Mondéjar, elaboradora de vinos locales de la Baja Alcarria.",Lunes a viernes 9:00-13:00 y 15:00-18:00; sábados 9:00-13:00,+34949385139,coopemondejar@gmail.com,https://cooperativasantamariamagdalena.es,,,https://www.google.com/maps/search/?api=1&query=Sociedad%20Cooperativa%20Santa%20Mar%C3%ADa%20Magdalena%2C%20Av.%20de%20la%20Constituci%C3%B3n%2C%2039%2C%2019110%20Mond%C3%A9jar%2C%20Guadalajara,40.321600,-3.106700,/productores/castilla-la-mancha/guadalajara/sociedad-cooperativa-santa-maria-magdalena.webp,verificado,no,
bodegas-la-era,Bodegas La Era,Mondéjar,Bodega,"Vinos artesanos, viñedo propio, catas","C. Estación, 6, 19110 Mondéjar, Guadalajara",Pequeña bodega artesana de Mondéjar con viñedo propio y trabajo respetuoso con el entorno local.,,+34622822142,laera@bodegalaera.com,https://bodegalaera.com,,https://www.instagram.com/bodegalaera,https://www.google.com/maps/search/?api=1&query=Bodegas%20La%20Era%2C%20C.%20Estaci%C3%B3n%2C%206%2C%2019110%20Mond%C3%A9jar%2C%20Guadalajara,40.321600,-3.106700,,verificado,sí,ecommerce
bodegas-alto-de-pioz,Bodegas Alto de Pioz,Pioz,Bodega,"Vinos de finca, visitas a bodega","Camino de las Navas, 19162 Pioz, Guadalajara","Bodega de Pioz rodeada de viñedos propios en altura, con elaboración sostenible y visitas a la finca.",Lunes a viernes 9:00-13:00 y 17:00-20:00,+34662381167,info@altodepioz.com,https://altodepioz.com/,,https://www.instagram.com/altodepioz,https://www.google.com/maps/search/?api=1&query=Bodegas%20Alto%20de%20Pioz%2C%20Camino%20de%20las%20Navas%20s%2Fn%2C%2019162%20Pioz%2C%20Guadalajara,40.461900,-3.172400,/productores/castilla-la-mancha/guadalajara/bodegas-alto-de-pioz.webp,verificado,sí,ecommerce
finca-rio-negro,Finca Río Negro,Cogolludo,Bodega,"Vinos de altura, visitas, enoturismo","Ctra. CM-1001, km 37,4, 19230 Cogolludo, Guadalajara","Pago familiar de 600 hectáreas con viñedos de altura junto a Cogolludo, elaborador de vinos de finca.",Lunes a viernes 8:30-17:30; fines de semana y festivos 9:00-17:30,+34913022648,info@fincarionegro.com,https://www.fincarionegro.com,https://www.facebook.com/rio.negro.bodegas/,https://www.instagram.com/bodegasfincarionegro/,https://www.google.com/maps/search/?api=1&query=Finca%20R%C3%ADo%20Negro%2C%20Ctra.%20CM-1001%2C%20km%2037%2C4%2C%2019230%20Cogolludo%2C%20Guadalajara,40.947067,-3.088746,/productores/castilla-la-mancha/guadalajara/finca-rio-negro.webp,verificado,sí,ecommerce
aceites-fidelco,Aceites Fidelco,Loranca de Tajuña,Aceite,"AOVE de la Alcarria, variedad castellana, coupages","Carretera de Aranzueque, 45, 19141 Loranca de Tajuña, Guadalajara","Almazara familiar fundada en 1933, elaboradora y envasadora de aceite de oliva virgen extra en Loranca de Tajuña.",,+34949294504,info@aceitesdelgado.com,https://aceitesdelgado.com,https://www.facebook.com/Fidelco-101955588036147,https://www.instagram.com/aceitesdelgado/,https://www.google.com/maps/search/?api=1&query=Aceites%20Fidelco%2C%20Carretera%20de%20Aranzueque%2C%2045%2C%2019141%20Loranca%20de%20Taju%C3%B1a%2C%20Guadalajara,40.453609,-3.100804,/productores/castilla-la-mancha/guadalajara/aceites-fidelco.webp,verificado,sí,ecommerce
aceites-la-comun,Aceites La Común,Alcocer,Aceite,"AOVE premium de cosecha temprana, castellana y arbequina","Alcocer, Guadalajara",Proyecto de las hermanas Sánchez Lozano dedicado a aceites de oliva virgen extra de producción limitada en La Alcarria.,,+34669860539,olivareslacomun@gmail.com,https://www.aovelacomun.com/,https://www.facebook.com/olivareslacomun,https://www.instagram.com/aovelacomun/,https://www.google.com/maps/search/?api=1&query=Aceites%20La%20Com%C3%BAn%2C%20Alcocer%2C%20Guadalajara,40.464670,-2.584030,/productores/castilla-la-mancha/guadalajara/aceites-la-comun.webp,verificado,sí,ecommerce
oleosan-1929,Oleosan 1929,Yebra,Aceite,"AOVE ecológico, variedad verdeja-castellana","C. Condesa de San Rafael, 6, 19111 Yebra, Guadalajara","Almazara familiar de Yebra dedicada a la fabricación, envasado y comercialización de aceite de oliva virgen extra.",,+34655106211,info@oleosan.com,https://www.oleosan.com/,https://www.facebook.com/AceitesOleosan,https://www.instagram.com/oleosan1929sl/,https://www.google.com/maps/search/?api=1&query=Oleosan%201929%2C%20Yebra%2C%20Guadalajara,40.356615,-2.966617,,verificado,sí,ecommerce
s-a-t-alcarria-baja,S.A.T. Alcarria Baja,Auñón,Aceite,AOVE DOP Aceite de La Alcarria,"C/ Capilla, 14, 19130 Auñón, Guadalajara","Almazara socia de la DOP Aceite de La Alcarria, elaboradora de aceites de oliva virgen extra de la comarca.",,+34949358535,satalcarriabaja@hotmail.com,,,,https://www.google.com/maps/search/?api=1&query=S.A.T.%20Alcarria%20Baja%2C%20C%2F%20Capilla%2C%2014%2C%2019130%20Au%C3%B1%C3%B3n%2C%20Guadalajara,40.517100,-2.792200,/productores/castilla-la-mancha/guadalajara/s-a-t-alcarria-baja.webp,parcial,sí,telefono|email
s-a-t-coagral,S.A.T. Coagral,Guadalajara,Aceite,AOVE Tierra Alcarreña y productos agroalimentarios locales,"C/ Francisco Aritio, 150-152, 19004 Guadalajara",Cooperativa agroalimentaria que fabrica y envasa aceite bajo su marca Tierra Alcarreña y gestiona la tienda colectiva Alimentos de Guadalajara.,,+34949202840,info@grupoapag.com,https://grupoapag.com,,,https://www.google.com/maps/search/?api=1&query=S.A.T.%20Coagral%2C%20C%2F%20Francisco%20Aritio%2C%20150-152%2C%2019004%20Guadalajara,40.632500,-3.160200,/productores/castilla-la-mancha/guadalajara/s-a-t-coagral.webp,verificado,sí,marketplace
jose-luis-delgado-laguna-luz-de-miel,José-Luis Delgado Laguna Luz de Miel,Durón,Miel,"Miel ecológica de milflores, romero, tomillo y lavanda","Durón, Guadalajara","Apicultor de Durón incluido en el catálogo agroecológico de Guadalajara, con mieles ecológicas y venta directa.",,+34605589312,jldelgadolaguna@hotmail.com,,,,https://www.google.com/maps/search/?api=1&query=Jos%C3%A9-Luis%20Delgado%20Laguna%20Luz%20de%20Miel%2C%20Dur%C3%B3n%2C%20Guadalajara,40.625500,-2.726500,,parcial,sí,telefono|email
