slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
artequeso-tembleque,Artequeso,Tembleque,Lácteos y quesos,"Queso manchego artesano DOP, Buenalba, Finca La Prudenciana","Autovía A-4 km 99,600",Quesería familiar de Finca La Prudenciana que elabora queso manchego artesano DOP con leche cruda de oveja.,Consultar web,+34925145192,info@artequeso.com,http://www.artequeso.com,https://www.facebook.com/quesosmanchegosartequeso/,https://www.instagram.com/artequeso/,https://www.google.com/maps/search/?api=1&query=Artequeso%2C%20Autov%C3%ADa%20A-4%20km%2099%2C600%2C%20Tembleque%2C%20Toledo%2C%20Espa%C3%B1a,39.6364261,-3.5062863,,pendiente,no comprobado,
lordi-los-yebenes,Lordi,Los Yébenes,Lácteos y quesos,"Queso manchego Altobello, Mancebo, Monteño, queso de Toledo","Polígono Industrial La Cañada, parcela 1","Empresa quesera de Los Yébenes especializada en queso manchego DOP y quesos de oveja, cabra y mezcla.",Consultar web,+34925320765,lordi@lordi.es,https://lordi.es/,,,https://www.google.com/maps/search/?api=1&query=Lordi%2C%20Pol%C3%ADgono%20Industrial%20La%20Ca%C3%B1ada%2C%20parcela%201%2C%20Los%20Y%C3%A9benes%2C%20Toledo%2C%20Espa%C3%B1a,39.5724666,-3.8627846,,pendiente,no comprobado,
quesos-el-chozo-mora,Quesos El Chozo,Mora,Lácteos y quesos,"Queso de oveja, queso tierno, semicurado, curado, añejo y en aceite","C. Santa Lucía, 39",Pequeña quesería artesana de Mora con más de 50 años elaborando queso puro de oveja manchega.,Consultar web,+34925300990,qchozo@hotmail.com,https://www.quesoselchozo.es/,,,https://www.google.com/maps/search/?api=1&query=Quesos%20El%20Chozo%2C%20C.%20Santa%20Luc%C3%ADa%2C%2039%2C%20Mora%2C%20Toledo%2C%20Espa%C3%B1a,39.6833005,-3.7831681,,pendiente,no comprobado,
quesos-hm-mora,Quesos HM,Mora,Lácteos y quesos,"Queso manchego artesano, queso en aceite, queso de oveja",Ctra. Mora-Toledo km 29,Quesería artesana de Mora integrada en experiencias de queso manchego y elaboración a mano.,Consultar web,+34925300315,,https://www.quesoshm.com/,https://www.facebook.com/Quesos-Artesanos-Hechos-A-Mano-543529902463355/,https://www.instagram.com/quesoshm/,https://www.google.com/maps/search/?api=1&query=Quesos%20HM%2C%20Ctra.%20Mora-Toledo%20km%2029%2C%20Mora%2C%20Toledo%2C%20Espa%C3%B1a,39.6832230,-3.7727849,,pendiente,no comprobado,
tobar-del-oso-el-toboso,Tobar del Oso,El Toboso,Lácteos y quesos,"Queso manchego Tobar del Oso, semicurado, curado, viejo",El Toboso,Quesería de Industrias Martal en El Toboso dedicada a queso manchego desde 2005.,Consultar web,,,https://www.tobardeloso.es/,,,https://www.google.com/maps/search/?api=1&query=Tobar%20del%20Oso%2C%20El%20Toboso%2C%20El%20Toboso%2C%20Toledo%2C%20Espa%C3%B1a,39.5224645,-3.0001314,,pendiente,no comprobado,
quesos-corcuera-la-puebla-de-montalban,Quesos Corcuera,La Puebla de Montalbán,Lácteos y quesos,"Queso manchego DOP, Corcuera, Manchibel, La Celestina","C. Santa Lucía, 8",Quesería histórica de La Puebla de Montalbán referente en queso manchego y quesos de oveja.,Consultar web,+34925750069,info@quesoscorcuera.com,https://www.corcuera.com/,https://www.facebook.com/quesoscorcuerasl/,https://www.instagram.com/quesoscorcuera/,https://www.google.com/maps/search/?api=1&query=Quesos%20Corcuera%2C%20C.%20Santa%20Luc%C3%ADa%2C%208%2C%20La%20Puebla%20de%20Montalb%C3%A1n%2C%20Toledo%2C%20Espa%C3%B1a,39.8553498,-4.3604527,,pendiente,no comprobado,
lacteas-toledo-guadamur,Lácteas Toledo,Guadamur,Lácteos y quesos,"El Galán, 7 Coronas, queso manchego DOP curado","Ctra. de Navahermosa, km 14","Productor de quesos de pasta prensada de oveja, cabra y mezcla del grupo TGT en Guadamur.",Consultar web,,,https://www.grupotgt.com/,https://www.facebook.com/QuesosGrupoTGT/,https://www.instagram.com/quesostgt/,https://www.google.com/maps/search/?api=1&query=L%C3%A1cteas%20Toledo%2C%20Ctra.%20de%20Navahermosa%2C%20km%2014%2C%20Guadamur%2C%20Toledo%2C%20Espa%C3%B1a,39.8113689,-4.1488803,,pendiente,no comprobado,
queseria-fuentevieja-carriches,Quesería Fuentevieja,Carriches,Lácteos y quesos,"Queso Fuentevieja, Maná, queso semicurado de oveja","C. La Mata, 12",Quesería familiar de Carriches con ganadería ovina y quesos artesanos de leche cruda de oveja.,Consultar web,+34619243518,tienda@queseriafuentevieja.es,https://queseriafuentevieja.es/,,https://www.instagram.com/queseria_fuentevieja/,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Fuentevieja%2C%20C.%20La%20Mata%2C%2012%2C%20Carriches%2C%20Toledo%2C%20Espa%C3%B1a,39.9639132,-4.4586415,,pendiente,no comprobado,
artesanos-lacteos-el-fontejon-los-yebenes,Artesanos Lácteos El Fontejón,Los Yébenes,Lácteos y quesos,"Queso manchego El Fontejón, Coquem, Valdehierro",Ctra. de Los Yébenes km 3,Quesería de Los Yébenes elaboradora de queso manchego premiado bajo la marca El Fontejón.,Consultar web,+34925482009,artesanos@artesanoslacteos.com,https://www.artesanoslacteos.com/,https://www.facebook.com/artesanoslacteos/,https://www.instagram.com/artesanos_lacteos_/,https://www.google.com/maps/search/?api=1&query=Artesanos%20L%C3%A1cteos%20El%20Fontej%C3%B3n%2C%20Ctra.%20de%20Los%20Y%C3%A9benes%20km%203%2C%20Los%20Y%C3%A9benes%2C%20Toledo%2C%20Espa%C3%B1a,39.5823444,-3.8702361,,pendiente,no comprobado,
quesos-de-hualdo-el-carpio-de-tajo,Quesos de Hualdo,El Carpio de Tajo,Lácteos y quesos,"Queso manchego Hualdo, queso de leche cruda, queso de finca",Finca Hualdo,Línea quesera de Finca Hualdo elaborada con leche cruda de su propio rebaño manchego.,Consultar web,+34925745006,info@casasdehualdo.com,https://www.casasdehualdo.com/,,https://www.instagram.com/casasdehualdo/,https://www.google.com/maps/search/?api=1&query=Quesos%20de%20Hualdo%2C%20Finca%20Hualdo%2C%20El%20Carpio%20de%20Tajo%2C%20Toledo%2C%20Espa%C3%B1a,39.8874198,-4.4542812,,pendiente,no comprobado,
