slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
valdecontina-vinedos-y-bodega-albares-de-la-ribera,Valdecontina Viñedos y Bodega,Albares de la Ribera,Bodega,Vino,"Av. de Bembibre, 2, 4, 24310 Albares de la Ribera, León, España","Productor local de bodega en Albares de la Ribera, incorporado al catálogo provincial de León y revisado con DO Bierzo.",lunes: 9:00–14:00 | martes: 9:00–14:00 | miércoles: 9:00–14:00 | jueves: 9:00–14:00 | viernes: 9:00–14:00 | sábado: Cerrado | domingo: Cerrado,,,http://www.valdecontina.com/,,https://www.instagram.com/valdecontina/,https://www.google.com/maps/search/?api=1&query=Valdecontina%20Vi%C3%B1edos%20y%20Bodega&query_place_id=ChIJ05G0_GdLNw0RsDxj6TgYinA,42.6128039,-6.3734559,/productores/castilla-y-leon/leon/valdecontina-vinedos-y-bodega-albares-de-la-ribera.webp,pendiente,no comprobado,
laosa-vinos-ardon,LAOSA VINOS,Ardón,Bodega,Vino,"C. Cuevas y Chabarcal, 8, 24232 Ardón, León, España","Productor local de bodega en Ardón, incorporado al catálogo provincial de León y revisado con DO León.",Consultar web o venta directa,+34666217032,depaznoelia@gmail.com,http://www.laosavinos.com/,https://www.facebook.com/379120595628804,https://www.instagram.com/noelia_de_paz,https://www.google.com/maps/search/?api=1&query=LAOSA%20VINOS&query_place_id=ChIJZfNt0SeHNw0RUABY5vPC4gc,42.438225,-5.5638627,/productores/castilla-y-leon/leon/laosa-vinos-ardon.webp,pendiente,no comprobado,
vinedos-y-bodegas-pittacum-arganza,Viñedos y Bodegas Pittacum,Arganza,Bodega,Vino,"C. la Iglesia, 11, 24546 Arganza, León, España","Productor local de bodega en Arganza, incorporado al catálogo provincial de León y revisado con DO Bierzo.",lunes: 9:00–14:00 | martes: 9:00–14:00 | miércoles: 9:00–14:00 | jueves: 9:00–14:00 | viernes: 9:00–14:00 | sábado: 10:00–13:00 | domingo: Cerrado,+34987548054,,https://www.terrasgauda.com/#pittacum,,,https://www.google.com/maps/search/?api=1&query=Vi%C3%B1edos%20y%20Bodegas%20Pittacum&query_place_id=ChIJd6bXbz2_MA0RMKwFD81NNv4,42.641565,-6.684476999999999,/productores/castilla-y-leon/leon/vinedos-y-bodegas-pittacum-arganza.webp,pendiente,no comprobado,
bodegas-vinos-de-leon-vile-s-a-armunia,"Bodegas Vinos de León, VILE S.A.",Armunia,Bodega,Vino,"C. la Vega, 0, 24009 Armunia, León, España","Productor local de bodega en Armunia, incorporado al catálogo provincial de León y revisado con Tierra de Sabor.",lunes: 8:00–15:30 | martes: 8:00–15:30 | miércoles: 8:00–15:30 | jueves: 8:00–15:30 | viernes: 8:00–15:30 | sábado: Cerrado | domingo: Cerrado,+34987209712,info@bodegasvinosdeleon.es,http://www.bodegasvinosdeleon.es/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Vinos%20de%20Le%C3%B3n%2C%20VILE%20S.A.&query_place_id=ChIJ6217NMeaNw0R6chTUxQWZIc,42.5861814,-5.5857953,/productores/castilla-y-leon/leon/bodegas-vinos-de-leon-vile-s-a-armunia.webp,pendiente,no comprobado,
bodega-cuatro-pasos-cacabelos,Bodega Cuatro Pasos,Cacabelos,Bodega,Vino,"C. Godello, 24540 Cacabelos, León, España","Productor local de bodega en Cacabelos, incorporado al catálogo provincial de León y revisado con DO Bierzo.",Consultar web o venta directa,+34663274992,,https://www.cuatropasos.es/,https://www.facebook.com/CuatroPasos/,,https://www.google.com/maps/search/?api=1&query=Bodega%20Cuatro%20Pasos&query_place_id=ChIJMVz9Tnu-MA0RM-6LVp4QKB4,42.5986283,-6.7128141,/productores/castilla-y-leon/leon/bodega-cuatro-pasos-cacabelos.webp,pendiente,no comprobado,
bodegas-luna-beberide-cacabelos,Bodegas Luna Beberide,Cacabelos,Bodega,Vino,"LE-713, 58, 24540 Cacabelos, León, España","Productor local de bodega en Cacabelos, incorporado al catálogo provincial de León y revisado con DO Bierzo.",lunes: 8:00–16:00 | martes: 8:00–16:00 | miércoles: 8:00–16:00 | jueves: 8:00–16:00 | viernes: 8:00–16:00 | sábado: Cerrado | domingo: Cerrado,+34987549002,,http://www.lunabeberide.es/,https://www.facebook.com/lunabeberide/,https://www.instagram.com/lunabeberide/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Luna%20Beberide&query_place_id=ChIJiXM6Bxq-MA0R-ncO_QDk5GA,42.6024605,-6.738817399999999,/productores/castilla-y-leon/leon/bodegas-luna-beberide-cacabelos.webp,pendiente,no comprobado,
losada-vinos-de-finca-s-a-cacabelos,Losada Vinos de Finca S.A.,Cacabelos,Bodega,Vino,"Carretera Km. 12, LE-713, 24540 Cacabelos, León, España","Productor local de bodega en Cacabelos, incorporado al catálogo provincial de León y revisado con DO Bierzo.","lunes: 9:00–14:00, 15:00–18:00 | martes: 9:00–14:00, 15:00–18:00 | miércoles: 9:00–14:00, 15:00–18:00 | jueves: 9:00–14:00, 15:00–18:00 | viernes: 9:00–14:00, 15:00–18:00 | sábado: Cerrado | domingo: Cerrado",+34987548053,,https://losadavinosdefinca.es/,,,https://www.google.com/maps/search/?api=1&query=Losada%20Vinos%20de%20Finca%20S.A.&query_place_id=ChIJHWzlIR--MA0RdiMJQpW1v-I,42.60555350000001,-6.7589685,/productores/castilla-y-leon/leon/losada-vinos-de-finca-s-a-cacabelos.webp,pendiente,no comprobado,
ribas-del-cua-cacabelos,Ribas del Cúa,Cacabelos,Bodega,Vino,"Apartado de Correos, 83, 24540 Cacabelos, León, España","Productor local de bodega en Cacabelos, incorporado al catálogo provincial de León y revisado con Tierra de Sabor.",Consultar web o venta directa,+34987971017,bodega@ribasdelcua.com,http://www.ribasdelcua.com/,,,https://www.google.com/maps/search/?api=1&query=Ribas%20del%20C%C3%BAa&query_place_id=ChIJuUiuZGO-MA0Ro4W2eWduyCQ,42.6060738,-6.704707,/productores/castilla-y-leon/leon/ribas-del-cua-cacabelos.webp,pendiente,no comprobado,
vinos-del-bierzo-s-coop-cacabelos,Vinos del Bierzo S. Coop.,Cacabelos,Bodega,Vino,"Av. Constitución, 106, 24540 Cacabelos, León, España","Productor local de bodega en Cacabelos, incorporado al catálogo provincial de León y revisado con Tierra de Sabor.","lunes: 9:00–13:30, 16:00–19:00 | martes: 9:00–13:30, 16:00–19:00 | miércoles: 9:00–13:30, 16:00–19:00 | jueves: 9:00–13:30, 16:00–19:00 | viernes: 9:00–13:30, 16:00–19:00 | sábado: 10:00–13:00 | domingo: Cerrado",+34987546150,info@vinosdelbierzo.com,http://www.vinosdelbierzo.com/,,,https://www.google.com/maps/search/?api=1&query=Vinos%20del%20Bierzo%20S.%20Coop.&query_place_id=ChIJn1RXSne-MA0RqHl-c2KHv7M,42.5931241,-6.718268699999999,,pendiente,no comprobado,
vinas-del-bierzo-camponaraya,Viñas del Bierzo,Camponaraya,Bodega,Vino,"Cam. de Santiago, 24410 Camponaraya, León, España","Productor local de bodega en Camponaraya, incorporado al catálogo provincial de León y revisado con Tierra de Sabor.",lunes: 9:00–17:00 | martes: 9:00–17:00 | miércoles: 9:00–17:00 | jueves: 9:00–17:00 | viernes: 9:00–17:00 | sábado: 10:00–14:00 | domingo: Cerrado,+34987463009,vdelbierzo@granbierzo.com,http://granbierzo.com/,,,https://www.google.com/maps/search/?api=1&query=Vi%C3%B1as%20del%20Bierzo&query_place_id=ChIJFSztK4l2XEAR3qPkkqtmo70,42.5841899,-6.6757048,,pendiente,no comprobado,
