slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
joan-bellod-paya-beneixama,Joan Bellod Payà,Beneixama,Aceite,fabricación propia | producción artesanal | ecológico,"C/ Nueva de La Aurora, 76 , Beneixama","Joan Bellod Payà es un productor local de aceite en Beneixama, dentro de la provincia de Alicante.",,+34675436823,joanbellodpaya@gmail.com,,,,,38.7,-0.76722,,parcial,no comprobado,
agrisanz-el-camp-de-mirra,Agrisanz,El Camp De Mirra,Aceite,fabricación propia | ecológico,"C/ San José, 13 , El Camp De Mirra","Agrisanz es un productor local de aceite en El Camp De Mirra, dentro de la provincia de Alicante.",,+34630027497,info@agrisanz.com,https://www.agrisanz.com/,https://www.facebook.com/vicente.sanzvaldes/,https://www.instagram.com/agrisanz/,https://www.google.com/maps/search/?api=1&query=Agrisanz%20S.L%2C%20Carrer%20Sant%20Josep%2C%2013%2C%2003469%20el%20Camp%20de%20Mirra%2C%20Alicante&query_place_id=ChIJ09XaGuRiYQ0RbMTbLVOfMXc,38.6863435,-0.7785466,/productores/comunitat-valenciana/alicante/agrisanz-el-camp-de-mirra.webp,verificado,sí,ecommerce
ramon-terol-girbes-alfafara,Ramón Terol Girbés,Alfafara,Aceite,aceite de oliva virgen extra,"Foia Piscota s/n, Alfafara","Ramón Terol Girbés es un productor local de aceite en Alfafara, dentro de la provincia de Alicante.",,+34646525983,terol74@gmail.com,https://www.alfaoliva.es/,,,https://www.google.com/maps/search/?api=1&query=Alm%C3%A0ssera%20l'Alfafarenca%2C%20Foia%20Piscota%20s%2Fn%2C%2003838%20Alfafara%2C%20Alicante&query_place_id=ChIJT-U1v6mDYQ0RZgiGxnEoymg,38.7759772,-0.5577054,/productores/comunitat-valenciana/alicante/ramon-terol-girbes-alfafara.webp,verificado,sí,ecommerce
or-d-olea-alfafara,OR d'Olea,Alfafara,Aceite,fabricación propia | producción artesanal,"Carrer de Sta. Cecilia, 3 , Alfafara","OR d'Olea es un productor local de aceite en Alfafara, dentro de la provincia de Alicante.",,+34683599711,tonicastellet@hotmail.com,https://ordolea.com/,https://www.facebook.com/OrdOlea,https://www.instagram.com/or_d_olea/,https://www.google.com/maps/search/?api=1&query=OR%20d'Olea%20-%20Aceite%20de%20Oliva%20Virgen%20Extra%20Premium%2C%20Carrer%20de%20Sta.%20Cecilia%2C%203%2C%2003838%20Alfafara%2C%20Alicante&query_place_id=ChIJz0kErH2DYQ0RpHfvDJNw_M4,38.7723387,-0.5551349,,verificado,sí,ecommerce
cooperativa-inercomarcal-de-planes-planes,Cooperativa Inercomarcal de Planes,Planes,Aceite,aceite de oliva virgen extra,"Av. Ciutat de Valencia, 1 , Planes","Cooperativa Inercomarcal de Planes es un productor local de aceite en Planes, dentro de la provincia de Alicante.",,+34965514052,info@cooperativadeplanes.es,https://www.olideplanes.es,,,https://www.google.com/maps/search/?api=1&query=Intercomarcal%20de%20la%20Muntanya%20d%E2%80%99Alacant%2C%20Av.%20Ciutat%20de%20Val%C3%A8ncia%2C%201%2C%2003828%20Planes%2C%20Alicante&query_place_id=ChIJ9dDsrBWNYQ0RzpjpPgZZht0,38.7841132,-0.3437330,,verificado,sí,marketplace
9-oliveres-cocentaina,9 Oliveres,Cocentaina,Aceite,aceite de oliva virgen extra,"C/ Alcalde Gadea, 34 , Cocentaina","9 Oliveres es un productor local de aceite en Cocentaina, dentro de la provincia de Alicante.",,+34647240927,9oliveres@gmail.com,https://9oliveres.com,,https://www.instagram.com/9oliveres/,https://www.google.com/maps/search/?api=1&query=9%20Oliveres%2C%20Carrer%20Alcalde%20Gadea%20Pons%2C%2034%2C%2003820%20Cocentaina%2C%20Alicante&query_place_id=ChIJ2d3TaUmPYQ0RfZTIZPMCz60,38.7420122,-0.4348371,/productores/comunitat-valenciana/alicante/9-oliveres-cocentaina.webp,verificado,sí,ecommerce
castell-de-la-costurera-balones,Castell de la Costurera,Balones,Aceite,aceite de oliva virgen extra,"C/Trinquet, 4 , Balones","Castell de la Costurera es un productor local de aceite en Balones, dentro de la provincia de Alicante.",,+34675923072,carles.agrofruit@gmail.com,https://castelldelacosturera.com,https://www.facebook.com/castelldelacosturera,https://www.instagram.com/castelldelacosturera/,,38.73667,-0.34306,/productores/comunitat-valenciana/alicante/castell-de-la-costurera-balones.webp,verificado,sí,ecommerce
oli-de-la-torre-torremanzanas,Oli de La Torre,Torremanzanas,Aceite,fabricación propia | producción artesanal | marca de calidad diferenciada,"Sant Isidre, 18 , La Torre De Les Maçanes/Torremanzanas","Oli de La Torre es un productor local de aceite en Torremanzanas, dentro de la provincia de Alicante.",,+34616819090,olidelatorre@gmail.com,https://www.olidelatorre.com,https://www.facebook.com/olidelatorreaceite,https://www.instagram.com/aoveolidelatorre/,https://www.google.com/maps/search/?api=1&query=Alm%C3%A0ssera%20de%20La%20Torre%2C%20Coop.%20V.%20-%20OLI%20DE%20LA%20TORRE%2C%20Carrer%20Sant%20Isidre%20Llaurador%2C%2018%2C%2003108%20La%20Torre%20de%20les%20Ma%C3%A7anes%2C%20Alicante&query_place_id=ChIJAY56T1ImYg0RwVyH11R0NPE,38.6068396,-0.4201385,,verificado,sí,ecommerce
aceite-rontonar-benifallim,Aceite Rontonar,Benifallim,Aceite,fabricación propia | producción artesanal,"Carrer del Relleu, 13 , Benifallim","Aceite Rontonar es un productor local de aceite en Benifallim, dentro de la provincia de Alicante.",,+34671877294,info@rontonar.com,https://www.rontonar.com,,https://www.instagram.com/aceiterontonar/,https://www.google.com/maps/search/?api=1&query=Rontonar%20Aceites%20S.L.%2C%20Carrer%20del%20Relleu%2C%2013%2C%2003816%20Benifallim%2C%20Alicante&query_place_id=ChIJ35EVSNuJYQ0RKf6mkuNaz7Y,38.6622139,-0.3994993,,verificado,sí,ecommerce
senorios-de-relleu-relleu,Señorios de Relleu,Relleu,Aceite,aceite de oliva virgen extra,"Partida Figueret, 2ñ , Relleu","Señorios de Relleu es un productor local de aceite en Relleu, dentro de la provincia de Alicante.",,+34656826423,info@senoriosderelleu.com,https://www.senoriosderelleu.com/,https://www.facebook.com/SenoriosDeRelleu/,https://www.instagram.com/senoriosdrelleu/,https://www.google.com/maps/search/?api=1&query=Oleoturismo%20Se%C3%B1orios%20de%20Relleu%2C%20Partida%20Figueret%2C%202%2C%2003578%20Relleu%2C%20Alicante&query_place_id=ChIJ8a552tchYg0RzOl5N-nlaAE,38.5809143,-0.3224335,/productores/comunitat-valenciana/alicante/senorios-de-relleu-relleu.webp,verificado,sí,ecommerce
