slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
hofladen-gut-wulfsdorf-ahrensburg,Gut Wulfsdorf,Ahrensburg,Fruta y verdura,Gemüse|Kartoffeln|Milchprodukte|Brot|Fleisch,"Bornkampsweg 39, 22926 Ahrensburg","Demeter-Hof mit eigenem Gemüse, Kartoffeln, Milch, Getreide und Fleisch; auf dem Hof werden daraus Milchprodukte, Brot und Metzgereiprodukte hergestellt.","Mo-Fr 09:00-18:30; Sa 08:00-16:00; Su,PH off",+49410251109,hofladen@gutwulfsdorf.de,https://gutwulfsdorf.de/hofladen.html,,,,53.659534,10.190552,,,no,,Lácteos y quesos|Pan y cereal|Carne,1298,de,,,,,
hofladen-foehrer-inselkaese-alkersum,Föhrer Inselkäse,Alkersum,Lácteos y quesos,Föhrer Inselkäse|Joghurt|Wurst|Likör,"Hauptstraße 9, 25938 Alkersum","Familienbetrieb in Alkersum mit Landwirtschaft und eigener Hofmolkerei; hergestellt werden Käse, Joghurt, Wurst, Marmeladen und Likör.","Mo-Fr 08:30-16:00; Sa 10:00-14:00; Su,PH off",+4946812492,bestellung@foehrer-inselkaese.de,https://foehrer-inselkaese.de/,,,,54.708984,8.507827,,,sí,ecommerce|email|telefono,Carne|Conservas|Destilados y licores,1289,de,,,,,
gaertnerei-gartenpflege-erlenhof-aukrug,Erlenhof – Gärtnerei,Aukrug,Fruta y verdura,Erdbeeren|Salat|Möhren|Erbsen|Bohnen|Grünkohl,"Itzehoer Straße 26, 24613 Aukrug","Gärtnerei des Erlenhofs mit fünf Hektar Obst- und Gemüseanbau sowie eigener Anzucht von Gemüse-, Beet- und Balkonpflanzen in Aukrug-Innien.",Mo-Th 08:00-16:00; Fr 08:00-14:00,+4948739982278,peglow.frank@landesverein.de,https://landesverein.de/teilhabe/erlenhof/dienstleistungen/,,,,54.079667,9.776718,,,no,,,1016,de,,,,,
hofladen-schilling-blomesche-wildnis,Hofladen Schilling,Blomesche Wildnis,Fruta y verdura,Gemüse|Erdbeeren|Kartoffeln|Eier,"Am Altendeich 99, 25348 Blomesche Wildnis","Landwirtschaftlicher Direktvermarkter in der Blomeschen Wildnis mit eigenem Gemüseanbau, Schweinen und Hühnern sowie saisonalen Hofprodukten.","Mo-Fr 08:00-12:00,13:30-18:00; Sa 08:00-12:00; Su,PH off",+4941245111,mail@hofladen-schilling.de,https://www.hofladen-schilling.de/,,,,53.792906,9.485749,,,no,,Huevos|Carne,1327,de,,,,,
hofladen-martens-breitenfelde,Geflügelhof Martens,Breitenfelde,Huevos,Eier|Geflügel|Fleisch- und Wurstwaren,"Bundesstraße 21, 23881 Breitenfelde","Familiengeführter Geflügelhof in Breitenfelde mit hofeigenen Eiern sowie Geflügel-, Fleisch- und Wurstwaren nach Hausrezepten.",Mo-Sa 06:00-18:00; Su 08:00-18:00; PH 08:00-13:00,+4945422447,buero@hofladen-martens.de,https://hofladen-martens.de/hofladen/,,,,53.607524,10.631505,,,no,,Carne,1314,de,,,,,
hinrichsen-s-farm-hofladen-dunsum,Hinrichsen's Farm Distillery,Dunsum,Destilados y licores,Frisian Single Farm Whisky,"Haus 23, 25938 Dunsum","Bio-Farm und Brennerei in Dunsum, die ihren Single Estate Whisky vollständig auf dem Hof aus eigener Gerste herstellt, vom Anbau bis zur Abfüllung.",,,info@hinrichsens-farm.de,https://www.hinrichsens-whisky.de/,,,,54.734703,8.420758,,,sí,ecommerce,,1196,de,,,,,
allee-cafe-katharinenhof-fehmarn,Allee-Café Katharinenhof,Fehmarn,Otros,,,,,,,,,,,,,,pendiente,no,,,35,,,,,,
hofcafe-klausdorf-hofladen-fehmarn,Hofcafé Klausdorf,Fehmarn,Dulces y repostería,Torten|Kuchen,"Dorfstraße 30, 23769 Fehmarn","Hofcafé auf Fehmarn mit eigener Backstube, in der täglich Torten und Kuchen handwerklich hergestellt und unter dem Namen Hofcafé Klausdorf angeboten werden.",Mar 27-Nov 1: Mo-Su 07:30-18:00,+494371879784,moin@hofcafe-klausdorf.de,https://hofcafe-klausdorf.de/,,,,54.463033,11.242965,,,no,,,1252,de,,,,,
kleiner-hofladen-twedt-flensburg,Kleiner Hofladen Twedt,Flensburg,Fruta y verdura,Gemüse aus eigenem Anbau|Freilandeier,"Twedt 3, 24943 Flensburg",Kleiner Direktvermarkter in Flensburg-Twedt mit Gemüse aus eigenem ökologischem Gartenanbau und Eiern von den eigenen freilaufenden Hühnern.,"Mo-Sa 08:00-19:00; Su,PH 09:00-19:00",+491725339610,kathi.peters.twedt@gmx.de,https://kleiner-hofladen-twedt.de/,,,,54.795249,9.481823,,,no,,Huevos,1511,de,,,,,
betriebsgemeinschaft-domaene-fredenburg-fredeburg,Domäne Fredeburg,Fredeburg,Lácteos y quesos,Hofkäse|Milchprodukte|Gemüse|Kartoffeln|Fleisch,"Domänenweg 1, 23909 Fredeburg","Demeter-Hofgemeinschaft mit Ackerbau, Tierhaltung, Gemüsebau und eigener Hofkäserei; vermarktet werden Käse, Milchprodukte, Gemüse, Kartoffeln und Fleisch.",Mo-Fr 09:00-18:30; Sa 09:00-16:00; Su off,+494541862134,info@domaene-fredeburg.de,https://www.domaene-fredeburg.de/,,,,53.674298,10.726139,,,no,,Fruta y verdura|Carne,185,de,,,,,
