slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
exobee-imkerei,ExoBee Imkerei,Berlin,Miel,"Berliner und Brandenburger Blüten-, Frühtracht- und Sommertrachthonig","Raduhner Straße 36, 12355 Berlin",,,+493038101736,info@exobee.net,https://exobee.net/,,,,52.408174,13.503188,/productores/de/ostdeutschland/berlin/exobee-imkerei.webp,,sí,ecommerce,,884,,,,,,
hofladen,Domäne Dahlem,Berlin,Fruta y verdura,"Bio-Gemüse, Bio-Obst, Kartoffeln, Honig, Eier und Fleisch","Königin-Luise-Straße 49, 14195 Berlin",,Mo-Fr 10:00-18:00; Sa 08:00-14:00,+493066630077,hofladen@domaene-dahlem.de,https://www.domaene-dahlem.de/genuss/hofladen/,,,,52.458269,13.289555,,,no,,Carne|Huevos|Miel|Conservas,1269,,,,,,
imkerei-oertel-an-der-dammheide,Imkerei Oertel an der Dammheide,Berlin,Miel,Berliner Bioland-Honig und seltene Sortenhonige,"Lindenstraße 29, 12621 Berlin",,,+493044651234,bestellung@imkerei-oertel.de,https://imkerei-oertel.de/,https://www.facebook.com/ImkereiOertel/,https://www.instagram.com/imkereioertel/,,52.484013,13.574901,/productores/de/ostdeutschland/berlin/imkerei-oertel-an-der-dammheide.webp,,sí,ecommerce,,1414,,,,,,
lehmanns-bauernmarkt,Lehmanns Bauernmarkt,Berlin,Otros,,"Alt-Marienfelde 35, 12277 Berlin",,Tu-Fr 12:00-18:00; Sa 09:00-14:00,+493072014150,lehmanns-bauernmarkt@gmx.de,https://www.lehmannsbauernhof.de/,,,,52.412038,13.366902,,pendiente,no comprobado,,,1625,,,,,,
mosaik-hofladen,Gärtnerhof Charlottenburg,Berlin,Fruta y verdura,"Bio-Salat, Kräuter und saisonales Gemüse","Fürstenbrunner Weg 70, 14059 Berlin",,Mo-Th 09:00-15:00; Fr 09:00-16:00; Sa 10:00-15:00,+4930302094980,a.schure@mosaik-berlin.de,https://www.mosaik-berlin.de/de/hofladen-im-gaertnerhof,,,,52.526670,13.278868,,,no,,,1744,,,,,,
spaeth-scher-hofladen-berlin,Späth’sche Baumschulen,Berlin,Fruta y verdura,"Tomaten, Gurken, Zucchini und saisonales Gemüse aus eigenem Anbau","Späthstraße 80-81, 12437 Berlin",,Tu-Su 11:00-18:00,+4930639362,hofladen@spaethsche-baumschulen.de,https://www.spaethsche-baumschulen.de/auf-dem-spaeth-hof/hofladen-spaeth/,,,,52.453429,13.473806,,,no,,,2103,,,,,,
wild-und-gemuese-berlin,SpeiseGut,Berlin,Fruta y verdura,Saisonales Bio-Gemüse und Streuobstprodukte,"Havelmatensteig 1, 14089 Berlin",,,+4917621838104,teilnehmer@speisegut.com,https://www.speisegut.com/,,,,,,,pendiente,sí,suscripcion,,2308,,,,,,
berlin-ei-berlin-wartenberg,Berlin-Ei,Berlin,Huevos,Bio-Eier aus Mobilstallhaltung,"Lindenberger Straße 87, 13059 Berlin-Wartenberg",,"Mo-Su,PH 08:00-13:00",+493033774040,mail@berlin-ei.de,https://berlin-ei.de/,,,,52.584366,13.520165,/productores/de/ostdeutschland/berlin/berlin-ei-berlin-wartenberg.webp,,sí,email|suscripcion,,171,,,,,,
flessa-braeu,Flessa Bräu,Berlin,Cerveza,Flessa Biere,"Petersburger Straße 39, 10249 Berlin",Kleine Kiezbrauerei mit eigener Produktion in Friedrichshain.,,+493023409269,info@brauerei-flessa.de,https://www.brauerei-flessa.de/,,,,52.5229418,13.4509362,/productores/de/ostdeutschland/berlin/flessa-braeu.webp,pendiente,no comprobado,,,964,de,,,,,
berliner-jungs-brauerei,Berliner Jungs – Brewer's Tribute,Berlin,Cerveza,"Helles, Pils, Pale Ale, IPA","Zur Alten Börse 41, 12681 Berlin",Handwerksbrauerei mit eigener Produktion und Abfüllung in Marzahn.,,+493055571267,info@brewers-tribute.com,https://www.berliner-jungs.berlin/,,,,52.5159440,13.5248713,/productores/de/ostdeutschland/berlin/berliner-jungs-brauerei.webp,pendiente,sí,ecommerce,,175,de,,,,,
