slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
hofladen-probst-benndorf,Hofladen Probst,Benndorf,Otros,,"Siebigeröder Straße 2, 06308 Benndorf",,"Mo-Fr 08:00-17:30; Sa 09:00-12:00; Su,PH off",+493477226276,info@hofladen-probst.de,https://hofladen-probst.de/,,,"https://www.google.com/maps?q=51.567880,11.483015",51.567880,11.483015,,parcial,no comprobado,
uwe-arndt-akkordeonservice-bornstedt,Uwe Arndt Akkordeonservice,Bornstedt,Miel,Honig,"Neue Sorge 37, 06295 Bornstedt",,,+493475638705,info@akkordeonservice-arndt.de,https://www.akkordeonservice-arndt.de,,,"https://www.google.com/maps?q=51.485144,11.478120",51.485144,11.478120,,parcial,no comprobado,
landfleischerei-ingo-triebe-elsteraue,Landfleischerei Ingo Triebe,Elsteraue,Otros,,"Hainichener Dorfstraße 37, 06729 Elsteraue",,Di-Fr 08:00-18:00; Sa 08:00-11:00,+493441270281,info@landfleischerei-triebe.de,http://www.landfleischerei-triebe.de,,,"https://www.google.com/maps?q=51.044717,12.170495",51.044717,12.170495,,parcial,no comprobado,
ab-hof-verkauf-flechtingen,Ab-Hof-Verkauf,Flechtingen,Otros,,"An der Eiche 6, 39356 Flechtingen",,,+4939055791,hofandereiche@gmail.com,https://jochen-dettmer.de/,,,"https://www.google.com/maps?q=52.339005,11.144569",52.339005,11.144569,,parcial,no comprobado,
familienimkerei-preuss-genthin,Familienimkerei Preuß,Genthin,Miel,Honig,"Gartenstraße 10, 39307 Genthin",,,+49152224580,imkerei@preusz.net,https://preusz.wixsite.com/imkerei,,https://www.instagram.com/familienimkerei.preusz,"https://www.google.com/maps?q=52.288782,12.198894",52.288782,12.198894,,parcial,no comprobado,
leinoelmuehle-parchen-genthin,Leinölmühle Parchen,Genthin,Otros,,"Burger Straße 18, 39307 Genthin",,"Th,Fr 10:00-17:00; Sa 10:00-12:00",+491723478519,ernst-adolf.kampe@gmx.de,https://www.leinoelmuehle-parchen.de/,,,"https://www.google.com/maps?q=52.350285,12.074765",52.350285,12.074765,,parcial,no comprobado,
imkerei-margret-rhode-hassel,Imkerei Margret Rhode,Hassel,Miel,Honig,"Sanner Dorfstraße 14, 39596 Hassel",,,+493931715479,bienen.rhode@icloud.com,https://www.heimathonig.de/imker/imkerei-margret-rhode,,,"https://www.google.com/maps?q=52.658555,11.939226",52.658555,11.939226,,parcial,no comprobado,
wildererhuette-kade-kade,Wildererhütte Kade,Kade,Otros,,"Unter den Linden 40, 39319 Kade",,Fr 14:00-18:00; Sa 08:30-10:30,+491723919930,michareiss21@gmail.com,https://www.xn--wildererhtte-llb.de/,,,"https://www.google.com/maps?q=52.380196,12.262281",52.380196,12.262281,,parcial,no comprobado,
senst-biofrucht-landsberg,Senst Biofrucht,Landsberg,Otros,,"Am Mühlenfeld 8, 06188 Landsberg",,,+493460421583,senst@biofrucht.info,http://www.biofrucht.info/,,,"https://www.google.com/maps?q=51.538847,12.058176",51.538847,12.058176,,parcial,no comprobado,
bienenhonig-ueber-den-daechern-naumburgs-naumburg,Bienenhonig über den Dächern Naumburgs,Naumburg,Miel,Honig,"Bahnhofstraße 23 B, 06618 Naumburg",,,+4917559183,henning.jaworski@t-online.de,https://www.handgemacht-saale-unstrut.de/handmacher/Bienenhonig+%C3%BCber+den+D%C3%A4chern+Naumburgs,,,"https://www.google.com/maps?q=51.161576,11.801961",51.161576,11.801961,,parcial,no comprobado,
falko-breuer-oberimkermeister-nebra-unstrut,Falko Breuer Oberimkermeister,Nebra (Unstrut),Miel,Honig,"Ebereschenweg 8, 06642 Nebra (Unstrut)",,,+493446123109,falko.breuer@t-online.de,https://bienenlehrgarten.de/content/index.php/kontakt-anfahrt.html,,,"https://www.google.com/maps?q=51.285870,11.592650",51.285870,11.592650,,parcial,no comprobado,
hofladen-nienburg-saale,Hofladen,Nienburg/Saale,Otros,,"Hauptstraße 17, 06429 Nienburg/Saale",,Mo-Fr 10:00-18:00; Sa 09:00-11:00,+493472122014,info@hofladen-gerbitz.de,http://hofladen-gerbitz.de,,,"https://www.google.com/maps?q=51.841287,11.826590",51.841287,11.826590,,parcial,no comprobado,
brockenbauer-hofladen-oberharz-am-brocken,Brockenbauer - Hofladen,Oberharz am Brocken,Otros,,"Schierker Weg 13, 38875 Oberharz am Brocken",,"Mo-Th 11:00-18:00; Fr,Sa 11:00-21:00; Su 11:00-17:00",+49394573312,info@brockenbauer.de,https://www.brockenbauer.de/hofladen/,,,"https://www.google.com/maps?q=51.699130,10.716625",51.699130,10.716625,,parcial,no comprobado,
bienenhof-suesse-quelle-oschersleben,Bienenhof Süße Quelle,Oschersleben,Miel,Honig,"Kreisstraße 132, 39387 Oschersleben",,,+493949514626,bienenhof-suessequelle@live.de,https://www.bienenhof-suessequelle.de/,,,"https://www.google.com/maps?q=51.997264,11.195825",51.997264,11.195825,,parcial,no comprobado,
schaeferei-schuster-seehausen-altmark,Schäferei Schuster,Seehausen (Altmark),Otros,,"Ostorfer Straße 2, 39615 Seehausen (Altmark)",,Th-Su 13:00-17:00,+4939397365,kontakt@schaeferei-schuster.de,https://www.schaeferei-schuster.de/,,,"https://www.google.com/maps?q=52.938192,11.790820",52.938192,11.790820,,parcial,no comprobado,
landwirtschaftsbetrieb-hauser-stassfurt,Landwirtschaftsbetrieb Hauser,Staßfurt,Otros,,"Hauptstraße 12, 39443 Staßfurt",,"Tu-Fr 10:00-18:00; Sa 09:00-15:00; Mo,Su,PH off",+4939266949781,bauerhauser@yahoo.com,https://www.bauerhauser.de/hofladen.php,https://www.facebook.com/BauerHauser/,https://www.instagram.com/bauer_hauser/,"https://www.google.com/maps?q=51.919849,11.602804",51.919849,11.602804,,parcial,no comprobado,
berufsimkerei-behrendt-stendal,Berufsimkerei Behrendt,Stendal,Miel,Honig,"Lise-Meitner-Straße 8, 39576 Stendal",,,+49393141070,info@wabenkoenig.de,https://wabenkoenig.de/,,,"https://www.google.com/maps?q=52.628408,11.847922",52.628408,11.847922,,parcial,no comprobado,
bio-edelpilze-altmark-stendal,Bio Edelpilze Altmark,Stendal,Otros,,"Sälinger Straße 39-41, 39576 Stendal",,,+4939316891753,kontakt@bioedelpilze-altmark.de,https://bioedelpilze-altmark.de/,,,"https://www.google.com/maps?q=52.541419,11.891894",52.541419,11.891894,,parcial,no comprobado,
hofladen-altenweddinger-gefluegelhof-suelzetal,Hofladen Altenweddinger Geflügelhof,Sülzetal,Otros,,"Breite Straße 45, 39171 Sülzetal",,"Tu,Th,Fr 10:00-15:00; Sa 09:00-12:00; Mo,We,Su,PH off",+493920569682,info@braunes.com,https://www.gefluegelhof-braune.de/,,,"https://www.google.com/maps?q=51.993516,11.535420",51.993516,11.535420,,parcial,no comprobado,
hofladen-obsthof-hornemann-suelzetal,Hofladen Obsthof Hornemann,Sülzetal,Otros,,"Am Schachtteich 1, 39171 Sülzetal",,"Tu-Fr 09:00-18:00; Sa 09:00-13:00; Su,PH off",+493920520114,info@obsthof-hornemann.de,https://www.obsthof-hornemann.de/hofladen.html,https://www.facebook.com/ObsthofHornemann,,"https://www.google.com/maps?q=52.009458,11.512926",52.009458,11.512926,,parcial,no comprobado,
hofladen-suelldorf-suelzetal,Hofladen Sülldorf,Sülzetal,Otros,,"Salzblütenweg 18, 39171 Sülzetal",,"Tu-Fr 07:30-18:00; Sa 08:00-13:00; Mo,Su,PH off",+4939205695190,mail@hof-suelldorf.de,https://www.hof-suelldorf.de/hofladen,https://www.facebook.com/HofSuelldorf,https://www.instagram.com/hofsuelldorf,"https://www.google.com/maps?q=52.025462,11.563758",52.025462,11.563758,,parcial,no comprobado,
fleischmanufaktur-hofladen-biohof-7-tangerhuette,Fleischmanufaktur & Hofladen Biohof 7,Tangerhütte,Otros,,"Schernebecker Dorfstraße 38, 39517 Tangerhütte",,Fr 14:00-18:00,+4939361179938,info@biohof7.de,https://www.biohof7.de/,https://de-de.facebook.com/pages/category/Local-Business/Biohof-7-2072754162798286/,,"https://www.google.com/maps?q=52.464474,11.731529",52.464474,11.731529,,parcial,no comprobado,
imkerei-honigbaer-tangermuende,Imkerei HonigBär,Tangermünde,Miel,Honig,"Gewerbepark 26, 39590 Tangermünde",,,+491743016844,info@honigbaer24.de,https://honigbaer24.de/,,,"https://www.google.com/maps?q=52.547531,11.954200",52.547531,11.954200,,parcial,no comprobado,
ziegenhof-scleckweda-wetterzeube,Ziegenhof Scleckweda,Wetterzeube,Otros,,"Elsterweg 4, 06722 Wetterzeube",,"Fr 10:00-18:00; Mo-Th,Sa,Su,PH off",+493669322747,info@ziegenhof-schleckweda.de,http://www.ziegenhof-schleckweda.de/,,,"https://www.google.com/maps?q=51.010043,12.023702",51.010043,12.023702,,parcial,no comprobado,
hofladen-huehnerhof-zimmermann-zeitz,Hofladen Hühnerhof-Zimmermann,Zeitz,Otros,,"Bergweg 3, 06711 Zeitz",,"Th,Fr 15:00-18:00; Sa 09:00-12:00; Mo,Tu,We,Su,PH off",+493441535837,info@hühnerhof-zimmermann.de,http://huehnerhof-zimmermann.de/hofladen/,,,"https://www.google.com/maps?q=51.093453,12.124690",51.093453,12.124690,,parcial,no comprobado,
