slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
100-canos-molino-jabonero-villanueva-del-trabuco,100 Caños - Molino Jabonero,Villanueva del Trabuco,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","MA-4100, Km 4, 29313 Villanueva del Trabuco, Málaga","Proyecto de AOVE y oleoturismo ligado al Molino Jabonero, con finca y elaboración en Villanueva del Trabuco y especialización en la variedad hojiblanca.",,+34652232269,german.garcia@100canos.com,https://100canos.com/,https://www.facebook.com/AceiteDeOliva100Canos/,https://www.instagram.com/aove100canos/,https://www.google.com/maps/search/?api=1&query=100%20Ca%C3%B1os%20-%20Molino%20Jabonero%2C%20MA-4100%2C%20Km%204%2C%2029313%20Villanueva%20del%20Trabuco%2C%20M%C3%A1laga&query_place_id=ChIJm4uuVsdkcg0Rr6ugDSv1aos,37.032666,-4.294607800000001,,verificado,no,,
3monos-craft-beer-malaga,3Monos Craft Beer,Málaga,Cerveza,"Pilsner, American Pale Ale, IPA y cervezas sin gluten","C. Lisboa, 30, 29006 Málaga","Fábrica pionera de cerveza artesana malagueña que elabora estilos propios, ofrece producción para terceros y dispone de taproom y visitas en sus instalaciones.",Visitas con reserva; consultar taproom,+34951776565,info@3monoscraftbeer.com,https://3monoscraftbeer.com/,https://www.facebook.com/3MonosCraftBeer/,https://www.instagram.com/3monoscraftbeer/,https://www.google.com/maps/search/?api=1&query=3Monos%20Craft%20Beer%2C%20C.%20Lisboa%2C%2030%2C%20Cruz%20de%20Humilladero%2C%2029006%20M%C3%A1laga&query_place_id=ChIJvVQDvlb3cg0R3eWj9argg-0,36.702194,-4.4738205,/productores/es/andalucia/malaga/3monos-craft-beer-malaga.webp,verificado,sí,ecommerce,
aceite-castillo-de-la-estrella-teba,Aceite Castillo de la Estrella,Teba,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","C. Santa Ana, 18, 29327 Teba, Málaga",Empresa de Teba dedicada a la producción y comercialización de aceite de oliva virgen extra bajo la marca Castillo de la Estrella.,,+34615243488,castillo@castillodelaestrella.com,https://www.castillodelaestrella.com/,,,https://www.google.com/maps/search/?api=1&query=Aceites%20Castillo%20de%20la%20Estrella%2C%20C.%20Santa%20Ana%2C%2018%2C%2029327%20Teba%2C%20M%C3%A1laga,36.9807722,-4.9213482,,verificado,no,,
aceite-de-arenas-agricola-santa-catalina-martir-arenas,Aceite de Arenas - Agrícola Santa Catalina Mártir,Arenas,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","C. Calvario, 2, 29753 Arenas, Málaga","Cooperativa olivarera de Arenas, fundada en 1970, que moltura y envasa AOVE de aceituna verdial, lechín y picual bajo la marca Aceite de Arenas.",Consultar web o venta directa,+34952509003,info@santacatalinamartir.com,https://santacatalinamartir.com/,https://www.facebook.com/CooperativaSantaCatalinaMartir/,,https://www.google.com/maps/search/?api=1&query=Aceite%20de%20Arenas%20-%20Agr%C3%ADcola%20Santa%20Catalina%20M%C3%A1rtir%2C%20C.%20Calvario%2C%202%2C%2029753%20Arenas%2C%20M%C3%A1laga&query_place_id=ChIJN_WnJDk_cg0RWkiiMsiVBVo,36.8145969,-4.045959799999999,/productores/es/andalucia/malaga/aceite-de-arenas-agricola-santa-catalina-martir-arenas.webp,verificado,sí,ecommerce,
aceite-de-oliva-virgen-de-monsalud-alfarnate,Aceite de Oliva Virgen De Monsalud,Alfarnate,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","C. Ejidillo, 25, 29194 Alfarnate, Málaga",Cooperativa de Alfarnate con almazara propia; moltura la aceituna de sus socios y produce AOVE de variedades hojiblanca y picual.,Consultar web o venta directa,+34952759052,coopmonsalud@hotmail.com,https://www.cooperativamonsalud.com/,,,https://www.google.com/maps/search/?api=1&query=Aceite%20de%20Oliva%20Virgen%20De%20Monsalud%2C%20C.%20Ejidillo%2C%2025%2C%2029194%20Alfarnate%2C%20M%C3%A1laga&query_place_id=ChIJ_TigXqNlcg0RXnxbFTAU6Hs,36.99715,-4.25866,/productores/es/andalucia/malaga/aceite-de-oliva-virgen-de-monsalud-alfarnate.webp,verificado,sí,email|telefono,
aceite-el-molino-de-guaro-guaro,Aceite El Molino de Guaro,Guaro,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","Ctra. Guaro-Coín, km 1, 29108 Guaro, Málaga","Cooperativa de Guaro dedicada a la elaboración de AOVE en formatos de lata, cristal y PET; su web oficial está actualmente en reconstrucción.",Consultar web o venta directa,+34952112976,administracion@elmolinodeguaro.es,https://elmolinodeguaro.es/,https://www.facebook.com/molinode.guaro,https://www.instagram.com/elmolinodeguarosca/,https://www.google.com/maps/search/?api=1&query=Aceite%20El%20Molino%20de%20Guaro%2C%2029108%20Guaro%2C%20M%C3%A1laga&query_place_id=ChIJOWe8nWrbcg0RXqAb6TzGagQ,36.6627649,-4.8295566,,parcial,no comprobado,,
aceite-finca-rosa-alta-archidona,Aceite Finca Rosa Alta,Archidona,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","Finca Rosa Alta, Cortijo de Aceite, 29314 Archidona, Málaga",Finca de olivar propio situada en Archidona que produce AOVE hojiblanco de cosecha temprana y realiza el envasado y etiquetado de forma artesanal.,Consultar web o venta directa,+34607505057,f.ruiz.director@gmail.com,https://fincarosaalta.com/,https://www.facebook.com/FincaRosaAlta/,https://www.instagram.com/fincarosaalta,https://www.google.com/maps/search/?api=1&query=Aceite%20Finca%20Rosa%20Alta%2C%20Finca%20Rosa%20Alta%2C%20Cortijo%20de%20Aceite%2C%2029314%20Archidona%2C%20M%C3%A1laga&query_place_id=ChIJbaFMbZ2Hcg0Rt0w6fMtZ1jU,37.1212896,-4.4386841,/productores/es/andalucia/malaga/aceite-finca-rosa-alta-archidona.webp,verificado,sí,whatsapp,
aceite-molino-del-arco-ronda,Aceite Molino del Arco,Ronda,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","Partido rural Los Frontones s/n, 29400 Ronda, Málaga",Finca olivarera familiar de Ronda que cultiva hojiblanca y elabora su propio AOVE de cosecha temprana en el paraje de Los Frontones.,Consultar web o venta directa,+34601869456,aceite@hotelmolinodelarco.com,https://molinodelarco.com/,https://www.facebook.com/profile.php?id=61583143643842,https://www.instagram.com/aceitemolinodelarco/,https://www.google.com/maps/search/?api=1&query=Aceite%20Molino%20del%20Arco%2C%20Partido%20rural%20Los%20Frontones%20s%2Fn%2C%2029400%20Ronda%2C%20M%C3%A1laga&query_place_id=ChIJz7W0Slw3DQ0R-LXed0K4A9I,36.7803934,-5.1759843,/productores/es/andalucia/malaga/aceite-molino-del-arco-ronda.webp,verificado,sí,email,
aceite-mondron-periana,Aceite Mondrón,Periana,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","A-7204, 2, 29710 Periana, Málaga","Olivarera San José Artesano S.C.A. de Mondrón, en Periana, que elabora y envasa AOVE de los olivares de montaña de sus socios.",Consultar web o venta directa,+34675284376,info@aceitesmondron.com,https://aceitesmondron.com/,https://www.facebook.com/aceites.mondron,,https://www.google.com/maps/search/?api=1&query=Aceite%20Mondr%C3%B3n%2C%20A-7204%2C%202%2C%2029710%20Periana%2C%20M%C3%A1laga&query_place_id=ChIJnY-jsuBpcg0ROKrU8CZI8jA,36.9424451,-4.2260262,/productores/es/andalucia/malaga/aceite-mondron-periana.webp,verificado,sí,ecommerce,
aceite-oliburgo-el-burgo,Aceite Oliburgo,El Burgo,Aceite,"Aceite de oliva virgen extra, AOVE, olivar malagueño","Poligono Industrial Los Bujeos, 29420 El Burgo, Málaga","Limonte S.C.A., cooperativa de El Burgo, elabora AOVE convencional y ecológico de aceitunas de la Serranía de Ronda bajo la marca Oliburgo.",Consultar web o venta directa,+34952160290,info@oliburgo.com,https://www.oliburgo.com/,,,https://www.google.com/maps/search/?api=1&query=Aceite%20Oliburgo%2C%20Poligono%20Industrial%20Los%20Bujeos%2C%2029420%20El%20Burgo%2C%20M%C3%A1laga&query_place_id=ChIJ814caJfJcg0RMn-O78i-Ds8,36.7933,-4.953574,/productores/es/andalucia/malaga/aceite-oliburgo-el-burgo.webp,verificado,sí,ecommerce,
