slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
olivo-desoria-arcos-de-jalon,Olivo DeSoria,Arcos de Jalón,Aceite,AOVE de arbequina DeSoria,"Calle Hornos 2-4, 42250 Arcos de Jalón, Soria",Proyecto oleícola soriano con olivar en Montuenga de Soria dedicado a AOVE de variedad arbequina.,Consultar web o contacto directo,,,https://olivodesoria.com/,https://www.facebook.com/olivodesoria,https://www.instagram.com/olivodesoria/,,41.2157666,-2.2753018,/productores/es/castilla-y-leon/soria/olivo-desoria-arcos-de-jalon.webp,verificado,sí,ecommerce,,9293,es,,,,,
bodega-los-imposibles-rejas-de-san-esteban,Bodega Los Imposibles,San Esteban de Gormaz,Vino,Vinos D.O. Ribera del Duero,"Calle San Martín, Rejas de San Esteban, 42320 San Esteban de Gormaz, Soria",Bodega de Rejas de San Esteban inscrita en el registro de bodegas de la D.O. Ribera del Duero; no publica web propia y difunde su actividad por Instagram.,Consultar web o contacto directo,,,,,https://www.instagram.com/bodega_los_imposibles/,,41.6221365,-3.2635100,,parcial,no,,,1537,es,,,,,
bodegas-antidoto-san-esteban-de-gormaz,Bodegas Antídoto,San Esteban de Gormaz,Vino,"Antídoto, Antídoto Cepas Viejas, Roselito","Carretera Atauta 63B, 42330 San Esteban de Gormaz, Soria","Bodega de San Esteban de Gormaz que vinifica por separado pequeñas parcelas repartidas por dieciséis pueblos de la ribera soriana; su registro en la D.O. ampara nueve marcas, entre ellas Antídoto Cepas Viejas y Roselito.",Consultar web o contacto directo,+34975350493,info@bodegasantidoto.com,https://www.bodegasantidoto.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Ant%C3%ADdoto%2C%20Carretera%20Atauta%2063B%2C%2042330%20San%20Esteban%20de%20Gormaz%2C%20Soria&query_place_id=ChIJS8trb4VdRA0RI8Gsp8fcRMI,41.5642841,-3.2093897,/productores/es/castilla-y-leon/soria/bodegas-antidoto-san-esteban-de-gormaz.webp,verificado,no,,,1794,es,,,,,
bodegas-castillejo-de-robledo-castillejo-de-robledo,Bodegas Castillejo de Robledo,Castillejo de Robledo,Vino,"Vinos D.O. Ribera del Duero, Silentium, Robledal de Corpes","Carretera de Castillejo a Langa s/n, 42328 Castillejo de Robledo, Soria","Bodega de Castillejo de Robledo, en el extremo oeste de la Ribera del Duero soriana, lindando con Burgos y Segovia; embotella los tintos Silentium y Robledal de Corpes.",Consultar web o contacto directo,+34975355062,info@bodegascastillejo.com,https://www.bodegascastillejo.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Castillejo%20de%20Robledo%2C%20Carretera%20de%20Castillejo%20a%20Langa%20s%2Fn%2C%2042328%20Castillejo%20de%20Robledo%2C%20Soria&query_place_id=ChIJ0-z1fy0_RA0R7eXvRgUliI0,41.5591085,-3.4950898,/productores/es/castilla-y-leon/soria/bodegas-castillejo-de-robledo-castillejo-de-robledo.webp,verificado,no,,,1900,es,,,,,
bodegas-dominio-de-atauta-atauta,Bodegas Dominio de Atauta,San Esteban de Gormaz,Vino,"Dominio de Atauta, Parada de Atauta, Albillo Mayor, Llanos del Almendro, La Roza","Carretera a Morcuera s/n, Atauta, 42345 San Esteban de Gormaz, Soria","Bodega del valle de Atauta, a unos 1.000 metros de altitud, especializada en tinto fino de viñas prefiloxéricas centenarias; ofrece visitas guiadas con cita previa.",Consultar web o contacto directo,+34975351349,visitas@dominiodeatauta.com,https://www.dominiodeatauta.com/,,https://www.instagram.com/dominiodeatauta/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Dominio%20de%20Atauta%2C%20Carretera%20a%20Morcuera%20s%2Fn%2C%20Atauta%2C%2042345%20San%20Esteban%20de%20Gormaz%2C%20Soria&query_place_id=ChIJvTH8SBBnRA0RoGjgVio0Olk,41.5309934,-3.2119993,/productores/es/castilla-y-leon/soria/bodegas-dominio-de-atauta-atauta.webp,verificado,sí,ecommerce,,1969,es,,,,,
bodegas-valdevinas-langa-de-duero,Bodegas Valdeviñas,Langa de Duero,Vino,"Vinos D.O. Ribera del Duero, Mirat, Tinar de Mirat, Torrelanga","Carretera Nacional 122 km 245, 42320 Langa de Duero, Soria","Bodega de Langa de Duero, a pie de la N-122, que embotella en la D.O. Ribera del Duero bajo las marcas Mirat, Tinar de Mirat y Torrelanga.",Consultar web o contacto directo,+34975186000,info@valdevinas.es,https://www.valdevinas.es/,https://www.facebook.com/profile.php?id=100069708036539,https://www.instagram.com/mirat_vinos/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Valdevi%C3%B1as%2C%20Carretera%20Nacional%20122%20km%20245%2C%2042320%20Langa%20de%20Duero%2C%20Soria&query_place_id=ChIJOYtEAFJCRA0RQMW1yVGODOY,41.6111953,-3.4004797,/productores/es/castilla-y-leon/soria/bodegas-valdevinas-langa-de-duero.webp,verificado,no,,,2434,es,,,,,
bodegas-y-vinedos-acena-san-esteban-de-gormaz,Bodegas y Viñedos Aceña,San Esteban de Gormaz,Vino,"Terraesteban y Viñaceña: tinto joven, roble y crianza","Polígono Industrial Las Carretas, Calle C 1, 42330 San Esteban de Gormaz, Soria","Bodega familiar del polígono Las Carretas de San Esteban de Gormaz, en la D.O. Ribera del Duero, que embotella bajo las marcas Terraesteban y Viñaceña.",Consultar web o contacto directo,+34975350599,bodega@terraesteban.com,https://www.terraesteban.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20y%20Vi%C3%B1edos%20Ace%C3%B1a%2C%20Pol%C3%ADgono%20Industrial%20Las%20Carretas%2C%20Calle%20C%201%2C%2042330%20San%20Esteban%20de%20Gormaz%2C%20Soria&query_place_id=ChIJ7Tn9WPBdRA0RXWruI8XGZe0,41.5654907,-3.1886947,/productores/es/castilla-y-leon/soria/bodegas-y-vinedos-acena-san-esteban-de-gormaz.webp,verificado,no,,,2498,es,,,,,
lunas-de-castromoro-san-esteban-de-gormaz,Lunas de Castromoro,San Esteban de Gormaz,Vino,"Rayo de Luna: tintos, blancos y rosados D.O. Ribera del Duero","Calle Bodegas, 7, Pedraja de San Esteban, 42330 San Esteban de Gormaz, Soria","Bodega familiar con doce hectáreas de viñedo centenario y nuevas instalaciones abiertas en 2024 en Pedraja de San Esteban; elabora tintos, blancos y rosados de la Ribera del Duero soriana.",Consultar web o contacto directo,+34630035459,lunasdecastromoro@gmail.com,https://lunasdecastromoro.com/,,,,41.5499466,-3.1468698,,verificado,sí,email,,8249,es,,,,,
rudeles-penalba-de-san-esteban,Rudeles,San Esteban de Gormaz,Vino,"Rudeles 23, Cerro El Cuberillo, Finca La Nación, Los Arenales, Aire","Calle San Roque 78, Peñalba de San Esteban, 42345 San Esteban de Gormaz, Soria","Bodega familiar de Peñalba de San Esteban, en la Ribera del Duero soriana, que elabora con viñas centenarias propias bajo la razón social Tierras El Guijarral.",Consultar web o contacto directo,+34661965113,info@rudeles.com,https://rudeles.com/,https://www.facebook.com/elguijarral/,https://www.instagram.com/bodegasrudeles/,https://www.google.com/maps/search/?api=1&query=Rudeles%2C%20Calle%20San%20Roque%2078%2C%20Pe%C3%B1alba%20de%20San%20Esteban%2C%2042345%20San%20Esteban%20de%20Gormaz%2C%20Soria&query_place_id=ChIJw5YmUQpoRA0R4-c9dG4BmZo,41.5335105,-3.2596844,,verificado,sí,ecommerce,,11178,es,,,,,
vinedos-y-bodegas-gormaz-san-esteban-de-gormaz,Viñedos y Bodegas Gormaz,San Esteban de Gormaz,Vino,"12 Linajes, Viña Gormaz, Anier, Catania","Carretera Soria s/n, 42330 San Esteban de Gormaz, Soria","Nacida en 1970 como cooperativa de San Esteban de Gormaz y cofundadora de la D.O. Ribera del Duero, gestiona 232 hectáreas repartidas en más de cien parcelas, el 70% de más de 80 años; pertenece al grupo Hispanobodegas desde 2004.",Consultar web o contacto directo,+34975350404,info@hispanobodegas.com,https://www.hispanobodegas.com/,https://www.facebook.com/hispanobodegas/,https://www.instagram.com/hispanobodegas/,https://www.google.com/maps/search/?api=1&query=Vi%C3%B1edos%20y%20Bodegas%20Gormaz%2C%20Carretera%20Soria%20s%2Fn%2C%2042330%20San%20Esteban%20de%20Gormaz%2C%20Soria&query_place_id=ChIJUXd4o5RdRA0R7pYZlrHXt-w,41.5743070,-3.2041516,,verificado,sí,ecommerce,,12230,es,,,,,
