slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
barco-del-corneta,Barco del Corneta,La Seca,Vino,,"Calle Carreventosa, 7, 47491 La Seca",,,,info@barcodelcorneta.com,https://barcodelcorneta.com/,,,,,,,,no comprobado,,,12998,,,,,,,es,castilla-y-leon,valladolid,,,,,,
bodegas-bohorquez,Bodegas Bohórquez,Pesquera de Duero,Vino,,,,,,info@bodegasbohorquez.com,https://www.bodegasbohorquez.com/,,,,,,,,no comprobado,,,12994,,,,,,,es,castilla-y-leon,valladolid,,,,,,
bodegas-castelo-de-medina,Bodegas Castelo de Medina,Villaverde de Medina,Vino,,"Carretera CL-602, km 48, 47465 Villaverde de Medina",,,+34983831857,info@castelodemedina.com,https://castelodemedina.com/es/,,,,,,,,no comprobado,,,12995,,,,,,,es,castilla-y-leon,valladolid,,,,,,
el-lagar-de-moha,El Lagar de Moha,Rueda,Vino,,"Calle Cabo Villar, 8, 47490 Rueda",,,+34983510573,info@lagardemoha.com,https://lagardemoha.com/,,,,,,,,no comprobado,,,12997,,,,,,,es,castilla-y-leon,valladolid,,,,,,
eman-vara-gourmet-ataquines,Emán Vara Gourmet,Ataquines,Aceite,AOVE 12+1; AOVE Castelum; Vinagre balsámico 12+1,"Carr. de la Estación, s/n, 47210 Ataquines, Valladolid","Productor familiar de Ataquines que cultiva aceituna arbequina en la finca La Olivera y elabora el AOVE de clima extremo 12+1, además de AOVE Castelum y vinagre balsámico artesanal.",Consultar web o venta directa,+34640657021,info@emanvara.com,https://www.emanvara.com/,,,https://www.google.com/maps/search/?api=1&query=Em%C3%A1n%20Vara%20Gourmet%2C%20Carr.%20de%20la%20Estaci%C3%B3n%2C%20s%2Fn%2C%2047210%20Ataquines%2C%20Valladolid&query_place_id=ChIJhe7PJlxLRw0RjWz3HltLcTM,41.1816454,-4.800577,,,sí,ecommerce|telefono,,5335,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
abro-biotec-valbuena-de-duero,ABRO BIOTEC,Valbuena de Duero,Despensa artesanal,Vinesenti; extractos polifenólicos de uva,"Carretera de San Bernardo, s/n, 47359 Valbuena de Duero, Valladolid","Empresa biotecnológica de Bodegas Familiares Matarromera que elabora y comercializa extractos polifenólicos obtenidos de hollejos de uva, como el ingrediente gastronómico Vinesenti.",Lun-Vie 09:00-18:00,+34610006670,tienda@matarromera.es,https://corporativo.matarromera.es/vinesenti/,,,,41.6401193,-4.2578636,,,sí,email|telefono,,76,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
oligueva-renedo-de-esgueva,OLIGUEVA,Renedo de Esgueva,Aceite,OLIGUEVA aceite de oliva virgen extra,"Calle de Sta Isabel, 19, 47170 Renedo de Esgueva, Valladolid",Proyecto oleícola del valle del Esgueva creado para elaborar AOVE de arbequina cultivada en una pequeña plantación local; la sociedad figura actualmente inactiva y sus canales propios ya no responden.,,,,,,,https://www.google.com/maps/search/?api=1&query=OLIGUEVA%2C%20Calle%20de%20Sta%20Isabel%2C%2019%2C%2047170%20Renedo%20de%20Esgueva%2C%20Valladolid&query_place_id=ChIJqaJPzO4RRw0RKcmOO4-zxTI,41.6543863,-4.6297488,,pendiente,no comprobado,,,9246,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
bodega-win-sin-alcohol-valbuena-de-duero,Bodega Win Sin Alcohol,Valbuena de Duero,Bebidas sin alcohol,"VINOS ""TRANQUILOS SIN ALCOHOL” VINOS ""FRIZZANTES SIN ALCOHOL""","Carretera San Bernardo, s/n, 47359 Valbuena de Duero, Valladolid","Bodega Win Sin Alcohol, en Valbuena de Duero, elabora y comercializa desde 2008 bebidas a base de vino sin alcohol. Utiliza una columna de conos rotatorios para separar y retirar el alcohol antes de reconstruir la bebida.",Consultar web o venta directa,+34983683315,comunicacion@matarromera.es,https://win-zero.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Win%20Sin%20Alcohol%2C%20Carretera%20San%20Bernardo%2C%2047359%20Valbuena%20de%20Duero%2C%20Valladolid&query_place_id=ChIJ7SunYCTlRg0R4Z_UutjzXWA,41.6401193,-4.2578636,/productores/es/castilla-y-leon/valladolid/bodega-win-sin-alcohol-valbuena-de-duero.webp,,sí,ecommerce,,1742,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
pinna-fidelis,Pinna Fidelis,Peñafiel,Vino,,"Camino Llanillos, 47300 Peñafiel",,,+34983878034,info@pinnafidelis.com,https://pinnafidelis.com/es/,,,,,,,,no comprobado,,,12996,,,,,,,es,castilla-y-leon,valladolid,,,,,,
vinos-chapirete-alcazaren,Vinos Chapirete,Alcazarén,Vino,,"N-601, 47238 Alcazarén, Valladolid","Bodega familiar fundada por los hermanos García Cano, elaboradora de verdejos de viñas viejas y prefiloxéricas en Alcazarén.",Consultar web o venta directa,+34652054177,administracion@vinasmurillo.es,https://www.chapirete.es/,,,https://www.google.com/maps/search/?api=1&query=VI%C3%91AS%20MURILLO%2C%20N-601%2C%2047238%20Alcazar%C3%A9n%2C%20Valladolid&query_place_id=ChIJuUIxPpk5Rw0RIKcbl5rKcLQ,41.3756118,-4.6825157,/productores/es/castilla-y-leon/valladolid/vinos-chapirete-alcazaren.webp,,sí,ecommerce,,12251,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
bodegas-honorato-calleja-amusquillo,Bodegas Honorato Calleja,Amusquillo,Vino,"La Garulla, Jaramiel y Honorato","C. Salegar, 1, 47177 Amusquillo, Valladolid","Bodega familiar de Amusquillo con viñedo propio, vendimia manual y elaboración de vinos bajo la marca Honorato Calleja.",Consultar web o venta directa,+34983686015,gestion@bodegashonoratocalleja.com,https://bodegashonorato.com/,,,https://www.google.com/maps/search/?api=1&query=TINTO%20JARAMIEL%2C%20C.%20Salegar%2C%201%2C%2047177%20Amusquillo%2C%20Valladolid&query_place_id=ChIJC8XXWu_7Rg0RYJlF4tmQOHE,41.74889,-4.30066,/productores/es/castilla-y-leon/valladolid/bodegas-honorato-calleja-amusquillo.webp,,sí,ecommerce,,2068,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
bodega-ebano-castrillo-de-duero,Ébano Viñedos y Bodegas,Castrillo de Duero,Vino,EBANO 6 EBANO SALVAJE,"N-122, 299, 47318 Castrillo de Duero, Valladolid","Historia. Familia. Amigos. Dedicación. Vocación. Muchas palabras podrían describir a nuestra bodega, Adegas Valmiñor esta detrás de este nuevo proyecto en la RIbera del Duero.",Consultar web o venta directa,+34986609060,ebano@valminorebano.com,https://adegasvalminor.com/,,https://www.instagram.com/valminorebano/,https://www.google.com/maps/search/?api=1&query=BODEGA%20EBANO%2C%20N-122%2C%20299%2C%2047318%20Castrillo%20de%20Duero%2C%20Valladolid&query_place_id=ChIJXQCkiICURg0RJb0bjnfqOYE,41.6080104,-4.028972899999999,/productores/es/castilla-y-leon/valladolid/bodega-ebano-castrillo-de-duero.webp,,sí,ecommerce,,5013,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
bodega-cooperativa-cigales-cigales,BODEGA COOPERATIVA CIGALES,Cigales,Vino,"TORONDOS (verdejo, rosado, viña Torondos, compromiso, tinto joven y tinto crianza) MATICES (Blanco, tinto y rosado) LIJE (Blanco, tinto y rosado) CHISME","C. las Bodegas, s/n, 47270 Cigales, Valladolid","Bodega Cooperativa Cigales, en Cigales, fue fundada en 1957 y conserva bodegas subterráneas tradicionales. Produce principalmente rosados y también blancos y tintos, con crianza en 200 barricas de roble.",Consultar web o venta directa,+34983580135,administracion@bodegacigales.com,https://bodegacigales.es/,,,https://www.google.com/maps/search/?api=1&query=BODEGA%20COOPERATIVA%20CIGALES%2C%20C.%20las%20Bodegas%2C%20s%2Fn%2C%2047270%20Cigales%2C%20Valladolid&query_place_id=ChIJdWT38W0LRw0RSHakq2LzuJc,41.7609139,-4.697455199999999,/productores/es/castilla-y-leon/valladolid/bodega-cooperativa-cigales-cigales.webp,,sí,ecommerce,,1354,es,,,,,,es,castilla-y-leon,valladolid,,,,,,
