slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
alizan-bodegas-y-vinedos-moraleja-del-vino,Alizán Bodegas y Viñedos,Moraleja del Vino,Vino,Vinos D.O. Tierra del Vino de Zamora,"Calle Industrias, 6, 49150, Moraleja del Vino, Zamora","Bodega con dos unidades productivas: la de Moraleja del Vino, que elabora tintos de la D.O. Tierra del Vino de Zamora con tinta de Toro y crianzas en roble americano, y otra en Quintanilla de Arriba (Valladolid) para D.O. Ribera del Duero.",,+34980571517,,,,,,41.4632879,-5.6556087,,pendiente,no comprobado,,,611,es,,,,,
bernardo-farina-enologia-creativa-moraleja-del-vino,Bernardo Fariña Enología Creativa,Moraleja del Vino,Vino,Enología creativa,"C/ Aribayos, 32 bis, 49150 Moraleja del Vino, Zamora","Bernardo Fariña Enología Creativa es una bodega de Moraleja del Vino con más de 30 vendimias de experiencia. El proyecto familiar trabaja la elaboración de vino desde el oficio de bodeguero.",Consultar web o venta directa,+34640057098,bernardo@bernardofarina.es,https://bernardofarina.es/,https://www.facebook.com/bernardofarinaenologiacreativa,https://www.instagram.com/bernardo_farina_enologia/,https://www.google.com/maps/search/?api=1&query=Bernardo%20Fari%C3%B1a%20Enolog%C3%ADa%20Creativa%2C%20C%2F%20Aribayos%2C%2032%20bis%2C%2049150%20Moraleja%20del%20Vino%2C%20Zamora&query_place_id=ChIJef7eBQPeOA0Rwdjw1oqre_o,41.4596758,-5.6544828,/productores/es/castilla-y-leon/zamora/bernardo-farina-enologia-creativa-moraleja-del-vino.webp,,sí,ecommerce,,1166,es,,,,,
bodega-a-velasco-e-hijos-s-l-toro,BODEGA A. VELASCO E HIJOS S.L.,Toro,Vino,D.O. Toro: Peña Rejas y Garabitas.,"Ctra. Tordesillas, Polígono Industrial Norte, Parcela 17-18, 49800, Toro, Zamora",BODEGA A. VELASCO E HIJOS S.L. figura en el directorio oficial de bodegas de la Denominación de Origen Toro. Marcas: Peña Rejas y Garabitas..,Consultar web o venta directa,+34980692455,admon@bodegasvelascoehijos.com,http://www.bodegasvelascoehijos.com/,https://www.facebook.com/BodegasVelasco/,,https://www.google.com/maps/search/?api=1&query=BODEGA%20A.%20VELASCO%20E%20HIJOS%20S.L.%2C%20Ctra.%20Tordesillas%2C%20Pol%C3%ADgono%20Industrial%20Norte%2C%20Parcela%2017-18%2C%2049800%2C%20Toro%2C%20Zamora&query_place_id=ChIJF1z_wdqUOA0Rsolp5G7UfNk,41.5216963,-5.3939824,/productores/es/castilla-y-leon/zamora/bodega-a-velasco-e-hijos-s-l-toro.webp,,sí,ecommerce,,1268,es,,,,,
bodega-aliste-figueruela-de-abajo,Bodega Aliste,Figueruela de Arriba,Vino,Con las manos y el corazón,"Plaza de España, 4, 49520, Figueruela de Abajo, Figueruela de Arriba, Zamora","Bodega Aliste elabora vino en Figueruela de Arriba, en la Sierra de la Culebra y la comarca de Aliste. El cultivo y la elaboración se controlan dentro de la propia bodega.",Consultar web o venta directa,+34676986570,javier@hacedordevino.com,https://www.bodegaaliste.com/,https://www.facebook.com/BodegaAliste,https://www.instagram.com/bodega_aliste/,,41.8621403,-6.4480427,/productores/es/castilla-y-leon/zamora/bodega-aliste-figueruela-de-abajo.webp,,sí,ecommerce,,1278,es,,,,,
bodega-almaroja-fermoselle,Bodega AlmaRoja,Fermoselle,Vino,Vinos D.O. Arribes,"C/ Las Fontanicas, 35, 49220, Fermoselle, Zamora","Bodega fundada en 2007 por Charlotte Allen en Fermoselle, con seis hectáreas de viñedo ecológico certificado de cepas viejas repartidas en el Parque Natural de Arribes del Duero. Elabora vinos de variedades autóctonas dentro de la D.O. Arribes.",Visitas con cita previa,,,,https://www.facebook.com/almarojawine/,,https://www.google.com/maps/search/?api=1&query=Bodega%20AlmaRoja%2C%20C%2F%20Las%20Fontanicas%2C%2035%2C%2049220%2C%20Fermoselle%2C%20Zamora&query_place_id=ChIJQavvF5FYOQ0RYRbsQeiqQoc,41.3174146,-6.3949234,,pendiente,no comprobado,,,1280,es,,,,,
bodega-andrea-gutierrez-ferreras-fuente-encalada,Bodega Andrea Gutiérrez Ferreras,Fuente Encalada,Vino,"FuentePaz blanco y Valzuquino rosado, roble y crianza","Fuente Encalada, Zamora","Bodega familiar de Fuente Encalada, fundada en 2002 y acogida a la D.O.P. Valles de Benavente, que elabora las gamas FuentePaz y Valzuquino.",,+34633793136,bodegasandreagutierrez@gmail.com,https://bodegasandreagutierrez.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Andrea%20Guti%C3%A9rrez%20Ferreras%2C%20Fuente%20Encalada%2C%20Zamora&query_place_id=ChIJEzwUucXAOQ0RD5aYYHpDREE,42.1100414,-5.9964344,/productores/es/castilla-y-leon/zamora/bodega-andrea-gutierrez-ferreras-fuente-encalada.webp,,sí,ecommerce,,1290,es,,,,,
bodega-bernard-magrez-toro,BODEGA BERNARD MAGREZ,Toro,Vino,"D.O. Toro: Paciencia, Spiritus Sancti, Confianza y Temperancia.","Plaza de la Santisima Trinidad Nº 5, 49800, Toro, Zamora","BODEGA BERNARD MAGREZ figura en el directorio oficial de bodegas de la Denominación de Origen Toro. Marcas: Paciencia, Spiritus Sancti, Confianza y Temperancia..",Consultar web o venta directa,+34630084080,info@vocarraje.es,https://bernard-magrez.com,https://www.facebook.com/Bernard.Magrez.Vignobles.Proprietaire/,https://www.instagram.com/bernardmagrez/,,41.5216963,-5.3939824,/productores/es/castilla-y-leon/zamora/bodega-bernard-magrez-toro.webp,pendiente,no comprobado,,,1306,es,,,,,
bodega-bucrana-toro,BODEGA BUCRANA,Toro,Vino,"D.O. Toro: Orot, Bucrana y Bucrana Tau.","Ctra. Tordesillas, 403, 49800, Toro, Zamora","BODEGA BUCRANA figura en el directorio oficial de bodegas de la Denominación de Origen Toro. Marcas: Orot, Bucrana y Bucrana Tau..",Consultar web o venta directa,+34983868116,info@bornosbodegas.com,https://www.orotbodega.com/,https://www.facebook.com/clubbornos,,https://www.google.com/maps/search/?api=1&query=BODEGA%20BUCRANA%2C%20Ctra.%20Tordesillas%2C%20403%2C%2049800%2C%20Toro%2C%20Zamora&query_place_id=ChIJ6zaN9-iUOA0R97DC8O69Pkw,41.5216963,-5.3939824,/productores/es/castilla-y-leon/zamora/bodega-bucrana-toro.webp,,sí,ecommerce,,1318,es,,,,,
bodega-campo-de-toro-s-l-toro,"BODEGA CAMPO DE TORO, S.L.",Toro,Vino,D.O. Toro: Válgame Dios,"Ctra. ZA-611 Toro - Valdefinjas, Km. 1,3, 49800, Toro, Zamora","BODEGA CAMPO DE TORO, S.L. figura en el directorio oficial de bodegas de la Denominación de Origen Toro. Marcas: Válgame Dios.",,+34633151954,pacotoro2015@gmail.com,https://www.valgamedios.es/,https://facebook.com/vinovalgamedios,https://instagram.com/vinovalgamedios,https://www.google.com/maps/search/?api=1&query=BODEGA%20CAMPO%20DE%20TORO%2C%20S.L.%2C%20Ctra.%20ZA-611%20Toro%20-%20Valdefinjas%2C%20Km.%201%2C3%2C%2049800%2C%20Toro%2C%20Zamora&query_place_id=ChIJQU5tz43rOA0RV4J6_nvRSqk,41.5216963,-5.3939824,/productores/es/castilla-y-leon/zamora/bodega-campo-de-toro-s-l-toro.webp,,no,,,1321,es,,,,,
bodega-caserio-de-duenas-toro,BODEGA CASERÍO DE DUEÑAS,Toro,Vino,"Finca Anzil, Viña Mayor y La Poda","Ctra. Toro-Salamanca km 9,4, Camino del Pego s/n, 49800, Toro, Zamora","Bodega inscrita en la D.O. Toro desde 2003, situada en la carretera Toro–Salamanca y elaboradora de Finca Anzil, Viña Mayor y La Poda.",,+34915006000,mmescoba@entrecanalesdomeq.com,https://entrecanalesdomecq.com/,,https://www.instagram.com/entrecanalesdomecq/,,41.5216963,-5.3939824,/productores/es/castilla-y-leon/zamora/bodega-caserio-de-duenas-toro.webp,pendiente,no comprobado,,,1333,es,,,,,
