slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
queixeria-daniberto-vilalba,Queixería Daniberto,Vilalba,Lácteos y quesos,Queso San Simón da Costa DOP,"Rúa Pude 2, San Simón da Costa, 27815 Vilalba, Lugo",Quesería familiar de San Simón da Costa dedicada al queso ahumado DOP elaborado con leche de vaca de Terra Chá.,Consultar web o venta directa,+34607577998,danibertosat@hotmail.com,http://daniberto.com/,,https://www.instagram.com/queseriadaniberto/,https://www.google.com/maps/search/?api=1&query=Queixer%C3%ADa%20Daniberto%2C%20R%C3%BAa%20Pude%202%2C%20San%20Sim%C3%B3n%20da%20Costa%2C%2027815%20Vilalba%2C%20Lugo&query_place_id=ChIJ7U1KQfPnMQ0Rv7m5D2xCtvc,43.3693637,-7.6120024,/productores/es/galicia/lugo/queixeria-daniberto-vilalba.webp,verificado,sí,ecommerce
queixeria-artesan-don-crisanto-vilalba,Queixería Artesán Don Crisanto,Vilalba,Lácteos y quesos,Queso San Simón da Costa DOP,"Lugar Moreda, Lanzós, 27816 Vilalba, Lugo","Quesería de Lanzós inscrita en la DOP San Simón da Costa, centrada en queso de vaca ahumado de elaboración local.",Consultar venta directa,+34982525637,crisantosat@hotmail.com,http://www.queixeriacrisanto.com/,,,https://www.google.com/maps/search/?api=1&query=Queixer%C3%ADa%20Artes%C3%A1n%20Don%20Crisanto%2C%20Lugar%20Moreda%2C%20Lanz%C3%B3s%2C%2027816%20Vilalba%2C%20Lugo&query_place_id=ChIJRaPpLz_lMQ0R4XiyYj5_VIk,43.367832,-7.635204,/productores/es/galicia/lugo/queixeria-artesan-don-crisanto-vilalba.webp,verificado,sí,ecommerce
fontelas-queixeria-vilalba,Fontelas Queixería (Javier López Piñedo),Vilalba,Lácteos y quesos,"Fontelas DOP San Simón da Costa, Bufón, Patela, Requeixo","Maciñeira, parcela 41, Parque Empresarial Sete Pontes, 27800 Vilalba, Lugo","Quesería de Javier López Piñedo en Vilalba, especializada en San Simón da Costa DOP y elaboraciones de vaca vinculadas a Terra Chá.",Pedidos por teléfono,+34982513643,info@fontelas.es,https://fontelas.es/,https://www.facebook.com/fontelasqueixeria/,https://www.instagram.com/queixeria_fontelas/,https://www.google.com/maps/search/?api=1&query=Fontelas%20Queixer%C3%ADa%2C%20Parque%20Empresarial%20Sete%20Pontes%2C%20parcela%2040%2C%2027816%20Vilalba%2C%20Lugo&query_place_id=ChIJSScy6jDkMQ0RxfiipfjVyNk,43.3171,-7.664016,/productores/es/galicia/lugo/fontelas-queixeria-vilalba.webp,verificado,sí,telefono
queixeira-casleiras-vilalba,Queixeira Casleiras,Vilalba,Lácteos y quesos,Queso San Simón da Costa DOP,"Cabanas s/n, Oleiros, 27815 Vilalba, Lugo",Quesería de Oleiros dedicada a la producción de queso San Simón da Costa con tradición quesera en Terra Chá.,,+34982527222,queixeriacasleiras@gmail.com,https://www.casleiras.com/,,,https://www.google.com/maps/search/?api=1&query=Queixeira%20Casleiras%2C%20Cabanas%20s%2Fn%2C%20Oleiros%2C%2027815%20Vilalba%2C%20Lugo&query_place_id=ChIJ7wU2avTnMQ0RqmZuYncOok8,43.2636101,-7.6399408,/productores/es/galicia/lugo/queixeira-casleiras-vilalba.webp,verificado,no,
queseria-catadoiro-vilalba,Quesería Catadoiro (Mª Olga Riveira Requeijo),Vilalba,Lácteos y quesos,"Catadoiro DOP San Simón da Costa, queso fresco gallego","O Catadoiro 2, San Simón da Costa, 27815 Vilalba, Lugo","Quesería de Mª Olga Riveira Requeijo en San Simón da Costa, dedicada desde los años 80 al queso ahumado DOP Catadoiro.",Consultar web o venta directa,+34982188079,queixeriacatadoiro@hotmail.com,https://queixeriacatadoiro.com/,,,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Catadoiro%2C%20O%20Catadoiro%202%2C%20San%20Sim%C3%B3n%20da%20Costa%2C%2027815%20Vilalba%2C%20Lugo&query_place_id=ChIJL2gHZon7MQ0R_d-SdT_XmVk,43.386525,-7.6137033,/productores/es/galicia/lugo/queseria-catadoiro-vilalba.webp,verificado,sí,ecommerce
queixeria-don-gabino-vilalba,Queixería Don Gabino,Vilalba,Lácteos y quesos,Queso San Simón da Costa DOP,"Augarrío 10, San Simón da Costa, 27815 Vilalba, Lugo",Quesería de San Simón da Costa que elabora queso ahumado de vaca y mantiene venta directa de producto local.,,+34982525922,correo@dongabino.es,http://www.dongabino.es/,,,https://www.google.com/maps/search/?api=1&query=Queixer%C3%ADa%20Don%20Gabino%2C%20Augarr%C3%ADo%2010%2C%20San%20Sim%C3%B3n%20da%20Costa%2C%2027815%20Vilalba%2C%20Lugo&query_place_id=ChIJ67Rn_6TmMQ0R-Le1_eDiXbg,43.3948591,-7.6271313,/productores/es/galicia/lugo/queixeria-don-gabino-vilalba.webp,parcial,no,
queixerias-prestes-vilalba,Queixerías Prestes,Vilalba,Lácteos y quesos,"San Simón da Costa, queso de vaca","Polígono Industrial Sete Pontes, parcelas 49-50, 27816 Vilalba, Lugo",Quesería artesana de Vilalba con producción de San Simón da Costa y otros quesos de leche de vaca.,Consultar web o venta directa,+34982525757,info@sansimonprestes.com,http://www.quesosprestes.com/,,https://www.instagram.com/quesosprestes/,https://www.google.com/maps/search/?api=1&query=Queixer%C3%ADas%20Prestes%2C%20Pol%C3%ADgono%20Industrial%20Sete%20Pontes%2C%20parcelas%2049-50%2C%2027816%20Vilalba%2C%20Lugo&query_place_id=ChIJ15YjajrkMQ0Rx6BQNn1ZncM,43.3169605,-7.6668316,/productores/es/galicia/lugo/queixerias-prestes-vilalba.webp,verificado,sí,ecommerce
lacteos-loran-abadin,Lácteos Lorán,Abadín,Lácteos y quesos,Queso San Simón da Costa DOP,"Praza Gontán 5, 27738 Abadín, Lugo",Industria láctea de Abadín integrada en la zona de producción del queso San Simón da Costa.,Consultar web o venta directa,+34982508009,loran@ctv.es,http://lacteosloran.com/,,,https://www.google.com/maps/search/?api=1&query=L%C3%A1cteos%20Lor%C3%A1n%2C%20Praza%20Gont%C3%A1n%205%2C%2027738%20Abad%C3%ADn%2C%20Lugo&query_place_id=ChIJ06YUjRDtMQ0RKzWbt5tTUSo,43.3665672,-7.4702629,/productores/es/galicia/lugo/lacteos-loran-abadin.webp,verificado,sí,ecommerce
leitigal-castro-de-rei,Leitigal,Castro de Rei,Lácteos y quesos,Quesos y productos lácteos,"Polígono Industrial Castro Ribeiras de Lea, P-50, 27260 Castro de Rei, Lugo",Empresa láctea de Castro de Rei vinculada a la producción quesera lucense y a la transformación de leche local.,,+34982310505,info@leitigal.com,https://www.leitigal.com/,,,https://www.google.com/maps/search/?api=1&query=Leitigal%2C%20Pol%C3%ADgono%20Industrial%20Castro%20Ribeiras%20de%20Lea%2C%20P-50%2C%2027260%20Castro%20de%20Rei%2C%20Lugo&query_place_id=ChIJq6qqmr3GMQ0RbFsYQM0hWPU,43.1362149,-7.5056357,/productores/es/galicia/lugo/leitigal-castro-de-rei.webp,verificado,no,
airas-moniz-chantada,Airas Moniz,Chantada,Lácteos y quesos,"Queso azul Savel, Terra, queso de pastoreo","Lugar de Outeiro, San Salvador de Asma s/n, 27519 Chantada, Lugo",Quesería de pastoreo de Chantada reconocida por quesos de leche cruda y afinados elaborados en la Ribeira Sacra lucense.,Consultar web o visitas,+34639692351,visitas@airasmoniz.com,http://www.airasmoniz.com/,,,https://www.google.com/maps/search/?api=1&query=Airas%20Moniz%2C%20Lugar%20de%20Outeiro%2C%20San%20Salvador%20de%20Asma%20s%2Fn%2C%2027519%20Chantada%2C%20Lugo&query_place_id=ChIJFUtF8WMfMA0RK7yWGrbhaT0,42.5989263,-7.7554214,/productores/es/galicia/lugo/airas-moniz-chantada.webp,verificado,sí,telefono
arqueixal-palas-de-rei,Arqueixal,Palas de Rei,Lácteos y quesos,"Queso Arzúa-Ulloa, yogur, leche ecológica","Santiago de Albá, 27207 Palas de Rei, Lugo","Granja y quesería ecológica de Santiago de Albá que transforma leche de sus propias vacas en queso Arzúa-Ulloa, yogur y leche fresca.",,+34982380251,contacto@arqueixal.com,https://arqueixal.es/,,https://www.instagram.com/arqueixal/,https://www.google.com/maps/search/?api=1&query=Arqueixal%2C%20Santiago%20de%20Alb%C3%A1%2C%2027207%20Palas%20de%20Rei%2C%20Lugo&query_place_id=ChIJq6qqZpPTLw0RiLCKlT7pklQ,42.8465881,-7.8876271,/productores/es/galicia/lugo/arqueixal-palas-de-rei.webp,verificado,sí,ecommerce
queixos-castelo-de-branas-pedrafita-do-cebreiro,Queixos Castelo de Brañas,Pedrafita do Cebreiro,Lácteos y quesos,Queso DOP Cebreiro,"Acceso Mercado Gandeiro s/n, 27670 Pedrafita do Cebreiro, Lugo",Quesería familiar de Pedrafita do Cebreiro dedicada a la recuperación y elaboración del queso DOP Cebreiro.,Lun-Vie 09:00-14:00 y 16:00-19:00,+34982367163,queixoscastelo@gmail.com,http://www.queixoscastelo.com/,https://www.facebook.com/QueixoDoCebreiroCastelo/,https://www.instagram.com/queixoscastelo/,https://www.google.com/maps/search/?api=1&query=Queixos%20Castelo%20de%20Bra%C3%B1as%2C%20Acceso%20Mercado%20Gandeiro%20s%2Fn%2C%2027670%20Pedrafita%20do%20Cebreiro%2C%20Lugo&query_place_id=ChIJo37J3qj2MA0RLlqWhRFsF8I,42.7253695,-7.0237757,/productores/es/galicia/lugo/queixos-castelo-de-branas-pedrafita-do-cebreiro.webp,verificado,sí,ecommerce
as-vacas-da-ulloa-sen-mais-palas-de-rei,As Vacas da Ulloa / Sen Máis,Palas de Rei,Lácteos y quesos,"Leche fresca ecológica, yogur ecológico","Lugar A Cernada 1, Augasantas, 27205 Palas de Rei, Lugo",Cooperativa láctea de A Ulloa que transforma leche ecológica propia en leche fresca y yogures con venta directa.,Lun-Vie 09:00-14:00 y 16:00-19:00,+34982096038,info@senmais.gal,https://senmais.gal/es/,https://www.facebook.com/as-vacas-da-ulloa,https://www.instagram.com/sen.mais/,https://www.google.com/maps/search/?api=1&query=As%20Vacas%20da%20Ulloa%20%2F%20Sen%20M%C3%A1is%2C%20Lugar%20A%20Cernada%201%2C%20Augasantas%2C%2027205%20Palas%20de%20Rei%2C%20Lugo&query_place_id=ChIJC6P1wOArLg0R_DxK2BVzigE,42.9739688,-7.8463062,/productores/es/galicia/lugo/as-vacas-da-ulloa-sen-mais-palas-de-rei.webp,verificado,sí,ecommerce
granxa-maruxa-monterroso,Granxa Maruxa,Monterroso,Lácteos y quesos,Leche ecológica y derivados lácteos,"Lugar de Cumbraos 1, 27215 Monterroso, Lugo","Granja ecológica de vacas en A Ulloa, conocida por su leche ecológica y por proyectos derivados de producción local.",,+34616789009,,https://www.muuhlloa.com/gl/,,https://www.instagram.com/muuhlloa/,https://www.google.com/maps/search/?api=1&query=Granxa%20Maruxa%2C%20Lugar%20de%20Cumbraos%201%2C%2027215%20Monterroso%2C%20Lugo&query_place_id=ChIJwyJd9N7VLw0RxdBRUV_XkJQ,42.808008,-7.8288899,/productores/es/galicia/lugo/granxa-maruxa-monterroso.webp,verificado,no,
abadia-da-cova-adegas-moure-o-savinao,Abadía da Cova - Adegas Moure,O Saviñao,Vino,"Vino Ribeira Sacra, mencía, godello","Lugar A Cova 63, 27548 O Saviñao, Lugo",Bodega histórica de Ribeira Sacra con viñedos en bancales del Miño y elaboración de vinos de variedades gallegas.,Consultar visitas y tienda,+34982453062,,http://www.adegasmoure.com/es/enoturismo,,https://www.instagram.com/abadiadacova/,https://www.google.com/maps/search/?api=1&query=Abad%C3%ADa%20da%20Cova%20-%20Adegas%20Moure%2C%20Lugar%20A%20Cova%2063%2C%2027548%20O%20Savi%C3%B1ao%2C%20Lugo&query_place_id=ChIJu5cTJCAZMA0RBUpvG8BWXhM,42.56612,-7.676926,/productores/es/galicia/lugo/abadia-da-cova-adegas-moure-o-savinao.webp,verificado,sí,ecommerce
bodegas-regina-viarum-sober,Bodegas Regina Viarum,Sober,Vino,"Mencía, godello, vinos Ribeira Sacra","Doade s/n, 27424 Sober, Lugo","Bodega de Doade en la subzona de Amandi, orientada a vinos de Ribeira Sacra y experiencias de enoturismo.",Consultar visitas y tienda,+34982096031,,http://www.reginaviarum.es/enoturismo,,https://www.instagram.com/bdreginaviarum/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Regina%20Viarum%2C%20Doade%20s%2Fn%2C%2027424%20Sober%2C%20Lugo&query_place_id=ChIJpZ8acfQMMA0RhrGhBoXKUt0,42.4084825,-7.4766047,/productores/es/galicia/lugo/bodegas-regina-viarum-sober.webp,verificado,sí,ecommerce
rectoral-de-amandi-sober,Bodegas Rectoral de Amandi,Sober,Vino,Vinos Ribeira Sacra Amandi,"Amandi, 27423 Sober, Lugo",Bodega situada en Amandi que elabora vinos tintos y blancos de la denominación Ribeira Sacra.,Consultar web o visitas,+34982152157,,http://www.rectoraldeamandi.com/,,https://www.instagram.com/rectoraldeamandi/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Rectoral%20de%20Amandi%2C%20Amandi%2C%2027423%20Sober%2C%20Lugo&query_place_id=ChIJi7i51SMQMA0RqOD27rsdcDI,42.3990114,-7.5158282,/productores/es/galicia/lugo/rectoral-de-amandi-sober.webp,verificado,sí,ecommerce
adega-algueira-sober,Adega Algueira,Sober,Vino,"Mencía, brancellao, godello, vinos de parcela","Carretera de Francos s/n, 27424 Doade, Sober, Lugo",Adega de Doade con viñedo en pendiente y elaboración de vinos de Ribeira Sacra centrados en variedades autóctonas.,Consultar visitas y restaurante,+34982410299,,https://www.adegaalgueira.com/actividades,,https://www.instagram.com/algueira_oficial/,https://www.google.com/maps/search/?api=1&query=Adega%20Algueira%2C%20Carretera%20de%20Francos%20s%2Fn%2C%2027424%20Doade%2C%20Sober%2C%20Lugo&query_place_id=ChIJSedQPPgMMA0RnHQf4EqU_zI,42.4178278,-7.4752025,/productores/es/galicia/lugo/adega-algueira-sober.webp,verificado,sí,ecommerce
bodega-guimaro-sober,Bodega Guímaro,Sober,Vino,Mencía y vinos de parcela,"Sanmil 43, 27425 Brosmos, Sober, Lugo",Bodega familiar de Sober reconocida por vinos de Ribeira Sacra elaborados con viñedos tradicionales en Amandi.,Consultar venta directa,+34610524484,,https://www.guimaro.es/,,https://www.instagram.com/adegaguimaro/,https://www.google.com/maps/search/?api=1&query=Bodega%20Gu%C3%ADmaro%2C%20Sanmil%2043%2C%2027425%20Brosmos%2C%20Sober%2C%20Lugo&query_place_id=ChIJgx3v3NANMA0RS-d5dP8_MnI,42.4298143,-7.5182785,,parcial,no comprobado,
lucenza-sober,Lucenza,Sober,Vino,Vino Ribeira Sacra,"Corvelle s/n, Proendos, 27460 Sober, Lugo",Bodega de Proendos en Sober dedicada a vinos de Ribeira Sacra con producción local en la ribera lucense.,Consultar venta directa,+34616706356,proencia1@gmail.com,https://turismo.ribeirasacra.org/en/services/lucenza,,,https://www.google.com/maps/search/?api=1&query=Lucenza%2C%20Corvelle%20s%2Fn%2C%20Proendos%2C%2027460%20Sober%2C%20Lugo&query_place_id=ChIJXz8q-RIPMA0RyhgsuyGkbHE,42.4420014,-7.5885515,,parcial,no comprobado,
via-romana-chantada,Via Romana,Chantada,Vino,"Mencía, godello, vino Ribeira Sacra","A Ermida, Belesar, 27514 Chantada, Lugo","Adega situada en Belesar, con vinos de Ribeira Sacra y visitas vinculadas al paisaje vitícola del Miño.",Consultar reservas de visita,+34982462069,,https://www.viaromana.es,,https://www.instagram.com/mendezrojo_es/,https://www.google.com/maps/search/?api=1&query=Via%20Romana%2C%20A%20Ermida%2C%20Belesar%2C%2027514%20Chantada%2C%20Lugo&query_place_id=ChIJX_aLSWUfMA0RchktSrIjgl8,42.594352,-7.730225,/productores/es/galicia/lugo/via-romana-chantada.webp,verificado,sí,ecommerce
bodega-finca-millara-panton,Bodega Finca Míllara,Pantón,Vino,"Vinos Ribeira Sacra, aceite y destilados","Lugar A Míllara s/n, 27439 Pantón, Lugo",Finca y bodega de Pantón que produce vinos de Ribeira Sacra en un proyecto agrícola de ribera.,Consultar web o visitas,+34617719062,,https://www.fincamillara.com/,,https://www.instagram.com/fincamillara/,https://www.google.com/maps/search/?api=1&query=Bodega%20Finca%20M%C3%ADllara%2C%20Lugar%20A%20M%C3%ADllara%20s%2Fn%2C%2027439%20Pant%C3%B3n%2C%20Lugo&query_place_id=ChIJq6qqD6keMA0RJJopr3WmdX8,42.5296666,-7.7055224,/productores/es/galicia/lugo/bodega-finca-millara-panton.webp,verificado,sí,ecommerce
casa-moreiras-panton,Casa Moreiras,Pantón,Vino,Vinos Ribeira Sacra,"Outeiro 21, 27430 Pantón, Lugo",Adega familiar de Pantón que elabora vino de Ribeira Sacra en la zona lucense del Miño.,Consultar venta directa,+34680545830,,http://www.casamoreiras.com/,,https://www.instagram.com/moreirasjuan/,https://www.google.com/maps/search/?api=1&query=Casa%20Moreiras%2C%20Outeiro%2021%2C%2027430%20Pant%C3%B3n%2C%20Lugo&query_place_id=ChIJ718zoIEQMA0Rf_DmpodqTyI,42.497816,-7.6088833,/productores/es/galicia/lugo/casa-moreiras-panton.webp,verificado,sí,ecommerce
