slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
aldeko-eztia-aramaio,Aldeko Eztia,Aramaio,Miel,"Miel, Productos apícolas","Barrio Uribarri 10 - Aldeko baserria, 01169 Aramaio",Explotación apícola alavesa con miel y visitas a su colmenar en Aramaio.,Consultar venta directa y visitas,+34945445187,,https://aldekoeztia.blogspot.com/,,,https://www.google.com/maps/search/?api=1&query=Aldeko%20Eztia%20Barrio%20Uribarri%2010%20-%20Aldeko%20baserria%2C%2001169%20Aramaio%20Aramaio%20%C3%81lava%20Spain&query_place_id=ChIJoY8cjwfRTw0RE7vtL4XCWWE,43.037404,-2.57883,/productores/es/pais-vasco/alava/aldeko-eztia-aramaio.webp,,no,,,583,es,,,,,,es,pais-vasco,alava,,,,,,
miel-la-atalaya-berantevilla,Miel La Atalaya,Berantevilla,Miel,"Miel, Jalea real, Propóleo","Calle Mayor 46 C, 01211 Berantevilla",Elabora miel y productos de la colmena de forma artesanal en los parajes de Berantevilla.,Cita previa; Lun-Dom 10:00-22:00,+34665247080,mielatalaya@gmail.com,,https://www.facebook.com/MielLaAtalaya/,https://www.instagram.com/mielatalaya/,https://www.google.com/maps/search/?api=1&query=Miel%20La%20Atalaya%20Calle%20Mayor%2046%20C%2C%2001211%20Berantevilla%20Berantevilla%20%C3%81lava%20Spain&query_place_id=ChIJG8PwOoSTTw0Rap8WpFPaW60,42.6831635,-2.8549678,,,sí,telefono|whatsapp|marketplace,,8746,es,,,,,,es,pais-vasco,alava,,,,,,
atxeta-gazta-oleta,Atxeta Gazta,Oleta,Lácteos y quesos,"Queso de oveja latxa, Queso Idiazabal","Atxeta Baserria, 01165 Oleta",Quesería de Gorbeialdea que elabora queso con leche cruda de sus ovejas latxas y cuajo natural.,Consultar venta directa y tienda online,+34945450167,maider@atxetagazta.com,https://www.atxetagazta.com/,,https://www.instagram.com/atxetagazta/,,43.0176,-2.5706,/productores/es/pais-vasco/alava/atxeta-gazta-oleta.webp,,sí,ecommerce,,1027,es,,,,,,es,pais-vasco,alava,,,,,,
queseria-karobi-inoso,Quesería Karobi,Inoso,Lácteos y quesos,"Queso de oveja latxa, Crema de queso","Barrio Santa Cruz 3, 01450 Inoso",Quesería familiar que elabora queso de oveja latxa de forma artesanal junto al Parque Natural de Gorbeia.,Cita previa; Lun-Vie 16:00-20:00; Sab-Dom 09:00-20:00,+34652758960,quesoskarobi@gmail.com,https://queseria-karobi-inoso.negocio.site,,https://www.instagram.com/queseriakarobi/,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Karobi%20Barrio%20Santa%20Cruz%203%2C%2001450%20Inoso%20Inoso%20%C3%81lava%20Spain&query_place_id=Ei9CYXJyaW8gU2FudGEgQ3J1eiBLYWxlYSwgMywgMDE0NTAsIEFyYWJhLCBTcGFpbiIwEi4KFAoSCf_bSWIvsE8NEdG7CS-qMcfUEAMqFAoSCf_bSWIvsE8NEa3RXqcmb6y2,43.0114639,-2.9298346,,,sí,telefono|whatsapp,,10552,es,,,,,,es,pais-vasco,alava,,,,,,
queseria-buruaga-arditegia-etxabarri-ibina,Quesería Buruaga Arditegia,Etxabarri Ibiña,Lácteos y quesos,"Queso de oveja, Queso Idiazabal","Kurtzedea I-II, N-622 Km 8, 01196 Etxabarri Ibiña",Quesería familiar alavesa dedicada al cuidado del ganado y a la elaboración de queso de oveja.,Lun-Vie 08:00-14:00 y 16:00-18:00,+34945460916,buruagarditegia@gmail.com,https://buruagaarditegia.eu,,https://www.instagram.com/buruagaarditegia/,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Buruaga%20Arditegia%20Kurtzedea%20I-II%2C%20N-622%20Km%208%2C%2001196%20Etxabarri%20Ibi%C3%B1a%20Etxabarri%20Ibi%C3%B1a%20%C3%81lava%20Spain&query_place_id=ChIJvRYZ_0rBTw0RVi3kw5yQOIw,42.9073126,-2.7160338,/productores/es/pais-vasco/alava/queseria-buruaga-arditegia-etxabarri-ibina.webp,,sí,telefono|whatsapp,,10464,es,,,,,,es,pais-vasco,alava,,,,,,
queseria-basterra-goiuri,Quesería Basterra Anaiak Gazta,Goiuri,Lácteos y quesos,"Queso Idiazabal, Queso de pastor","Goiuri 13, 01449 Urkabustaiz",Productor quesero de Urkabustaiz incluido en las fichas gastronómicas oficiales de Euskadi.,Venta directa; consultar,+34650823127,gibijo18@gmail.com,,,https://www.instagram.com/basterra_anaiak/,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Basterra%20Goiuri%2013%2C%2001449%20Urkabustaiz%20Goiuri%20%C3%81lava%20Spain&query_place_id=ChIJCTWAF6K6Tw0RVD0-tYIPTKc,42.9757608,-2.9187537,,,sí,telefono|whatsapp,,10457,es,,,,,,es,pais-vasco,alava,,,,,,
la-leze-ilarduia,La Leze,Ilarduia,Lácteos y quesos,"Queso Idiazabal, Queso de oveja latxa","Ilarduia, 01260 Asparrena",Pastores elaboradores de queso Idiazabal con rebaño de ovejas latxas en la Llanada Alavesa.,Venta directa y reparto; consultar,+34617513536,laleze@artzai-gazta.eus,http://quesoslaleze.com/,,,https://www.google.com/maps/search/?api=1&query=La%20Leze%20Ilarduia%2C%2001260%20Asparrena%20Ilarduia%20%C3%81lava%20Spain&query_place_id=ChIJCyQADh49UA0R1P3Y38O7f3A,42.8792849,-2.2784716,,,sí,telefono|email,,7730,es,,,,,,es,pais-vasco,alava,,,,,,
soloitza-aiara,Soloitza,Aiara,Lácteos y quesos,"Quesos artesanos, Yogures","Barrio Esquina Abajo, 01476 Respaldiza",Quesería de Aiara que transforma leche de sus propias vacas en quesos y yogures artesanos.,Visitas y puntos de venta; consultar,+34635718475,,https://soloitza.com/,,,https://www.google.com/maps/search/?api=1&query=Soloitza%2C%20Barrio%20Esquina%20Abajo%2C%2001476%20Respaldiza&query_place_id=ChIJmYqnP5arTw0Rr5HHBOzdNBQ,43.0829,-3.0641,/productores/es/pais-vasco/alava/soloitza-aiara.webp,,no,,,11660,es,,,,,,es,pais-vasco,alava,,,,,,
bostibaieta-iruri-legutio,Bostibaieta / Iruri,Legutio,Lácteos y quesos,Queso,"Goikoetxe kalea 1, 01170 Legutio",Quesería artesanal de Legutio asociada a Artzai Gazta que elabora queso D.O.P. Idiazabal con leche de su rebaño.,Consultar venta directa,+34661536325,bostibaietasc@gmail.com,,,https://www.instagram.com/iruri_gaztak/,,42.9781,-2.6426,,,no,,,2589,es,,,,,,es,pais-vasco,alava,,,,,,
sat-olano-eguino,Olano S.A.T. / Eginoko Artzaia,Eguino,Lácteos y quesos,Queso,"San Esteban 6, 01260 Egino",Explotación familiar de oveja latxa dedicada a la producción y venta directa de Queso de Pastor D.O.P. Idiazabal Baserrikoa y Artzai Gazta.,Consultar venta directa,+34945304244,garazi_92@hotmail.com,,,https://www.instagram.com/eginoko_artzaia_quesoidiazabal/,,42.8758,-2.2834,,,no,,,9189,es,,,,,,es,pais-vasco,alava,,,,,,
