slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
aceite-de-arbequina-victoriano,Aceite de arbequina Victoriano,Badajoz,Aceite,Aceite de oliva,"C. Gaspar Mendez, 17b, 06011 Badajoz, Spain","Proyecto familiar creado en 2015 por los hermanos Ganivet en Badajoz: ocho hectáreas de Arbequina y Morisca en ecológico, con AOVE de cosecha temprana.",,+34620240240,contacto@aovevictoriano.es,https://aovevictoriano.es/,https://es-la.facebook.com/aceitedearbequinavictoriano,,https://www.google.com/maps/search/?api=1&query=Victoriano%20organic&query_place_id=ChIJz-mLzg3lFg0RFZsdswsVCC4,38.8663803,-6.990363299999999,,verificado,sí,whatsapp|telefono|email
aceites-bonet,Aceites Bonet,Olivenza,Aceite,Aceite de oliva,"Pl. Callao, 19, 06100 Olivenza, Badajoz, España","Envasadora de Olivenza con casi treinta años de actividad: aceites de oliva vírgenes de arbequina, manzanilla y morisca, y aceituna de mesa.",,+34924490158,bonetcalidad@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Aceites%20Bonet&query_place_id=ChIJ21_gFVEnFw0RGMY0-8b0Y4E,38.6816418,-7.099255899999999,,parcial,no comprobado,
aceites-clemen,Aceites Clemen,Puebla de Sancho Pérez,Aceite,Aceite de oliva,"C. San Antonio, 9, 06310 Puebla de Sancho Pérez, Badajoz, España","Virgen extra de manzanilla carrasqueña, variedad autóctona, en Puebla de Sancho Pérez; además de aceite venden cosmética, chocolates y cerveza artesana elaborados con su AOVE.",,+34924575214,tienda@aceitesclemen.com,https://www.aceitesclemen.com,https://www.facebook.com/AceitesClemen,https://www.instagram.com/aceitesclemen/,https://www.google.com/maps/search/?api=1&query=ACEITES%20CLEMEN&query_place_id=ChIJJ20oigf-Ew0RvWvWIMS8Sr0,38.3947578,-6.3987465,/productores/extremadura/badajoz/aceites-clemen.webp,verificado,sí,ecommerce
aceites-juzgado,Aceites Juzgado,Monterrubio de la Serena,Aceite,Aceite de oliva,"Ctra. Helechal, Km 1,5. 06427, Monterrubio de la Serena, Badajoz",Almazara del centro de La Serena que elabora virgen extra de cornezuelo y picual y lo envía directo del molino a toda España y Europa.,,+34924610684,aceitesjuzgado@aceitesjuzgado.com,https://www.aceitesjuzgado.com/,https://www.facebook.com/profile.php?id=100075059574169,https://www.instagram.com/aceitesjuzgado/?hl=es,https://www.google.com/maps/search/?api=1&query=Aceites%20Juzgado%20Ctra.%20Helechal%2C%20Km%201%2C5.%2006427%2C%20Monterrubio%20de%20la%20Serena%2C%20Badajoz&query_place_id=EkVDdHJhLiBDaXJjdW52YWxhY2nDs24sIDA2NDI3IE1vbnRlcnJ1YmlvIGRlIGxhIFNlcmVuYSwgQmFkYWpveiwgU3BhaW4iLiosChQKEgkbQjK-wp4UDRE-PESL4ieOMRIUChIJvQEiA-ieFA0RhC16_vhkT5c,38.5903967,-5.4510312,/productores/extremadura/badajoz/aceites-juzgado.webp,verificado,sí,ecommerce
aceites-obreo,Aceites Obreo,Fuente del Maestre,Aceite,Aceite de oliva,"Ctra. Villalba,1. 06360, Fuente del Maestre, Badajoz",Casa de Fuente del Maestre que muele aceituna desde 1965 y vende su AOVE en botella y en garrafa de cinco litros.,"lunes: 8:00–14:00, 15:30–19:00 | martes: 8:00–14:00, 15:30–19:00 | miércoles: 8:00–14:00, 15:30–19:00 | jueves: 8:00–14:00, 15:30–19:00 | viernes: 8:00–14:00, 15:30–19:00 | sábado: 9:00–14:00 | domingo: Cerrado",+34924530028,paco@aceitesobreo.com,https://www.aceitesobreo.com/,https://www.facebook.com/Aceites-Obreo-225647767822738/,,https://www.google.com/maps/search/?api=1&query=Aceites%20Obreo%20Ctra.%20Villalba%2C1.%2006360%2C%20Fuente%20del%20Maestre%2C%20Badajoz&query_place_id=ChIJ-z08gU6qFg0RB520RBudboQ,38.5310915,-6.4447245,/productores/extremadura/badajoz/aceites-obreo.webp,verificado,sí,ecommerce
aceites-orellana,Aceites Orellana,Orellana la Vieja,Aceite,Aceite de oliva,"Calle Convento, 36, 06740 Orellana la Vieja, Badajoz","Elaboradora de aceite de oliva virgen extra en Orellana la Vieja, a orillas del embalse del Zújar.",,+34924866116,info@aceitesorellana.com,,https://es-la.facebook.com/people/Aceites-Orellana/100028989564484/,,https://www.google.com/maps/search/?api=1&query=Aceites%20Orellana%20Calle%20Convento%2C%2036%2C%2006740%20Orellana%20la%20Vieja%2C%20Badajoz&query_place_id=ChIJhWWvFZfvFA0R8nquANUc1QU,39.0064603,-5.5317371,,parcial,no comprobado,
aceites-siruela,Aceites Siruela,Siruela,Aceite,Aceite de oliva,"Avda. Guadalupe, 23. 06650, Siruela, Badajoz","Almazara de Siruela, en La Siberia, que envasa su virgen en varios formatos.",,+34615258392,gonzalomundi@hotmail.com,https://www.aceitessiruela.es/,,,https://www.google.com/maps/search/?api=1&query=Aceites%20Siruela%20Avda.%20Guadalupe%2C%2023.%2006650%2C%20Siruela%2C%20Badajoz&query_place_id=ChIJkwWvoEYzaw0RELBp1ED3tG8,38.9779233,-5.0452651,/productores/extremadura/badajoz/aceites-siruela.webp,verificado,sí,ecommerce
albalata,Albalata,Los Santos de Maimona,Aceite,Aceite de oliva,"Pol. Ind. La Nava 14-15. 06230, Los Santos de Maimona,Badajoz","Almazara Ecológica Maimona, en Los Santos de Maimona: solo virgen extra ecológico de morisca, manzanilla cacereña y arbequina, del cuarto de litro a la garrafa de cinco.",,+34924626007,info@albalata.es,https://www.albalata.es/,https://www.facebook.com/Almazara-Ecol%C3%B3gica-Maimona-140798553113702/,https://www.instagram.com/almazaraecologica_maimona/,https://www.google.com/maps/search/?api=1&query=Albalata%20Pol.%20Ind.%20La%20Nava%2014-15.%2006230%2C%20Los%20Santos%20de%20Maimona%2CBadajoz&query_place_id=EjhMYSBOYXZhLCAxNCwgMDYyMzAgTG9zIFNhbnRvcyBkZSBNYWltb25hLCBCYWRham96LCBTcGFpbiIwEi4KFAoSCUdZjEKo_xMNEWR8imZOnndlEA4qFAoSCZON3Y4H_xMNEYlkBCNbi0tR,38.44695859999999,-6.3671709,/productores/extremadura/badajoz/albalata.webp,verificado,sí,ecommerce
alguijuela,Alguijuela,Torremayor,Aceite,Aceite de oliva,"Carretera de la Estación, s/n, 06880 Torremayor, Badajoz","Almazara de Torremayor con monovarietales de arbequina, arbosana y verdial de producción integrada, premiada en la cata-concurso provincial de cosecha temprana.",,+34924145571,info@aceitesalguijuela.com,https://aceitesalguijuela.com/,https://www.facebook.com/almazaraalguijuela,https://www.instagram.com/aceitesalguijuela/,https://www.google.com/maps/search/?api=1&query=Alguijuela%20AVENIDA%20DE%20LA%20ESTACI%C3%93N%20S/N%2C%2006880%20TORREMAYOR%20%28BADAJOZ%29&query_place_id=ChIJFxUJBziaFg0RcAenyABkBBw,38.9178092,-6.5676625,/productores/extremadura/badajoz/alguijuela.webp,verificado,sí,ecommerce
almazara-las-torres,Almazara las Torres,Medina de las Torres,Aceite,Aceite de oliva,"Calle Valencia, 7. 06320, Medina de las Torres, Badajoz","Almazara de Medina de las Torres creada en 1965, en la comarca de Zafra-Río Bodión; virgen y virgen extra, con línea ecológica.",,+34924560083,info@almazaralastorres.com,https://www.almazaralastorres.com/es/,https://www.facebook.com/almazaralastorres,,https://www.google.com/maps/search/?api=1&query=Almazara%20las%20Torres%20Calle%20Valencia%2C%207.%2006320%2C%20Medina%20de%20las%20Torres%2C%20Badajoz&query_place_id=ChIJ3eNfC9pXEQ0R5sD9cO3sBVM,38.3410132,-6.414308999999999,/productores/extremadura/badajoz/almazara-las-torres.webp,verificado,sí,ecommerce
