slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
la-ferme-des-iris,La Ferme des Iris,Bâgé-Dommartin,Lácteos y quesos,,"755 Route de la Terrasse, 01380 Bâgé-Dommartin",,,,,https://www.la-ferme-desiris.fr,,,https://www.google.com/maps/search/?api=1&query=46.303690%2C4.989351&query_place_id=ChIJVRg25kRC80cR2Ey4OdjNqSU,46.303690,4.989351,,pendiente,no comprobado,,,1318,,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
le-paradis-des-abeilles,Le Paradis des Abeilles,Courtes,Miel,Miel et confitures,"1200 route de la ferme de la foret, 01560 Courtes",An organic apiary in Courtes producing miel et confitures under the Le Paradis des Abeilles identity.,,,,https://sites.google.com/view/leparadisdesabeilles/accueil,,,https://www.google.com/maps/search/?api=1&query=46.466667%2C5.1180638&query_place_id=ChIJGbf1BYY280cRaR0PVUbEk5Q,46.466667,5.1180638,,,no comprobado,,,1446,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
ferme-de-la-girodiere,Ferme de la Girodière,Romans,Pan y cereal,"Pain, farines et pâtisseries","61 Rte de l'Étang Charbonnière, 01400 Romans","An organic farm and bakery in Romans producing pain, farines et pâtisseries under the Ferme de la Girodière identity.",,,fermedelagirodiere@gmail.com,http://lagirodiere.com/,https://www.facebook.com/Ferme-de-la-Girodi%C3%A8re-327704727988959/,,https://www.google.com/maps/search/?api=1&query=46.1348043%2C4.9945642&query_place_id=ChIJJfnU1vJf80cRZHWVhYjfAvw,46.1348043,4.9945642,,,no comprobado,,,825,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
cafes-dagobert,Cafés Dagobert,Châtillon-sur-Chalaronne,Café,cafés bio torréfiés,86 IMPASSE CHRISTIAN BARNARD 01400 CHATILLON-SUR-CHALARONNE,"Cafés Dagobert is a coffee roaster in Châtillon-sur-Chalaronne, producing cafés bio torréfiés.",,,,https://www.cafesdagobert.com/,,,https://www.google.com/maps/search/?api=1&query=46.1151916683066%2C4.94203965061878&query_place_id=ChIJt2qVTw-i9EcR1PjuzwURGdo,46.1151916683066,4.94203965061878,,,no comprobado,,,228,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
hestia-biscuiterie,Hestia Biscuiterie,Saint-Paul-de-Varax,Dulces y repostería,"cookies, sablés et barres chocolatées",215 RUE DE LA DOMBES 01240 SAINT-PAUL-DE-VARAX,"Hestia Biscuiterie is an artisan biscuit and pastry maker in Saint-Paul-de-Varax, producing cookies, sablés et barres chocolatées.",,+33632394241,,,https://www.facebook.com/HestiaBiscuiterie,,https://www.google.com/maps/search/?api=1&query=46.097102427%2C5.127150293&query_place_id=ChIJ2VQ751hX80cR6AvPxUCtxU4,46.097102427,5.127150293,,,no comprobado,,,1161,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
mon-cafe-gourmet,Mon Café Gourmet,Lagnieu,Café,cafés torréfiés,44 RUE GAMBETTA 01150 LAGNIEU,"Mon Café Gourmet is a coffee roaster in Lagnieu, producing cafés torréfiés.",,,,https://www.moncafegourmet.fr/,,,https://www.google.com/maps/search/?api=1&query=45.902616914%2C5.3466137057&query_place_id=ChIJh9xQA2ZOi0cR4mGFvJOjDZE,45.902616914,5.3466137057,,,no comprobado,,,1590,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
gaec-les-perce-neige,GAEC Les Perce-Neige,Arandas,Lácteos y quesos,"Ramequin fermier, Tome d'Arandas, Bleu d'Indrieux, Carcaillon, crème, yaourts","10 route de la Rivoire, Indrieux, 01230 Arandas","A fifth-generation dairy farm in Arandas transforming its Montbéliarde milk on site into Ramequin and other farmhouse cheeses, cream and yoghurts.","Lundi, mardi, jeudi et vendredi, 10h–12h; autres horaires sur rendez-vous",+33623387081,gaec.lesperceneige@orange.fr,https://www.gaeclesperceneige.com/,https://www.facebook.com/gaeclesperceneige,,https://www.google.com/maps/search/?api=1&query=GAEC%20Les%20Perce-Neige%2C%2010%20route%20de%20la%20Rivoire%2C%20Indrieux%2C%2001230%20Arandas&query_place_id=ChIJx5iuGY5Ei0cRCdCM_Gq_vm0,45.9056286,5.4736538,,,sí,marketplace,,1118,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
ferme-de-labbaye-des-dombes,Ferme de l'Abbaye des Dombes,Le Plantay,Lácteos y quesos,"fromage bio au lait cru, yaourts, viande bovine, pâtes de fruits, miel","1600 route de l'Abbaye, 01330 Le Plantay","The farm at Abbaye Notre-Dame des Dombes raises cattle and transforms its milk, meat, orchard fruit and honey into products sold under the abbey farm identity.",,+33782627950,abbayedesdombes.fromagerie@gmail.com,https://dombes.chemin-neuf.fr/visiter/ferme/fromagerie/,,,https://www.google.com/maps/search/?api=1&query=Ferme%20de%20l%27Abbaye%20des%20Dombes%2C%201600%20route%20de%20l%27Abbaye%2C%2001330%20Le%20Plantay&query_place_id=ChIJF_4PfgGm9EcRqmHX8tF7nZo,46.0394088,5.0968623,,,no comprobado,,Carne|Conservas|Dulces y repostería|Miel,802,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
ferme-auberge-du-pre-velard,Ferme-Auberge du Pré Velard,Thoiry,Lácteos y quesos,"fromage de brebis, agneau","500 chemin de Baizenas, 01710 Thoiry",A family sheep farm in Thoiry producing sheep's-milk cheese and lamb and serving its farm products at the adjoining farm inn.,,+33450203040,contact@aubergeprevelard.com,https://www.aubergeprevelard.com/,https://www.facebook.com/aubergeprevelard,,https://www.google.com/maps/search/?api=1&query=Ferme-Auberge%20du%20Pr%C3%A9%20Velard%2C%20500%20chemin%20de%20Baizenas%2C%2001710%20Thoiry&query_place_id=ChIJSWMdsbCJjEcRplForeBymeg,46.2542670,5.9880830,,,no comprobado,,Carne,776,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
le-fumet-des-dombes-saint-andre-de-corcy,Le Fumet des Dombes,Saint-André-de-Corcy,Pescado,"Carp, Trout, Smoked fish",,Le Fumet des Dombes smokes and prepares freshwater fish at its Saint-André-de-Corcy operation.,,+33472264442,communication@lefumetdesdombes.com,https://www.lefumetdesdombes.com/,,,,45.928700,4.952900,,,no comprobado,,,1427,en,,,,,,fr,auvergne-rhone-alpes,ain,,,,,,
