slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
au-fil-des-saisons,Au fil des saisons,Grand-Aigueblanche,Fruta y verdura,Fruits et légumes biologiques,"54 Chem. des Ancolies, 73260 Grand-Aigueblanche",An organic farm in Grand-Aigueblanche producing fruits et légumes biologiques under the Au fil des saisons identity.,,,,https://site.ouvretaferme.org/afds/,,,https://www.google.com/maps/search/?api=1&query=45.5079899%2C6.4955534&query_place_id=ChIJzVt9tVDXi0cRoFgRa2yzyNc,45.5079899,6.4955534,,verificado,no comprobado,,,44,en,,,,,
domaine-chevallier-bernard,Domaine Chevallier Bernard,Jongieux,Vino,,"Jongieux le Haut, 73170 Jongieux",,,,,https://www.domainechevalierbernard.fr,,,https://www.google.com/maps/search/?api=1&query=45.732312%2C5.802438&query_place_id=ChIJPTu2dJQMi0cRCXCdSt1ruTs,45.732312,5.802438,,pendiente,no comprobado,,,505,,,,,,
eplefpa-chambery-la-motte-servolex-savoie,EPLEFPA Chambery la Motte-Servolex (Savoie),La Motte-Servolex,Lácteos y quesos,,"1031 Avenue Charles Albert, 73290 La Motte-Servolex",,,,,https://www.reinach.fr,,,https://www.google.com/maps/search/?api=1&query=EPLEFPA%20Chambery%20la%20Motte-Servolex%20%28Savoie%29%2C%201031%20Avenue%20Charles%20Albert%2C%2073290%20La%20Motte-Servolex&query_place_id=ChIJY1cJ2OYHi0cRr6zPZNEiohg,45.5979001,5.8595714,,pendiente,no comprobado,,,749,,,,,,
distillerie-aprilis,Distillerie Aprilis,Le Bourget-du-Lac,Destilados y licores,Gin biologique,"358 Rte de la Serraz, 73370 Le Bourget-du-Lac",An organic distillery in Le Bourget-du-Lac producing gin biologique under the Distillerie Aprilis identity.,,,,https://distillerieaprilis.com/,https://www.facebook.com/people/Distillerie-Aprilis/100086989643813/,https://www.instagram.com/distillerieaprilis/,https://www.google.com/maps/search/?api=1&query=45.6426228%2C5.8576619&query_place_id=ChIJ7xFsn6cJi0cRb9PQDbmTlSk,45.6426228,5.8576619,,verificado,sí,ecommerce,,473,en,,,,,
terre-solidaire,Terre Solidaire,Planaise,Fruta y verdura,Fruits et légumes biologiques,"433 Rte de Carmintran, 73800 Planaise",An organic farm in Planaise producing fruits et légumes biologiques under the Terre Solidaire identity.,,,,https://www.terre-solidaire-savoie.org/,https://www.facebook.com/TerreSolidaireSavoie,,https://www.google.com/maps/search/?api=1&query=45.494334%2C6.08588&query_place_id=ChIJRUpItbezi0cRksJkmNBKrNs,45.494334,6.08588,,verificado,no comprobado,,,1719,en,,,,,
la-fermette-demeline,La Fermette d'Emeline,Val-d'Arc,Huevos,,"6 Route de la Digue - la Pouille, 73220 Val-d'Arc",,,,,https://www.lafermettedemeline.fr,,,https://www.google.com/maps/search/?api=1&query=45.524424%2C6.313882&query_place_id=ChIJhc5sKQfPi0cRVhE3pDQblwg,45.524424,6.313882,,pendiente,no comprobado,,,1351,,,,,,
le-champ-du-coq,Le Champ du Coq,Yenne,Fruta y verdura,Fruits et légumes,"650 Route de Chambuet, 73170 Yenne","An organic producer in Yenne, offering Fruits et légumes under the Le Champ du Coq identity.",,+33667383726,lechampducoq.contact@gmail.com,,https://www.facebook.com/profile.php?id=61556299056685,https://www.instagram.com/le.champ.du.coq/,https://www.google.com/maps/search/?api=1&query=45.694175%2C5.759465&query_place_id=ChIJE0IkzIQNi0cR2ESf3Gx9Ick,45.694175,5.759465,,verificado,no comprobado,,,1421,en,,,,,
brasserie-du-mont-blanc,Brasserie du Mont-Blanc,La Motte-Servolex,Cerveza,,,A brewery produces beer at its La Motte-Servolex unit.,,,,https://www.brasserie-montblanc.com/,,,,45.603700,5.854000,,parcial,no comprobado,,,151,en,,,,,
brasserie-des-cimes,Brasserie des Cimes,Aix-les-Bains,Cerveza,,,A brewery produces beer at its Aix-les-Bains unit.,,,,https://brasserie-des-cimes.com/,,,,45.6943,5.9035,,parcial,no comprobado,,,142,en,,,,,
brasserie-du-galibier,Brasserie du Galibier,Valloire,Cerveza,,,A brewery produces beer at its Valloire unit.,,,,,,https://www.instagram.com/brasseriedugalibier,,45.1381,6.4223,,parcial,no comprobado,,,149,en,,,,,
ferme-de-ladroit,Ferme de l’Adroit,Val-d’Isère,Lácteos y quesos,,"Rue des Barmettes, 73150 Val-d’Isère, France",,,+33677901475,,https://laferme-de-ladroit.fr,https://facebook.com/lafermedeladroit,https://instagram.com/_lafermedeladroit_,,45.4479064,6.9884181,,parcial,no comprobado,,,1938,,,,,,
dolin,Dolin,Chambéry,Vermut,,,,,,,https://www.dolin.fr/,,,,,,,parcial,no comprobado,,,2002,,,,,,
