slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
domaine-pecheur-jeanne-et-maximilien,Domaine Pecheur Jeanne et Maximilien,Darbonnay,Vino,,"39 Rue Philibert, 39230 Darbonnay",,,,,https://www.domaine-pecheur.fr,,,https://www.google.com/maps/search/?api=1&query=Domaine%20Pecheur%20Jeanne%20et%20Maximilien%2C%2039%20Rue%20Philibert%2C%2039230%20Darbonnay&query_place_id=ChIJT4AePmUljUcR3ukUfW70kxY,46.8159567,5.6023046,,pendiente,no comprobado,,
clavelin-et-fils,Clavelin et Fils,Le Vernois,Vino,,"Place de la Mairie, 39210 Le Vernois",,,,,https://www.clavelin.fr,,,https://www.google.com/maps/search/?api=1&query=46.730834%2C5.593596&query_place_id=ChIJtx_wiTMmjUcRqdyhnbqkE1I,46.730834,5.593596,,pendiente,no comprobado,,
domaine-des-belemnites,Domaine des Belemnites,Mesnay,Vino,,"5 Chemin de Bannans, 39600 Mesnay",,,,,https://www.domaine-belemnites.com,,,https://www.google.com/maps/search/?api=1&query=46.900193%2C5.802310&query_place_id=ChIJRaKxkBoWjUcRRBFTRApjxAA,46.900193,5.802310,,pendiente,no comprobado,,
domaine-des-pentacrines,Domaine des Pentacrines,Pannessières,Vino,Vins,"6 Rue du Meix Dagay, 39570 Pannessières",An organic winery in Pannessières producing vins under the Domaine des Pentacrines identity.,,,,https://domaine-pentacrines.fr/,,,https://www.google.com/maps/search/?api=1&query=46.6995941%2C5.5966293&query_place_id=ChIJ81zxggQnjUcR0h4MVzyTVTA,46.6995941,5.5966293,,verificado,no comprobado,,
domaine-benoit-badoz,Domaine Benoit Badoz,Poligny,Vino,Vins,"3 Av. de la Gare, 39800 Poligny",An organic winery in Poligny producing vins under the Domaine Benoit Badoz identity.,,+33384371800,,https://www.domaine-badoz.fr/fr_FR/,https://www.facebook.com/benoit.badoz,https://www.instagram.com/benoitbadoz/,https://www.google.com/maps/search/?api=1&query=46.8423639%2C5.7049476&query_place_id=ChIJfwww7LM8jUcRLkWcLSVSA4g,46.8423639,5.7049476,,verificado,sí,ecommerce,
domaine-frederic-lambert,Domaine Frederic Lambert,Toulouse-le-Château,Vino,,"76 Chemin des Effarets, 39230 Toulouse-le-Château",,,,,https://www.domaine-frederic-lambert.fr,,,https://www.google.com/maps/search/?api=1&query=Domaine%20Frederic%20Lambert%2C%2076%20Chemin%20des%20Effarets%2C%2039230%20Toulouse-le-Ch%C3%A2teau&query_place_id=ChIJl6uLGpgxjUcR4s6jW7J-Smk,46.829118099999995,5.582584,,pendiente,no comprobado,,
hetre-en-fleur,Hêtre en Fleur,Publy,Té e infusiones,"Tisanes, baumes et plantes","225 rue du puits, 39570 Publy","An organic producer in Publy, offering Tisanes, baumes et plantes under the Hêtre en Fleur identity.",,,,https://www.hetreenfleur.fr,,,https://www.google.com/maps/search/?api=1&query=46.63438%2C5.638371&query_place_id=ChIJCYlziAbZjEcRL_m769OViAw,46.63438,5.638371,,verificado,no comprobado,,
la-brulerie-comtoise,La Brûlerie Comtoise,Dole,Café,cafés torréfiés,ET 44 42 GRANDE RUE 39100 DOLE,"La Brûlerie Comtoise is a coffee roaster in Dole, producing cafés torréfiés.",,+33626389541,,https://www.la-brulerie-comtoise.com/,,,https://www.google.com/maps/search/?api=1&query=47.09194%2C5.492843&query_place_id=ChIJ6WNH--5NjUcRQAhmG9fDTQI,47.09194,5.492843,,verificado,sí,ecommerce,
la-ferme-de-suzie,La Ferme de Suzie,Cosges,Lácteos y quesos,"Lait, yaourts nature et aux fruits, crèmes dessert, fromage blanc et faisselle","65 rue de Jousseau, 39140 Cosges","A fifth-generation family dairy farm where Emmanuel and Olivier Lamard transform milk from their own pasture-raised cows into yoghurts, dessert creams and fresh dairy products.","Ven 16:30–18:30",+33642605922,contact@lafermedesuzie.fr,https://lafermedesuzie.fr,https://www.facebook.com/LaFermedeSuzie/,,https://www.google.com/maps/search/?api=1&query=La%20Ferme%20de%20Suzie%2C%2065%20rue%20de%20Jousseau%2C%2039140%20Cosges&query_place_id=ChIJmWBqzNvU8kcR8ZVX6E4oNlc,46.741444,5.384014,,verificado,no comprobado,,
la-ferme-des-cabrotins,La Ferme des Cabrotins,La Chailleuse,Lácteos y quesos,"Fromages fermiers de chèvre et de vache, yaourts, faisselles et viande de porc","129 chemin de la Fontaine, Les Rippes d’Arthenas, 39270 La Chailleuse","Aurélien and Emilie Thouverey raise goats, Jersey cows and pigs and transform their own milk into farmhouse cheeses and fresh dairy products alongside direct-sale pork.","Lun–sam 08:00–12:00 et 17:00–18:30",+33608033048,lafermedescabrotins@outlook.fr,https://la-ferme-des-cabrotins-39.fr/,https://www.facebook.com/lafermedescabrotins,,https://www.google.com/maps/search/?api=1&query=La%20Ferme%20des%20Cabrotins%2C%20129%20chemin%20de%20la%20Fontaine%2C%20Les%20Rippes%20d%E2%80%99Arthenas%2C%2039270%20La%20Chailleuse&query_place_id=ChIJXUmYc4jRjEcRfpGuQoKi7DA,46.57071,5.52821,,verificado,no comprobado,,Carne
