slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
riotte-schrapfer,Riotte Schrapfer,Angely,Lácteos y quesos,,"15 Rue des Soeurs, 89440 Angely",,,,,https://www.charolais-riotte.schrapfer.fr,,,https://www.google.com/maps/search/?api=1&query=47.564833%2C4.020550&query_place_id=ChIJ22sVG84I7kcRoQt6ZOPHrV0,47.564833,4.020550,,pendiente,no comprobado,,,1666,,,,,,
domaine-marini,Domaine Marini,Béru,Vino,,"1 Avenur Sébastien Rigout, 89700 Béru",,,,,https://www.domainemarini.com,,,https://www.google.com/maps/search/?api=1&query=47.802140%2C3.889750&query_place_id=ChIJDSXWG8Ju7kcRvmzsCJghbz8,47.802140,3.889750,,pendiente,no comprobado,,,628,,,,,,
domaine-des-vaux-marquis,Domaine des Vaux Marquis,Champs-sur-Yonne,Vino,,"9 Rue de Tubie, 89290 Champs-sur-Yonne",,,,,https://domaine-des-vaux-marquis.fr,,,https://www.google.com/maps/search/?api=1&query=47.737739%2C3.602405&query_place_id=ChIJbVmKG9BH7kcRQsdxACZxmVE,47.737739,3.602405,,pendiente,no comprobado,,,569,,,,,,
christine-elodie-et-patrick-chalmeau,Christine Elodie et Patrick Chalmeau,Chitry,Vino,,"76 Rue du Ruisseau, 89530 Chitry",,,,,https://chalmeau-chitry.com,,,https://www.google.com/maps/search/?api=1&query=47.762104%2C3.696463&query_place_id=ChIJuZBMPzhB7kcRWd3Ke_XBNUk,47.762104,3.696463,,pendiente,no comprobado,,,406,,,,,,
domaine-jacquet-lionel-et-severine,Domaine Jacquet Lionel et Severine,Chitry,Vino,,"7 Rue du Beugnon, 89530 Chitry",,,,,https://domaine-jacquet.fr,,,https://www.google.com/maps/search/?api=1&query=47.761430%2C3.699448&query_place_id=ChIJ-UqS3ThB7kcRLRiQmKozvQQ,47.761430,3.699448,,pendiente,no comprobado,,,605,,,,,,
dampt-emmanuel,Dampt Emmanuel,Collan,Vino,,"3 Route de Tonnerre, 89700 Collan",,,,,http://emmanuel.dampt.pagesperso-orange.fr/,,,https://www.google.com/maps/search/?api=1&query=47.844457%2C3.872644&query_place_id=ChIJ7aKtDLNo7kcR4hKKaDOZvMU,47.844457,3.872644,,pendiente,no comprobado,,,454,,,,,,
domaine-a-et-e-dampt,Domaine A et E Dampt,Collan,Vino,,"16 Rue de l'Ancien Presbytere, 89700 Collan",,,,,http://emmanuel.dampt.pagesperso-orange.fr/,,,https://www.google.com/maps/search/?api=1&query=Domaine%20A%20et%20E%20Dampt%2C%2016%20Rue%20de%20l%27Ancien%20Presbytere%2C%2089700%20Collan&query_place_id=ChIJbyewcktv7kcR1_gPRx_7mjs,47.8404974,3.8756207,,pendiente,no comprobado,,,482,,,,,,
domaine-dampt-eric,Domaine Dampt Eric,Collan,Vino,,"16 Rue de l'Ancien Presbytere, 89700 Collan",,,,,http://emmanuel.dampt.pagesperso-orange.fr/,,,https://www.google.com/maps/search/?api=1&query=Domaine%20Dampt%20Eric%2C%2016%20Rue%20de%20l%27Ancien%20Presbytere%2C%2089700%20Collan&query_place_id=ChIJbyewcktv7kcR1_gPRx_7mjs,47.8404974,3.8756207,,pendiente,no comprobado,,,511,,,,,,
domaine-des-preuses,Domaine des Preuses,Collan,Vino,,"Rue de Fleys, 89700 Collan",,,,,http://emmanuel.dampt.pagesperso-orange.fr/,,,,47.8382534,3.8725438999999997,,pendiente,no comprobado,,,564,,,,,,
clos-du-roi,Clos du Roi,Coulanges-la-Vineuse,Vino,,"17 Rue André Vildieu, 89580 Coulanges-la-Vineuse",,,,,https://closduroi.com,,,https://www.google.com/maps/search/?api=1&query=47.700830%2C3.582278&query_place_id=ChIJyZHhefk37kcR4RAHflOpKu8,47.700830,3.582278,,pendiente,no comprobado,,,418,,,,,,
