slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
earl-jmp,EARL JMP,Antisanti,Fruta y verdura,,"217 Muniglia, 20270 Antisanti",,,,,http://www.clementine-jmp.com/jmp-clementine/nostalgie.php,,,https://www.google.com/maps/search/?api=1&query=42.1432405%2C9.4331193&query_place_id=ChIJS2Ic7Wri2RIRI7xLZZDZfXM,42.1432405,9.4331193,,pendiente,no comprobado,,,719,,,,,,
renucci-jean-francois,Renucci Jean Francois,Tallone,Vino,,"Lieu-dit Pompugliani, 20270 Tallone",,,,,https://www.clospoggiale.fr,,,https://www.google.com/maps/search/?api=1&query=42.153467%2C9.527325&query_place_id=ChIJe1xy3ndZ1xIRgixRp6N2ssY,42.153467,9.527325,,pendiente,no comprobado,,,1663,,,,,,
terra-vecchia,Terra Vecchia,Tallone,Vino,,"Lieu-dit Pompugliani, 20270 Tallone",,,,,https://www.clospoggiale.fr,,,https://www.google.com/maps/search/?api=1&query=42.1346339%2C9.5284496&query_place_id=ChIJdeB1UxPg2RIRUfkdHQUWe4w,42.1346339,9.5284496,,pendiente,no comprobado,,,1717,,,,,,
devichi-marie-francoise,Devichi Marie-Françoise,Barbaggio,Vino,,"Domaine Devichi Lieu Dit Fontana, 20253 Barbaggio",,,,,https://mlledevichi.com,,,https://www.google.com/maps/search/?api=1&query=42.690813%2C9.377437&query_place_id=ChIJo-IxcIgl1xIRh2Mk75P_hK0,42.690813,9.377437,,pendiente,no comprobado,,,469,,,,,,
clos-landry,Clos Landry,Calvi,Vino,Vins,"Clos Landry, route de la forêt de bonifatu, 20260 Calvi",An organic winery in Calvi producing vins under the Clos Landry identity.,,+33680489849,marcpaolini@gmail.com,https://www.closlandry.com/,,,https://www.google.com/maps/search/?api=1&query=42.5483235%2C8.784372&query_place_id=ChIJHzzg1CLr0BIRZ1trvY-RG4Y,42.5483235,8.784372,,verificado,no comprobado,,,419,en,,,,,
giudicelli-girard-florence,Giudicelli Girard Florence,Chiatra,Vino,,"Domaine Vecchio, Listincone, 20230 Chiatra",,,,,https://www.domainevecchio.com,,,https://www.google.com/maps/search/?api=1&query=42.2810859%2C9.4931171&query_place_id=ChIJJ9ILx_tc1xIR0aFQL_nzZuo,42.2810859,9.4931171,,pendiente,no comprobado,,,1137,,,,,,
poli-eric,Poli Eric,Linguizzetta,Vino,,"--, 20230 Linguizzetta",,,,,https://www.ericpolivigneron.fr,,,https://www.google.com/maps/search/?api=1&query=42.2089168%2C9.5340031&query_place_id=ChIJJ1PWxdJD1xIRdwzXmMWsGT0,42.2089168,9.5340031,,pendiente,no comprobado,,,1648,,,,,,
domaine-san-quilico,Domaine San Quilico,Patrimonio,Vino,,"Morta Majo, 20253 Patrimonio",,,,,https://www.sanquilico.com,,,https://www.google.com/maps/search/?api=1&query=42.697412%2C9.353057&query_place_id=ChIJl-WWGmov1xIRp-Y2yF8F5Cc,42.697412,9.353057,,pendiente,no comprobado,,,654,,,,,,
orenga-de-gaffory,Orenga de Gaffory,Patrimonio,Vino,,"Morta Majo, 20253 Patrimonio",,,,,https://www.orengadegaffory.com,,,https://www.google.com/maps/search/?api=1&query=42.697412%2C9.353057&query_place_id=ChIJn9AHn7kO2hIR0HpAHN3xagE,42.697412,9.353057,,pendiente,no comprobado,,,1613,,,,,,
domaine-gentile,Domaine Gentile,Saint-Florent,Vino,Vins,"Tettola, 20217 Saint-Florent",An organic winery in Saint-Florent producing vins under the Domaine Gentile identity.,,,,https://www.domaine-gentile.com/,https://www.facebook.com/Domaine-Gentile-826569317367516/,https://www.instagram.com/domainegentile/,https://www.google.com/maps/search/?api=1&query=42.6927838%2C9.3218485&query_place_id=ChIJ2_BEh-Eu1xIRw0ICNwW7ca4,42.6927838,9.3218485,,verificado,no comprobado,,,595,en,,,,,
