slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
ferme-des-mille-saveurs,Ferme des Mille Saveurs,La Luzerne,Fruta y verdura,Fruits et légumes biologiques,"3 Le Château, 50680 La Luzerne",An organic farm in La Luzerne producing fruits et légumes biologiques under the Ferme des Mille Saveurs identity.,,,,https://lafermedesmillesaveurs.jimdofree.com/,https://www.facebook.com/La-ferme-des-mille-saveurs-104325977981136/,,https://www.google.com/maps/search/?api=1&query=49.1400414%2C-1.0492477&query_place_id=ChIJKcFtpJmXC0gRNvaKBVDbiH4,49.1400414,-1.0492477,,,sí,ecommerce,,881,en,,,,,
moulinet,Moulinet,Sainte-Mère-Église,Carne,,"Le Moulinet, 50480 Sainte-Mère-Église",,,,,https://www.fermedumoulinet.com,,,https://www.google.com/maps/search/?api=1&query=49.384766%2C-1.337315&query_place_id=ChIJzRox0-N4C0gRe2cb4zs7BKk,49.384766,-1.337315,,pendiente,no comprobado,,,1596,,,,,,
la-distillerie-du-voyageur,La Distillerie du Voyageur,Le Vast,Destilados y licores,spiritueux artisanaux,2 HAMEAU BOISNEL 50630 LE VAST,"La Distillerie du Voyageur is an artisan distillery in Le Vast, producing spiritueux artisanaux.",,+33917934020,la.distillerie.du.voyageur@gmail.com,https://www.ladistillerieduvoyageur.com/,,,https://www.google.com/maps/search/?api=1&query=49.61869737%2C-1.352648432&query_place_id=ChIJF5xkCK9hC0gRoIbsFFrwqYs,49.61869737,-1.352648432,,,no comprobado,,,1274,en,,,,,
brasserie-de-la-baie,Brasserie de la Baie,Courtils,Cerveza,,,A brewery produces beer at its Courtils unit.,,,brasseriedelabaie@gmail.com,http://brasseriedelabaie.com/,,,,48.63,-1.4243,,pendiente,no comprobado,,,130,en,,,,,
brasserie-les-travailleurs-de-l-amer,Brasserie Les Travailleurs de l'Amer,Les Pieux,Cerveza,,,A brewery produces beer at its Les Pieux unit.,,,,,,https://www.instagram.com/travailleursdelamer,,49.511800,-1.811000,,pendiente,no comprobado,,,179,en,,,,,
saumon-de-france-cherbourg-en-cotentin,Saumon de France,Cherbourg-en-Cotentin,Pescado,"Salmon, Smoked fish",,Saumon de France smokes and prepares fish at its Cherbourg-en-Cotentin operation.,,,,https://saumonfrance.fr/,,,,49.627700,-1.635600,,,sí,ecommerce,,1683,en,,,,,
le-saumonier-granville-granville,Le Saumonier Granville,Granville,Pescado,"Salmon, Smoked fish","210 rue du Conillot, 50400 Granville",Le Saumonier Granville smokes and prepares fish at its Granville operation.,,+33233594507,,https://www.lesaumonier.fr/le-saumonier-granville/,,,,48.872400,-1.765700,,,no comprobado,,,1462,en,,,,,
maison-helie-saint-vaast-la-hougue,Maison Hélie,Saint-Vaast-la-Hougue,Pescado,Oysters,,Maison Hélie raises oysters at its Saint-Vaast-la-Hougue operation.,,+33233544270,,https://www.huitres-st-vaast.com/,,,,49.593700,-1.266000,,,no comprobado,,,1556,en,,,,,
la-ferme-du-temple,LA FERME DU TEMPLE,Huisnes-Sur-Mer,Fruta y verdura,,"rue de la Ferme du Temple, 50170 Huisnes-sur-Mer",,,,,http://lafermedutemple.fr/,,,,,,,pendiente,no comprobado,,,1904,,,,,,
ferme-du-panier-vert,FERME DU PANIER VERT,Quibou,Fruta y verdura,,"50750 Quibou, Manche, y repite que la granja está situada en Quibou",,,+33688984669,,https://www.ferme-panier-vert.fr/,https://www.facebook.com/lafermedupaniervert/,https://www.instagram.com/lafermedupaniervert/,,49.0739,-1.2102,,pendiente,sí,ecommerce,,1903,,,,,,
ferme-du-manoir-danctoville,Ferme du Manoir d’Anctoville,Anctoville-sur-Boscq,Lácteos y quesos,,"2 Le Manoir, 50400 Anctoville-sur-Boscq, France",,,+33695024640,,https://www.fermedumanoirdanctoville.com,https://facebook.com/pascal.marin.311,https://instagram.com/la_ferme_du_manoir,,48.848492,-1.534144,,pendiente,no comprobado,,,1942,,,,,,
st-michel-avranches-plant,St Michel — Avranches plant,Saint-Senier-sous-Avranches,Dulces y repostería,,,,,,,https://entreprise.stmichel.fr/entreprise,,,,,,,pendiente,no comprobado,,,1989,,,,,,
