slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
les-jardins-de-la-bresle,Les Jardins de la Bresle,Blangy-sur-Bresle,Fruta y verdura,,"1 Rue de l'Hotel de Ville - Mairie, 76340 Blangy-sur-Bresle",,,,,https://www.lesjardinsdelabresle.fr,,,https://www.google.com/maps/search/?api=1&query=49.932039%2C1.629824&query_place_id=ChIJP6TNb_xZ50cReRmJw6hWxLc,49.932039,1.629824,,pendiente,no comprobado,,,1511,,,,,,
ferme-de-la-mi-voie,Ferme de la Mi-Voie,Bosc-Guérard-Saint-Adrien,Fruta y verdura,"Légumes, volailles et pommes de terre","Route de la mi-voie, 76710 Bosc-Guérard-Saint-Adrien","Une ferme biologique située à Bosc-Guérard-Saint-Adrien produit des légumes, de la volaille et des pommes de terre sous l’identité Ferme de la Mi-Voie.",,,,https://www.maboutiquefermiere.fr/fermedelamivoie,https://m.facebook.com/p/La-Ferme-de-la-Mi-Voie-Gauthier-et-Sylvère-Wittorski-100046369846723/,https://www.instagram.com/fermemivoie/,https://www.google.com/maps/search/?api=1&query=49.5362517%2C1.1268679&query_place_id=ChIJ91MHtkbD4EcRGiwxf7uNPPg,49.5362517,1.1268679,,,sí,marketplace,,831,fr,,,,,
la-petite-surface,La Petite Surface,Harfleur,Fruta y verdura,Légumes de saison,"56 Rue Paul Doumer, 76700 Harfleur",Une ferme biologique située à Harfleur produit des légumes de saison sous l’identité La Petite Surface.,,,maraicher@lapetitesurface.com,http://lapetitesurface.com/,,https://www.instagram.com/lapetitesurface_/?hl=fr,https://www.google.com/maps/search/?api=1&query=49.5186227%2C0.1940435&query_place_id=ChIJRWJ9gJQx4EcRNBgfYScqEik,49.5186227,0.1940435,,,no comprobado,,,1377,fr,,,,,
ferme-de-bonnetot,Ferme de Bonnetot,Tôtes,Sidra,"Cidre, jus de pomme et eaux-de-vie","Bonnetot, 76890 Tôtes","Une ferme cidricole biologique à Tôtes produit du cidre, du jus de pomme et des eaux-de-vie sous l’identité Ferme de Bonnetot.",,,,https://www.fermedebonnetot.com/fr/index.html,,,https://www.google.com/maps/search/?api=1&query=49.7022514%2C1.0453969&query_place_id=ChIJ-wPTzkCV4EcRoApzZG-W7Wc,49.7022514,1.0453969,,,no comprobado,,,793,fr,,,,,
les-vergers-du-ronceray,Les Vergers du Ronceray,Bardouville,Fruta y verdura,Fruits et légumes,"650 RUE DU BAC, 76480 Bardouville",,,+33677521918,lesvergersduronceray@gmail.com,https://www.les-vergers-du-ronceray.fr,,,https://www.google.com/maps/search/?api=1&query=49.43949%2C0.925709&query_place_id=ChIJK7U7Fdjj4EcRH5rXvWOTOyU,49.43949,0.925709,,,no comprobado,,,1538,,,,,,
domaine-de-merval,Domaine de Merval,Brémontier-Merval,Sidra,"Cidre, jus et produits laitiers","Château de Merval Route d'Argueil, 76220 Brémontier-Merval",,,+33630594330,cidrerie@educagri.fr,https://www.domaine-de-merval.fr,https://facebook.com/FermedeMerval,https://instagram.com/Fermemerval,https://www.google.com/maps/search/?api=1&query=49.515689%2C1.605981&query_place_id=ChIJ5ynj0Xkl50cR1gvGVic-bHU,49.515689,1.605981,,,no comprobado,,,542,,,,,,
adeline-fiani,Adeline Fiani,Avesnes-en-Bray,Fruta y verdura,Pommes,"LE CASTELET 99 ROUTE DE GOURNAY, 76220 Avesnes-en-Bray",,,,Adeline.fiani@gmail.com,,,,,49.4706477,1.6980087,,pendiente,no comprobado,,,11,,,,,,
union-b,Union-B,Malaunay,Cerveza,bières artisanales,40 RUE DE LA CLERETTE 76770 MALAUNAY,,,,brasserie@union-b.fr,https://www.union-b.fr/,,,https://www.google.com/maps/search/?api=1&query=49.534486%2C1.051029&query_place_id=ChIJKwsiU0_p4EcRBoqwyBykSN8,49.534486,1.051029,,,no comprobado,,,1733,,,,,,
brasserie-ragnar,Brasserie Ragnar,Le Houlme,Cerveza,,,,,+331520153,contact@brasserieragnar.com,https://www.brasserieragnar.com/,,https://www.instagram.com/brasserie_ragnar,,49.5111,1.0352,,pendiente,no comprobado,,,197,,,,,,
la-ferme-de-martine,LA FERME DE MARTINE,Épinay-sur-Duclair,Conservas,,"route de la Queue du Chien, 76480 Épinay-sur-Duclair",,,+33658514235,,https://www.la-ferme-de-martine.fr/,https://www.facebook.com/lafermedemartine,https://instagram.com/lafermedemartine,,,,,pendiente,sí,ecommerce,,1906,,,,,,
