slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
pepinieres-contarin,Pepinieres Contarin,Bétête,Carne,,"9 Rue de l'Étang, 23270 Bétête",,,,,https://pepinieres-contarin.com/,,,https://www.google.com/maps/search/?api=1&query=46.361303%2C2.077829&query_place_id=ChIJQ8Strg0w-kcRjQRbii2uN0s,46.361303,2.077829,,pendiente,no comprobado,,,1627,,,,,,
gaec-barthot,GAEC Barthot,Chénérailles,Carne,,"14, Route de Vaugueix, 23130 Chénérailles",,,,,,,,,46.1071361,2.1769677,,pendiente,no comprobado,,,1076,,,,,,
earl-patard,EARL Patard,Roches,Carne,,"Domaine de Courjat, 23270 Roches",,,,,https://www.fermedecourjat.fr,,,https://www.google.com/maps/search/?api=1&query=46.2945137%2C2.0139827&query_place_id=ChIJx5ThgJEu-kcRJoQQRDqf6D0,46.2945137,2.0139827,,pendiente,no comprobado,,,730,,,,,,
gaec-de-chauveix,GAEC de Chauveix,Boussac-Bourg,Lácteos y quesos,"Lait cru, crème fraîche, yaourts, fromage blanc, beurre, tomme de Chauveix et bûches assaisonnées","Chauveix, 23600 Boussac-Bourg","Une ferme laitière près de Boussac transforme sur place le lait de ses vaches en lait cru, crème, yaourts, beurre et fromages fermiers ; elle élève aussi des volailles et des veaux et produit du jus de pomme.",Vente à la ferme lun–sam 16:00–18:30,+33555650237,nhenchoz23@wanadoo.fr,,,,https://www.google.com/maps/search/?api=1&query=GAEC%20de%20Chauveix%2C%20Chauveix%2C%2023600%20Boussac-Bourg&query_place_id=ChIJ__cINdI8-kcR8Ns1a9G0sEg,46.3447988,2.2002979,,pendiente,no comprobado,,Carne|Bebidas sin alcohol,1080,fr,,,,,
la-ferme-de-lavaurette,La Ferme de Lavaurette,Moutier-d'Ahun,Lácteos y quesos,"Crottins, bûches, pyramides et tomme de chèvre; terrines et charcuterie de chevreau","40 Lavaurette, 23150 Moutier-d'Ahun","Une ferme de chèvres et de moutons fabrique une gamme variée de fromages de chèvre, de savons au lait de chèvre et de produits carnés à partir de son propre bétail pour la vente directe à la ferme.",Tous les jours 09:00–12:00 et 18:00–19:00,+33671618546,lafermedelavaurette@outlook.fr,,https://www.facebook.com/lafermedelavaurette/,,https://www.google.com/maps/search/?api=1&query=La%20Ferme%20de%20Lavaurette%2C%2040%20Lavaurette%2C%2023150%20Moutier-d%27Ahun&query_place_id=ChIJI3vyCfaF-UcRTozcl4i2r14,46.1000358,2.0700211,,,no comprobado,,Carne|Conservas,1296,fr,,,,,
le-buron-des-alpines,Le Buron des Alpines,Saint-Maurice-près-Crocq,Lácteos y quesos,"Fromages de chèvre frais et affinés, Bicou et Pampillette","9 Longeaigue, 23260 Saint-Maurice-près-Crocq","Une ferme caprine produit toute l’année des fromages lactiques frais et affinés, dont son crottin Bicou et sa tomette Pampillette, vendus directement à la ferme.",Lun–sam 17:30–20:00; fermé dimanches et jours fériés,+33555674167,christelle.dupradeaux@wanadoo.fr,,,,,45.8451016,2.3358880,,pendiente,no comprobado,,,1415,fr,,,,,
la-ferme-du-mazaudouiex,La Ferme du Mazaudouiex,Saint-Sulpice-le-Guérétois,Lácteos y quesos,"Fromages de vache et de chèvre, yaourts, entremets, crème fraîche et lait cru; terrines et charcuterie","Le Mazaudoueix, 23000 Saint-Sulpice-le-Guérétois","Une ferme laitière mixte transforme tout son lait de chèvre et de vache sur place en fromages et produits laitiers frais, ainsi qu’en terrines, saucisses et viande de saison issue de son propre troupeau.","Vente à la ferme toute l'année; marchés mer, ven et sam",+33614947474,celine23gorre@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=La%20Ferme%20du%20Mazaudouiex%2C%20Le%20Mazaudoueix%2C%2023000%20Saint-Sulpice-le-Gu%C3%A9r%C3%A9tois&query_place_id=ChIJkaQxeQB9-UcRuz-5bC3zsQU,46.1854731,1.7993318,,pendiente,no comprobado,,Carne|Conservas,1339,fr,,,,,
brasserie-du-marais-lilian-stapane,Brasserie du Marais (Lilian Stapane),Guéret,Cerveza,,Le Marais 23000 Guéret,,,,,https://www.brasseriemdg.com,,https://www.instagram.com/brasseriedesmontsdegueret,,46.15850,1.87050,,pendiente,no comprobado,,,1784,,,,,,
distillerie-le-compas,Distillerie Le Compas,Le Compas,Destilados y licores,,Le Bourg 23700 Le Compas,,,,,https://www.distillerielecompas.com,,https://www.instagram.com/distillerielecompas,,46.00520,2.44920,,pendiente,no comprobado,,,1785,,,,,,
les-comtes-de-la-marche,Les Comtes de la Marche,La Celle-sous-Gouzon,Dulces y repostería,,Le Bourg 23230 La Celle-sous-Gouzon,,,,,https://maisonjacquemart.com,,,,46.22110,2.20820,,pendiente,no comprobado,,,1786,,,,,,
