slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
chez-morille,Chez Morille,Augé,Carne,,"La Berthonniere, 79400 Augé",,,,,https://chezmorille.fr/nos-canards-gras/,,,https://www.google.com/maps/search/?api=1&query=46.458190%2C-0.296272&query_place_id=ChIJI8hW9ZVAB0gRzY9uQCbuhrQ,46.458190,-0.296272,,pendiente,no comprobado,,,399,,,,,,
ferme-de-la-solive,Ferme de la Solive,Granzay-Gript,Carne,Viande bovine,"Chem. de la Corde, 79360 Granzay-Gript",An organic farm in Granzay-Gript producing viande bovine under the Ferme de la Solive identity.,,,,https://lafermedelasolive.wordpress.com/,,,https://www.google.com/maps/search/?api=1&query=46.230298%2C-0.4904162&query_place_id=ChIJ229ndw8tB0gRDObwQNXQCJs,46.230298,-0.4904162,,verificado,no comprobado,,,841,en,,,,,
gaec-jaulin,GAEC Jaulin,La Peyratte,Carne,,"Saint-Jacques-des-Rivières, 79200 La Peyratte",,,,,https://www.petitebottedepaille.fr,,,,46.6640294,-0.1821876,,pendiente,no comprobado,,,1109,,,,,,
la-barotiere,La Barotiere,Largeasse,Carne,,"La Barotiere, 79240 Largeasse",,,,,https://www.fomagerie-la-barotiere.com/,,,https://www.google.com/maps/search/?api=1&query=46.690752%2C-0.509445&query_place_id=ChIJG192NxgFB0gRL2RIlN3UzIM,46.690752,-0.509445,,pendiente,no comprobado,,,1227,,,,,,
nature-gatine,Nature Gatine,Mazières-en-Gâtine,Carne,,"La Draunière, 79310 Mazières-en-Gâtine",,,,,https://www.naturegatine.fr/,,,https://www.google.com/maps/search/?api=1&query=46.561414%2C-0.294417&query_place_id=ChIJs64kCCJrB0gRN58WrIXjyX0,46.561414,-0.294417,,pendiente,no comprobado,,,1600,,,,,,
au-potager-mignon,Au Potager Mignon,Prin-Deyrançon,Fruta y verdura,Fruits et légumes biologiques,"Le champ gâté, 79210 Prin-Deyrançon",An organic farm in Prin-Deyrançon producing fruits et légumes biologiques under the Au Potager Mignon identity.,,+33549791898,contact@aupotagermignon.bio,https://aupotagermignon.bio/,https://www.facebook.com/aupotagermignon/,https://www.instagram.com/au_potager_mignon,https://www.google.com/maps/search/?api=1&query=46.2150372%2C-0.656487&query_place_id=ChIJH0PfHiTVBkgR2H8-XcN4mmc,46.2150372,-0.656487,,verificado,no comprobado,,,49,en,,,,,
olry-fruits,Olry Fruits,Saint Maurice Étusson,Otros,,"20 Rue Guy de la Fougereuse, 79150 Saint Maurice Étusson",,,,,https://les-vergers-des-tilleuls.fr/,,,https://www.google.com/maps/search/?api=1&query=47.030454%2C-0.492456&query_place_id=ChIJWXXh9JqwB0gReq3lBfmdY6I,47.030454,-0.492456,,pendiente,no comprobado,,,1612,,,,,,
la-brasserie-du-marais-poitevin,La Brasserie du Marais Poitevin,Coulon,Cerveza,,2 Rue du Port du Brouillac 79510 Coulon,La Brasserie du Marais Poitevin brews its own beer in Coulon.,,,,https://www.brasseriedumarais.fr,,,,46.33710,-0.58480,,parcial,no comprobado,,,1787,en,,,,,
noir-de-fruits,Noir de Fruits,Saint-Maixent-de-Beugne,Conservas,,5 Rue de la Robinerie 79160 Saint-Maixent-de-Beugne,Noir de Fruits makes its own preserves in Saint-Maixent-de-Beugne.,,,,https://www.noirdefruits.fr,,,,46.51640,-0.61000,,parcial,no comprobado,,,1788,en,,,,,
bellot-minoterie,Bellot Minoterie,Saint-Martin-de-Saint-Maixent,Pan y cereal,,Moulin de Geoffret 79400 Saint-Martin-de-Saint-Maixent,Bellot Minoterie produces its own food products in Saint-Martin-de-Saint-Maixent.,,,contact@bellotminoteries.fr,https://www.bellotminoteries.fr,,https://www.instagram.com/bellotminoteries,,46.38880,-0.20170,,parcial,no comprobado,,,1789,en,,,,,
