slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
cochard-et-fils,Cochard et Fils,Aubigné-sur-Layon,Vino,,"Domaine de Mihoudy, 49540 Aubigné-sur-Layon",,,,,http://www.domainedemihoudy.com/,,,https://www.google.com/maps/search/?api=1&query=47.213898%2C-0.466123&query_place_id=ChIJY2euMgfGB0gRz2rupwGnnmE,47.213898,-0.466123,,pendiente,no comprobado,,,429,,,,,,
earl-lecointre,EARL Lecointre,Bellevigne-en-Layon,Vino,,"6 Bis Rue du Pineau, 49380 Bellevigne-en-Layon",,,,,https://www.tomaze.com,,,https://www.google.com/maps/search/?api=1&query=47.267261%2C-0.574781&query_place_id=ChIJj2I2s9vNB0gRHx7evwOh9A8,47.267261,-0.574781,,pendiente,no comprobado,,,724,,,,,,
leblanc-jean-claude-et-fils,Leblanc Jean-Claude et Fils,Bellevigne-en-Layon,Vino,,"Domaine des Closserons2 Rue des Monts, 49380 Bellevigne-en-Layon",,,,,https://www.domaine-leblanc.fr,,,https://www.google.com/maps/search/?api=1&query=47.294812%2C-0.525562&query_place_id=ChIJ1fWBQSvQB0gRgT3VIlsrek8,47.294812,-0.525562,,pendiente,no comprobado,,,1468,,,,,,
vignoble-du-beau-soleil,Vignoble du Beau Soleil,Bellevigne-en-Layon,Vino,,"4 Rue des Coteaux du Layon, 49380 Bellevigne-en-Layon",,,,,https://www.vignobledubeausoleil.fr/,,,https://www.google.com/maps/search/?api=1&query=47.293401%2C-0.522058&query_place_id=ChIJvW5AISrQB0gR7sy2sCPNwNc,47.293401,-0.522058,,pendiente,no comprobado,,,1742,,,,,,
domaine-du-bois-moze-pasquier,Domaine du Bois Moze Pasquier,Bellevigne-les-Châteaux,Vino,,"7 Rue du Bois Mozé, 49400 Bellevigne-les-Châteaux",,,,,http://www.boismoze.com/,,,https://www.google.com/maps/search/?api=1&query=47.217492%2C-0.074187&query_place_id=ChIJvVksMan2B0gRlQmCUC0eiSo,47.217492,-0.074187,,pendiente,no comprobado,,,575,,,,,,
benoit-gueret,Benoit Gueret,Brissac Loire Aubance,Vino,,"12 Rue des Ecoles Coutures, 49320 Brissac Loire Aubance",,,,,https://www.domainedetartifume.fr/,,,https://www.google.com/maps/search/?api=1&query=47.361981%2C-0.355734&query_place_id=ChIJHRN0ntrdB0gRsNfQizaT9yA,47.361981,-0.355734,,pendiente,no comprobado,,,70,,,,,,
earl-asseray,EARL Asseray,Brissac Loire Aubance,Vino,,"La Raterie, 49320 Brissac Loire Aubance",,,,,https://www.domaineasseray.com,,,https://www.google.com/maps/search/?api=1&query=47.329938%2C-0.485063&query_place_id=ChIJndwXk4DaB0gRqUEWHy-sLU4,47.329938,-0.485063,,pendiente,no comprobado,,,683,,,,,,
hery-vigneron,Hery Vigneron,Brissac Loire Aubance,Vino,,"Orgigne St Saturnin sur Loire, 49320 Brissac Loire Aubance",,,,,https://hery-vigneron.com/,,,https://www.google.com/maps/search/?api=1&query=47.373166%2C-0.448097&query_place_id=ChIJEaF974HZB0gRCqF8YtuqWks,47.373166,-0.448097,,pendiente,no comprobado,,,1160,,,,,,
petit-marcais,Petit Marcais,Challain-la-Potherie,Legumbres y cereales,,"Le Cedre Bleu, 49440 Challain-la-Potherie",,,,,http://pomevasion.fr/,,,https://www.google.com/maps/search/?api=1&query=47.647281%2C-1.066220&query_place_id=ChIJmxBNwZu7CEgRscas4DHxtDc,47.647281,-1.066220,,pendiente,no comprobado,,,1630,,,,,,
domaine-du-gerfaut,Domaine du Gerfaut,Chalonnes-sur-Loire,Vino,,"25 Rue de l'Onglee, 49290 Chalonnes-sur-Loire",,,,,https://www.domaine-gerfaudrie.fr/,,,https://www.google.com/maps/search/?api=1&query=47.342042%2C-0.741519&query_place_id=ChIJt1Ijf5wuBkgRK3oOA6x5XZ0,47.342042,-0.741519,,pendiente,no comprobado,,,582,,,,,,
domaine-des-hauts-perrays,Domaine des Hauts Perrays,Chaudefonds-sur-Layon,Vino,,"Les Hauts Perrays, 49290 Chaudefonds-sur-Layon",,,,,https://domaine-des-hauts-perrays.com/,,,https://www.google.com/maps/search/?api=1&query=47.322688%2C-0.699937&query_place_id=ChIJR-A_3bMtBkgRp3WbNozp6jA,47.322688,-0.699937,,pendiente,no comprobado,,,561,,,,,,
domaine-st-pierre,Domaine St Pierre,Chaudefonds-sur-Layon,Vino,,"230 Chemin du Bas Pé, 49290 Chaudefonds-sur-Layon",,,,,http://www.domaine-saint-pierre.com/,,,https://www.google.com/maps/search/?api=1&query=47.3228765%2C-0.7312937&query_place_id=ChIJZ_ddxm0tBkgRKu23QF0oPoM,47.3228765,-0.7312937,,pendiente,no comprobado,,,658,,,,,,
bon-repos,Bon Repos,Chemillé-en-Anjou,Vino,,"9 Chemin de la Varenne d'Etiau, 49670 Chemillé-en-Anjou",,,,,https://domainedubonrepos.fr/,,,https://www.google.com/maps/search/?api=1&query=47.235375%2C-0.581196&query_place_id=ChIJZSym6TzMB0gR3pq_8c2e2zA,47.235375,-0.581196,,pendiente,no comprobado,,,106,,,,,,
earl-jacquet,EARL Jacquet,Chemillé-en-Anjou,Carne,,"Lieu Dit la Fardelliere, 49670 Chemillé-en-Anjou",,,,,https://www.lescerfsdelafardelliere.fr/,,,https://www.google.com/maps/search/?api=1&query=47.198801%2C-0.595946&query_place_id=ChIJdQJu1pDLB0gRmHwlDomtKRc,47.198801,-0.595946,,pendiente,no comprobado,,,718,,,,,,
domaine-des-bleuces,Domaine des Bleuces,Doué-en-Anjou,Vino,,"Les Bleuces - Concourson-sur-Layon, 49700 Doué-en-Anjou",,,,,https://domainedesbleuces.com/,,,https://www.google.com/maps/search/?api=1&query=47.176033%2C-0.329616&query_place_id=ChIJFeyMwtLBB0gRtBEsEpTBv6A,47.176033,-0.329616,,pendiente,no comprobado,,,558,,,,,,
earl-prieur,EARL Prieur,Doué-en-Anjou,Vino,,"5 Chemin des Quarts les Fontaines, 49700 Doué-en-Anjou",,,,,https://vins-prieur.com,,,https://www.google.com/maps/search/?api=1&query=47.155156%2C-0.274331&query_place_id=ChIJT1TwnCLrB0gRBYW3vruP4Zc,47.155156,-0.274331,,pendiente,no comprobado,,,732,,,,,,
earl-chouteau,EARL Chouteau,Gennes-Val-de-Loire,Vino,,"Village de St Maur, 49350 Gennes-Val-de-Loire",,,,,http://www.domaine-de-saint-maur.fr/,,,https://www.google.com/maps/search/?api=1&query=EARL%20Chouteau%2C%20Village%20de%20St%20Maur%2C%2049350%20Gennes-Val-de-Loire&query_place_id=ChIJIcc9ZR_hB0gR1-uuaKvUKt8,47.390408,-0.281572,,pendiente,no comprobado,,,693,,,,,,
