slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
chateau-font-alba,Château Font Alba,Apt,Vino,,"Campagne du Puy, 84400 Apt",,,,,https://www.chateaufontalba.com,,,https://www.google.com/maps/search/?api=1&query=Ch%C3%A2teau%20Font%20Alba%2C%20Campagne%20du%20Puy%2C%2084400%20Apt&query_place_id=ChIJybtBEm4-yhIRZe63qYVzvXE,43.901991,5.420469,,pendiente,no comprobado,,,320,,,,,,
cave-castaud,Cave Castaud,Beaumes-de-Venise,Vino,,"Domaine des Bernardins, 84190 Beaumes-de-Venise",,,,,http://www.domaine-des-bernardins.com/,,,https://www.google.com/maps/search/?api=1&query=44.125820%2C5.048555&query_place_id=ChIJszWLHmmItRIRCicOdZ9v5ig,44.125820,5.048555,,pendiente,no comprobado,,,244,,,,,,
domaine-brusset,Domaine Brusset,Cairanne,Vino,,"70 Chemin de la Barque, 84290 Cairanne",,,,,https://www.domainebrusset.fr,,,https://www.google.com/maps/search/?api=1&query=44.230482%2C4.931576&query_place_id=ChIJj49JGy2DtRIR0O7hKOLjM9o,44.230482,4.931576,,pendiente,no comprobado,,,501,,,,,,
chateau-de-nalys,Château de Nalys,Châteauneuf-du-Pape,Vino,Vins,"1711 Rte de Courthézon, 84230 Châteauneuf-du-Pape",Un domaine viticole biologique situé à Châteauneuf-du-Pape produit des vins sous l’identité Château de Nalys.,,+33490837252,,https://www.nalys.com/,https://www.facebook.com/chateaudenalys/,https://www.instagram.com/chateaudenalys/,https://www.google.com/maps/search/?api=1&query=44.0675327%2C4.8502867&query_place_id=ChIJ5ZgagOmRtRIR-J_9Yf-4R7U,44.0675327,4.8502867,,,no comprobado,,,308,fr,,,,,
chateau-fortia,Château Fortia,Châteauneuf-du-Pape,Vino,,"Route de Bedarrides, 84230 Châteauneuf-du-Pape",,,,,https://www.chateau-fortia.com/,,,https://www.google.com/maps/search/?api=1&query=44.054157%2C4.840187&query_place_id=ChIJySWlcceTtRIR-cgLuvXZiAI,44.054157,4.840187,,pendiente,no comprobado,,,321,,,,,,
chateau-mont-redon,Château Mont-Redon,Châteauneuf-du-Pape,Vino,,"BP 10, 84230 Châteauneuf-du-Pape",,,,,https://www.chateaumontredon.com/,,,https://www.google.com/maps/search/?api=1&query=44.082813%2C4.810938&query_place_id=ChIJzyK6IE2RtRIRDxIRt0hhif0,44.082813,4.810938,,pendiente,no comprobado,,,341,,,,,,
clos-saint-jean,Clos Saint Jean,Châteauneuf-du-Pape,Vino,,"18 Avenue du General de Gaulle, 84230 Châteauneuf-du-Pape",,,,,https://closstjean.fr/,,,https://www.google.com/maps/search/?api=1&query=44.057603%2C4.833327&query_place_id=ChIJV9y69PKTtRIRNEiuyahcL-M,44.057603,4.833327,,pendiente,no comprobado,,,423,,,,,,
fromagerie-le-ventoux,Fromagerie Le Ventoux,Vedène,Lácteos y quesos,Fromage de chèvre frais et produits laitiers bio,"107 Allée Léon Foucault, 84270 Vedène",Une entreprise fromagère du Vaucluse produit du fromage de chèvre frais et des produits laitiers certifiés biologiques sous l’identité Fromagerie Le Ventoux.,Lun–sam 07:00–14:00,+33490310168,fromagerie.le.ventoux@wanadoo.fr,,,,https://www.google.com/maps/search/?api=1&query=Fromagerie%20Le%20Ventoux%2C%20107%20All%C3%A9e%20L%C3%A9on%20Foucault%2C%2084270%20Ved%C3%A8ne&query_place_id=ChIJ-7kOWYTytRIRr4nd4hPCi4E,43.960107,4.900412,,,no comprobado,,,1019,fr,,,,,
les-bannes-du-ventoux,Les Bannes du Ventoux,Brantes,Lácteos y quesos,"Fromages de chèvre frais et affinés, yaourts et brousses","69 Route du Col de Fontaube, 84390 Brantes","Une jeune ferme caprine biologique fabrique des fromages frais, affinés et aromatisés aux herbes, des yaourts et des brousses à partir de ses chèvres de Rove.",,+33664141953,,,,,https://www.google.com/maps/search/?api=1&query=Les%20Bannes%20du%20Ventoux%2C%2069%20Route%20du%20Col%20de%20Fontaube%2C%2084390%20Brantes&query_place_id=ChIJU9w0rMxnyhIR4vmG9ycUJGk,44.189762,5.362519,,pendiente,no comprobado,,,1480,fr,,,,,
esat-coallia-tourville,ESAT Coallia Tourville,Caseneuve,Lácteos y quesos,Fromages lactiques et pâtes pressées au lait cru de chèvre bio,"113 Route Départementale 35, Les Ramades, 84750 Caseneuve","Cette ferme et laiterie caprine biologique inclusive, qui compte environ 50 chèvres alpines, transforme chaque matin son lait en fromages lactiques et à pâte pressée au lait cru.",Lun–ven 09:00–12:00 et 13:30–17:00,+33490740043,,https://coallia.org/etablissement/medico-social-esat-centre-tourville/,,,https://www.google.com/maps/search/?api=1&query=ESAT%20Coallia%20Tourville%2C%20113%20Route%20D%C3%A9partementale%2035%2C%20Les%20Ramades%2C%2084750%20Caseneuve&query_place_id=ChIJbQRQIHE9yhIROAm_C3N-tc8,43.874959,5.455458,,,no comprobado,,,757,fr,,,,,
