slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
milk-and-honey-ice-cream,Milk & Honey Ice Cream,Stirling,Helados,handmade ice cream,"108-109 Stirling Enterprise Park, Springbank Road, Stirling, FK7 7RP",Small-batch producer making Scottish dairy ice cream in Stirling.,,+447745912953,contact@milkandhoneyicecream.co.uk,https://www.milkandhoneyicecream.co.uk/,,,,56.116435,-3.928366,,verificado,no comprobado,,,436,en,,,,,
deanston-distillery,Deanston Distillery,Deanston,Destilados y licores,Highland single malt whisky,"Deanston Distillery, Deanston, near Doune, FK16 6AG",Working Highland distillery producing Deanston single malt whisky.,,+441786843010,info@deanstondistillery.com,https://deanstonmalt.com/,,,,56.188674,-4.070163,,verificado,sí,ecommerce,,170,en,,,,,
glengoyne-distillery,Glengoyne Distillery,Dumgoyne,Destilados y licores,Highland single malt whisky,"Glengoyne Distillery, Dumgoyne, near Killearn, G63 9LB",Working Highland distillery producing Glengoyne single malt whisky.,,,reception@glengoyne.com,https://www.glengoyne.com/,,,,56.014935,-4.363026,,verificado,sí,ecommerce,,261,en,,,,,
stirling-distillery,Stirling Distillery,Stirling,Destilados y licores,"gin, rum and liqueurs","The Old Smiddy, 9 Lower Castlehill, Stirling, FK8 1EN",Small working distillery making and hand-packing spirits beneath Stirling Castle.,,+441786596496,hello@stirlingdistillery.com,https://stirlingdistillery.com/,,,,56.12365,-3.944526,,verificado,sí,ecommerce,,619,en,,,,,
achray-farm,Achray Farm,Brig o' Turk,Helados,farm ice cream and sorbet,"Achray Farm, Brig o' Turk, Callander, FK17 8HT",Regenerative smallholding making seasonal small-batch ice cream in its farm dairy.,,,nicola@achrayfarm.co.uk,https://achrayfarm.co.uk/,,,,56.231482,-4.366441,,verificado,no,,Fruta y verdura,8,en,,,,,
stirling-coffee,Stirling Coffee,Stirling,Café,freshly roasted coffee,"3 Wellgreen Lane, Stirling, FK8 2BS",Independent Stirling roaster preparing coffee beans to order.,,,info@stirlingcoffee.co.uk,https://stirlingcoffee.co.uk/,,,,56.115684,-3.93613,,verificado,sí,ecommerce,,618,en,,,,,
denholms-elite-meat,Denholm's Elite Meat,Aberfoyle,Carne,butchered meat and meat products,"Kirkton Farm, Duchray Road, Aberfoyle, FK8 3SJ",Independent farm-based craft butcher preparing local meat products.,,+447442115299,denholmselitemeat@gmail.com,https://forthvalleyfoodanddrink.org/showcase/denholms-elite-meat/,,,,56.176753,-4.38682,,parcial,no comprobado,,,174,en,,,,,
john-hill-butchers,John Hill Butchers,Dunblane,Carne,"sausages, pies and butchered meat","39-41 High Street, Dunblane, FK15 0EE","Independent Dunblane butcher producing sausages, pies and prepared meat.",,+441786823019,,https://www.dunblane.info/91-john-hill-butcher,,,,56.187393,-3.964234,,parcial,no comprobado,,,349,en,,,,,
michael-r-more-butchers,Michael R More Quality Butchers,Cambusbarron,Carne,"butchered meat, pies and prepared meals","15 Main Street, Cambusbarron, Stirling, FK7 9NW","Independent butcher preparing meat, pies and ready meals in Cambusbarron.",,+441786474944,k200mjm@btinternet.com,https://cambusbarron.com/local_businesses/michael_more.html,,,,56.108992,-3.968328,,parcial,no comprobado,,Comida preparada,434,en,,,,,
the-bakers-and-more,The Bakers and More,Balfron,Pan y cereal,"fresh bread, pastries and pies","35 Buchanan Street, Balfron, G63 0TS","Family-run Balfron bakery making bread, cakes, pastries and pies.",,+441360440424,orders@thebakersandmore.co.uk,https://www.thebakersandmore.co.uk/,,,,56.068062,-4.336024,,verificado,sí,ecommerce,Dulces y repostería,641,en,,,,,
