slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
hook-norton-brewery,Hook Norton Brewery,Hook Norton,Cerveza,,"Brewery Lane, Hook Norton, Oxfordshire OX15 5NY","Victorian tower brewery in Hook Norton, still brewing on its original steam-powered site.",,+441608730384,orders@hooky.co.uk,https://www.hooky.co.uk/,https://www.facebook.com/hooknortonbrewery,https://www.instagram.com/hook_norton_brewery,,51.99697,-1.494106,,pendiente,sí,ecommerce,,318,en,,,,,,gb,south-east,oxfordshire,,,,,,
meadow-honey-farm,Meadow Honey Farm,North Moreton,Miel,honey,"Melhuish Farm Wallingford Road, North Moreton, Didcot Oxon, OX11 9BA",,,,,https://www.meadowhoneyfarm.co.uk/,,,,51.603704,-1.188357,,,no comprobado,,,431,,,,,,,gb,south-east,oxfordshire,,,,,,
sunnyhill-vineyard,Sunnyhill Vineyard,Horspath,Vino,wine,"51 Cuddesdon Road, Horspath, Oxford, OX33 1JD",,,+441865361535,info@sunnyhillvineyard.co.uk,https://www.sunnyhillvineyard.co.uk/,,,,51.737461,-1.168874,,,sí,ecommerce,,630,,,,,,,gb,south-east,oxfordshire,,,,,,
sky-wave-gin,Sky Wave Gin,Launton,Destilados y licores,"gin, vodka","Building 105 2 And 3 Bicester Heritage Buckingham Road, Bicester, Oxfordshire, OX27 8AL",,,+441869713813,info@skywavegin.com,https://www.skywavegin.com/,,,,51.915004,-1.141321,,,no comprobado,,,588,,,,,,,gb,south-east,oxfordshire,,,,,,
brookleas-fish-farm,Brookleas Fish Farm,East Hendred,Pescado,"fresh trout, smoked trout, trout pâté","Brookleas Fish Farm Reading Road, East Hendred, Wantage, OX12 8LN",,,+441235820500,,https://www.brookleas.com/,,,,51.601103,-1.34509,,,no comprobado,,,94,,,,,,,gb,south-east,oxfordshire,,,,,,
natural-bread-company,Natural Bread Company,Oxford,Pan y cereal,fresh bread,"Unit 15 Curtis Industrial Estate North Hinksey Lane, Oxford, OX2 0LX",,,+447775680097,,https://www.naturalbreadcompany.co.uk/,,,,51.751517,-1.294432,,,no comprobado,,,460,,,,,,,gb,south-east,oxfordshire,,,,,,
loddon-brewery,Loddon Brewery,Dunsden Green,Cerveza,cask ale and craft beer,"Dunsden Green Farm Church Lane, Dunsden, Reading, RG4 9QD",,,,,https://www.loddonbrewery.com/,,,,51.4896,-0.939377,,,no comprobado,,,406,,,,,,,gb,south-east,oxfordshire,,,,,,
amwell-springs-brewery,Amwell Springs Brewery Co.,Cholsey,Cerveza,craft beer,"Westfield Farm House Westfield Road, Cholsey, Wallingford Oxon, OX10 9LS",Amwell Springs Brewery Co. produces craft beer at its Cholsey brewery.,,,,https://amwellsprings.com/,,,,51.566732,-1.166811,,,no comprobado,,,16,en,,,,,,gb,south-east,oxfordshire,,,,,,
bman-brewery,Bman Brewery LTD,Chalgrove,Cerveza,craft beer,"Unit 50 Monument Business Park Warpsgrove Lane, Chalgrove, Oxford, OX44 7RW",,,,,https://bmanbrewery.co.uk/,,,,51.670592,-1.064926,,,no comprobado,,,71,,,,,,,gb,south-east,oxfordshire,,,,,,
henley-distillery,The Henley Distillery,Henley-on-Thames,Destilados y licores,gin and spirits,"East Barn Hampstead Farm, Henley-On-Thames, RG9 4LG",,,,,https://www.thehenleydistillery.co.uk/,,,,51.495003,-0.922513,,,no comprobado,,,662,,,,,,,gb,south-east,oxfordshire,,,,,,
loose-cannon-brewery,The Loose Cannon Brewery,Abingdon,Cerveza,cask ale and craft beer,"6 Suffolk Way Abingdon, Oxfordshire, OX14 5JX",,,,,https://lcbeers.co.uk/,,,,51.66606,-1.298609,,,no comprobado,,,667,,,,,,,gb,south-east,oxfordshire,,,,,,
twisted-tree-brewery,Twisted Tree Brewery,Tusmore,Cerveza,craft beer,"Park Farm, Tusmore, Oxfordshire, OX27 7SH",,,,,https://www.twistedtreebrewery.com/,,,,51.969212,-1.193433,,,no comprobado,,,705,,,,,,,gb,south-east,oxfordshire,,,,,,
