slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
chez-emily,Chez Emily,The Ward,Chocolate,"handmade Belgian-style chocolates, chocolate gift boxes","Coolquay, The Ward, Co. Dublin, D11 RC43","Family Irish-Belgian chocolaterie making its chocolates at Coolquay near The Ward, with a boutique in Ashbourne.",,+35318352252,sales@chezemily.ie,https://chezemily.ie/,https://www.facebook.com/chezemilyofficial,https://www.instagram.com/chezemilyofficial,,53.458860,-6.350807,,,sí,ecommerce,,51,en,,,,,,ie,leinster,dublin,,,,,,
ethersons-butchers,Etherson's Butchers,Dublin,Carne,"beef, lamb, pork, poultry","99 Cabra Road, Dublin 7, D07 Y0XH",Family butchers on Cabra Road preparing meat in the shop for Cabra and Castleknock.,,+35318682046,info@ethersonsbutchers.ie,https://www.ethersonsbutchers.ie/,https://www.facebook.com/EthersonFamilyButcherCabraCastleknock,https://www.instagram.com/ethersons_cabra_castleknock,,53.361294,-6.284287,,pendiente,no comprobado,,,80,en,,,,,,ie,leinster,dublin,,,,,,
higgins-family-butchers,Higgins Family Butchers,Sutton,Carne,"dry-aged beef, Japanese Wagyu beef","2 Sutton Cross, Sutton, Dublin, D13E2Y4",Traditional butchers at Sutton Cross dry-ageing their own beef and shipping nationwide.,,+35318390090,info@higginsbutchers.ie,https://higginsbutchers.ie/,https://www.facebook.com/higginsbutchersdublin,https://www.instagram.com/higgins_butchers,,53.389675,-6.110255,,,sí,ecommerce,,100,en,,,,,,ie,leinster,dublin,,,,,,
jw-smyth-butchers,JW Smyth Family Butchers,Raheny,Carne,"beef, lamb, pork","407 Howth Road, Raheny, Dublin 5","Family butchers on the Howth Road in Raheny preparing naturally reared Irish meat, with a second shop in Portmarnock.",,+35318313862,,https://jwsmythbutchers.ie/,https://www.facebook.com/jwsmythbutchers,https://www.instagram.com/jwsmyths,,53.379813,-6.177385,,pendiente,sí,ecommerce,,113,en,,,,,,ie,leinster,dublin,,,,,,
pearse-lyons-distillery,Pearse Lyons Distillery,Dublin,Destilados y licores,Pearse Irish Whiskey,"121-122 James's Street, Dublin 8, D08 ET27","Distillery in a restored church on James's Street in the Liberties, distilling Pearse Irish Whiskey with tours and tastings on site.",,+35316916000,info@pearselyonsdistillery.com,https://www.pearselyonsdistillery.com/,,,,53.343731,-6.289433,,,no comprobado,,,170,en,,,,,,ie,leinster,dublin,,,,,,
roe-and-co-distillery,Roe & Co Distillery,Dublin,Destilados y licores,Roe & Co Irish whiskey,"92 James's Street, Dublin 8","Whiskey distillery on James's Street in the Liberties, with a visitor experience on site.",,,,https://www.roeandcowhiskey.com/,,,,53.343875,-6.285907,,pendiente,no comprobado,,,183,en,,,,,,ie,leinster,dublin,,,,,,
teeling-whiskey,Teeling Whiskey,Dublin,Destilados y licores,"Small Batch, Single Grain, Single Malt, Single Pot Still, Blackpitts Peated Single Malt","Newmarket, The Liberties, Dublin 8","Distillery in the Liberties producing small-batch, single grain, single malt and pot still Irish whiskeys.",,+35315310888,hello@teelingwhiskey.com,https://www.teelingwhiskey.com/,https://www.facebook.com/TeelingWhiskey,https://www.instagram.com/teelingwhiskey,,53.3375927,-6.2771033,,pendiente,no comprobado,,,197,en,,,,,,ie,leinster,dublin,,,,,,
changing-times-brewery,Changing Times Beverage Company,Glasnevin,Cerveza,craft beer,"Glasnevin, Dublin","Dublin brewery producing its own range of beers, sold direct and through its stockist map.",,,,https://www.changingtimesbrewery.com/,,https://www.instagram.com/changingtimesbrewery,,53.378287,-6.266201,,pendiente,sí,ecommerce,,50,en,,,,,,ie,leinster,dublin,,,,,,
brown-bag-bakery,Brown Bag Bakery,Blanchardstown,Pan y cereal,"breads, pastries","Blanchardstown, Dublin 15, D15 N6XN",Bakery in Blanchardstown baking breads and pastries.,,,,https://brownbagbakery.ie/,,,,53.384459,-6.382942,,pendiente,no comprobado,,,38,en,,,,,,ie,leinster,dublin,,,,,,
croissantly-bakery,Croissantly Bakery,Dún Laoghaire,Pan y cereal,"croissants, cookies, brownies, focaccia","Dún Laoghaire, Co. Dublin","Artisan bakery in Dún Laoghaire handmaking croissants, cookies, brownies and focaccia, with wholesale supply.",,,hello@croissantly.com,https://croissantly.com/,,,,53.2918221,-6.1392832,,,sí,ecommerce,,60,en,,,,,,ie,leinster,dublin,,,,,,
bretzel-bakery,The Bretzel Bakery,Dublin,Pan y cereal,"breads, bagels, pastries","Lennox Street, Portobello, Dublin 8","Long-established Portobello bakery baking breads, bagels and pastries on site.",,+35314759445,bretzelshop@bretzel.ie,https://www.bretzel.ie/,,,,53.331286,-6.266359,,pendiente,no comprobado,,,202,en,,,,,,ie,leinster,dublin,,,,,,
twist-artisan-bakery,Twist Artisan Bakery,Dublin,Pan y cereal,"handcrafted cakes, pastries","5 Bedford Row, Temple Bar, Dublin 2, D02 E393","Artisan bakery on Bedford Row in Temple Bar handcrafting cakes and pastries, with catering and specialty coffee.",,+353852778436,info@twistbakerydublin.com,https://twistbakerydublin.com/,,,,53.34465,-6.26424,,,sí,ecommerce,,224,en,,,,,,ie,leinster,dublin,,,,,,
butlers-pantry,The Butler's Pantry,Blackrock,Comida preparada,"prepared meals, pies, party food","Blackrock, Co. Dublin",Artisan food producer making fresh seasonal prepared meals by hand in its own kitchens for its Dublin shops.,,+35312885505,,https://thebutlerspantry.ie/,,,,53.301864,-6.178834,,pendiente,no comprobado,,,204,en,,,,,,ie,leinster,dublin,,,,,,
keoghs-crisps,Keogh's Crisps,Oldtown,Aperitivos,"hand-cooked crisps, crinkle cut crisps","Keogh's Farm, Westpalstown, Oldtown, Co. Dublin, A45 RD98",Family farm at Westpalstown near Oldtown growing its own potatoes and hand-cooking them into crisps in small batches on the farm.,,+35318433175,admin@keoghs.ie,https://www.keoghs.ie/,,,,53.526434,-6.299416,,,no comprobado,,,115,en,,,,,,ie,leinster,dublin,,,,,,
whiplash-beer,Whiplash Beer,Dublin,Cerveza,,"67B Cherry Orchard Industrial Estate, Ballyfermot, Dublin 10",,,,,https://www.whiplashbeer.com/,,https://www.instagram.com/whiplashbeer,,53.34972,-6.26028,,pendiente,no comprobado,,,235,,,,,,,ie,leinster,dublin,,,,,,
lineman-beer-lineman-microbrewery,Lineman Beer (Lineman Microbrewery),Rathcoole,Cerveza,,"Unit 16/17 Block 613, Greenogue Industrial Estate, Rathcoole, Co",,,,,https://lineman.ie/,,https://www.instagram.com/linemanbeer,,53.28278,-6.47278,,pendiente,no comprobado,,,131,,,,,,,ie,leinster,dublin,,,,,,
the-porterhouse-brewing-porterhouse-brew,The Porterhouse Brewing Company (Porterhouse Brew Co),Dublin,Cerveza,,"Ballyboggan Road, Glasnevin, Dublin 11",,,+3531020103,phtemplebar@theporterhouse.ie,https://www.theporterhouse.ie/,,https://www.instagram.com/porterhousebrewco,,53.34972,-6.26028,,pendiente,no comprobado,,,211,,,,,,,ie,leinster,dublin,,,,,,
urban-brewing,Urban Brewing,Dublin,Cerveza,,"CHQ Building, Custom House Quay",,,+35315685989,welcome@urbanbrewing.ie,https://www.urbanbrewing.ie/,,,,53.34972,-6.26028,,pendiente,no comprobado,,,227,,,,,,,ie,leinster,dublin,,,,,,
third-barrel-brewing,Third Barrel Brewing,Dublin,Cerveza,,"Unit 3, 53 Western Parkway Business Park, Walkinstown, Dublin 12",,,+353862381267,info@thirdbarrel.com,https://thirdbarrel.com/,,https://www.instagram.com/thirdbarrelbrewing,,53.34972,-6.26028,,pendiente,no comprobado,,,215,,,,,,,ie,leinster,dublin,,,,,,
priory-brewing,Priory Brewing,Tallaght,Cerveza,,Main Road,,,+3531320137,info@mysite.com,https://www.priorybrewing.ie/,,https://www.instagram.com/priory_brewing,,53.2886,-6.3572,,pendiente,no comprobado,,,173,,,,,,,ie,leinster,dublin,,,,,,
rascals-brewing,Rascals Brewing Company,Dublin,Cerveza,,"Goldenbridge Estate, Tyrconnell Road, Inchicore, Dublin 8, D08 HF68",,,,,https://rascalsbrewing.com/,,https://www.instagram.com/rascalsbrewing,,53.34972,-6.26028,,pendiente,no comprobado,,,175,,,,,,,ie,leinster,dublin,,,,,,
hope-beer-hope-brewery,Hope Beer (Hope Brewery),Dublin,Cerveza,,"Unit 30 Kilbarrack Industrial Estate, Dublin 5, D05 VA47",,,,,https://hopebeer.ie/,,https://www.instagram.com/hopebeer,,53.34972,-6.26028,,pendiente,no comprobado,,,103,,,,,,,ie,leinster,dublin,,,,,,
