slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
dingle-distillery,Dingle Distillery,Dingle,Destilados y licores,"Dingle Single Malt, Dingle Single Pot Still, Dingle Gin, Dingle Vodka","Dingle Distillery, Dingle, Co. Kerry, V92 E7YD","Independent distillery in Dingle making single malt and single pot still Irish whiskey, gin and vodka.",,+353664029011,info@dingledistillery.ie,https://dingledistillery.ie/,,,,52.141534,-10.289517,/productores/ie/munster/kerry/dingle-distillery.webp,verificado,sí,ecommerce,
burkes-butchers,Burke's Butchers,Killorglin,Carne,"beef, lamb, pork","Killorglin, Co. Kerry","Killorglin butcher working a strict farm-to-fork policy with beef, lamb and pork from its own family-managed Kerry farm.",,+353669762689,,https://burkesbutchers.com/,,,,52.1078926,-9.7870367,/productores/ie/munster/kerry/burkes-butchers.webp,parcial,sí,ecommerce,
skellig-meats,Skellig Meats,Waterville,Carne,"beef, lamb, prepared meals","Lower Main Street, Waterville, Co. Kerry",Butcher on Waterville's Main Street preparing meat and ready meals for collection and delivery.,,+353669474889,,https://www.skelligmeats.com/,,,,,,,parcial,sí,ecommerce,
lorge-chocolatier,Lorge Chocolatier,Bonane,Chocolate,"handmade chocolates, truffles","Bonane, Co. Kerry, V93 EVC4",Chocolatier at Bonane near Kenmare making handmade chocolates and running chocolate courses at the workshop.,,+353646679994,info@lorge.ie,https://lorge.ie/,,https://www.instagram.com/lorgechocolates,,51.8171139,-9.5372611,/productores/ie/munster/kerry/lorge-chocolatier.webp,verificado,sí,ecommerce,
skellig-six18-distillery,Skellig Six 18 Distillery,Cahersiveen,Destilados y licores,"Skellig Six18 Irish whiskey, gin","Valentia Rd, Cahersiveen, Co. Kerry, V23 YD89","Craft distillery and visitor centre on the Valentia road at Cahersiveen, distilling whiskey and gin on the Skellig Coast.",,+353669400618,eolas@skelligsix18distillery.ie,https://skelligsix18distillery.ie/,https://www.facebook.com/SkelligSix18,https://www.instagram.com/skelligsix18,,51.9356528,-10.2400916,/productores/ie/munster/kerry/skellig-six18-distillery.webp,verificado,sí,ecommerce,
ballyhar-farm-produce,Ballyhar Farm Produce,Ballyhar,Carne,"Kerry organic rosé veal, Kerry organic beef","Knockanoulort, Ballyhar, Killarney, Co. Kerry, V93E1A2",Organic farm at Knockanoulort near Ballyhar producing Kerry organic rosé veal and beef.,,+353872272115,info@ballyhar.com,https://www.ballyhar.com/,https://www.facebook.com/Ballyhar,,,52.123207,-9.559780,,verificado,no comprobado,,
lee-strand,Lee Strand,Tralee,Lácteos y quesos,"fresh milk, cream, butter","Lee Strand, Ballymullen, Tralee, Co. Kerry, V92NY54",Farmer-owned co-operative creamery at Ballymullen in Tralee bottling milk and dairy from its shareholders' herds for over a hundred years.,,+353667121084,info@leestrand.ie,https://leestrand.ie/,https://www.facebook.com/leestrandmilk,https://www.instagram.com/leestrandofficial,,,,/productores/ie/munster/kerry/lee-strand.webp,parcial,no comprobado,,
blasta-delights,Blasta Delights,Firies,Despensa artesanal,"ginger preserves, ginger drinks","Firies, Co. Kerry",Kerry maker of organic ginger preparations handmade in small batches at Firies using Peruvian ginger root.,,+353879697560,hello@blastadelights.ie,https://blastadelights.ie/,https://www.facebook.com/blastadelights,https://www.instagram.com/blastadelights,,52.170536,-9.597929,/productores/ie/munster/kerry/blasta-delights.webp,verificado,sí,ecommerce,
dingle-sea-salt,Dingle Sea Salt,Dún Chaoin,Condimentos,hand-harvested sea salt,"Dún Chaoin, Co. Chiarraí","Sea salt producer at Dún Chaoin on the Dingle Peninsula, hand-harvesting Atlantic water and drying it with sun and wind since 2019.",,+353873982241,info@dingleseasalt.ie,https://www.dingleseasalt.ie/,,https://www.instagram.com/dingleseasaltco,,52.138333,-10.461944,,verificado,sí,ecommerce,
dingle-sushi,Dingle Sushi,Dingle,Comida preparada,sushi,"Dingle, Co. Kerry, V92 H394",Dingle producer handcrafting sushi from locally landed seafood.,,+353876900943,dinglesushi@gmail.com,https://dinglesushi.com/,https://www.facebook.com/dinglesushi,https://www.instagram.com/dinglesushi,,52.126182,-10.259661,/productores/ie/munster/kerry/dingle-sushi.webp,parcial,no comprobado,,
west-of-dingle,West of Dingle Sea Salt,Dingle,Condimentos,"sea salt, flavoured sea salt","Dingle, Co. Kerry",Sea salt producer on the Dingle Peninsula harvesting and drying Atlantic sea salt without additives.,,+353861032440,info@westofdingle.com,https://www.westofdingle.ie/,,https://www.instagram.com/westofdingle,,52.144999,-10.265173,/productores/ie/munster/kerry/west-of-dingle.webp,parcial,sí,ecommerce,
knockatee-natural-dairy,Knockatee Natural Dairy,Tuosist,Lácteos y quesos,artisan cheese,"Ardea West, Co. Kerry, V93VXH6","Artisan cheesemaker at Ardea West on the Beara Peninsula, making cheese at the foot of Knockatee.",,+353870539451,sean@knd.ie,https://www.knd.ie/,,,,,,/productores/ie/munster/kerry/knockatee-natural-dairy.webp,parcial,sí,ecommerce,
