slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
antica-corte-delle-vacche-rosse,Antica Corte delle Vacche Rosse,Bibbiano,Lácteos y quesos,"formaggio delle Vacche Rosse, latticini","Via Piave, 23, 42021 Bibbiano RE","Antica Corte delle Vacche Rosse is a current TRACES-certified organic operator in Bibbiano producing formaggio delle Vacche Rosse, latticini.",,,,https://www.anticacortedellevaccherosse.com/,,,https://www.google.com/maps/search/?api=1&query=Antica%20Corte%20delle%20Vacche%20Rosse%2C%20Via%20Piave%2C%2023%2C%2042021%20Bibbiano%20RE&query_place_id=ChIJQc5rKj0RgEcRF8HFpoou6AU,44.7127151,10.4987093,,,sí,ecommerce,,165,en,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
cantina-fantesini,Cantina Fantesini,Bibbiano,Vino,"vini bianchi, rosati e rossi","Via R. Franchetti, 35, 42021 Bibbiano RE","Cantina Fantesini is a current TRACES-certified organic operator in Bibbiano producing vini bianchi, rosati e rossi.",,+390522882641,fantesini@cantinafantesini.it,https://www.cantinafantesini.it/,https://www.facebook.com/cantinafantesini,https://www.instagram.com/cantinafantesini/,https://www.google.com/maps/search/?api=1&query=Cantina%20Fantesini%2C%20Via%20R.%20Franchetti%2C%2035%2C%2042021%20Bibbiano%20RE&query_place_id=ChIJPQMh3yYQgEcR67MKtuy0Rxs,44.6710425,10.4645183,,,no comprobado,,,781,en,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
oldo,OLDO,Cadelbosco di Sopra,Cerveza,birra artigianale,"Oldo, 3, Via dell'Oldo, Cadelbosco di Sopra, Terra di Mezzo, Reggio nell'Emilia, Emilia-Romagna, 42023",OLDO is an independent brewery in Cadelbosco di Sopra producing its own craft beer.,,,birrificio@oldo.it,https://www.oldo.it,,,https://www.google.com/maps/search/?api=1&query=OLDO%2C%20Oldo%2C%203%2C%20Via%20dell%27Oldo%2C%20Cadelbosco%20di%20Sopra%2C%20Terra%20di%20Mezzo%2C%20Reggio%20nell%27Emilia%2C%20Emilia-Romagna%2C%2042023&query_place_id=ChIJKdTaMDEZgEcRGZGmQW6KSP4,44.7661992,10.5752413,,,no comprobado,,,2697,en,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
dada,Dada,Correggio,Cerveza,birra artigianale,"Via Giacomo Matteotti, 12, 42015 Correggio RE",Dada is an independent brewery in Correggio producing its own craft beer.,,,,https://www.birrificiodada.it/,,,https://www.google.com/maps/search/?api=1&query=44.7614338%2C10.7868319&query_place_id=ChIJzdeNpJL0f0cRggAhOFkzYM0,44.7614338,10.7868319,,,no comprobado,,,1628,en,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
giustospirito,Giustospirito,Rubiera,Cerveza,birra artigianale,"Via Palmiro Togliatti, 9/5, 42048 Rubiera RE",Giustospirito is an independent brewery in Rubiera producing its own craft beer.,,,,https://www.giustospirito.com/,,,https://www.google.com/maps/search/?api=1&query=44.6521%2C10.773437&query_place_id=ChIJzTIIv7Pwf0cRfwNPj0Zwxuk,44.6521,10.773437,,,no comprobado,,,2029,en,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
parmigiano-4-madonne-caseificio-dell-emilia-181,4 Madonne Caseificio Dell'Emilia,Scandiano,Lácteos y quesos,Parmigiano Reggiano DOP,"Via per Casalgrande 9 – Arceto di Scandiano, 42019, Scandiano, RE",,,+390522989307,qualita@caseificio4madonne.it,http://www.caseificio4madonne.it,,,,44.613147,10.7326419999999,,pendiente,sí,ecommerce,,5,,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
parmigiano-antica-fattoria-cas-scalabrini-di-ugo-e-bruno-180,Antica Fattoria - Cas. Scalabrini Di Ugo E Bruno,Bibbiano,Lácteos y quesos,Parmigiano Reggiano DOP,"VIA S.MICHELE, 1, 42021, Bibbiano, RE",,,,info@fattoriascalabrini.it,http://www.fattoriascalabrini.it,,,https://www.google.com/maps/search/?api=1&query=Antica%20Fattoria%20-%20Cas.%20Scalabrini%20Di%20Ugo%20E%20Bruno%2C%20VIA%20S.MICHELE%2C%201%2C%2042021%2C%20Bibbiano%2C%20RE&query_place_id=ChIJCwbplLEagEcR4Ck7-6gYWgI,44.6677390785762,10.5132494180298,,pendiente,sí,ecommerce,,166,,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
parmigiano-antica-latteria-centro-re-779,Antica Latteria Centro Re,Reggio Nell'Emilia,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Ferdinando Miselli 4 - Sesso, 42124, Reggio Nell'Emilia, RE",,,,liviocastagnetti@aliceposta.it,http://www.latteriasocialecentro.it,,,https://www.google.com/maps/search/?api=1&query=Antica%20Latteria%20Centro%20Re%2C%20Via%20Ferdinando%20Miselli%204%20-%20Sesso%2C%2042124%2C%20Reggio%20Nell%27Emilia%2C%20RE&query_place_id=ChIJHQVRMLUegEcR2uYl6NP_GmM,44.7469393682817,10.6174113196435,,pendiente,no comprobado,,,170,,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
parmigiano-az-agr-cantarelli-franco-e-dina-e-figli-953,Az. Agr. Cantarelli Franco E Dina E Figli,Reggio Nell'Emilia,Lácteos y quesos,Parmigiano Reggiano DOP,"VIA G. BRUNO, 10 - CADE', 42124, Reggio Nell'Emilia, RE",,,,,,,,,44.7358823,10.5235067,,pendiente,no comprobado,,,230,,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
parmigiano-fogliano-giarola-sabbione-780,Fogliano Giarola Sabbione,Reggio Nell'Emilia,Lácteos y quesos,Parmigiano Reggiano DOP,"VIA E. FERMI, 59 - FOGLIANO, 42123, Reggio Nell'Emilia, RE",,,,caseificio.villafogliano@gmail.com,https://caseificiovillafogliano.it/,,,https://www.google.com/maps/search/?api=1&query=Fogliano%20Giarola%20Sabbione%2C%20VIA%20E.%20FERMI%2C%2059%20-%20FOGLIANO%2C%2042123%2C%20Reggio%20Nell%27Emilia%2C%20RE&query_place_id=ChIJ1btp1MsCgEcRVaGj3DA_6wU,44.6398071177857,10.6534645508178,,pendiente,no comprobado,,,1805,,,,,,,it,emilia-romagna,reggio-emilia,,,,,,
