slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
birra-garlatti-costa,BIRRA GARLATTI COSTA,Forgaria nel Friuli,Cerveza,birra artigianale,"Via Carlo Leopoldo Lualdi, 8, 33030 Forgaria nel Friuli UD",,,,info@birragarlatticosta.it,https://www.birragarlatticosta.it,,,https://www.google.com/maps/search/?api=1&query=46.2053108%2C12.9517593&query_place_id=ChIJ50IpQP0oekcRfM-eOkPweWQ,46.2053108,12.9517593,/productores/it/friuli-venezia-giulia/udine/birra-garlatti-costa.webp,,no comprobado,,,575,,,,,,,it,friuli-venezia-giulia,udine,,,,,,
birrificio-basei,BIRRIFICIO BASEI,Latisana,Cerveza,birra artigianale,"Via Risorgimento, 6, 33053 Latisana UD",,,+393289683646,birrificiobasei@gmail.com,https://www.baseibrewery.it,,,https://www.google.com/maps/search/?api=1&query=45.7808614%2C12.9957664&query_place_id=ChIJc63BYOPDe0cRkuJ0tEsU_AY,45.7808614,12.9957664,/productores/it/friuli-venezia-giulia/udine/birrificio-basei.webp,,sí,ecommerce,,606,,,,,,,it,friuli-venezia-giulia,udine,,,,,,
a-b-prosciutti,A&B Prosciutti,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Aonedis 11,A&B Prosciutti stagiona Prosciutto di San Daniele DOP presso la propria unità produttiva a San Daniele del Friuli.,,+390432956485,info@aebprosciutti.it,http://www.aebprosciutti.it/,,,,46.1468927,12.9814184,/productores/it/friuli-venezia-giulia/udine/a-b-prosciutti.webp,,no comprobado,,,13,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
agricola-tre-valli,Agricola Tre Valli,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Venezia 228,Agricola Tre Valli stagiona Prosciutto di San Daniele DOP presso la propria unità produttiva a San Daniele del Friuli.,,+390432956411,negroni@negroni.com,https://www.negroni.com/it,,,,46.1478243,12.9844281,/productores/it/friuli-venezia-giulia/udine/agricola-tre-valli.webp,,no comprobado,,,73,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
alberti-1906-la-casa-del-prosciutto,Alberti 1906 – La Casa del Prosciutto,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Ciconi 30,Alberti 1906 – La Casa del Prosciutto stagiona Prosciutto di San Daniele DOP presso la propria unità produttiva a San Daniele del Friuli.,,+390432957422,info@lacasadelprosciutto.com,https://lacasadelprosciutto.com/,,,,46.1572425,13.0093578,/productores/it/friuli-venezia-giulia/udine/alberti-1906-la-casa-del-prosciutto.webp,,sí,ecommerce,,125,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
dok-dall-ava,DOK Dall’Ava,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Gemona 17/B,DOK Dall’Ava stagiona Prosciutto di San Daniele DOP nella propria unità produttiva di San Daniele del Friuli.,,+390432957335,info@dallava.com,https://www.dokdallava.com/,,,,46.164522,13.007463,/productores/it/friuli-venezia-giulia/udine/dok-dall-ava.webp,,no comprobado,,,1672,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
eli-prosciutti,Eli Prosciutti,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Ragogna 3,Eli Prosciutti stagiona Prosciutto di San Daniele DOP nella propria unità produttiva di San Daniele del Friuli.,,+390432957077,fogolar@eliprosciutti.it,https://www.eliprosciutti.it/prodotti/prosciutto-san-daniele-dop/,,,,46.1630312,13.0025915,/productores/it/friuli-venezia-giulia/udine/eli-prosciutti.webp,,no comprobado,,,1698,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
la-glacere,La Glacere,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Osoppo 9,La Glacere stagiona Prosciutto di San Daniele DOP nella propria unità produttiva di San Daniele del Friuli.,,+390432954102,info@laglacere.it,https://www.laglacere.it/it/,,,,46.1635692,13.0146347,/productores/it/friuli-venezia-giulia/udine/la-glacere.webp,,sí,ecommerce,,2245,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
levoni-san-daniele,Levoni – San Daniele,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Aonedis 15,Levoni – San Daniele stagiona Prosciutto di San Daniele DOP nella propria unità produttiva di San Daniele del Friuli.,,+390432956265,levoni@levoni.it,https://www.levoni.it/,,,,46.1471667,12.9795603,,,sí,ecommerce,,2511,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
martelli-il-27,Martelli il 27,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Gemona 7/9,Martelli il 27 stagiona Prosciutto di San Daniele DOP nella propria unità produttiva di San Daniele del Friuli.,,+390432957539,sandaniele@martelli.com,https://www.martelli.com/,,,,46.1643543,13.0051382,/productores/it/friuli-venezia-giulia/udine/martelli-il-27.webp,,no comprobado,,,2569,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
morgante-san-daniele,Morgante – San Daniele,San Daniele del Friuli,Carne,Prosciutto di San Daniele DOP,Via Aonedis 3,Morgante – San Daniele stagiona Prosciutto di San Daniele DOP nella propria unità produttiva di San Daniele del Friuli.,,+390432956511,info@morgante.it,https://morgante.it/,,,,46.14673,12.98344,/productores/it/friuli-venezia-giulia/udine/morgante-san-daniele.webp,,no comprobado,,,2644,it,,,,,,it,friuli-venezia-giulia,udine,,,,,,
