slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
le-terrazze-del-canto,Le Terrazze del Canto,Mapello,Vino,vini biologici,"Via Federico Alborghetti, 6, 24030 Mapello BG",Le Terrazze del Canto is a current TRACES-certified organic operator in Mapello producing vini biologici.,,,,https://www.leterrazzedelcanto.it/,https://www.facebook.com/leterrazzedelcanto,https://www.instagram.com/leterrazzedelcanto/,https://www.google.com/maps/search/?api=1&query=Le%20Terrazze%20del%20Canto%2C%20Via%20Federico%20Alborghetti%2C%206%2C%2024030%20Mapello%20BG&query_place_id=ChIJGwKrmxdTgUcR2m3bqyB3qdw,45.710056099999996,9.546873399999999,,verificado,no comprobado,,,2500,en,,,,,
ambrosini-carni,Ambrosini Carni,Brusaporto,Carne,"hamburger, tartare, salumi","Via S. Domenico, 62/64, 24060 Brusaporto BG","Ambrosini Carni is a current TRACES-certified organic operator in Brusaporto producing hamburger, tartare, salumi.",,,,https://www.ambrosinicarni.com/it/,https://www.facebook.com/famigliambrosinicarni,https://www.instagram.com/ambrosinicarni/,https://www.google.com/maps/search/?api=1&query=Ambrosini%20Carni%2C%20Via%20S.%20Domenico%2C%2062%2F64%2C%2024060%20Brusaporto%20BG&query_place_id=ChIJh8D1qkhagUcR1tFjZwZ-DI8,45.6665211,9.7488072,,verificado,no comprobado,,,152,en,,,,,
monangi-brew-pub,Monangi Brew Pub,Dalmine,Cerveza,birra artigianale,"Via Monte Nevoso, 24044 Dalmine BG",Monangi Brew Pub is an independent brewery in Dalmine producing its own craft beer.,,,info@monangibrewpub.com,https://www.monangibrewpub.com/,,,https://www.google.com/maps/search/?api=1&query=45.6485803%2C9.613732899999999&query_place_id=ChIJaRhYLPlNgUcRkDoWuSpxMTQ,45.6485803,9.613732899999999,,verificado,no comprobado,,,2628,en,,,,,
birrificio-via-priula,Birrificio Via Priula,San Pellegrino Terme,Cerveza,birra artigianale,"Birrificio Via Priula, 5, Via Giacomo Matteotti, Aplecchio, Antea, San Pellegrino Terme, Comunità Montana della Valle Brembana, Bergamo, Lombardia, 24016",Birrificio Via Priula is an independent brewery in San Pellegrino Terme producing its own craft beer.,,,info@birrificioviapriula.it,https://www.birrificioviapriula.it/,,,https://www.google.com/maps/search/?api=1&query=Birrificio%20Via%20Priula%2C%20Birrificio%20Via%20Priula%2C%205%2C%20Via%20Giacomo%20Matteotti%2C%20Aplecchio%2C%20Antea%2C%20San%20Pellegrino%20Terme%2C%20Comunit%C3%A0%20Montana%20della%20Valle%20Brembana%2C%20Bergamo%2C%20Lombardia%2C%2024016&query_place_id=ChIJb9FDW4r-g0cRvAJvpL1JoQQ,45.8397988,9.6648779,,verificado,sí,ecommerce,,658,en,,,,,
birrificio-otus,BIRRIFICIO OTUS,Seriate,Cerveza,birra artigianale,"Via Fonderia Rumi, 7, 24068 Seriate BG",BIRRIFICIO OTUS is an independent brewery in Seriate producing its own craft beer.,,+39350401452,info@enotecagaudes.it,https://www.birrificiootus.com/,,,https://www.google.com/maps/search/?api=1&query=45.6881081%2C9.7367028&query_place_id=ChIJlVpifnpagUcRSi_4Z1YVmNw,45.6881081,9.7367028,,verificado,no comprobado,,,640,en,,,,,
grana-padano-caseificio-torre-pallavicina-bg506,Caseificio Torre Pallavicina,Torre Pallavicina,Lácteos y quesos,Grana Padano DOP,"Via Sante Giulie, 50, 24050 Torre Pallavicina (BG)",Caseificio actualmente inscrito por el Consorzio Tutela Grana Padano como productor de esta DOP.,,+390363996523,info@caseificiotorrepallavicina.it,https://caseificiotorrepallavicina.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Torre%20Pallavicina%2C%20Via%20Sante%20Giulie%2C%2050%2C%2024050%20Torre%20Pallavicina%20%28BG%29&query_place_id=ChIJL7yWvQEVgUcRxc7uYck2C9Q,45.4418052,9.877831,,parcial,no comprobado,,,1459,es,,,,,
grana-padano-caseificio-giovanni-invernizzi-srl-bg507,Caseificio Giovanni Invernizzi srl,Pontirolo Nuovo,Lácteos y quesos,Grana Padano DOP,"Via Mazzini, 40 24040 – Pontirolo Nuovo (BG)",Caseificio actualmente inscrito por el Consorzio Tutela Grana Padano como productor de esta DOP.,,+390363880145,info@casificioinvernizzi.it,http://www.caseificioinvernizzi.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Giovanni%20Invernizzi%20srl%2C%20Via%20Mazzini%2C%2040%2024040%20%E2%80%93%20Pontirolo%20Nuovo%20%28BG%29&query_place_id=ChIJ4UFtnfJLgUcRTU783jccq3g,45.5689934,9.5740768,,parcial,no comprobado,,,1152,es,,,,,
grana-padano-san-giorgio-di-conti-giorgio-e-c-s-s-soc-agr-bg508,San Giorgio di Conti Giorgio & C. S.S. Soc. Agr.,Cividate al Piano,Lácteos y quesos,Grana Padano DOP,"Cascina San Giorgio, 20 24050 Cividate al Piano (BG)",Caseificio actualmente inscrito por el Consorzio Tutela Grana Padano como productor de esta DOP.,,+39036397127,info@agricolasangiorgio.eu,https://www.granapadano.it/it-it/il-consorzio-di-tutela/i-protagonisti-i-consorziati/san-giorgio-di-conti-giorgio-c-s-s-soc-agr/,,,,45.5340918,9.8303075,,parcial,no comprobado,,,3072,es,,,,,
grana-padano-chiapparini-giacomo-s-s-societa-agricola-bg509,Chiapparini Giacomo s.s. Società Agricola,Romano di Lombardia,Lácteos y quesos,Grana Padano DOP,"Via Graffignana C.na Clientela, 17 24058 – Romano di Lombardia (BG)",Caseificio actualmente inscrito por el Consorzio Tutela Grana Padano como productor de esta DOP.,,+390363910985,chiapp40@chiapparinigiacomo.191.it,https://www.granapadano.it/it-it/il-consorzio-di-tutela/i-protagonisti-i-consorziati/chiapparini-giacomo-s-s-societa-agricola/,,,https://www.google.com/maps/search/?api=1&query=Chiapparini%20Giacomo%20s.s.%20Societ%C3%A0%20Agricola%2C%20Via%20Graffignana%20C.na%20Clientela%2C%2017%2024058%20%E2%80%93%20Romano%20di%20Lombardia%20%28BG%29&query_place_id=ChIJ8Sm5yy5HgUcRbXGwlKbzV_g,45.5128816,9.7452836,,parcial,no comprobado,,,1533,es,,,,,
bitto-colli-giovanni-297,Colli Giovanni — Alpeggio foppa,Cusio,Lácteos y quesos,Bitto DOP,"Alpeggio foppa, Cusio",Unidad de producción alpina inscrita por el consorcio oficial como productora de Bitto DOP.,,,,https://www.ctcb.it/soci/bitto-dop,,,,46.025098,9.596386,,parcial,no comprobado,,,1551,es,,,,,
