slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
mister-b-brewery,Mister B Brewery,San Giorgio Bigarello,Cerveza,birra artigianale,"Via Teofilo Folengo 63, San Giorgio Bigarello",,,,info@misterb.beer,https://www.misterb.beer,,,https://www.google.com/maps/search/?api=1&query=Mister%20B%20Brewery%2C%20Via%20Teofilo%20Folengo%2063%2C%20San%20Giorgio%20Bigarello&query_place_id=ChIJ4yh86CzXgUcR2kiVMHt1Lgw,45.18352869999998,10.827823900000011,,,no comprobado,,,2622,,,,,,
fratelli-de-cao,Società Agricola F.lli De Cao,Borgo Virgilio,Lácteos y quesos,"Grana Padano DOP, formaggi tipici, salame mantovano, coppa, pancetta","Via Brasiglia 325, Romanore, 46034 Borgo Virgilio MN","Azienda agricola e caseificio familiare che produce Grana Padano e salumi tradizionali mantovani, venduti nel punto vendita aziendale di Romanore.",Tue-Sat 08:30-12:30 and 15:30-19:30,+390376648090,,,,,,45.05000,10.75000,,pendiente,no comprobado,,Carne,3163,it,,,,,
nuovo-caseificio-andreasi,Nuovo Caseificio Andreasi,Borgo Mantovano,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Coazze, 2, Villa Poma, 46036 Borgo Mantovano MN",Cooperativa lattiero-casearia attualmente riconosciuta dal consorzio del Parmigiano Reggiano come unità produttiva attiva.,,+390386565279,,,,,,45.05749,11.12547,,pendiente,no comprobado,,,2689,it,,,,,
latteria-agricola-begozzo,Latteria Agricola Begozzo,Gonzaga,Lácteos y quesos,Parmigiano Reggiano DOP,"Strada Begozzo, 10, Palidano, 46023 Gonzaga MN",Cooperativa lattiero-casearia che produce Parmigiano Reggiano e gestisce un punto vendita aziendale aperto al pubblico.,09:00-12:30; 15:30-18:30,+390376403453,caseificio@latteriabegozzo.it,https://www.latteriabegozzo.it/,,,,44.95,10.81667,,pendiente,no comprobado,,,2310,it,,,,,
latteria-agricola-marzette,Latteria Agricola Marzette,Gonzaga,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Marzette, 14/B, Bondeno, 46023 Gonzaga MN",Cooperativa lattiero-casearia che produce Parmigiano Reggiano e gestisce un punto vendita aperto al pubblico.,10:30-12:00,+39037654067,info@latteriamarzette.it,https://www.latteriamarzette.it/,,,,44.95,10.81667,,pendiente,no comprobado,,,2314,it,,,,,
latteria-agricola-venera-vecchia,Latteria Agricola Venera Vecchia,Gonzaga,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Roncore, 36/A, Bondeno, 46023 Gonzaga MN",Unità lattiero-casearia di Mantova attualmente indicata dal consorzio PDO come produttrice di Parmigiano Reggiano.,,+393701589119,info@veneravecchia.com,https://www.veneravecchia.com/,,,,44.95,10.81667,,pendiente,no comprobado,,,2321,it,,,,,
fienilnuovo-1644,Società Agricola Fienilnuovo 1644,Gonzaga,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Carlo Guerrieri Gonzaga, 7, Palidano, 46023 Gonzaga MN","Caseificio a filiera corta che produce Parmigiano Reggiano, con uno spaccio in loco e un sito di e-commerce ufficiale.",09:00-12:00; 15:00-18:00,+390376534244,monica.pederzoli@fienilnuovo1644.it,https://www.fienilnuovo1644.it/shop/,,,,44.95,10.81667,,pendiente,sí,ecommerce,,3169,it,,,,,
natura-agricola-barbieri,Natura Agricola di Barbieri F.lli,Quistello,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Donismonda, 23, 46026 Quistello MN",Azienda agricola familiare che produce attualmente Parmigiano Reggiano e gestisce un punto vendita aperto al pubblico.,,+39037656366,naturaagricola@tiscali.it,,,,,45.00658,10.98046,,pendiente,no comprobado,,,2662,it,,,,,
caseificio-cooperativo-pironda,Caseificio Cooperativo Pironda,Motteggiana,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Matteotti, 8, Torricella, 46020 Motteggiana MN",Caseificio cooperativo che produce Parmigiano Reggiano dal 1949 con latte conferito dalle aziende agricole socie.,15:00-18:30,+393475737051,valeriopincella@alice.it,https://pironda.it/,,,,45.03333,10.76667,,pendiente,no comprobado,,,1036,it,,,,,
latteria-sociale-gonfo,Latteria Sociale Gonfo,Motteggiana,Lácteos y quesos,Parmigiano Reggiano DOP,"Via Argine Po, 86, Villa Saviola, 46020 Motteggiana MN","Storica cooperativa lattiero-casearia che produce e stagiona Parmigiano Reggiano, con punto vendita aziendale e commercio elettronico.",08:30-12:00; 15:30-18:30,+393518772799,latteriasocialegonfo@gmail.com,https://www.latteriasocialegonfo.com/,,,,45.03333,10.76667,,pendiente,sí,ecommerce,,2407,it,,,,,
