slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
birrificio-oltrepo,Birrificio Oltrepò,Colli Verdi,Cerveza,birra artigianale,"Località Casa Balestrieri 44, Mombelli, Colli Verdi",,,,,https://www.birrificiooltrepo.it/,,,https://www.google.com/maps/search/?api=1&query=44.870231%2C9.2354403&query_place_id=ChIJ1bpFwRJLh0cRQAQqyXnHJpw,44.870231,9.2354403,,,no comprobado,,,639,,,,,,,it,lombardia,pavia,,,,,,
cascine-orsine,Cascine Orsine,Bereguardo,Lácteos y quesos,"caciotte, robiola, ricotta, yogurt","Via Cascina Orsine 5, Bereguardo","Azienda agricola biodinamica che alleva bestiame e produce i propri formaggi e yogurt, oltre a cereali, miele e olio.",,+390382920283,info@cascineorsine.it,https://www.cascineorsine.it/,,,https://www.google.com/maps/search/?api=1&query=Cascine%20Orsine%2C%20Via%20Cascina%20Orsine%205%2C%20Bereguardo&query_place_id=ChIJb7WhfgPghkcRTjAEOkft75s,45.2489934,9.0152736,,,sí,email,Legumbres y cereales|Miel|Aceite,892,it,,,,,,it,lombardia,pavia,,,,,,
casearia-castelli-carbonara,Casearia Castelli,Carbonara al Ticino,Lácteos y quesos,Grana Padano DOP,"Strada Statale dei Cairoli 16, Carbonara al Ticino","Stabilimento lattiero-caseario del Gruppo Castelli e membro del consorzio del Grana Padano, che produce formaggi italiani tutelati a Carbonara al Ticino.",,,,https://castelligroup.com/,,,,45.17382,9.08249,,pendiente,no comprobado,,,901,it,,,,,,it,lombardia,pavia,,,,,,
caseificio-casari-bruno-ballone,Caseificio Casari — Bruno Ballone,Cassolnovo,Lácteos y quesos,"crescenza, ricotta, cremino, Testone, yogurt","Via Carlo Alberto 155, Cassolnovo",Laboratorio caseario gestito dal casaro Bruno Ballone e documentato come trasformatore di latte delle aziende agricole locali in formaggi freschi e yogurt.,,+390381929257,,,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Casari%20%E2%80%94%20Bruno%20Ballone%2C%20Via%20Carlo%20Alberto%20155%2C%20Cassolnovo&query_place_id=ChIJ1WVaTef7hkcRChXqAm40-QM,45.3717028,8.8048312,,pendiente,no comprobado,,,1008,it,,,,,,it,lombardia,pavia,,,,,,
auricchio-cava-manara,Auricchio — Cava Manara,Cava Manara,Lácteos y quesos,"provolone, formaggi italiani","Via Alessandria 1, Cava Manara","Stabilimento produttivo e punto vendita aziendale di Auricchio a Cava Manara, dove si producono e vendono i formaggi italiani del gruppo.",Jue-Sáb 09:00-12:00,,,https://www.auricchio.it/,,,,45.13333,9.1,,pendiente,no comprobado,,,222,it,,,,,,it,lombardia,pavia,,,,,,
il-boscasso,Il Boscasso,Colli Verdi,Lácteos y quesos,"caprini freschi e stagionati, ricotta, yogurt","Località Boscasso 1, Ruino, Colli Verdi","Azienda caprina e caseificio agricolo che producono un'ampia gamma di formaggi caprini freschi, stagionati ed erborinati, oltre a ricotta e yogurt.",,+393388680179,info@ilboscasso.it,https://www.ilboscasso.it/,,,https://www.google.com/maps/search/?api=1&query=Il%20Boscasso%2C%20Localit%C3%A0%20Boscasso%201%2C%20Ruino%2C%20Colli%20Verdi&query_place_id=ChIJbcQgqaZKh0cRhHgMTr9JKDI,44.9181924,9.2666947,,,no comprobado,,,2094,it,,,,,,it,lombardia,pavia,,,,,,
galbani-corteolona,Galbani — stabilimento di Corteolona,Corteolona e Genzone,Lácteos y quesos,"mozzarella Santa Lucia, ricotta, Dolcelatte, Gorgonzola Gim","Via dei Caduti 15-17, Corteolona e Genzone","Lo stabilimento Galbani di Corteolona produce mozzarella, ricotta dolce, crema di ricotta e formaggi erborinati.",,,,https://www.galbani.it/,,,,45.15,9.36667,,pendiente,no comprobado,,,1985,it,,,,,,it,lombardia,pavia,,,,,,
galbani-giussago,Galbani — stabilimento di Giussago,Giussago,Lácteos y quesos,"Bel Paese, Certosa, mascarpone, burro","Via Stazione 5-7, Giussago","Storico stabilimento lattiero-caseario Galbani che produce i formaggi Bel Paese e Certosa, burro, mascarpone e formaggi spalmabili.",,,,https://www.galbani.it/,,,,45.2517501,9.162135,,,no comprobado,,,1986,it,,,,,,it,lombardia,pavia,,,,,,
caseificio-fratelli-cavanna,Caseificio F.lli Cavanna,Rivanazzano Terme,Lácteos y quesos,"Stafforella, crescenza, ricotta, mozzarella, caprini","Via Giuseppe Verdi 7, Rivanazzano Terme","Caseificio familiare fondato nel 1952 che produce formaggi di latte vaccino e caprino, yogurt, ricotta e dessert.",,+39038391406,info@caseificiocavanna.com,https://www.caseificiocavanna.com/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20F.lli%20Cavanna%2C%20Via%20Giuseppe%20Verdi%207%2C%20Rivanazzano%20Terme&query_place_id=ChIJd8a5ME5Hh0cR66rPFP6p7Qw,44.939147,9.0244381,,,no comprobado,,,1106,it,,,,,,it,lombardia,pavia,,,,,,
alle-cascine-siziano,Alle Cascine — caseificio di Siziano,Siziano,Lácteos y quesos,formaggi vaccini e sardi,"Cascina Granzetta, Siziano","Cooperativa sociale che gestisce un caseificio integrato a Siziano, con propri bovini e terreni, e produce formaggi con il marchio Alle Cascine.",,,,https://www.allecascine.com/,,,,45.3274465,9.2095365,,,no comprobado,,Carne,136,it,,,,,,it,lombardia,pavia,,,,,,
