slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
panificio-artigianale,Panificio Artigianale,Agugliano,Pan y cereal,,,,,,,,,,,43.543932,13.387330,,pendiente,no comprobado,,,2747,,,,,,
cantina-sociale-di-matelica-e-cerreto-d-esi,Cantina Sociale di Matelica e Cerreto d'Esi,Ancona,Vino,,,,,,,,,,,43.607447,13.502243,,pendiente,no comprobado,,,799,,,,,,
forno-bedini,Forno Bedini,Ancona,Pan y cereal,,,,,,,,,,,43.597083,13.517846,,pendiente,no comprobado,,,1839,,,,,,
forno-sterlacchini,Forno Sterlacchini,Ancona,Pan y cereal,,,,,,,,,,,43.588834,13.493075,,pendiente,no comprobado,,,1927,,,,,,
il-vecchio-forno-delle-grazie,Il Vecchio Forno delle Grazie,Ancona,Pan y cereal,,,,,,,,,,,43.601394,13.515231,,pendiente,no comprobado,,,2149,,,,,,
panificio-boccolini,Panificio Boccolini,Ancona,Pan y cereal,,,,,,,,,,,43.608567,13.513667,,pendiente,no comprobado,,,2757,,,,,,
panificio-fratelli-fabbri,Panificio Fratelli Fabbri,Ancona,Pan y cereal,,,,,,,,,,,43.613631,13.527805,,pendiente,no comprobado,,,2814,,,,,,
panificio-galeazzi,Panificio Galeazzi,Ancona,Pan y cereal,,,,,,,,,,,43.602802,13.496785,,pendiente,no comprobado,,,2819,,,,,,
panificio-orientale,Panificio Orientale,Ancona,Pan y cereal,,,,,,,,,,,43.602293,13.508149,,pendiente,no comprobado,,,2874,,,,,,
azienda-agricola-oriano-mercante,Azienda Agricola Oriano Mercante,Camerano,Otros,,,,,,,,,,,43.514162,13.566881,,pendiente,no comprobado,,,427,,,,,,
panificio-cingolani,Panificio Cingolani,Castelbellino,Pan y cereal,,,,,,,,,,,43.501314,13.185746,,pendiente,no comprobado,,,2782,,,,,,
panificio-belfanti,Panificio Belfanti,Castelleone di Suasa,Pan y cereal,,,,,,,,,,,43.607787,12.976658,,pendiente,no comprobado,,,2754,,,,,,
panificio-dolciumi-bontempo,Panificio Dolciumi Bontempo,Chiaravalle,Pan y cereal,,,,,,,,,,,43.600328,13.325650,,pendiente,no comprobado,,,2802,,,,,,
forno-madre,Forno Madre,Fabriano,Pan y cereal,,,,,,,,,,,43.343769,12.897328,,pendiente,no comprobado,,,1897,,,,,,
forno-taccalite,Forno Taccalite,Falconara Marittima,Pan y cereal,,,,,,,,,,,43.606153,13.364906,,pendiente,no comprobado,,,1928,,,,,,
panificio-gaby,Panificio Gaby,Falconara Marittima,Pan y cereal,,,,,,,,,,,43.623763,13.383251,,pendiente,no comprobado,,,2818,,,,,,
forno-ivano,Forno Ivano,Jesi,Pan y cereal,,,,,,,,,,,43.520641,13.246982,,pendiente,no comprobado,,,1889,,,,,,
panificio-ciarmatori-e-luzi,Panificio Ciarmatori e Luzi,Jesi,Pan y cereal,,,,,,,,,,,43.521636,13.243261,,pendiente,no comprobado,,,2779,,,,,,
panificio-pasticceria-marche,Panificio Pasticceria Marche,Jesi,Pan y cereal,,,,,,,,,,,43.527502,13.249225,,pendiente,no comprobado,,,2884,,,,,,
