slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
ilaria-salvetti,Ilaria Salvetti,Caluso,Vino,vini di Caluso,"Via G. Marconi, 7, 10014 Caluso TO",,,,,https://www.ilariasalvetti.com/,https://it-it.facebook.com/cantinailariasalvetti/,,https://www.google.com/maps/search/?api=1&query=Ilaria%20Salvetti%2C%20Via%20G.%20Marconi%2C%207%2C%2010014%20Caluso%20TO&query_place_id=ChIJgwWXEUh-iEcRa9Z1LtLSei8,45.308679399999995,7.8880447,,,no comprobado,,,2154,,,,,,,it,piemonte,torino,,,,,,
i-conti-della-serva,I Conti della Serva,Cinzano,Conservas,"conserve, confetture e miele biologici","Via Regione Aprà, 7, 10090 Cinzano TO",,,,,https://www.icontidellaserva.it/,,,https://www.google.com/maps/search/?api=1&query=I%20Conti%20della%20Serva%2C%20Via%20Regione%20Apr%C3%A0%2C%207%2C%2010090%20Cinzano%20TO&query_place_id=ChIJGT3wxTbfh0cRMqH8SEpiTG0,45.094359999999995,7.911416,,,no comprobado,,,2075,,,,,,,it,piemonte,torino,,,,,,
filodilana-birrificio-indipendente,Filodilana Birrificio Indipendente,Avigliana,Cerveza,birra artigianale,"Via Albert Einstein, 18, 10051 Avigliana TO",,,+393471422890,filodiretto@birrafilodilana.it,https://www.birrafilodilana.it/,,,https://www.google.com/maps/search/?api=1&query=45.0826943%2C7.3739344&query_place_id=ChIJnVfHqnZHiEcRX5vwTSzA_Xk,45.0826943,7.3739344,,,no comprobado,,,1797,,,,,,,it,piemonte,torino,,,,,,
birrificio-aleghe,Birrificio Aleghe,Giaveno,Cerveza,birra artigianale,"Via Beale, 40 bis, 10094 Giaveno TO",,,,birra.aleghe@gmail.com,https://www.aleghebirra.com,,,https://www.google.com/maps/search/?api=1&query=45.0351564%2C7.351284499999999&query_place_id=ChIJo4LuVck3iEcRADkj7kk3ZCo,45.0351564,7.351284499999999,,,no comprobado,,,587,,,,,,,it,piemonte,torino,,,,,,
birrificio-rabel,Birrificio Rabèl,Ivrea,Cerveza,birra artigianale,"Via Torino, 275, 10015 Ivrea TO",,,+390125361784,,https://www.birrarabel.it,,,https://www.google.com/maps/search/?api=1&query=45.4508917%2C7.878714899999999&query_place_id=ChIJS-VRmriFiEcRpyYPnkL7MZ8,45.4508917,7.878714899999999,,,no comprobado,,,644,,,,,,,it,piemonte,torino,,,,,,
birrificio-pinerolese,Birrificio Pinerolese,Pinerolo,Cerveza,birra artigianale,"Corso Torino, 422, 10064 Pinerolo TO",,,+393384384203,info@birrificiopinerolese.it,https://www.birrificiopinerolese.it/,,,https://www.google.com/maps/search/?api=1&query=44.890938%2C7.374921&query_place_id=ChIJKXrdN5gkiEcRNMjSDoUV95w,44.890938,7.374921,,,no comprobado,,,642,,,,,,,it,piemonte,torino,,,,,,
birrificio-gilac,BIRRIFICIO GILAC,Rivoli,Cerveza,birra artigianale,"Via Genova, 61/a, 10098 Rivoli TO",,,+39119689254,info@gilac.it,https://www.gilac.it,,,https://www.google.com/maps/search/?api=1&query=45.0648987%2C7.5565183&query_place_id=ChIJS810I9xqiEcRTG5RM-aMHDE,45.0648987,7.5565183,,,sí,ecommerce,,627,,,,,,,it,piemonte,torino,,,,,,
birrificio-parsifal,Birrificio Parsifal,San Raffaele Cimena,Cerveza,birra artigianale,"Via Chivasso, 43, 10090 San Raffaele Cimena TO",,,,info@birrificioparsifal.it,https://www.birrificioparsifal.it,,,https://www.google.com/maps/search/?api=1&query=45.1585901%2C7.852393999999999&query_place_id=ChIJB4iingt3iEcRER2eMCYV3lI,45.1585901,7.852393999999999,,,sí,ecommerce,,641,,,,,,,it,piemonte,torino,,,,,,
metzger-1848,METZGER 1848,Torino,Cerveza,birra artigianale,"Via Catania, 37, 10153 Torino TO",,,+3901119784053,info@metzger1848.com,https://www.metzger1848.com/,,,https://www.google.com/maps/search/?api=1&query=45.0772519%2C7.6991495&query_place_id=ChIJ-Rdck55tiEcRmqp6gLwocpM,45.0772519,7.6991495,,,no comprobado,,,2603,,,,,,,it,piemonte,torino,,,,,,
soralama,SORALAMÀ,Vaie,Cerveza,birra artigianale,"Via Nazionale, 14, 10050 Vaie TO",,,,,https://www.soralama.it/,,,https://www.google.com/maps/search/?api=1&query=45.107066%2C7.2922423&query_place_id=ChIJdasW5XRJiEcRfihK4P6rjkQ,45.107066,7.2922423,,,sí,ecommerce,,3209,,,,,,,it,piemonte,torino,,,,,,
beba,BEBA,Villar Perosa,Cerveza,birra artigianale,"Viale Italia, 11, 10069 Villar Perosa TO",,,,,https://www.birrabeba.it/,,,https://www.google.com/maps/search/?api=1&query=44.921011%2C7.2411919&query_place_id=ChIJ79LgSN8xiEcRoFbGg52Sde8,44.921011,7.2411919,,,no comprobado,,,526,,,,,,,it,piemonte,torino,,,,,,
caseificio-longo,Caseificio Longo,Rivarolo Canavese,Lácteos y quesos,"Toma Piemontese DOP, Tomino del Boscaiolo","Via Leonardo da Vinci 43, 10086 Rivarolo Canavese TO",Caseificio del Canavese activo desde 1950 e incluido como operador idóneo de Toma Piemontese DOP.,,+390124428247,info@caseificiolongo.it,https://www.caseificiolongo.it/,,,,45.33122,7.71713,,pendiente,no comprobado,,,1225,es,,,,,,it,piemonte,torino,,,,,,
