slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
valle-ofanto,Valle Ofanto,San Ferdinando di Puglia,Fruta y verdura,"olio Coratina biologico, frutta di stagione","Via Luigi Settembrini, 46, 71046 San Ferdinando di Puglia BT",,,,,https://www.valleofanto.eu/,https://www.facebook.com/ValleOfantoBio/,,https://www.google.com/maps/search/?api=1&query=Valle%20Ofanto%2C%20Via%20Luigi%20Settembrini%2C%2046%2C%2071046%20San%20Ferdinando%20di%20Puglia%20BT&query_place_id=ChIJF-E1SIAjOBMR_uJLlUWenrc,41.299980999999995,16.066384,,,sí,ecommerce,,3331,,,,,,,it,puglia,barletta-andria-trani,,,,,,
caseificio-asseliti,Caseificio Asseliti Domenico e De Fato,Andria,Lácteos y quesos,"burrata, mozzarella, caciocavallo, ricotta, scamorza, formaggi freschi e stagionati","Via Antonio Da Villa, 8, 76123 Andria BT","Caseificio familiare che produce formaggi pugliesi freschi e stagionati, con un punto vendita diretto presso l’unità produttiva.","Lun, Mar, Mer, Ven, Sab 08:30-14:00 / 15:00-20:00; Gio 08:30-19:30",+390883541513,asselitiriccardo5@gmail.com,https://www.caseificioasseliti.it/,,,,41.23167,16.30833,,pendiente,no comprobado,,,955,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
la-daria-caseificio-andriese,La Daria - Caseificio Andriese,Andria,Lácteos y quesos,"formaggi, mozzarella, burrata","Via Marco Nemesiano, 12-16, Zona PIP, 76123 Andria BT","Il caseificio della famiglia Addario produce formaggi a marchio proprio, mozzarella e burrata con l'identità La Daria.",,+390883559460,info@ladaria.it,https://www.ladaria.it/,,,,41.23167,16.30833,,pendiente,no comprobado,,,2225,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
caseificio-del-90,Caseificio del '90,Andria,Lácteos y quesos,"burrata, mozzarella, formaggi freschi","Viale Don Luigi Sturzo, 59, 76123 Andria BT",Caseificio della famiglia Perina che custodisce la tradizione della burrata artigianale e dei formaggi freschi di Andria.,Lun-Sab 07:30-20:00,+390883595896,info@caseificiodel90.it,https://caseificiodel90.it/,,,,41.23167,16.30833,,pendiente,no comprobado,,,1065,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
caseificio-europa,Caseificio Europa,Andria,Lácteos y quesos,"burrata, nodini, bocconcini, scamorza, ricotta, cacioricotta, caciotta","Via Valerio Flacco, 15, 76123 Andria BT","Caseificio della famiglia Aruanno che produce formaggi freschi, affumicati e stagionati per clienti privati e professionali.",,+390883545237,info@caseificioeuropa.it,https://www.caseificioeuropa.it/,,,,41.23167,16.30833,,pendiente,no comprobado,,,1101,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
caseificio-fratelli-simone,Caseificio Fratelli Simone,Andria,Lácteos y quesos,"Burrata di Andria IGP, formaggi freschi e stagionati","Via Saverio Mercadante, 41, 76123 Andria BT",Caseificio di Andria con una storia di più generazioni e attuale membro del consorzio di tutela della Burrata di Andria IGP.,,,info@caseificiosimone.it,https://caseificiosimone.it/,,,,41.23167,16.30833,,pendiente,no comprobado,,,1135,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
caseificio-primo-latte,Caseificio Primo Latte,Andria,Lácteos y quesos,"Burrata di Andria IGP, fior di latte, scamorza, formaggi freschi e stagionati","Via Publio Varrone, Zona PIP, 76123 Andria BT","Caseificio di Andria che produce Burrata di Andria IGP e un'ampia gamma di formaggi freschi, stagionati e affumicati.",,+3908831927239,info@caseificioprimolatte.com,https://www.caseificioprimolatte.com/,,,,41.23167,16.30833,,pendiente,no comprobado,,,1311,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
caseificio-santa-croce,Caseificio Santa Croce,Andria,Lácteos y quesos,"mozzarella, ricotta, scamorza, stracciatella, formaggi senza lattosio","Via Marco Antonio, 15, 76123 Andria BT",Caseificio artigianale con un punto vendita presso lo stabilimento produttivo di Andria e una gamma esplicitamente documentata di formaggi artigianali e senza lattosio.,Lun-Sab 08:30-13:30 / 17:00-21:00,+393206617012,,https://www.localshop24.com/it/andria-bt-it/attivita/negozio-generi-alimentari/caseificio-santa-croce/,,,,41.23167,16.30833,,pendiente,no comprobado,,,1360,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
caseificio-fratelli-nuzzi,Caseificio Fratelli Nuzzi,Andria,Lácteos y quesos,"Burrata di Andria IGP, mozzarella, ricotta, scamorza, stracciatella, formaggi freschi e stagionati","Via Marcellino Ammiano, 13, Zona PIP, 76123 Andria BT","Caseificio familiare con un'unità produttiva dedicata e quattro punti vendita diretti, che produce formaggi pugliesi freschi, affumicati e stagionati.",,+390883559919,fratellinuzzi@gmail.com,https://www.caseificionuzzi.it/,,,,41.23167,16.30833,,pendiente,no comprobado,,,1132,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
le-delizie-del-latte-fucci,Le Delizie del Latte di Vincenzo Fucci,Andria,Lácteos y quesos,"burrata, mozzarella anni Sessanta","Viale Trentino, 4, 76123 Andria BT",Piccolo caseificio di Andria dove Vincenzo Fucci produce attualmente burrata e mozzarella tradizionale a coltura di siero.,,,,https://www.repubblica.it/il-gusto/2026/03/02/news/dalla_burrata_ai_vini_e_ai_confetti_i_tesori_di_andria-425194257/,,,,41.23167,16.30833,,pendiente,no comprobado,,,2485,it,,,,,,it,puglia,barletta-andria-trani,,,,,,
