slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
officine-birrai,OFFICINE BIRRAI,Lecce,Cerveza,birra artigianale,"Via G. D'Annunzio, 52, 73100 Lecce LE",OFFICINE BIRRAI is an independent brewery in Lecce producing its own craft beer.,,+390832407264,info@officinebirrai.it,https://www.officinebirrai.it,,,https://www.google.com/maps/search/?api=1&query=40.35912769999999%2C18.1776472&query_place_id=ChIJDykEFL8vRBMR3ECnx0MWNOo,40.35912769999999,18.1776472,,,no comprobado,,,2695,en,,,,,,it,puglia,lecce,,,,,,
caseificio-del-capo,Caseificio del Capo,Alessano,Lácteos y quesos,"burrata, mozzarella, latticini","SS 275, km 26, 73031 Alessano LE","Artisan Salento dairy specializing in burrata and fresh cheeses, with several direct retail locations.",,+393456289236,caseificiodelcapo@outlook.it,https://www.burrateriacaseificiodelcapo.it/,,,,39.88333,18.33333,,pendiente,sí,ecommerce,,1066,en,,,,,,it,puglia,lecce,,,,,,
caseificio-del-sole-castrignano-de-greci,Caseificio del Sole,Castrignano de' Greci,Lácteos y quesos,"mozzarella, formaggi freschi, formaggi stagionati DOP, yogurt","Via Corigliano, zona PIP, 73020 Castrignano de' Greci LE",Dairy producing an artisan range from Italian milk for retail and wholesale.,Lun-Sab 07:00-13:30,+390836583775,caseificiodelsole@live.it,https://www.caseificiodelsole.com/contatti,,,,40.2,18.3,,pendiente,no comprobado,,,1069,en,,,,,,it,puglia,lecce,,,,,,
azienda-zootecnica-tiri,Azienda Zootecnica Tirì,Corigliano d'Otranto,Lácteos y quesos,"cacioricotta, ricotta, ricotta forte, primo sale pecorino, ricotta marzotica, giuncata","SP Corigliano-Cutrofiano, km 1, Contrada Melele, 73022 Corigliano d'Otranto LE",Salento livestock farm of Carlo Pulimeno and Patrizia Panizza producing its own sheep cheeses.,,,,https://search.reteimprese.it/formaggi/,,,,40.16667,18.25,,pendiente,no comprobado,,,502,en,,,,,,it,puglia,lecce,,,,,,
caseificio-sciacuddri,Caseificio Sciacuddri,Cutrofiano,Lácteos y quesos,"pecorino, primo sale, ricotta, giuncata, cacioricotta","Contrada Cafaro, SP 278, 73020 Cutrofiano LE",Small farm dairy transforming sheep milk with traditional methods.,Lun-Dom 08:00-18:00,+393336111365,sciacuddri@live.it,https://aziende.agraria.org/latte-crudo/lecce/sciacuddri.html,,,,40.13333,18.2,,pendiente,no comprobado,,,1368,en,,,,,,it,puglia,lecce,,,,,,
la-lattoria,La Lattoria - Azienda Agricola Melcarne,Gagliano del Capo,Lácteos y quesos,"latte fresco pastorizzato, formaggi, yogurt","SS 275, km 31.5, 73034 Gagliano del Capo LE","Cattle farm processing its own milk into fresh milk, cheeses and multiple yogurt varieties.",,,,https://passalorto.it/produttori,,,,39.85,18.36667,,pendiente,no comprobado,,,2247,en,,,,,,it,puglia,lecce,,,,,,
caseificio-di-galatina,Caseificio di Galatina,Galatina,Lácteos y quesos,"mozzarella, burrata, stracciatella, ricotta, caciotta, scamorza, burro, yogurt","Via Giacomo Viva, 73013 Galatina LE",Local dairy producing a broad range of fresh cow- and sheep-milk products across two authorized Galatina units.,Lun-Mer e Ven 07:15-13:45 e 16:30-20:00; Gio-Sab 07:15-13:45,,,https://aziende.virgilio.it/caseifici/galatina-le/caseificio-di-galatina-galatina-le,,,,40.16667,18.16667,,pendiente,no comprobado,,,1077,en,,,,,,it,puglia,lecce,,,,,,
caseificio-barone-gallipoli,Caseificio Barone,Gallipoli,Lácteos y quesos,"mozzarella, burrata, scamorza, ricotta, giuncata, primo sale","SP 361 Gallipoli-Alezio, 73014 Gallipoli LE",Gallipoli dairy with current authorized production and a long-standing local retail presence.,,+390833274843,caseificiobarone@caseificiobarone.it,,,,,40.05556,17.99167,,pendiente,no comprobado,,,965,en,,,,,,it,puglia,lecce,,,,,,
caseifici-foscarini,Caseifici Foscarini,Maglie,Lácteos y quesos,"mozzarella, burrata, ricotta, stracciatella, giuncata, scamorza, primo sale","Via Fratelli Piccinno, 15, 73024 Maglie LE",Established Maglie dairy producing a wide selection of fresh and seasoned cheeses.,Lun-Sab 07:35-13:35,+390836424777,,https://caseificiofoscarini.com/,,,,40.11667,18.3,,pendiente,no comprobado,,,921,en,,,,,,it,puglia,lecce,,,,,,
caseificio-dolce-latte-minervino-di-lecce,Caseificio Dolce Latte,Minervino di Lecce,Lácteos y quesos,formaggi vaccini e ovini,"Via Galileo Galilei, 21, 73027 Minervino di Lecce LE",Local dairy currently authorized to make fresh cow- and sheep-milk cheeses.,,,,https://www.overplace.com/puglia/le/minervino-di-lecce/azienda-locale/caseificio-dolce-latte-di-mauro-gianni.html,,,,40.08335,18.41396,,pendiente,no comprobado,,,1094,en,,,,,,it,puglia,lecce,,,,,,
caseificio-ruffo,Caseificio Ruffo,Ruffano,Lácteos y quesos,"formaggi, latticini, yogurt","Via Torino, 61, 73049 Ruffano LE","Ruffano dairy with current public retail activity and authorized cow-, goat- and sheep-milk production.",,+393351810014,,https://www.tuttiaffari.com/caseificio-ruffo-di-andreatridici-c-snc-335-181-0014,,,,39.98333,18.25,,pendiente,no comprobado,,,1331,en,,,,,,it,puglia,lecce,,,,,,
caseificio-cuore-di-latte,Caseificio Artigianale Cuore di Latte,Squinzano,Lácteos y quesos,formaggi ovini,"Via Lecce, 157, 73018 Squinzano LE",Artisan neighborhood dairy with an authorized sheep-cheese processing unit.,,,,https://www.localshop24.com/it/squinzano-le-it/attivita/negozio-generi-alimentari/caseificio-artigianale-cuore-di-latte/,,,,40.43333,18.05,,pendiente,no comprobado,,,948,en,,,,,,it,puglia,lecce,,,,,,
alimilk-la-salentina,Alimilk - La Salentina,Taviano,Lácteos y quesos,"mozzarella julienne, burrata, fior di latte, ricotta","Via Guido Scategni, 73057 Taviano LE","Apulian dairy with more than thirty years of production, operating three specialized plants and the La Salentina brand.",,+393398871000,info@alimilk.eu,https://www.alimilk.eu/,,,,39.98333,18.08333,,pendiente,no comprobado,,,131,en,,,,,,it,puglia,lecce,,,,,,
caseificio-serafino,Caseificio Serafino,Tiggiano,Lácteos y quesos,"mozzarella, formaggi, latticini","Via XXIV Maggio, 178, 73030 Tiggiano LE","Tiggiano dairy with current retail activity and authorized cow-, goat- and sheep-milk cheese production.",Lun-Sab 07:00-13:30,+393473764511,caseificioserafino@libero.it,,,,,39.9,18.36667,,pendiente,no comprobado,,,1372,en,,,,,,it,puglia,lecce,,,,,,
edo-quarta-coffee-roasters,Edo Quarta Coffee Roasters,Lecce,Café,"Café en grano, espresso y filtro",,Microtorrefazione de café de especialidad creada por Edoardo Quarta en Lecce con obrador de tueste propio.,,+390832258011,,https://eshop.edoquarta.it/it/,,https://www.instagram.com/edoquartacoffeeroasters/,,40.35201,18.16914,,,sí,ecommerce,,1694,es,,,,,,it,puglia,lecce,,,,,,
cantele,Cantele,Guagnano,Vino,,,,,,cantele@cantele.it,https://www.cantele.it/,https://www.facebook.com/cantelewines,https://www.instagram.com/cantelewinery/,,40.4,17.95,,pendiente,no comprobado,,,3669,,,,,,,it,puglia,lecce,,,,,,
caricato,Caricato,San Pietro in Lama,Aceite,,,,,+393299447354,info@caricato.it,https://www.caricato.it/,https://www.facebook.com/Caricato1815/,,,,,,pendiente,sí,ecommerce,,3670,,,,,,,it,puglia,lecce,,,,,,
conti-zecca,Conti Zecca,Leverano,Vino,,,,,,,https://contizecca.it/,https://www.facebook.com/conti.zecca,https://www.instagram.com/contizecca,,40.28333,18.08333,,pendiente,sí,ecommerce,,3671,,,,,,,it,puglia,lecce,,,,,,
cupertinum,Cupertinum,Copertino,Vino,,,,,+390832947031,info@cupertinum.it,https://www.cupertinum.it/,https://www.facebook.com/cupertinum.cantinasocialecopertino/,https://www.instagram.com/cupertinum.cantina.copertino_/,,40.26667,18.05,,pendiente,no comprobado,,,3672,,,,,,,it,puglia,lecce,,,,,,
leone-de-castris,Leone de Castris,Salice Salentino,Vino,,,,,+390832731112,info@leonedecastris.com,https://www.leonedecastris.com/,https://www.facebook.com/LeonedeCastris,https://www.instagram.com/leonedecastris1665/,,,,,pendiente,sí,ecommerce,,3673,,,,,,,it,puglia,lecce,,,,,,
olio-conte,Olio Conte,Sternatia,Aceite,,,,,,,https://www.olioconte.com/it,https://www.facebook.com/Olio-Conte-115632575131851/,,,40.21667,18.23333,,pendiente,no comprobado,,,3674,,,,,,,it,puglia,lecce,,,,,,
romaldo-greco,Romaldo Greco,Salve,Vino,,,,,,info@romaldogreco.it,https://www.romaldogreco.it/,https://www.facebook.com/romaldogreco,https://www.instagram.com/romaldogreco/,,39.85894,18.25652,,pendiente,no comprobado,,,3675,,,,,,,it,puglia,lecce,,,,,,
vini-garofano,Vini Garofano,Copertino,Vino,,,,,,info@vinigarofano.it,https://vinigarofano.it/,https://www.facebook.com/Garofano.VignetiCantine,https://www.instagram.com/garofanowinestyle/,,40.26667,18.05,,pendiente,no comprobado,,,3676,,,,,,,it,puglia,lecce,,,,,,
