slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
caseificio-silvio-boi,Caseificio Silvio Boi,Cardedu,Lácteos y quesos,Pecorino Sardo DOP,"Via Nazionale, 8, 08040 Cardedu NU",Il Caseificio Silvio Boi produce Pecorino Sardo DOP e altri formaggi ovini e caprini nel proprio caseificio di Cardedu.,,+39078275802,info@caseificiosilvioboi.it,https://www.caseificiosilvioboi.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Silvio%20Boi%2C%20Via%20Nazionale%2C%208%2C%2008040%20Cardedu%20NU&query_place_id=ChIJvb-udHE83hIRxi4PAn3xfr8,39.7969905,9.6225477,,,no comprobado,,,1377,it,,,,,
caseificio-sant-antonio-tertenia,Caseificio Sant'Antonio,Tertenia,Lácteos y quesos,Pecorino Sardo DOP,"Località San Pietro, 08047 Tertenia NU",La cooperativa del Caseificio Sant'Antonio produce Pecorino Sardo DOP e altri formaggi ovini e caprini a Tertenia.,,+39078293713,caseificio.tertenia@tiscali.it,https://www.caseificiotertenia.it/it_it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Sant%27Antonio%2C%20Localit%C3%A0%20San%20Pietro%2C%2008047%20Tertenia%20NU&query_place_id=ChIJaRYZoloi3hIRtUIrlW0Txcg,39.7217422,9.5799474,,,no comprobado,,,1359,it,,,,,
caseificio-chiai,Società Agricola Caseificio Chiai,Bari Sardo,Lácteos y quesos,Casu Axedu / Fruhe,"Via Giorgio Asproni, 2, 08042 Bari Sardo NU","Caseificio familiare che produce Casu Axedu ovino e caprino, oltre a formaggi freschi e stagionati e yogurt.","Winter 08:00-12:00; summer 08:00-12:00, 16:00-19:00",+39078229916,minicaseificio@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Societ%C3%A0%20Agricola%20Caseificio%20Chiai%2C%20Via%20Giorgio%20Asproni%2C%202%2C%2008042%20Bari%20Sardo%20NU&query_place_id=ChIJx1PMZUM53hIR2t7vwZOZRXk,39.8363194,9.6514003,,pendiente,no comprobado,,,3157,it,,,,,
crabas-formaggi,Crabas Formaggi,Baunei,Lácteos y quesos,Fiocco di Neve,"SS 125 Orientale Sarda, 190, 08040 Baunei NU",Caseificio caprino che produce Casu Axedu e una gamma di formaggi caprini e creme allo yogurt.,09:00-20:00,+393291908381,matte.cabras83@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Crabas%20Formaggi%2C%20SS%20125%20Orientale%20Sarda%2C%20190%2C%2008040%20Baunei%20NU&query_place_id=ChIJlVW6BlhE3hIRnKiUatxNU98,40.0312840,9.6638806,,pendiente,no comprobado,,,1613,it,,,,,
formaggi-pistis,Mini Caseificio Formaggi Pistis,Lotzorai,Lácteos y quesos,Pecorino; caprino; Casu Agedu,"Via Milano, 08040 Lotzorai NU","Caseificio artigianale di quarta generazione che produce formaggi ovini e caprini, ricotta, caciotta e creme di formaggio.","Mon-Sat 09:00-13:00, 17:00-19:30; Sun 09:30-12:00",+393474911088,pistiscarlo61@gmail.com,https://www.formaggipistis.it/,,https://www.instagram.com/caseificio_pistis/,https://www.google.com/maps/search/?api=1&query=Mini%20Caseificio%20Formaggi%20Pistis%2C%20Via%20Milano%2C%2008040%20Lotzorai%20NU&query_place_id=ChIJ0byos7NH3hIRLHdhcPIia9k,39.9690924,9.6555171,,,sí,whatsapp,,2619,it,,,,,
caseificio-hircus,Caseificio Hircus,Perdasdefogu,Lácteos y quesos,Formaggi caprini freschi e stagionati,"Via Sebastiano Satta, 56, 08046 Perdasdefogu NU","Piccolo caseificio artigianale che trasforma il latte caprino in formaggi freschi e stagionati, yogurt, Casu Axedu e ricotta.",,+393802077853,,,https://www.facebook.com/p/Hircus-formaggi-100095322954710/,https://www.instagram.com/hircusformaggi/,https://www.google.com/maps/search/?api=1&query=Caseificio%20Hircus%2C%20Via%20Sebastiano%20Satta%2C%2056%2C%2008046%20Perdasdefogu%20NU&query_place_id=ChIJtUSlSIQb3hIRXCginwThOeM,39.6819239,9.4377774,,pendiente,no comprobado,,,1161,it,,,,,
caseificio-gruthas,Caseificio Gruthas,Urzulei,Lácteos y quesos,San Pantaleo,"Località Giustizieri, SS 125 km 176, 08040 Urzulei NU","Caseificio dell'Ogliastra che produce formaggi caprini, ovini e misti, ricotta, yogurt e creme di formaggio.",07:30-19:00,+393209546262,gruthas@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Gruthas%2C%20Localit%C3%A0%20Giustizieri%2C%20SS%20125%20km%20176%2C%2008040%20Urzulei%20NU&query_place_id=ChIJN954jJNn3hIRlyC6oiZtcZ0,40.1033200,9.5287700,,pendiente,no comprobado,,,1158,it,,,,,
birrificio-keja,Birrificio Keja,Bari Sardo,Cerveza,"Calmedia IPL, Trevessa IPA, Theria APA, Ruffia Helles","Zona Artigianale, SS 125 km 128, 08042 Bari Sardo NU","Microbirrificio indipendente di Bari Sardo che produce le proprie birre artigianali sarde Helles, IPA, APA e IPL.",,+393494139869,info@birrificiokeja.it,https://www.birrificiokeja.it/,,,https://www.google.com/maps/search/?api=1&query=Birrificio%20Keja%2C%20Zona%20Artigianale%2C%20SS%20125%20km%20128%2C%2008042%20Bari%20Sardo%20NU&query_place_id=ChIJ7eYzJz853hIRLfQ3jAb40fo,39.830394,9.646494,,,sí,ecommerce,,630,it,,,,,
azienda-agricola-f-lli-loi,Azienda Agricola F.lli Loi,Arzana,Lácteos y quesos,Casu Ascedu,"Viale Europa, 32, 08040 Arzana NU","Azienda ovina e caprina di Arzana con un’unità lattiero-casearia autorizzata, documentata pubblicamente per il proprio formaggio caprino Casu Ascedu.",,,,,,,,39.91777,9.52875,,pendiente,no comprobado,,,343,it,,,,,
minicaseificio-cannas-antonio-onorato,Minicaseificio Cannas Antonio Onorato,Villagrande Strisaili,Lácteos y quesos,"Casu Axedu Biddamannesu, Bidda Mannesu caprino","Località Su Strumpu, 08049 Villagrande Strisaili NU",Caseificio agricolo autorizzato di Villagrande che produce il proprio Casu Axedu fresco e formaggi caprini stagionati con l'identità Cannas.,,+390782319033,sustrumpu@tiscali.it,,,,,39.95854,9.50798,,pendiente,no comprobado,,,2620,it,,,,,
azienda-agricola-alberto-scattu,Azienda Agricola Alberto Scattu,Gairo,Lácteos y quesos,"Sa Nusca, casu agedu o fruhe, formaggi caprini",Località Sa Nusca,Caseificio aziendale di Gairo che produce il proprio formaggio fresco caprino a coagulazione acida Sa Nusca e altri prodotti lattiero-caseari di capra.,,+393287552447,sanusca@tiscali.it,,,,,39.84646,9.50667,,pendiente,no comprobado,,,262,it,,,,,
