slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
forno-bindi,Forno Bindi,Anghiari,Pan y cereal,,,,,,,,,,,43.540906,12.055531,,pendiente,no comprobado,,,1843,,,,,,
molino-panificio-rosadi,Molino panificio Rosadi,Arezzo,Pan y cereal,,,,,,,,,,,43.421805,11.974460,,pendiente,no comprobado,,,2626,,,,,,
panificio-f-lli-grassi,Panificio F.lli Grassi,Arezzo,Pan y cereal,,,,,,,,,,,43.458272,11.876355,,pendiente,no comprobado,,,2807,,,,,,
panificio-f-lli-grassi-bibbiena,Panificio F.lli Grassi,Bibbiena,Pan y cereal,,,,,,,,,,,43.701048,11.813565,,pendiente,no comprobado,,,2808,,,,,,
panificio-e-biscottificio-f-lli-mascagni,Panificio e Biscottificio F.lli Mascagni,Castiglion Fiorentino,Pan y cereal,,,,,,,,,,,43.317949,11.922101,,pendiente,no comprobado,,,2806,,,,,,
panificio-di-rimbocchi,Panificio di Rimbocchi,Chiusi della Verna,Pan y cereal,,,,,,,,,,,43.746436,11.924480,,pendiente,no comprobado,,,2801,,,,,,
azienda-agricola-san-ferdinando,Azienda Agricola San Ferdinando,Civitella in Val di Chiana,Otros,,,,,,,,,,,43.376199,11.721896,,pendiente,no comprobado,,,451,,,,,,
panificio-cortonese-di-nespoli-vladimiro-srl,Panificio Cortonese Di Nespoli Vladimiro Srl,Cortona,Pan y cereal,,,,,,,,,,,43.276089,11.985385,,pendiente,no comprobado,,,2786,,,,,,
panificio-la-ciaccia,Panificio La Ciaccia,Cortona,Pan y cereal,,,,,,,,,,,43.234021,11.930340,,pendiente,no comprobado,,,2842,,,,,,
azienda-agricola-fierli-macelleria,Azienda agricola Fierli Macelleria,Foiano della Chiana,Carne,,,,,,,,,,,43.222659,11.812183,,pendiente,no comprobado,,,348,,,,,,
panificio-menchetti,Panificio Menchetti,Foiano della Chiana,Pan y cereal,,,,,,,,,,,43.222057,11.810203,,pendiente,no comprobado,,,2861,,,,,,
azienda-agricola-macelleria-orlandi-dino-brogi-loriana,Azienda Agricola Macelleria Orlandi Dino Brogi Loriana,Pratovecchio Stia,Carne,,,,,,,,,,,43.787279,11.720607,,pendiente,no comprobado,,,401,,,,,,
