slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
cantina-andriano,Cantina Andriano,Andriano,Vino,vini Alto Adige DOC,Via Wehrburg 5,"Cantina Andriano operates a productive unit in Andriano, making vini Alto Adige DOC.",,+390471510306,office@cantina-andriano.com,https://www.kellerei-andrian.com/it/home/,,,,46.5208769,11.2313846,,,no comprobado,,,767,en,,,,,
cantina-terlano,Cantina Terlano,Terlano,Vino,vini Alto Adige DOC,Via Silberleiten 7,"Cantina Terlano operates a productive unit in Terlano, making vini Alto Adige DOC.",,+390471257135,office@cantina-terlano.com,https://www.cantina-terlano.com/it/,,,,46.5306849,11.251541,,,no comprobado,,,804,en,,,,,
tenuta-j-hofstatter,Tenuta J. Hofstätter,Termeno sulla Strada del Vino,Vino,"Gewürztraminer, Pinot Nero",Piazza Municipio 7,"Tenuta J. Hofstätter operates a productive unit in Termeno sulla Strada del Vino, making Gewürztraminer, Pinot Nero.",,+390471861187,info@hofstatter.com,https://www.hofstatter.com/it/,,,,46.3415469,11.2398063,,,sí,ecommerce,,3257,en,,,,,
schmid-oberrautner,Schmid Oberrautner,Bolzano,Vino,"Lagrein, Santa Maddalena",Via Michael Pacher 3,"Schmid Oberrautner operates a productive unit in Bolzano, making Lagrein, Santa Maddalena.",,+390471281440,info@schmidoberrautner.it,https://www.schmidoberrautner.it/it/,,,,46.5057988,11.3364242,,,no comprobado,,,3109,en,,,,,
tenuta-ebner,Tenuta Ebner,Renon,Vino,vini Alto Adige DOC,"Via del Vigneto 8, Campodazzo","Tenuta Ebner operates a productive unit in Renon, making vini Alto Adige DOC.",,+393401521644,info@weingutebner.it,https://www.weingutebner.it/it,,,,46.5250403,11.4858595,,,no comprobado,,,3253,en,,,,,
tenuta-egger-ramer,Tenuta Egger-Ramer,Bolzano,Vino,"Lagrein, Gewürztraminer",Via Guncina 5,"Tenuta Egger-Ramer operates a productive unit in Bolzano, making Lagrein, Gewürztraminer.",,+390471280541,info@egger-ramer.com,https://www.egger-ramer.com/,,,,46.5048993,11.3445283,,,no comprobado,,,3254,en,,,,,
haderburg,Haderburg,Salorno sulla Strada del Vino,Vino,"Haderburg Brut, Hausmannhof Riserva, Pinot Nero","Via Albrecht Dürer 3, Pochi","Haderburg operates a productive unit in Salorno sulla Strada del Vino, making Haderburg Brut, Hausmannhof Riserva, Pinot Nero.",,+390471889097,info@haderburg.it,https://www.haderburg.it/,,,,46.2385492,11.2311254,,,no comprobado,,,2060,en,,,,,
peter-zemmer,Peter Zemmer,Cortina sulla Strada del Vino,Vino,vini Alto Adige DOC,Strada del Vino 24,"Peter Zemmer operates a productive unit in Cortina sulla Strada del Vino, making vini Alto Adige DOC.",,+390471817143,info@peterzemmer.com,https://www.peterzemmer.com/it/,,,,46.2678276,11.2243573,,,no comprobado,,,2946,en,,,,,
elena-walch,Elena Walch,Termeno sulla Strada del Vino,Vino,"Beyond the Clouds, Gewürztraminer, Pinot Nero",Via Andreas Hofer 1,"Elena Walch operates a productive unit in Termeno sulla Strada del Vino, making Beyond the Clouds, Gewürztraminer, Pinot Nero.",,+390471860172,info@elenawalch.it,https://www.elenawalch.com/,,,,46.3385914,11.2386166,,,no comprobado,,,1696,en,,,,,
gump-hof,Gump Hof,Fiè allo Sciliar,Vino,"Pinot Bianco, Sauvignon, Gewürztraminer","Strada di Fiè 11, Novale di Presule","Gump Hof operates a productive unit in Fiè allo Sciliar, making Pinot Bianco, Sauvignon, Gewürztraminer.",,+390471601190,info@gumphof.it,https://www.gumphof.it/,,,,46.5085212,11.4711062,,,no comprobado,,,2056,en,,,,,
untermoserhof,Untermoserhof,Bolzano,Vino,"Santa Maddalena Classico, Lagrein",Santa Maddalena di Sotto 36,"Untermoserhof operates a productive unit in Bolzano, making Santa Maddalena Classico, Lagrein.",,+390471975481,untermoserhof@rolmail.net,https://www.fws.it/fws-charaktere/ramoser-florian-untermoserhof/,,,,46.5011393,11.3743496,,,no comprobado,,,3317,en,,,,,
tiefenbrunner,Tiefenbrunner,Cortaccia sulla Strada del Vino,Vino,"Gewürztraminer, Pinot Bianco, Pinot Nero","Via Castello 4, Niclara","Tiefenbrunner operates a productive unit in Cortaccia sulla Strada del Vino, making Gewürztraminer, Pinot Bianco, Pinot Nero.",,+390471880122,info@tiefenbrunner.com,https://www.tiefenbrunner.com/it,,,,46.3009781,11.2130006,,,sí,ecommerce,,3283,en,,,,,
mila-latte-montagna-alto-adige,Mila — Latte Montagna Alto Adige,Bolzano,Lácteos y quesos,"latte, yogurt, panna, burro, formaggi, mascarpone e skyr","Via Innsbruck 43, 39100 Bolzano BZ",Cooperativa di montagna che trasforma il latte dei soci nelle unità di Bolzano e Brunico in un'ampia gamma di latticini.,,+390471451111,info@mila.it,https://www.mila.it/,,,,46.49811,11.35478,,pendiente,sí,ecommerce,,2614,it,,,,,
brimi-centro-latte-bressanone,Brimi — Centro Latte Bressanone,Varna,Lácteos y quesos,"mozzarella, ricotta, mascarpone e formaggi freschi","Via Brennero 2, 39040 Varna BZ",Cooperativa altoatesina specializzata nella produzione di mozzarella ricotta mascarpone e altri latticini freschi.,,+390472271300,info@brimi.it,https://www.brimi.it/,,,,46.74039,11.63457,,pendiente,no comprobado,,,703,it,,,,,
latteria-vipiteno,Latteria Vipiteno,Vipiteno,Lácteos y quesos,"yogurt, kefir, latte, burro e panna","Via Passo Giovo 108, 39049 Vipiteno BZ",Cooperativa di oltre cinquecento famiglie agricole che trasforma latte alpino in yogurt kefir latte burro e panna.,,+390472764155,info@milchhof-sterzing.it,https://www.milchhof-sterzing.it/,,,,46.89632,11.43194,,pendiente,no comprobado,,,2465,it,,,,,
latteria-merano,Latteria Sociale Merano,Merano,Lácteos y quesos,"yogurt, latte fieno e burro","Via Cava 5, 39012 Merano BZ",Cooperativa che dal 1954 trasforma il latte delle aziende di montagna circostanti in yogurt latte e burro.,,+390473272900,,,,,,46.66956,11.15942,,pendiente,no comprobado,,,2422,it,,,,,
latteria-tre-cime,Latteria Tre Cime,Dobbiaco,Lácteos y quesos,"Toblacher Stangenkäse, formaggi di montagna, Graukäse, latte, burro e ricotta","Via Pusteria 3/C, 39034 Dobbiaco BZ",Caseificio cooperativo che lavora latte dell'Alta Pusteria e produce formaggi latte panna burro e ricotta.,,+390474971300,info@sennereidreizinnen.com,https://3zinnen.it/,,,,46.73542,12.22428,,pendiente,sí,ecommerce,,2458,it,,,,,
caseificio-sesto,Caseificio Sesto,Sesto,Lácteos y quesos,Sextner Almkäse e formaggi altoatesini,"Via Bersaglio 6, 39030 Sesto BZ",Caseificio cooperativo di Sesto che trasforma latte di montagna in formaggi altoatesini.,,,,,,,,46.70274,12.35054,,pendiente,no comprobado,,,1374,it,,,,,
latteria-lagundo,Latteria Lagundo,Lagundo,Lácteos y quesos,Camembert Texelweiß Bio e formaggi altoatesini,"Via Plars di Mezzo 29, 39022 Lagundo BZ",Latteria cooperativa di Lagundo che produce formaggi con latte altoatesino.,,,,,,,,46.68252,11.12307,,pendiente,no comprobado,,,2359,it,,,,,
latteria-burgusio,Latteria Burgusio,Malles Venosta,Lácteos y quesos,formaggio Stelvio DOP e formaggi della Val Venosta,"Burgusio 77, 39024 Malles Venosta BZ",Latteria di Burgusio riconosciuta dalla federazione provinciale per la produzione di formaggi altoatesini.,,,,,,,,46.68792,10.54655,,pendiente,no comprobado,,,2326,it,,,,,
caseificio-montano-passiria,Caseificio Montano della Val Passiria,San Martino in Passiria,Lácteos y quesos,formaggi biologici di montagna,"Zona Artigianale Lahn 7/1, 39010 San Martino in Passiria BZ",Cooperativa biologica della Val Passiria che trasforma latte di montagna in formaggi.,,,,,,,,46.78394,11.2268,,pendiente,no comprobado,,,1258,it,,,,,
englhorn-hofkaserei,Englhorn Hofkäserei,Malles Venosta,Lácteos y quesos,"Arunda, Tella e Rims","Frazione Clusio 8, 39024 Malles Venosta BZ",Caseificio biologico del maso Englhof che trasforma latte in formaggi crudi a pasta molle semidura e dura.,,+390473835393,info@englhorn.com,https://www.englhorn.com/it/,,,,46.68792,10.54655,,pendiente,no comprobado,,,1703,it,,,,,
caseificio-capriz,Caseificio Capriz,Vandoies,Lácteos y quesos,formaggi vaccini e caprini Capriz,"Via Val Pusteria 1/B, 39030 Vandoies BZ",Caseificio artigianale che produce e stagiona specialità di formaggio con latte vaccino e caprino altoatesino.,,+390472869268,info@capriz.it,https://www.capriz.it/it/,,,,46.81518,11.72078,,pendiente,no comprobado,,,998,it,,,,,
batzen-brau,Batzen Bräu,Bolzano,Cerveza,"Batzen Hell, Dunkel, Weisse e birre stagionali","Via Andreas Hofer 30, 39100 Bolzano BZ",Birrificio artigianale di Bolzano che produce una gamma stabile e stagionale di birre proprie.,,+390471050950,brauerei@batzen.it,https://www.batzen.it/it/,,,,46.49811,11.35478,,pendiente,no comprobado,,,524,it,,,,,
gustahr,gustAhr,Valle Aurina,Cerveza,"Hellis, Goldans, Kupfrans e Zirbans","San Giovanni 87, 39030 Valle Aurina BZ",Birrificio artigianale della Valle Aurina che produce birre con ingredienti regionali e vende dal proprio shop.,,+390474646517,info@gustahr.com,https://www.gustahr.com/,,,,46.99601,11.98124,,pendiente,sí,ecommerce,,2057,it,,,,,
chi-pra,Chi Prà,Badia,Lácteos y quesos,"formaggi freschi, formaggi molli, formaggi stagionati, Graukäse, ricotta e yogurt","Parüs 7, 39036 Badia BZ",Maso della famiglia Valentin che trasforma il proprio latte in formaggi e yogurt e li vende nella bottega aziendale.,,+390471839575,info@chipra.eu,,,,,46.61012,11.89349,,pendiente,no comprobado,,,1532,it,,,,,
moarhof-hofkaserei,Moarhof Hofkäserei,Campo Tures,Lácteos y quesos,"Graukäse, burro del contadino, Kneta e formaggi freschi","Kirchdorf 21, Acereto, 39032 Campo Tures BZ",Claudia e Roland Eder trasformano esclusivamente il latte delle proprie mucche in formaggio grigio burro e specialità fresche.,,+393400538406,claudia.eder@outlook.it,,,,,46.91924,11.95518,,pendiente,no comprobado,,,2623,it,,,,,
neuhaus-hofkaserei,Neuhaus Hofkäserei,Campo Tures,Lácteos y quesos,"formaggi a latte crudo molli, da taglio e alle erbe","Außergasse 29, Acereto, 39032 Campo Tures BZ",Maso della famiglia Weitlaner che lavora quotidianamente il proprio latte crudo in formaggi affinati anche con erbe aromatiche.,,+393478378186,info@neuhaushof.com,,,,,46.91924,11.95518,,pendiente,no comprobado,,,2671,it,,,,,
