slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
kikuchi-shuzo-kurashiki,Kikuchi Shuzo,Kurashiki,Sake,,岡山県倉敷市玉島阿賀崎1212,,,+81865225145,,http://www.kikuchishuzo.co.jp/,,,,34.541904,133.666473,,pendiente,no comprobado,,,555,,,,,,,jp,chugoku,okayama,,,,,,
kumaya-shuzo-kurashiki,Kumaya Shuzo,Kurashiki,Sake,,岡山県倉敷市林705,,,+81864850007,,,https://www.facebook.com/ishichicom/,,,34.538013,133.818405,,pendiente,no comprobado,,,675,,,,,,,jp,chugoku,okayama,,,,,,
ono-shuzo-kurashiki,Ono Shuzo,Kurashiki,Sake,,岡山県倉敷市連島町西之浦3821,,,+81864448022,,,,,,34.549152,133.722977,,pendiente,no comprobado,,,948,,,,,,,jp,chugoku,okayama,,,,,,
ozaki-shuzojo-kurashiki,Ozaki Shuzojo,Kurashiki,Sake,,岡山県倉敷市児島田の口４−３−４０,,,+81864777040,,,,,,34.476158,133.844574,,pendiente,no comprobado,,,987,,,,,,,jp,chugoku,okayama,,,,,,
itano-shuzojo,Itano Shuzojo,Okayama,Sake,,岡山県岡山市一宮35番地,,,+81862841161,,http://www.ginpoo.co.jp/,,,,34.65511,133.91958,,pendiente,no comprobado,,,445,,,,,,,jp,chugoku,okayama,,,,,,
itano-shuzo-honten,Itano Shuzo Honten,Okayama,Sake,,岡山県岡山市一宮35番地,,,+81862841161,,http://www.ginpoo.co.jp/,,,,34.65511,133.91958,,pendiente,no comprobado,,,444,,,,,,,jp,chugoku,okayama,,,,,,
akaiwa-shuzo-akaiwa,Akaiwa Shuzo,Akaiwa,Sake,,岡山県赤磐市河本1113番地,,,+81869550130,,http://www.akaiwa.co.jp/,,,,34.748066,134.016541,,pendiente,no comprobado,,,35,,,,,,,jp,chugoku,okayama,,,,,,
kamikokoro-shuzo-asakuchi,Kamikokoro Shuzo,Asakuchi,Sake,,岡山県浅口市寄島町7500-2,,,+81865543101,,http://www.kamikokoro.co.jp/,,,,34.484802,133.5793,,pendiente,no comprobado,,,490,,,,,,,jp,chugoku,okayama,,,,,,
isochidori-shuzo-satosho,Isochidori Shuzo,Satosho,Sake,,岡山県浅口郡里庄町新庄306,,,+81865643456,,http://www.isochidori.co.jp/,,,,34.50679,133.54303,,pendiente,no comprobado,,,437,,,,,,,jp,chugoku,okayama,,,,,,
ochi-shuzojo-maniwa,Ochi Shuzojo,Maniwa,Sake,,岡山県真庭市下呰部664-4,,,+81866522311,,http://i-maniwa.com/area/taishonotsuru/,,,,34.976307,133.6259,,pendiente,no comprobado,,,894,,,,,,,jp,chugoku,okayama,,,,,,
ohmi-shuzo-maniwa,Ohmi Shuzo,Maniwa,Sake,,岡山県真庭市蒜山上長田1989,,,+81867662005,,http://i-maniwa.com/area/s-omi/index.html,,,,35.30278,133.704773,,pendiente,no comprobado,,,906,,,,,,,jp,chugoku,okayama,,,,,,
akagi-shuzo-takahashi,Akagi Shuzo,Takahashi,Sake,,岡山県高梁市備中町長屋43,,,+81866453006,,http://www.akagishuzo.jp/,,,,34.788601,133.458984,,pendiente,no comprobado,,,34,,,,,,,jp,chugoku,okayama,,,,,,
ouchi-shuzojo-kasaoka,Ouchi Shuzojo,Kasaoka,Sake,,岡山県笠岡市西大島7496,,,+81865670828,,,,,,34.466724,133.534836,,pendiente,no comprobado,,,981,,,,,,,jp,chugoku,okayama,,,,,,
karita-shuzo-tsuyama,Karita Shuzo,Tsuyama,Sake,,岡山県津山市勝間田町17,,,+81868222018,,,,,,35.061314,134.010849,,pendiente,no comprobado,,,519,,,,,,,jp,chugoku,okayama,,,,,,
il-ricottaro-maniwa,IL RICOTTARO,Maniwa,Lácteos y quesos,"リコッタ フレスカ, ジャージーモッツァレラ, プローヴォラ",岡山県真庭市蒜山中福田960-31,,,,,https://ilricottaro.com/,,,,35.075580,133.752720,,,no comprobado,,,385,,,,,,,jp,chugoku,okayama,,,,,,
sa-chanstockfarm-niimi,さーちゃんミニヤギ牧場,Niimi,Lácteos y quesos,,岡山県新見市西方2544,,,,,https://www.sa-chanstockfarm.com/,,,,34.977030,133.470280,,,sí,ecommerce,,1524,,,,,,,jp,chugoku,okayama,,,,,,
msb-okayama,宮下酒造 (独歩ビール),Okayama,Cerveza,,,,,,,https://www.msb.co.jp/,,,,34.655110,133.919580,,,sí,ecommerce,,2372,,,,,,,jp,chugoku,okayama,,,,,,
mindkokoro-kurashiki,岡山マインド「こころ」真備竹林麦酒,Kurashiki,Cerveza,,,,,,,http://mindkokoro.web.fc2.com/,,,,34.585080,133.772110,,,no comprobado,,,2449,,,,,,,jp,chugoku,okayama,,,,,,
hiruzenwine-maniwa,農業生産法人 ひるぜんワイン 有限会社,Maniwa,Vino,,岡山県真庭市蒜山上福田1205-32,,,+81867664424,,https://hiruzenwine.com/,,,,35.075580,133.752720,,,no comprobado,,,3191,,,,,,,jp,chugoku,okayama,,,,,,
tetta-niimi,tetta 株式会社,Niimi,Vino,,岡山県新見市哲多町矢戸3136,,,+81867963658,,https://tetta.jp/,,,,34.977030,133.470280,,,no comprobado,,,1229,,,,,,,jp,chugoku,okayama,,,,,,
takatori-shoyu-bizen,鷹取醤油,Bizen,Condimentos,ふしいち 桐,岡山県備前市香登本887番地,Produces soy sauce and traditional seasonings at its Bizen brewery.,,+81869669033,,https://takatori-shoyu.co.jp/,,,,34.745170,134.188830,,,no comprobado,,,3328,en,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-22823,キジトラ招福堂,Ibara,Sake,ジビエ,,,,,,,,,,34.597690,133.463780,,pendiente,sí,marketplace,,1764,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-26695,美甘養蜂園,Tsuyama,Miel,,,,,,,,,,,35.069110,134.004470,,pendiente,sí,marketplace,,3060,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-3078152,石毛おうち牧場,Okayama,Lácteos y quesos,,,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,2978,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-26777,倉敷きのこ園,Kurashiki,Setas,"桃, きのこ",,,,,,,,,,34.585080,133.772110,,pendiente,sí,marketplace,,2161,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-25711,南條海苔,Kurashiki,Pescado,海苔,,,,,,,,,,34.585080,133.772110,,pendiente,sí,marketplace,,2224,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-20452,漁師からの直行便 七福丸,Kurashiki,Pescado,,,,,,,,,,,34.585080,133.772110,,pendiente,sí,marketplace,,2907,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-22078,華丸,Okayama,Pescado,,,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,3117,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-23645,志産米倶楽部,Okayama,Pan y cereal,,,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,2523,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-25184,オノファクトリー.,Sōja-shi,Pan y cereal,米,,,,,,,,,,34.672780,133.746500,,pendiente,sí,marketplace,,1731,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-3077787,セリフ,Nishiawakura,Huevos,,,,,,,,,,,35.171940,134.335750,,pendiente,sí,marketplace,,1818,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-3077532,あぐりビジネス,Tamano,Frutos secos,,,,,,,,,,,34.491940,133.945970,,pendiente,sí,marketplace,,1411,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-25288,おくだただし,Kurashiki,Fruta y verdura,桃,,,,,,,,,,34.585080,133.772110,,pendiente,sí,marketplace,,1457,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-27462,グリーンバード葡萄園,Kurashiki,Fruta y verdura,ぶどう,,,,,,,,,,34.585080,133.772110,,pendiente,sí,marketplace,,1776,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-28188,タンポポ農園食べチョク店,Okayama,Fruta y verdura,"ぶどう, ブルーベリー",,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,1826,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-28750,きびもも園,Okayama,Fruta y verdura,桃,,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,1486,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-22098,👨🏻‍🌾 medicuse 👩🏻‍🌾,Okayama,Fruta y verdura,,,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,1402,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-24916,ふるいち農園,Okayama,Fruta y verdura,,,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,1614,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-24368,Nini farm,Okayama,Fruta y verdura,ぶどう,,,,,,,,,,34.655110,133.919580,,pendiente,sí,marketplace,,861,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-21558,井上農園@Tamano,Tamano,Fruta y verdura,,,,,,,,,,,34.491940,133.945970,,pendiente,sí,marketplace,,2121,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-22043,Lino ＆ Kai Farm（リノ アンド カイファーム）,Maniwa,Fruta y verdura,,,,,,,,,,,35.075580,133.752720,,pendiente,sí,marketplace,,714,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-21292,OEC KINGDOM,Sōja-shi,Fruta y verdura,ぶどう,,,,,,,,,,34.672780,133.746500,,pendiente,sí,marketplace,,896,,,,,,,jp,chugoku,okayama,,,,,,
tabechoku-24261,まこもたけ直売所,Satosho,Fruta y verdura,,,,,,,,,,,34.513750,133.556860,,pendiente,sí,marketplace,,1628,,,,,,,jp,chugoku,okayama,,,,,,
jp-okayama-kuraya-c983564,くらや,津山市,Dulces y repostería,和菓子,津山市沼 77-7,"Produces Japanese confectionery in 津山市, okayama.",,,,https://www.kuraya.jp/,,,,35.069110,134.004470,,,no comprobado,,,1493,en,,,,,,jp,chugoku,okayama,,,,,,
jp-okayama-turuturu-co-5d0d8e0,㈱スズキ麺工,浅口市,Pan y cereal,乾麺,,"Produces dried noodles in 浅口市, okayama.",,,,https://turuturu.co.jp/,,,,34.527890,133.584860,,,no comprobado,,,2695,en,,,,,,jp,chugoku,okayama,,,,,,
kurashiki-cheese-haruparu,倉敷チーズ工房ハルパル,Kurashiki,Lácteos y quesos,"モッツァレラ, フロマージュブラン, スカモルツァ",倉敷市玉島陶5423-11,"Farmstead creamery operated by Miyake Farm, making cheese from its own freshly produced milk.",,+818019075901,info@kurashiki-cheese.com,https://kurashiki-cheese.shopinfo.jp/,,,,34.585080,133.772110,,,sí,ecommerce,,2162,en,,,,,,jp,chugoku,okayama,,,,,,
mimasaka-beer-works,美作ビアワークス (Mimasaka Beer Works),Maniwa,Cerveza,,江川817-1,,,,,https://mimasakabeerworks.com/,,https://www.instagram.com/mimasaka_beer_works/,,35.07558,133.75272,,pendiente,no comprobado,,,3058,,,,,,,jp,chugoku,okayama,,,,,,
hinase-kaki-koubou-bizen,ひなせかき工房,Bizen,Pescado,Oysters,,Farms and prepares Hinase oysters in Bizen.,,,,https://hinase-kakikoubou.com/,,,,34.74517,134.18883,,,sí,ecommerce,,1602,en,,,,,,jp,chugoku,okayama,,,,,,
hattori-suisan-setouchi,服部水産,Setouchi,Pescado,"Shirasu, chirimen, ami shrimp",岡山県瀬戸内市牛窓町牛窓4433-10,"Processes locally landed shirasu, chirimen and ami shrimp in Ushimado.",,,,https://www.hattorisuisan.co.jp/,,,,34.628304,134.159119,,,no comprobado,,,2623,en,,,,,,jp,chugoku,okayama,,,,,,
asamurasaki,Asamurasaki,Kasaoka,Condimentos,,,,,,,https://www.asamurasaki.co.jp/,,,,,,,pendiente,no comprobado,,,3481,,,,,,,jp,chugoku,okayama,,,,,,
