slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
chiyomusubi-shuzo-sakaiminato,Chiyomusubi Shuzo,Sakaiminato,Sake,,鳥取県境港市大正町131,,,+81859423191,,http://www.chiyomusubi.co.jp/,,,,35.544758,133.22467,,parcial,no comprobado,
inata-honten-yonago,Inata Honten,Yonago,Sake,,鳥取県米子市夜見町325-16,,,+81859291108,,http://www.inata.co.jp/,,,,35.457314,133.292053,,parcial,no comprobado,
kumezakura-shuzo-hoki,Kumezakura Shuzo,Hoki,Sake,,鳥取県西伯郡伯耆町丸山1740-50,,,+81859686555,,http://g-beer.jp/kumezakura/,,,,35.391953,133.48262,,parcial,no comprobado,
suwa-shuzo-chizu,Suwa Shuzo,Chizu,Sake,,鳥取県八頭郡智頭町智頭451,,,+81858750618,,http://suwaizumi.jp/,,,,35.270245,134.228455,,parcial,no comprobado,
gensui-shuzo-kurayoshi,Gensui Shuzo,Kurayoshi,Sake,,鳥取県倉吉市駄経寺町2-31,,,+81858225020,,http://www.gensui.jp/,,,,35.429005,133.838928,,parcial,no comprobado,
takada-shuzo-kurayoshi,Takada Shuzo,Kurayoshi,Sake,,鳥取県倉吉市西仲町2633,,,+81858231511,,http://www.shikun.co.jp/,,,,35.432072,133.822388,,parcial,no comprobado,
nakai-shuzo-kurayoshi,Nakai Shuzo,Kurayoshi,Sake,,鳥取県倉吉市中河原555,,,+81858280821,,http://www.yasio.net/,,,,35.412849,133.802536,,parcial,no comprobado,
otani-shuzo-kotoura,Otani Shuzo,Kotoura,Sake,,鳥取県東伯郡琴浦町浦安368,,,+81858530111,,http://www.takaisami.co.jp/,,,,35.493301,133.691757,,parcial,no comprobado,
ehara-shuzo-honten-kotoura,Ehara Shuzo Honten,Kotoura,Sake,,鳥取県東伯郡琴浦町八橋1400,,,+81858522203,,http://ebara-shuzo.com/,,,,35.476727,133.653458,,parcial,no comprobado,
umetsu-shuzo-hokuei,Umetsu Shuzo,Hokuei,Sake,,鳥取県東伯郡北栄町大谷1350,,,+81858372008,,http://umetsu-sake.jp/,,,,35.498772,133.732193,,parcial,no comprobado,
kunshi-shuzo-tottori,Kunshi Shuzo,Tottori,Sake,,鳥取県鳥取市秋里153-2,,,+81857233471,,,,,,35.517719,134.213715,,parcial,no comprobado,
ota-shuzojo-wakasa,Ota Shuzojo,Wakasa,Sake,,鳥取県八頭郡若桜町若桜1223の2,,,+81858820611,,http://www1.ocn.ne.jp/~bentenmu/,,,,35.345505,134.394974,,parcial,no comprobado,
takada-shuzojo-iwami,Takada Shuzojo,Kurayoshi,Sake,,鳥取県倉吉市西仲町2633,,,+81858231511,,http://www.shikun.co.jp/,,,,35.432072,133.822388,,parcial,no comprobado,
oiwa-shuzo-honten-kofu,Oiwa Shuzo Honten,Kofu,Sake,,鳥取県日野郡江府町江尾1872,,,+81859752404,,http://www.syuhou-iwaizumi.jp/,,,,35.280533,133.499268,,parcial,no comprobado,
