slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
kiyasho-shuzo-nabari,Kiyasho Shuzo,Nabari,Sake,,三重県名張市本町314-1,,,+81595630061,,http://kiyashow.com/,,,,34.619396,136.087799,,pendiente,no comprobado,,,612,,,,,,,jp,kansai,mie,,,,,,
ota-shuzo-iga,Ota Shuzo,Iga,Sake,,三重県伊賀市上之庄1365番地の1,,,+81595214709,,http://www.hanzo-sake.com/,,,,34.732857,136.114746,,pendiente,no comprobado,,,963,,,,,,,jp,kansai,mie,,,,,,
motosaka-shuzo-odai,Motosaka Shuzo,Odai,Sake,,三重県多気郡大台町柳原346-2,,,+81598850001,,http://www.gensaka.com/,,,,34.443283,136.537476,,pendiente,no comprobado,,,797,,,,,,,jp,kansai,mie,,,,,,
kawabu-jozo-taki,Kawabu Jozo,Taki,Sake,,三重県多気郡多気町五桂234番地,,,+81598372037,,http://www.hokosugi.com/,,,,34.469845,136.546341,,pendiente,no comprobado,,,535,,,,,,,jp,kansai,mie,,,,,,
asahi-shuzo-meiwa,Asahi Shuzo,Meiwa,Sake,,三重県多気郡明和町山大淀3032,,,+81596552628,,http://www.asahisyuzou.jp/,,,,34.566982,136.648178,,pendiente,no comprobado,,,75,,,,,,,jp,kansai,mie,,,,,,
ise-man-ise,Ise Man,Ise,Sake,,三重県伊勢市宇治中之切町77番地の2,,,+81596238800,,http://www.iseman.co.jp/,,,,34.462204,136.723175,,pendiente,no comprobado,,,419,,,,,,,jp,kansai,mie,,,,,,
ito-shuzo-yokkaichi,Ito Shuzo,Yokkaichi,Sake,,三重県四日市市桜町１１０番地,,,+81593262020,,http://www.suzukasanroku.com/,,,,34.993565,136.538528,,pendiente,no comprobado,,,448,,,,,,,jp,kansai,mie,,,,,,
kagura-shuzo-yokkaichi,Kagura Shuzo,Yokkaichi,Sake,,三重県四日市市室山町３２６,,,+81593212205,,http://kagura1858.com/html/,,,,34.955235,136.578568,,pendiente,no comprobado,,,475,,,,,,,jp,kansai,mie,,,,,,
adachi-honke-shuzo-asahi,Adachi Honke Shuzo,Asahi,Sake,,三重県三重郡朝日町縄生２１０７,,,+81593772411,,http://www.fujinohikari.com/,,,,35.039833,136.669495,,pendiente,no comprobado,,,19,,,,,,,jp,kansai,mie,,,,,,
inagaki-shuzojo-asahi,Inagaki Shuzojo,Asahi,Sake,,三重県三重郡朝日町柿2174,,,+81593772018,,https://miyamasugi.localinfo.jp/,,,,35.034542,136.659821,,pendiente,no comprobado,,,399,,,,,,,jp,kansai,mie,,,,,,
aburasho-tsu,Aburasho,Tsu,Sake,,三重県津市久居本町1583番地,,,+81592552007,,http://www.abusyou-hatsuhi.co.jp/,,,,34.670464,136.469223,,pendiente,no comprobado,,,18,,,,,,,jp,kansai,mie,,,,,,
imamura-shuzo-tsu,Imamura Shuzo,Tsu,Sake,,三重県津市香良洲町263,,,+81592923311,,,,,,34.648567,136.531723,,pendiente,no comprobado,,,390,,,,,,,jp,kansai,mie,,,,,,
