slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
nate-shuzoten-kainan,Nate Shuzoten,Kainan,Sake,,和歌山県海南市黒江846,,,+81734820005,,http://www.kuroushi.com/,,,,34.162895,135.206177,,parcial,no comprobado,
nakano-bc-kainan,Nakano BC,Kainan,Sake,,和歌山県海南市藤白758-45,,,+81734821234,,http://www.nakano-group.co.jp/index.html,,,,34.147171,135.206009,,parcial,no comprobado,
tsuho-shuzo-kainan,Tsuho Shuzo,Kainan,Sake,,和歌山県海南市野上中449,,,+81734870144,,http://www.tsuuhou.com/,,,,34.163467,135.287262,,parcial,no comprobado,
shimamoto-shuzojo-kainan,Shimamoto Shuzojo,Kainan,Sake,,和歌山県海南市藤白54,,,+81734820017,,,,,,34.147243,135.212433,,parcial,no comprobado,
sekaiitto-wakayama,Sekaiitto,Wakayama,Sake,,和歌山県和歌山市湊紺屋町1丁目10番地,,,+81734331441,,http://www.sekaiitto.co.jp/,,,,34.234245,135.167206,,parcial,no comprobado,
tabata-shuzo-wakayama,Tabata Shuzo,Wakayama,Sake,,和歌山県和歌山市木広町5-2-15,,,+81734247121,,http://www.rashomon-kuramoto.co.jp/,,,,34.226963,135.191269,,parcial,no comprobado,
tencho-shimamura-shuzo-wakayama,Tencho Shimamura Shuzo,Wakayama,Sake,,和歌山県和歌山市本町7丁目4番地,,,+81734313311,,http://tencho-shimamura.jp/,,,,34.240803,135.174164,,parcial,no comprobado,
shuho-shuzo-wakayama,Shuho Shuzo,Wakayama,Sake,,和歌山県和歌山市田中町２丁目２０,,,+81734244141,,http://www.shukuhou.co.jp/,,,,34.228291,135.186111,,parcial,no comprobado,
kokonoe-zakka-kinokawa,Kokonoe Zakka,Kinokawa,Sake,,和歌山県紀の川市桃山町元142-1,,,+81736663160,,http://www.kokonoesaika.co.jp/,,,,34.240044,135.354416,,parcial,no comprobado,
takagaki-shuzo-aridagawa,Takagaki Shuzo,Aridagawa,Sake,,和歌山県有田郡有田川町小川1465,,,+81737342109,,http://www.kinosake.jp/,,,,34.077194,135.269669,,parcial,no comprobado,
hatsuzakura-shuzo-katsuragi,Hatsuzakura Shuzo,Katsuragi,Sake,,和歌山県伊都郡かつらぎ町中飯降85,,,+81736220005,,http://www.hatsusakura.co.jp/,,,,34.303856,135.532852,,parcial,no comprobado,
kishino-shuzo-honke-gobo,Kishino Shuzo Honke,Gobo,Sake,,和歌山県御坊市御坊６０,,,+81738220101,,http://www.kisyubijin.com/,,,,33.886864,135.15799,,parcial,no comprobado,
nakao-shuzoten-kimino,Nakao Shuzoten,Kimino,Sake,,和歌山県海草郡紀美野町動木28,,,+81734892017,,,,,,34.164387,135.310043,,parcial,no comprobado,
ozaki-shuzo-shingu,Ozaki Shuzo,Shingu,Sake,,和歌山県新宮市船町３−２−３,,,+81735222105,,http://ozakisyuzou.jp/,,,,33.731274,135.988098,,parcial,no comprobado,
