slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
coco-farm-winery-ashikaga,Coco Farm & Winery,Ashikaga,Vino,,,,,,,https://cocowine.com/,,,,36.340170,139.449720,,pendiente,no comprobado,,,149,,,,,,,jp,kanto,tochigi,,,,,,
inoue-seikichi-shoten-utsunomiya,Inoue Seikichi Shoten,Utsunomiya,Sake,,栃木県宇都宮市白沢町1901-1,,,+81286732350,,http://sawahime.co.jp/,,,,36.637108,139.941925,,pendiente,no comprobado,,,408,,,,,,,jp,kanto,tochigi,,,,,,
utsunomiya-shuzo-utsunomiya,Utsunomiya Shuzo,Utsunomiya,Sake,,栃木県宇都宮市柳田町248,,,+81286610880,,http://www.shikisakura.co.jp/,,,,36.559509,139.957184,,pendiente,no comprobado,,,1315,,,,,,,jp,kanto,tochigi,,,,,,
iinuma-meijo,Iinuma Meijo,Tochigi,Sake,,栃木県栃木市西方町元850,,,+81282922005,,http://www.cc9.ne.jp/~suginamiki/,,,,36.464859,139.732178,,pendiente,no comprobado,,,368,,,,,,,jp,kanto,tochigi,,,,,,
ohira-shuzo,Ohira Shuzo,Tochigi,Sake,,栃木県栃木市大平町下皆川747,,,+81282432099,,,,,,36.357899,139.707321,,pendiente,no comprobado,,,904,,,,,,,jp,kanto,tochigi,,,,,,
sagara-shuzo-tochigi,Sagara Shuzo,Tochigi,Sake,,栃木県下都賀郡岩舟町大字静3624,,,+81282552013,,http://asahisakae.omiki.com/,,,,36.38244,139.73414,,pendiente,no comprobado,,,1018,,,,,,,jp,kanto,tochigi,,,,,,
aizawa-shuzo-sano,Aizawa Shuzo,Sano,Sake,,栃木県佐野市堀米町3954-1,,,+81283220423,,,,,,36.327332,139.57518,,pendiente,no comprobado,,,29,,,,,,,jp,kanto,tochigi,,,,,,
abe-shuzoten-motegi,Abe Shuzoten,Motegi,Sake,,栃木県芳賀郡茂木町大字茂木１３２,,,+81285630053,,,,,,36.532097,140.187469,,pendiente,no comprobado,,,13,,,,,,,jp,kanto,tochigi,,,,,,
ikejima-shuzo-otawara,Ikejima Shuzo,Otawara,Sake,,栃木県大田原市下石上1227,,,+81287290011,,http://www.ikenishiki.co.jp/,,,,36.850136,139.949448,,pendiente,no comprobado,,,376,,,,,,,jp,kanto,tochigi,,,,,,
kikunosato-shuzo-otawara,Kikunosato Shuzo,Otawara,Sake,,栃木県那須郡湯津上村大字片府田302-2,,,+81287983477,,http://daina-sake.net/,,,,36.820583,140.061584,,pendiente,no comprobado,,,562,,,,,,,jp,kanto,tochigi,,,,,,
katayama-shuzo-nikko,Katayama Shuzo,Nikko,Sake,,栃木県日光市瀬川146-2,,,+81288210039,,http://www.kashiwazakari.com/,,,,36.727783,139.686676,,pendiente,no comprobado,,,527,,,,,,,jp,kanto,tochigi,,,,,,
kumakubo-shoten-nasushiobara,Kumakubo Shoten,Nasushiobara,Sake,,栃木県那須塩原市高林374,,,+81287680003,,,,,,36.986813,139.937973,,pendiente,no comprobado,,,670,,,,,,,jp,kanto,tochigi,,,,,,
kojima-shuzoten-shioya,Kojima Shuzoten,Shioya,Sake,,栃木県塩谷郡塩谷町風見1185,,,+81287460903,,,,,,36.734772,139.868591,,pendiente,no comprobado,,,627,,,,,,,jp,kanto,tochigi,,,,,,
kobayashi-shuzo-oyama,Kobayashi Shuzo,Oyama,Sake,,栃木県小山市大字卒島743,,,+81285370005,,,,,,36.346401,139.768509,,pendiente,no comprobado,,,618,,,,,,,jp,kanto,tochigi,,,,,,
sanpuku-shuzo-oyama,Sanpuku Shuzo,Oyama,Sake,,栃木県小山市南小林87,,,+81285380003,,,,,,36.32127,139.739288,,pendiente,no comprobado,,,1038,,,,,,,jp,kanto,tochigi,,,,,,
shimazaki-shuzo-nasukarasuyama,Shimazaki Shuzo,Nasukarasuyama,Sake,,栃木県那須烏山市中央1丁目11番18号,,,+81287831221,,http://www.azumarikishi.co.jp/,,,,36.655762,140.153763,,pendiente,no comprobado,,,1096,,,,,,,jp,kanto,tochigi,,,,,,
shiraai-shuzo-nakagawa,Shiraai Shuzo,Nakagawa,Sake,,栃木県那須郡那珂川町小川715-2,,,+81287962015,,,,,,36.765774,140.126801,,pendiente,no comprobado,,,1110,,,,,,,jp,kanto,tochigi,,,,,,
tentaka-shuzo-otawara,Tentaka Shuzo,Ōtawara,Sake,Organic sake,栃木県大田原市蛭畑2166　他,,,,,https://www.tentaka.co.jp/,,,,36.804707,140.098709,,,no comprobado,,,1224,,,,,,,jp,kanto,tochigi,,,,,,
nasunomori-nasushiobara,チーズ工房那須の森,Nasushiobara,Lácteos y quesos,"ブリー・ド・那須, 那須ブラウン, カチョカヴァロ",栃木県那須塩原市戸田738-4,,,,,https://nasunomori.jp/,,,,36.961720,140.046060,,,no comprobado,,,1838,,,,,,,jp,kanto,tochigi,,,,,,
farmersforest-utsunomiya,ファーマーズ・フォレスト,Utsunomiya,Cerveza,,,,,,,https://farmersforest.co.jp/,,,,36.555110,139.882560,,,no comprobado,,,1891,,,,,,,jp,kanto,tochigi,,,,,,
finlandnomori-nasu,フィンランドの森チーズ工房メッツァ・ネイト,Nasu,Lácteos y quesos,ブラウンチーズ Ruska（ルスカ）,栃木県那須郡那須町大字高久乙2730-36,,,,,https://www.finlandnomori.net/,,,,37.019750,140.120970,,,sí,ecommerce,,1898,,,,,,,jp,kanto,tochigi,,,,,,
nasukohgenbeer-nasu,那須高原ビール,Nasu,Cerveza,,,,,,,https://nasukohgenbeer.co.jp/,,,,37.019750,140.120970,,,no comprobado,,,3212,,,,,,,jp,kanto,tochigi,,,,,,
imafarm-nasu,那須高原今牧場チーズ工房,Nasu,Lácteos y quesos,"りんどう, 茶臼岳, みのり",栃木県那須郡那須町高久甲5898,,,,,https://imafarm.xsrv.jp/,,,,37.019750,140.120970,,,sí,ecommerce,,3214,,,,,,,jp,kanto,tochigi,,,,,,
cfa-backyard-winery-shimada,株式会社 マルキョー/Cfa Backyard Winery,Shimada,Vino,,栃木県足利市島田町607-1,,,+81284724047,,https://winemaker.jp/,,,,34.836280,138.176060,,pendiente,no comprobado,,,2734,,,,,,,jp,kanto,tochigi,,,,,,
nasu-661-wine-hills-nasu,農業生産法人ロイヤルベリーズファーム 有限会社/NASU 661 WINE HILLS,Nasu,Vino,,栃木県那須郡那須町高久丙4515-13,,,+81287730661,,https://www.nasu661winehills.net/,,,,37.019750,140.120970,,,no comprobado,,,3192,,,,,,,jp,kanto,tochigi,,,,,,
so-boku-nasushiobara,So-boku,Nasushiobara,Lácteos y quesos,,栃木県那須塩原市青木1899,,,,,,,https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fso_boku%2F&is_from_rle,,36.961720,140.046060,,pendiente,no comprobado,,,1130,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-26338,那須高原今牧場,Nasu,Lácteos y quesos,,,,,,,,,,,37.019750,140.120970,,pendiente,sí,marketplace,,3213,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-26253,ピノキオホールディングス,Utsunomiya,Huevos,,,,,,,,,,,36.555110,139.882560,,pendiente,sí,marketplace,,1884,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-25554,NANTAIファーム,Nikkō-shi,Huevos,,,,,,,,,,,36.719830,139.698170,,pendiente,sí,marketplace,,840,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-3078175,下野きのこファーム,Shimotsuke,Setas,,,,,,,,,,,36.394860,139.851810,,pendiente,sí,marketplace,,2041,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-21444,君嶋きのこ園,Yaita,Setas,,,,,,,,,,,36.806720,139.924110,,pendiente,sí,marketplace,,2255,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-24398,那須バイオファーム,Takanezawa,Setas,きのこ,,,,,,,,,,36.630970,139.986530,,pendiente,sí,marketplace,,3210,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-21364,喜連川水産,さくら市,Pescado,鮎,,,,,,,,,,36.685280,139.966420,,pendiente,sí,marketplace,,2267,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-24914,明星漁業,さくら市,Pescado,鮎,,,,,,,,,,36.685280,139.966420,,pendiente,sí,marketplace,,2575,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-3079176,内海ぶどう園,Tochigi,Fruta y verdura,ぶどう,,,,,,,,,,36.382440,139.734140,,pendiente,sí,marketplace,,2186,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-20334,薄羽養鶏場,Mashiko,Huevos,,,,,,,,,,,36.467330,140.093360,,pendiente,sí,marketplace,,3131,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-3077950,自然養鶏こっこの輪,Nasukarasuyama,Huevos,,,,,,,,,,,36.656890,140.151420,,pendiente,sí,marketplace,,3087,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-24921,大田原 阿久津農園,Ōtawara-shi,Pan y cereal,,,,,,,,,,,36.870970,140.015940,,pendiente,sí,marketplace,,2321,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-3077358,遠藤農園,Nasushiobara,Pan y cereal,,,,,,,,,,,36.961720,140.046060,,pendiente,sí,marketplace,,3208,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-20533,稲作本店（FARM1739）,Nasu,Pan y cereal,米,,,,,,,,,,37.019750,140.120970,,pendiente,sí,marketplace,,3012,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-28836,那須栗園,Nasukarasuyama,Frutos secos,栗,,,,,,,,,,36.656890,140.151420,,pendiente,sí,marketplace,,3211,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-28929,鈴木いちご農園,Utsunomiya,Fruta y verdura,いちご,,,,,,,,,,36.555110,139.882560,,pendiente,sí,marketplace,,3240,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-21828,大時果樹園,Utsunomiya,Fruta y verdura,梨,,,,,,,,,,36.555110,139.882560,,pendiente,sí,marketplace,,2317,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-21114,フジワラアグリコルトゥーラ,Utsunomiya,Fruta y verdura,,,,,,,,,,,36.555110,139.882560,,pendiente,sí,marketplace,,1904,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-27633,ブルーベリー南園（みなみえん）,Oyama,Fruta y verdura,野菜,,,,,,,,,,36.308000,139.801950,,pendiente,sí,marketplace,,1910,,,,,,,jp,kanto,tochigi,,,,,,
tabechoku-21492,青苺農園,Mashiko,Fruta y verdura,,,,,,,,,,,36.467330,140.093360,,pendiente,sí,marketplace,,3287,,,,,,,jp,kanto,tochigi,,,,,,
