slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
ichinokura-osaki,Ichinokura,Osaki,Sake,"Ichinokura, Suzune espumoso","Matsuyama Sengoku Okeyaki 14, Osaki","Brewery born in 1973 from the union of four Osaki houses, which keeps hand pressing. Own online shop.",,,,https://www.ichinokura.co.jp/,,,,38.577110,140.955580,,verificado,sí,ecommerce,,354,en,,,,,
otokoyama-honten-kesennuma,Otokoyama Honten,Kesennuma,Sake,"Sotenden, Miroku",Kesennuma,"Brewery founded in 1912 in the port of Kesennuma, rebuilt after the 2011 tsunami. Own online shop.",,,,https://www.kesennuma.co.jp/,,,,38.908060,141.569940,,verificado,sí,ecommerce,,972,en,,,,,
katsuyama-shuzo-sendai,Katsuyama Shuzo,Sendai,Sake,"Katsuyama Ken, Akatsuki","Izumi-ku Fukuoka Futamata 25-1, Sendai","The Isawa house of Sendai, former supplier to the Date clan. Own online shop.",,,,https://www.katsu-yama.com/,,,,38.268220,140.869420,,verificado,sí,ecommerce,,534,en,,,,,
saura-shiogama,Saura,Shiogama,Sake,"Urakasumi, Zen","Honcho 2-19, Shiogama","Brewery founded in 1724 in Shiogama, supplier to the Shiwahiko shrine and source of kyokai yeast number 12. Its shop is physical, next to the kura.",,,,https://www.urakasumi.com/,,,,38.314360,141.021970,,verificado,no comprobado,,,1058,en,,,,,
niizawa-jozoten-osaki,Niizawa Jozoten,Osaki,Sake,"Hakurakusei, Atago no Matsu","Sanbongi Kitamachi 63, Osaki","Brewery founded in 1873 and based in Osaki. After the 2011 earthquake it moved brewing to Kawasaki, in the same Miyagi, and rebuilt the head office in 2013.",,+81229523002,,https://niizawa-brewery.co.jp/,,,,38.577110,140.955580,,verificado,no comprobado,,,858,en,,,,,
hagino-shuzo-kurihara,Hagino Shuzo,Kurihara,Sake,"Hagi no Tsuru, Hiwata","Kannari Aritaka Shinmachi 52, Kurihara","Brewery founded in 1840 in Kurihara, in the north of the prefecture, with seasonal labels.",,+81228442214,,https://www.hagino-shuzou.co.jp/,,,,38.730110,141.021470,,verificado,no comprobado,,,280,en,,,,,
taiwagura-shuzo-taiwa,Taiwagura Shuzo,Taiwa,Sake,Yuki no Matsushima,"Taiwa, Kurokawa","Brewery in Taiwa, north of Sendai, maker of Yuki no Matsushima.",,,,https://taiwagura.co.jp/,,,,38.437330,140.886360,,verificado,no comprobado,,,1165,en,,,,,
suminoe-shuzo-ishinomaki,Suminoe Shuzo,Ishinomaki,Sake,Suminoe,Ishinomaki,Brewery founded in 1845 in the port of Ishinomaki.,,,,,,,,38.434250,141.302720,,parcial,no comprobado,,,1146,en,,,,,
heiko-shuzo-ishinomaki,Heiko Shuzo,Ishinomaki,Sake,Hidakami,Ishinomaki,"Ishinomaki brewery of more than a century and a half, maker of Hidakami, a sake meant to go with fish.",,,,,,,,38.434250,141.302720,,parcial,no comprobado,,,308,en,,,,,
abekan-shuzo-shiogama,Abekan Shuzo,Shiogama,Sake,,宮城県塩竈市西町3-9,,,+81223620251,,http://www.abekan.com/index.html,,,,38.317001,141.013672,,parcial,no comprobado,,,15,,,,,,
uchigasaki-shuzoten-tomiya,Uchigasaki Shuzoten,Tomiya,Sake,,宮城県富谷市富谷新町27,,,+81223582026,,http://uchigasaki.com/index.html,,,,38.371807,140.869446,,parcial,no comprobado,,,1291,,,,,,
sasaki-shuzoten-natori,Sasaki Shuzoten,Natori,Sake,,宮城県名取市美田園7-1-1-E4（閖上さいかい市場内）,,,+81223988596,,http://naminooto.saleshop.jp/,,,,38.160015,140.909164,,parcial,no comprobado,,,1049,,,,,,
