slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
horticolas-bucero,La Vega de Perales,Perales de Tajuña,Fruta y verdura,Hortalizas y verduras,"Diseminado Camino Valdelaosa, 14, 28540 Perales de Tajuña, Madrid",Huerta familiar de Perales de Tajuña que cultiva hortalizas de temporada y prepara cajas bajo pedido.,Consultar web,+34660284958,lavegadeperales@gmail.com,https://www.lavegadeperales.com/,https://www.facebook.com/p/La-Vega-De-Perales-100063478155715/,https://www.instagram.com/lavegadeperales/,https://www.google.com/maps/search/?api=1&query=La%20Vega%20de%20Perales%2C%20Diseminado%20Camino%20Valdelaosa%2014%2C%2028540%20Perales%20de%20Taju%C3%B1a%2C%20Madrid&query_place_id=ChIJ-bsiBjhqQg0Rg-YXlwR-InE,40.229429,-3.355937,,verificado,sí,whatsapp
miel-antonio-simon,Miel Antonio Simón,Cobeña,Miel,Miel artesana,"C. Bronce, 9, 28863 Cobeña, Madrid","Productor local de miel en la provincia de Madrid, incorporado desde directorios de productores de la Comunidad de Madrid.",Consultar web,,oficina@miel-antoniosimon.com,https://www.miel-antoniosimon.com,,,https://www.google.com/maps/search/?api=1&query=Miel%20Antonio%20Sim%C3%B3n%2C%20Provincia%20de%20Madrid%2C%20Cobe%C3%B1a&query_place_id=ChIJY1kzXlgzQg0RNRfNiieXgl8,40.560879,-3.497498,/productores/madrid/madrid/miel-antonio-simon.webp,pendiente,sí,
the-sauce-man,The Sauce Man,Madrid,Salsas,Salsas artesanas,"C. de Arboleda, 18A, Puente de Vallecas, 28031 Madrid","Productor local de salsas en la provincia de Madrid, incorporado desde directorios de productores de la Comunidad de Madrid.",Consultar web,,info@thesauceman.es,https://thesauceman.es/,,https://www.instagram.com/thesauceman_es/,https://www.google.com/maps/search/?api=1&query=The%20Sauce%20Man%2C%20Provincia%20de%20Madrid%2C%20Madrid&query_place_id=ChIJoQgHXc5ruyMR-4MpPOAxKLw,40.387096,-3.626724,,verificado,sí,ecommerce
licores-trampero,Licores Trampero,Alcalá de Henares,Licores y vermut,Licores,"C. Tales de Mileto, 15, Nave 2, 28806 Pol. Ind. San Fernando, Madrid","Productor local de licores y vermut en Alcalá de Henares, incorporado desde directorios de productores de la Comunidad de Madrid.",Consultar web,,jlopez@trampero.com,https://www.trampero.com,,,https://www.google.com/maps/search/?api=1&query=Licores%20Trampero%2C%20Alcal%C3%A1%20de%20Henares%2C%20Madrid%2C%20Alcal%C3%A1%20de%20Henares&query_place_id=ChIJodLpKSFJQg0RHEGSFOgZf1I,40.489116,-3.396481,/productores/madrid/madrid/licores-trampero.webp,pendiente,sí,
oso-brew-alcobendas,Oso Brew Co.,Alcobendas,Cerveza artesana,Cerveza artesana,"Calle Guzmán el Bueno, 8, 28108 Alcobendas, Madrid",Cervecera artesanal madrileña con fábrica propia y producción activa de IPAs y colaboraciones.,Consultar web,+34657143011,hello@osobrewco.com,https://osobrewco.com/,,https://www.instagram.com/osobrewco/,https://www.google.com/maps/search/?api=1&query=Oso%20Brew%20Co.%2C%20Calle%20Guzm%C3%A1n%20el%20Bueno%2C%208%2C%2028108%20Alcobendas%2C%20Madrid%2C%20Alcobendas&query_place_id=ChIJ_VP6gvEtQg0R1AzfT9F249M,40.528571,-3.656247,,verificado,sí,ecommerce
granja-vega-alberche-aldea-del-fresno,Granja Vega Alberche,Aldea del Fresno,Lácteos y quesos,Queso de pastor,"Carretera Picadas, 2 / Calle Avoceta, 28620 Aldea del Fresno, Madrid",Quesería de campo elaborada en la propia granja a partir de la leche del rebaño.,,+34696093545,,,https://www.facebook.com/vegaalberche/,https://www.instagram.com/granja.vega.alberche/,https://www.google.com/maps/search/?api=1&query=Granja%20Vega%20Alberche%2C%20Carretera%20Picadas%2C%202%20%2F%20Calle%20Avoceta%2C%2028620%20Aldea%20del%20Fresno%2C%20Madrid%2C%20Aldea%20del%20Fresno&query_place_id=ChIJf6QBExC5QQ0RzfBPIdtnfKI,40.3092156,-4.2301961,,verificado,no,
maltacaballar-alpedrete,Maltacaballar,Alpedrete,Cerveza artesana,Cerveza artesana,"Calle Puerta de Abajo, 8, 28430 Alpedrete, Madrid","Cervecera artesanal de la Sierra de Guadarrama con fábrica, catas y programación propia.",J-D 12:00-15:00 / tardes según temporada,+34628806242,info@maltacaballar.com,https://www.maltacaballar.com/,,https://www.instagram.com/maltacaballar/,https://www.google.com/maps/search/?api=1&query=Maltacaballar%2C%20Calle%20Puerta%20de%20Abajo%2C%208%2C%2028430%20Alpedrete%2C%20Madrid%2C%20Alpedrete&query_place_id=ChIJNceCbrtzQQ0RWrWaOjR-Ejk,40.659927,-4.017842,/productores/madrid/madrid/maltacaballar-alpedrete.webp,parcial,no comprobado,
lavandas-de-madrid,Lavandas de Madrid,Santorcaz,Aromáticas,Lavanda y derivados,"Santorcaz, Madrid","Productor local de aromáticas en Anchuelo / Santorcaz, incorporado desde directorios de productores de la Comunidad de Madrid.",Consultar web,,manchuelob@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Lavandas%20de%20Madrid%2C%20Anchuelo%20%2F%20Santorcaz%2C%20Madrid%2C%20Anchuelo%20%2F%20Santorcaz&query_place_id=ChIJtRclVR5RQg0RNGmhYk9-z5k,40.482171,-3.224746,,pendiente,no comprobado,
el-regajal-aranjuez,El Regajal,Aranjuez,Bodega,Vino,"Antigua Carretera de Andalucía, km 50,5, 28300 Aranjuez, Madrid",Finca-bodega de Aranjuez con viñedo propio y elaboración en una propiedad singular con alta biodiversidad.,,+34913078903,info@elregajal.es,https://elregajal.es/,https://www.facebook.com/pages/El-Regajal/421639737900647,https://www.instagram.com/elregajal/,https://www.google.com/maps/search/?api=1&query=El%20Regajal%2C%20Antigua%20Carretera%20de%20Andaluc%C3%ADa%2C%20km%2050%2C5%2C%2028300%20Aranjuez%2C%20Madrid%2C%20Aranjuez&query_place_id=ChIJ02sAI7wFQg0RWS54NXduoKs,40.0044799,-3.600651,/productores/madrid/madrid/el-regajal-aranjuez.webp,verificado,sí,ecommerce
tenta-aranjuez,Tenta Brewing Co.,Aranjuez,Cerveza artesana,Cerveza artesana,"Carrera de Andalucía, 46, 28300 Aranjuez, Madrid",Cervecera artesanal con fábrica propia y tap room en Aranjuez.,Consultar web,+34658875745,,https://www.tentabrewingco.com/,,https://www.instagram.com/tentabrewingco/,https://www.google.com/maps/search/?api=1&query=Carrera%20de%20Andaluc%C3%ADa%2C%2046%2C%2028300%20Aranjuez%2C%20Madrid%2C%20Aranjuez,40.03333,-3.60278,,verificado,no,
