slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
cha-gorreana,Chá Gorreana,Ribeira Grande,Té e infusiones,"Black tea, green tea","Plantações de Chá Gorreana, 9625-304 Maia","Tea plantation and factory on the north coast of São Miguel, running since 1883; grows and makes chá preto and chá verde and opens the factory to visitors.",,+351296442349,gorreanazores@gmail.com,https://gorreana.pt/,https://www.facebook.com/gorreanateas,https://www.instagram.com/cha.gorreana/,https://www.google.com/maps/search/?api=1&query=Ch%C3%A1%20Gorreana%2C%20Planta%C3%A7%C3%B5es%20de%20Ch%C3%A1%20Gorreana%2C%209625-304%20Maia&query_place_id=ChIJHXPNCC_ZXAsRop-XoC_ZYYg,37.818393,-25.402561,/productores/pt/acores/acores/cha-gorreana.webp,verificado,sí,ecommerce,,249,en,,,,,
azores-wine-company,Azores Wine Company,Madalena,Vino,Pico wines,"Rua do Poço Velho, Bandeiras, 9950-054 Madalena","Winery on the island of Pico, in Bandeiras, part of António Maçanita's wine project; makes wines from the island's lava vineyard.",,+351292241840,info@azoreswinecompany.com,https://www.antoniomacanita.com/pt/adegas/azores-wine-company,https://www.facebook.com/azoreswinecompany,,https://www.google.com/maps/search/?api=1&query=Azores%20Wine%20Company%2C%20Rua%20do%20Po%C3%A7o%20Velho%2C%20Bandeiras%2C%209950-054%20Madalena&query_place_id=ChIJE1Bo742aRwsRRcAdi92MsxY,38.555728,-28.472034,,verificado,sí,ecommerce,,124,en,,,,,
quinta-dos-acores,Quinta dos Açores,Angra do Heroísmo,Lácteos y quesos,"Milk, cheese, ice cream",,Dairy farm on Terceira that processes its own milk; makes cheese and ice cream under its own brand and has a shop and a restaurant.,,+351295215818,geral@grupobarcelos.com,https://www.quintadosacores.com/,https://www.facebook.com/QUINTADOSACORES,https://www.instagram.com/quintadosacores/,,38.681852,-27.199198,/productores/pt/acores/acores/quinta-dos-acores.webp,parcial,no comprobado,,,767,en,,,,,
adega-czar,Adega Czar,São Roque do Pico,Vino,Vinho Czar,Zona Industrial de S. Roque 9940-210 São Roque do Pico,,,+351914253646,verdelhoczar@yahoo.com,,,,https://www.google.com/maps/search/?api=1&query=Adega%20Czar%2C%20Zona%20Industrial%20de%20S.%20Roque%209940-210%20S%C3%A3o%20Roque%20do%20Pico&query_place_id=ChIJtx9NZLOXRwsR3fGWMh9yn_Y,38.532687,-28.326187,,parcial,no comprobado,,,49,,,,,,
adega-e-cooperativa-agricola-da-ilha-graciosa,Adega e Cooperativa Agrícola da Ilha Graciosa,Santa Cruz da Graciosa,Vino,"Vinhos Pedras Brancas, aguardente Maria Encantada, compota de uva e meloa","Charco da Cruz, n.º 12, 9880-308 Santa Cruz da Graciosa",Adega cooperativa da Graciosa que vinifica uvas dos seus associados e elabora aguardente e compotas de uva e meloa na ilha.,,+351295712169,pedrasbrancas-graciosa@hotmail.com,https://www.adegagraciosa.com/,,,,39.083330,-28.016670,,verificado,sí,ecommerce,Destilados y licores|Dulces y repostería,62,pt,,,,,
adega-vitivinicola-lucas-amaral,Adega Vitivinícola Lucas Amaral,Madalena,Vino,"Arco Íris, Cadmarvor, Esboçopódio","Canada das Adegas, 11 - Campo Raso 9950-105 Madalena",,,+351961664837,adegavitilucasa@sapo.pt,,,,https://www.google.com/maps/search/?api=1&query=Adega%20Vitivin%C3%ADcola%20Lucas%20Amaral%2C%20Canada%20das%20Adegas%2C%2011%20-%20Campo%20Raso%209950-105%20Madalena&query_place_id=ChIJZec7lHmPRwsR1_5ndnh7KBc,38.445312,-28.497937,,parcial,no comprobado,,,68,,,,,,
agromariensecoo,Agromariensecoo,Vila do Porto,Despensa artesanal,"Compota de Meloa de Santa Maria, Mel, Licores, Vinhos",Ribeira de São Domingos s/n 9580-485 Vila do Porto,,,+351296820320,direccao@agromariensecoop.com,,https://www.facebook.com/Agromariensecoop,,,36.945000,-25.145000,,parcial,no comprobado,,,78,,,,,,
aquazor,Aquazor,Ponta Delgada,Pescado,Lírio de aquicultura,"Rua da Pranchinha, 92 9500-331 Ponta Delgada",,,+351296201580,moacor@financor.pt,https://www.financor.pt,,,,37.740000,-25.670000,,parcial,no comprobado,,,105,,,,,,
azores-brewing-company,Azores Brewing Company,Ribeira Grande,Cerveza,"Azorean Lighthouse Wheat, Cliff Dive Blonde, Island IPA","Rua da Imprensa, 7 9600-499 Ribeira Grande",,,+351916212800,info@azoresbrewingcompany.com,,,,https://www.google.com/maps/search/?api=1&query=Azores%20Brewing%20Company%2C%20Rua%20da%20Imprensa%2C%207%209600-499%20Ribeira%20Grande&query_place_id=ChIJV5FDADzXXAsRmoRV7qD3INA,37.802062,-25.517813,,parcial,no comprobado,,,122,,,,,,
acoraves,Açoraves,Praia da Vitória,Carne,"Frango da Montanha, Terceirense de Gema, Ovos",ZONA INDUSTRIAL DO CABO DA PRAIA 9760-101 Praia da Vitória,,,+351295542230,acoraves@sapo.pt,,,,,38.733330,-27.066670,,parcial,no comprobado,,,21,,,,,,
