slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
m1882-ovos-moles,M1882,Aveiro,Dulces y repostería,Ovos moles de Aveiro IGP,"Rua Dom Jorge de Lencastre 37, 3800-142 Aveiro","Historic ovos moles house in Aveiro, heir to Maria da Apresentação da Cruz; makes the doçaria at its workshop on Rua Dom Jorge de Lencastre and sells it in its three shops in the city.",,+351234422323,geral.m1882@gmail.com,https://m1882.com/,https://www.facebook.com/MariaDaApresentacaoDaCruzHerds/,,https://www.google.com/maps/search/?api=1&query=M1882%2C%20Rua%20Dom%20Jorge%20de%20Lencastre%2037%2C%203800-142%20Aveiro&query_place_id=Ej1SLiBEb20gSm9yZ2UgZGUgTGVuY2FzdHJlIDM3IG0xODgyLCAzODAwLTE0MiBBdmVpcm8sIFBvcnR1Z2FsIiEaHwoWChQKEgn3H-NVA5gjDRE8hx7rqmC2ARIFbTE4ODI,40.643981,-8.656700,/productores/pt/centro/aveiro/m1882-ovos-moles.webp,verificado,no comprobado,,
oficina-do-doce,Oficina do Doce,Aveiro,Dulces y repostería,"Ovos moles de Aveiro IGP, conventual pastries","Rua João Mendonça 23, 3800-200 Aveiro",Fabridoce group workshop in the Galeria Rossio in Aveiro; makes ovos moles and conventual doçaria in public view and sells them in the shop and online.,,+351234098840,geral@oficinadodoce.com,https://oficinadodoce.com/,https://www.facebook.com/oficinadoce,https://www.instagram.com/oficinadodoce_aveiro/,https://www.google.com/maps/search/?api=1&query=Oficina%20do%20Doce%2C%20Rua%20Jo%C3%A3o%20Mendon%C3%A7a%2023%2C%203800-200%20Aveiro&query_place_id=ChIJHVP_gAOYIw0R4kB04A9zUbg,40.641536,-8.654682,,verificado,sí,ecommerce,
caves-sao-joao,Caves São João,Anadia,Vino,"Frei João, Porta dos Cavaleiros, Quinta do Poço do Lobo","S. João da Azenha, 3780 Anadia","Family Bairrada winery founded in 1920 in S. João da Azenha; makes reds, whites and sparkling wines and keeps a collection of vinhos velhos.",,+351234743118,geral@cavessaojoao.com,https://www.cavessaojoao.com/,https://www.facebook.com/caves.saojoao/,https://www.instagram.com/cavessaojoao/,https://www.google.com/maps/search/?api=1&query=Caves%20S%C3%A3o%20Jo%C3%A3o%2C%20S.%20Jo%C3%A3o%20da%20Azenha%2C%203780%20Anadia&query_place_id=ChIJv1s3DzEIIw0RMo5gIHqBMp4,40.494742,-8.453678,/productores/pt/centro/aveiro/caves-sao-joao.webp,verificado,no comprobado,,
luis-pato,Luís Pato,Anadia,Vino,"Baga wines from Bairrada, sparkling wines","Rua da Quinta Nova, 3780-017 Amoreira da Gândara","Luís Pato's adega in Amoreira da Gândara; works the Bairrada varieties, above all Baga, and takes visitors at the quinta itself.",,+351231528156,geral@luispato.com,https://luispato.com/,https://www.facebook.com/luispato.wines,https://www.instagram.com/luispatowines/,https://www.google.com/maps/search/?api=1&query=Lu%C3%ADs%20Pato%2C%20Rua%20da%20Quinta%20Nova%2C%203780-017%20Amoreira%20da%20G%C3%A2ndara&query_place_id=ChIJtyxckYyoIw0RjhAyioFqAUA,40.463206,-8.534864,/productores/pt/centro/aveiro/luis-pato.webp,verificado,no comprobado,,
filipa-pato,Filipa Pato & William Wouters,Anadia,Vino,"3B sparkling, Bairrada wines","Rua de Santo André 41, 3780-502 Óis do Bairro","Filipa Pato and William Wouters' project in Óis do Bairro; they make Bairrada wines from local varieties, among them the sparkling 3B.",,,,https://www.patowouters.com/,https://www.facebook.com/FilipaPato.net,https://www.instagram.com/filipa_pato/,https://www.google.com/maps/search/?api=1&query=Filipa%20Pato%20%26%20William%20Wouters%2C%20Rua%20de%20Santo%20Andr%C3%A9%2041%2C%203780-502%20%C3%93is%20do%20Bairro&query_place_id=ChIJD1OaFWIHIw0R21Kt6EpGD28,40.432590,-8.484125,/productores/pt/centro/aveiro/filipa-pato.webp,verificado,no comprobado,,
guida-gourmet,Guida Gourmet,Ovar,Dulces y repostería,Pão de ló de Ovar,"Rua Dr. Manuel Arala 43, 3880-262 Ovar","Family house in Ovar devoted to pão de ló; makes it at its factory shop on Rua Dr. Manuel Arala and sells it there, in Furadouro and online.",,+351919415162,info@guidagourmet.pt,https://guidagourmet.pt/,https://www.facebook.com/guidagourmet.pt/,https://www.instagram.com/guidagourmet.pt/,https://www.google.com/maps/search/?api=1&query=Guida%20Gourmet%2C%20Rua%20Dr.%20Manuel%20Arala%2043%2C%203880-262%20Ovar&query_place_id=ChIJXelEqUuEIw0R3mj_zzqKses,40.859711,-8.626018,/productores/pt/centro/aveiro/guida-gourmet.webp,verificado,sí,ecommerce,
cerveja-vadia,Vadia,Oliveira de Azeméis,Cerveza,"Imperativa, Nautika, Thartaruga, cider","Rua Comendador Artur José Gomes Barbosa 576, 3720-005 Ossela","Craft brewery in Ossela, started in 2010; makes beer and cider at its Oliveira de Azeméis works, with an adjoining brewpub.",,+351256482151,geral@cervejavadia.pt,https://www.cervejavadia.pt/,https://www.facebook.com/cervejavadia/,https://www.instagram.com/cervejavadia/,https://www.google.com/maps/search/?api=1&query=Vadia%2C%20Rua%20Comendador%20Artur%20Jos%C3%A9%20Gomes%20Barbosa%20576%2C%203720-005%20Ossela&query_place_id=ChIJ11ksx9B5Iw0R5tKQGLiCpP4,40.841382,-8.434980,/productores/pt/centro/aveiro/cerveja-vadia.webp,verificado,no comprobado,,
casa-agricola-rui-batel,Casa Agrícola Rui Batel,Vagos,Vino,,"Zona Industrial de Vagos Lt 121, 3840-385 Vagos",,,+351234426234,ruibatel@carb.pt,http://www.carb.pt,,,https://www.google.com/maps/search/?api=1&query=Casa%20Agr%C3%ADcola%20Rui%20Batel%2C%20Zona%20Industrial%20de%20Vagos%20Lt%20121%2C%203840-385%20Vagos&query_place_id=ChIJfaG7VXa8Iw0ROozPJKx3eWI,40.551063,-8.718062,/productores/pt/centro/aveiro/casa-agricola-rui-batel.webp,parcial,no comprobado,,
casa-dos-amados-vinhos-de-portugal,CASA DOS AMADOS - Vinhos de Portugal,Anadia,Vino,,"Rua Principal de Saima Nº 402, 3780-102 SAIMA",,,+351910798054,bernardo.malhador@casadosamados.pt,http://casadosamados.pt,,,https://www.google.com/maps/search/?api=1&query=CASA%20DOS%20AMADOS%20-%20Vinhos%20de%20Portugal%2C%20Rua%20Principal%20de%20Saima%20N%C2%BA%20402%2C%203780-102%20SAIMA&query_place_id=ChIJw-uB1LMJIw0RFXEqAqXKq5U,40.490562,-8.479687,/productores/pt/centro/aveiro/casa-dos-amados-vinhos-de-portugal.webp,parcial,no comprobado,,
caves-da-montanha-a-henriques,Caves da Montanha - A. Henriques,Anadia,Vino,,"Rua Adriano Henriques 12, 3780-218 Anadia",,,+351231512260,nbarata@cavesdamontanha.pt,http://www.cavesdamontanha.pt,,,https://www.google.com/maps/search/?api=1&query=Caves%20da%20Montanha%20-%20A.%20Henriques%2C%20Rua%20Adriano%20Henriques%2012%2C%203780-218%20Anadia&query_place_id=ChIJ4470gPwGIw0Rs2hIw6pByIA,40.433813,-8.433438,/productores/pt/centro/aveiro/caves-da-montanha-a-henriques.webp,parcial,no comprobado,,
