slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
americo-manuel-coito,Américo Manuel Coito,Celorico da Beira,Lácteos y quesos,Queijo Serra da Estrela DOP,"Quinta S. João, Minhocal, 6360-110 Celorico da Beira",,,+351271878621,americo.coito@gmail.com,,,,,40.633330,-7.400000,,pendiente,no comprobado,,,92,,,,,,,pt,centro,guarda,,,,,,
francisco-jose-abrantes-granjal,Francisco José Abrantes Granjal,Celorico da Beira,Lácteos y quesos,Queijo Serra da Estrela DOP,"Quinta da Ronda - Serrado, Minhocal, 6360-110 Celorico da Beira",,,+351271878472,,,,,,40.633330,-7.400000,,pendiente,no comprobado,,,387,,,,,,,pt,centro,guarda,,,,,,
casa-agricola-dos-arais,Casa Agrícola dos Arais,Celorico da Beira,Lácteos y quesos,Queijo Serra da Estrela DOP,"Rua dos Arais, Vide Entre Vinhas, 6360-200 Celorico da Beira",,,+351271743189,c.a.arais@gmail.com,,,,,40.633330,-7.400000,,pendiente,no comprobado,,,175,,,,,,,pt,centro,guarda,,,,,,
queijaria-tia-amelia,Queijaria Tia Amélia,Celorico da Beira,Lácteos y quesos,Queijo Serra da Estrela DOP,"Avenida Senhora das Dores 37, Mesquitela, 6360-100 Celorico da Beira",,,+351938414141,queijaria_tia_amelia@hotmail.com,,,,,40.633330,-7.400000,,pendiente,no comprobado,,,651,,,,,,,pt,centro,guarda,,,,,,
carlos-aires-frias,Carlos Aires Frias,Fornos de Algodres,Lácteos y quesos,Queijo Serra da Estrela DOP,"Fuinhas, 6370-311 Fornos de Algodres",,,+351271709602,,,,,,40.616670,-7.533330,,pendiente,no comprobado,,,163,,,,,,,pt,centro,guarda,,,,,,
joao-julio-gomes-campos,João Júlio Gomes Campos,Fornos de Algodres,Lácteos y quesos,Queijo Serra da Estrela DOP,"Rua da Escola, Queiriz, 6370-373 Fornos de Algodres",,,+351271789186,msalomec@gmail.com,,,,,40.616670,-7.533330,,pendiente,no comprobado,,,446,,,,,,,pt,centro,guarda,,,,,,
carlos-e-fernanda-lopes,Carlos e Fernanda Lopes,Fornos de Algodres,Lácteos y quesos,Queijo Serra da Estrela DOP,"Cadoiço, Fornos de Algodres",,,+351969738447,carlosefernanda.lopes@gmail.com,,,,,40.616670,-7.533330,,pendiente,no comprobado,,,165,,,,,,,pt,centro,guarda,,,,,,
lactoceleiro,Lactoceleiro,Fornos de Algodres,Lácteos y quesos,Queijo Serra da Estrela DOP,"Quinta Lameira da Loba, Juncais, 6370-391 Fornos de Algodres",,,+351271700140,geral@lactoceleiro.pt,,,,https://www.google.com/maps/search/?api=1&query=Lactoceleiro%2C%20Quinta%20Lameira%20da%20Loba%2C%20Juncais%2C%206370-391%20Fornos%20de%20Algodres&query_place_id=ChIJb1bCrRDDPA0R8UdggCocE5k,40.603313,-7.501188,,pendiente,no comprobado,,,455,,,,,,,pt,centro,guarda,,,,,,
queijaria-da-caramuja,Queijaria da Caramuja,Gouveia,Lácteos y quesos,Queijo Serra da Estrela DOP,"Quinta da Caramuja, 6290-332 Gouveia",,,+351966549640,,,,,https://www.google.com/maps/search/?api=1&query=Queijaria%20da%20Caramuja%2C%20Quinta%20da%20Caramuja%2C%206290-332%20Gouveia&query_place_id=ChIJx09JwJ_QPA0Rr6m1DGM0VG4,40.486937,-7.612563,,pendiente,no comprobado,,,627,,,,,,,pt,centro,guarda,,,,,,
queijaria-ponte-dos-cavaleiros,Queijaria Ponte dos Cavaleiros,Gouveia,Lácteos y quesos,Queijo Serra da Estrela DOP,"Arcozelo da Serra, Gouveia",,,+351961256042,pontedoscavaleiros@hotmail.com,,,,,40.500000,-7.600000,,pendiente,no comprobado,,,646,,,,,,,pt,centro,guarda,,,,,,
queijaria-s-cosme,Queijaria S. Cosme,Gouveia,Lácteos y quesos,Queijo Serra da Estrela DOP,"Vila Nova de Tázem, 6290-632 Gouveia",,,+351238487167,quintasaocosme@sapo.com,,,,,40.499187,-7.695062,,pendiente,no comprobado,,,648,,,,,,,pt,centro,guarda,,,,,,
queijaria-tradicional-da-angela,Queijaria Tradicional da Ângela,Gouveia,Lácteos y quesos,Queijo Serra da Estrela DOP,"Quinta da Bandoiva, Rua Barão Predonda, Paços da Serra, 6290-241 Gouveia",,,+351238494710,,,,,,40.500000,-7.600000,,pendiente,no comprobado,,,652,,,,,,,pt,centro,guarda,,,,,,
casa-da-passarella,Casa da Passarella,Gouveia,Vino,"Casa da Passarella, Villa Oliveira, O Fugitivo","Rua Santo Amaro 3, Passarela, 6290-093 Lagarinhos","Quinta histórica del Dão con viñas, bodega y marcas propias.",,+351238486312,info@casadapassarella.pt,https://casadapassarella.pt/,,,https://www.google.com/maps/search/?api=1&query=Casa%20da%20Passarella%2C%20Rua%20Santo%20Amaro%203%2C%20Passarela%2C%206290-093%20Lagarinhos&query_place_id=ChIJad-6rA7RPA0RYOagpGKl8iI,40.496687,-7.670562,,pendiente,sí,ecommerce,,190,es,,,,,,pt,centro,guarda,,,,,,
fonte-de-goncalvinho,Fonte de Gonçalvinho,Seia,Vino,Vinho do Dão,"Rua do Seixal, Paranhos da Beira, 6270-133 Seia",Quinta familiar con doce hectáreas de viñedo y producción propia.,,+351964000598,f.goncalvinho@gmail.com,,,,,40.484472,-7.768861,,pendiente,no comprobado,,,385,es,,,,,,pt,centro,guarda,,,,,,
madre-de-agua,Madre de Água,Gouveia,Vino,"Madre de Água, Dão","Quinta Madre de Água, 6290-651 Vinhó, Gouveia","Propiedad rural con producción propia de vino, queso y fruta.",,+351238490500,geral@quintamadredeagua.pt,http://madredeaguahotelrural.pt/,,,,40.500000,-7.600000,,pendiente,no comprobado,,,483,es,,,,,,pt,centro,guarda,,,,,,
quinta-da-bica,Quinta da Bica,Seia,Vino,"Quinta da Bica, Vinhas Velhas","Quinta da Bica, Santa Comba de Seia, 6270-184 Seia",Quinta familiar dedicada a la producción y embotellado de vino del Dão.,,+351913255703,quintadabica@netcabo.pt,https://www.quintadabica.pt/,,,https://www.google.com/maps/search/?api=1&query=Quinta%20da%20Bica%2C%20Quinta%20da%20Bica%2C%20Santa%20Comba%20de%20Seia%2C%206270-184%20Seia&query_place_id=ChIJ8TFDZhbUPA0RWz2H2OSlbcM,40.440361,-7.706522,,,no comprobado,,,664,es,,,,,,pt,centro,guarda,,,,,,
casa-americo,Casa Américo,Gouveia,Vino,"Casa Américo, Vinha de Púcaros, Monte Estrela","Rua das Cortes 16, 6290-414 São Paio, Gouveia",Productor con 150 hectáreas de viñedo y bodega propia; Seacampo es la sociedad operadora.,,+351238481180,geral@casaamerico.pt,https://www.casaamerico.pt/,,,https://www.google.com/maps/search/?api=1&query=Casa%20Am%C3%A9rico%2C%20Rua%20das%20Cortes%2016%2C%206290-414%20S%C3%A3o%20Paio%2C%20Gouveia&query_place_id=ChIJ9xpOyujaPA0RgdXsxJwObbU,40.523256,-7.580330,,,no comprobado,,,185,es,,,,,,pt,centro,guarda,,,,,,
agostinho-amavel-costa-comercio-de-vinhos,Agostinho Amável Costa - Comercio de Vinhos,Vila Nova de Foz Côa,Vino,,"Largo da Fonte do Coxo, S/N, 5155-019 Cedovim",,,+351279777495,geral@amavelcosta.com,http://www.amavelcosta.com,,,https://www.google.com/maps/search/?api=1&query=Agostinho%20Am%C3%A1vel%20Costa%20-%20Comercio%20de%20Vinhos%2C%20Largo%20da%20Fonte%20do%20Coxo%2C%20S%2FN%2C%205155-019%20Cedovim&query_place_id=ChIJgSDLRlRjOw0R5lOlyTbsRMU,41.024438,-7.308188,,pendiente,no comprobado,,,73,,,,,,,pt,centro,guarda,,,,,,
casa-agricola-metello-de-napoles,"Casa Agrícola Metello de Nápoles, Unipessoal",Pinhel,Vino,,"Rua Teófilo Braga 18, 6400-458 Pinhel",,,+351912205106,geral@camn.pt,http://camn.pt,,,https://www.google.com/maps/search/?api=1&query=Casa%20Agr%C3%ADcola%20Metello%20de%20N%C3%A1poles%2C%20Unipessoal%2C%20Rua%20Te%C3%B3filo%20Braga%2018%2C%206400-458%20Pinhel&query_place_id=ChIJ9VJvHgBhPA0RzuGxI2wShaI,40.775813,-7.066938,,pendiente,no comprobado,,,180,,,,,,,pt,centro,guarda,,,,,,
casa-s-m-de-tourais,Casa S.M. de Tourais,Seia,Vino,,"Rua Elias Barcelos, nº55, 6270-586 Tourais- Seia",,,+351933831655,antoniomontenegro@casasaomatias.com,http://www.casasaomatias.com/,,,,40.422030,-7.702450,,pendiente,no comprobado,,,215,,,,,,,pt,centro,guarda,,,,,,
colinas-do-douro-sociedade-agricola,"Colinas do Douro Sociedade Agrícola,Lda.",Figueira de Castelo Rodrigo,Vino,,"Vale das Eiras, 6440-072 escalhão",,,+351912492291,geral@colinasdodouro.pt,http://www.colinasdodouro.pt,,,https://www.google.com/maps/search/?api=1&query=Colinas%20do%20Douro%20Sociedade%20Agr%C3%ADcola%2CLda.%2C%20Vale%20das%20Eiras%2C%206440-072%20escalh%C3%A3o&query_place_id=ChIJH4gvvRZ5PA0Rq4uFMlNsdo0,40.994812,-6.995813,,pendiente,no comprobado,,,263,,,,,,,pt,centro,guarda,,,,,,
cooperativa-agricola-beira-serra,Cooperativa Agrícola Beira Serra,Trancoso,Vino,,"Rua das Naves, nº 2, 6420-728 Vila Franca das Naves",,,+351271888200,administrativo@cooperativabeiraserra.pt,http://www.cooperativabeiraserra.pt,,,https://www.google.com/maps/search/?api=1&query=Cooperativa%20Agr%C3%ADcola%20Beira%20Serra%2C%20Rua%20das%20Naves%2C%20n%C2%BA%202%2C%206420-728%20Vila%20Franca%20das%20Naves&query_place_id=ChIJdZ0-ia7yPA0RUYx8nSV1wUg,40.721812,-7.258563,,pendiente,no comprobado,,,284,,,,,,,pt,centro,guarda,,,,,,
da-wg-wine-gourmet,"DA.WG - Wine & Gourmet, Unipessoal",Vila Nova de Foz Côa,Vino,,"Rua das Margaridas, 16, 5155-628 Numão",,,+351939390903,info@dawineandgourmet.pt,http://www.dawineandgourmet.pt,,,,41.083330,-7.133330,,pendiente,no comprobado,,,307,,,,,,,pt,centro,guarda,,,,,,
duorum-vinhos,DUORUM VINHOS,Vila Nova de Foz Côa,Vino,,"Quinta de Castelo Melhor, 5150-146 V. N. Foz Coa",,,+351268339910,duorum@duorum.pt,http://www.duorum.pt,,,,41.083330,-7.133330,,pendiente,no comprobado,,,328,,,,,,,pt,centro,guarda,,,,,,
h-abrantes-douro-wines,H. Abrantes - Douro Wines,Vila Nova de Foz Côa,Vino,,"Quinta Daniel - Pocinho - Apartado 34, 5150-645 Vila Nova de Foz Côa",,,+351917556314,joao@habrantes.com,http://www.habrantes.com,,,,41.083330,-7.133330,,pendiente,no comprobado,,,418,,,,,,,pt,centro,guarda,,,,,,
mario-jorge-eugenio-monteiro-cardoso,MARIO JORGE EUGENIO MONTEIRO CARDOSO,Vila Nova de Foz Côa,Vino,,"QUINTA DA SEQUEIRA - HORTA DO DOURO - 5155-336 HORTA VLF, 5155-336 HORTA VLF",,,,mariotcardoso@quintadasequeira.com,http://www.quintadasequeira.com,,,,41.083330,-7.133330,,pendiente,no comprobado,,,496,,,,,,,pt,centro,guarda,,,,,,
miguel-abrantes-vinhos,"Miguel Abrantes, Vinhos",Vila Nova de Foz Côa,Vino,,"Estrada Nacional 222, 10 2ºesq., 5150-545 Vila Nova de Foz Coa",,,+351233045643,miguel@miguelabrantes.wine,http://miguelabrantes.wine,,,,41.083330,-7.133330,,pendiente,no comprobado,,,513,,,,,,,pt,centro,guarda,,,,,,
muxagat-vinhos,Muxagat Vinhos,Mêda,Vino,,"Avenida Gago Coutinho e Sacadura Cabral, 6430-183 Meda",,,+351279883009,susana@muxagat.pt,http://www.muxagat.pt,,,,40.966670,-7.266670,,pendiente,no comprobado,,,529,,,,,,,pt,centro,guarda,,,,,,
qdb-quintadabiaia,QDB - QUINTADABIAIA,Figueira de Castelo Rodrigo,Vino,,"AV. 25 DE ABRIL, 195, 6440-111 FIGUEIRA DE CASTELO RODRIGO",,,+351963819916,geral@biaia.bio,http://www.biaia.bio,,,,40.900000,-6.966670,,pendiente,no comprobado,,,620,,,,,,,pt,centro,guarda,,,,,,
quinta-da-espinhosa-alberto-a-r-oliveira-pinto,QUINTA DA ESPINHOSA- Alberto A. R. Oliveira Pinto,Gouveia,Vino,,"Quinta da Espinhosa, 6290-632 VILA NOVA DE TAZEM",,,+351965117259,geral@quintadaespinhosa.pt,http://www.quintadaespinhosa.pt,,,,40.500000,-7.600000,,pendiente,no comprobado,,,672,,,,,,,pt,centro,guarda,,,,,,
