slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
100-hectares,100 Hectares,Peso da Régua,Vino,,"Rua Caetano Figueiredo, 5050-347 Poiares",,,,comercial100hectares@gmail.com,https://100hectares.com.pt/,,,https://www.google.com/maps/search/?api=1&query=100%20Hectares%2C%20Rua%20Caetano%20Figueiredo%2C%205050-347%20Poiares&query_place_id=ChIJTwaGGflTOw0RNPPd3dDqLcw,41.174584,-7.729096,/productores/pt/norte/vila-real/100-hectares.webp,pendiente,no comprobado,,,1,,,,,,
gueda-wines,Gueda Wines,Peso da Régua,Vino,,"Casa do Romezal, Calçada do Barreiro, 5050-366 Vilarinho dos Freires",,,+351935171239,gueda@casadoromezal.com,https://www.casadoromezal.com/,,,,41.173583,-7.743044,,pendiente,no comprobado,,,415,,,,,,
quinta-dona-matilde,Quinta Dona Matilde,Peso da Régua,Vino,,"Quinta Dona Matilde, Bagaúste, 5050-421 Canelas",,,+351254321795,info@donamatilde.pt,https://donamatilde.pt/,,,,41.146668,-7.725363,/productores/pt/norte/vila-real/quinta-dona-matilde.webp,pendiente,no comprobado,,,765,,,,,,
quinta-da-devesa,Quinta da Devesa,Peso da Régua,Vino,,"Caminho das Devesas, 5050-437 Canelas",,,+351911797303,info@quintadadevesa.pt,https://www.quintadadevesa.pt/,,,,41.1619574,-7.7454150,/productores/pt/norte/vila-real/quinta-da-devesa.webp,pendiente,no comprobado,,,671,,,,,,
quinta-do-judeu,Quinta do Judeu,Peso da Régua,Vino,,"Estrada da Fírveda, Corgo, 5050-200 Peso da Régua",,,+351254312276,quintadojudeu@quintadojudeu.com,https://loja.quintadojudeu.com/,,,https://www.google.com/maps/search/?api=1&query=Quinta%20do%20Judeu%2C%20Estrada%20da%20F%C3%ADrveda%2C%20Corgo%2C%205050-200%20Peso%20da%20R%C3%A9gua&query_place_id=ChIJR6uLB7xSOw0R3zQU-ysFX6M,41.164820,-7.768825,,pendiente,sí,ecommerce,,747,,,,,,
coimbra-de-mattos,Coimbra de Mattos,Peso da Régua,Vino,,"Casa da Calçada, Rua da Calçada, Galafura, Peso da Régua",,,+351254920214,geral@coimbrademattos.com,https://coimbrademattos.com/,,,https://www.google.com/maps/search/?api=1&query=Coimbra%20de%20Mattos%2C%20Casa%20da%20Cal%C3%A7ada%2C%20Rua%20da%20Cal%C3%A7ada%2C%20Galafura%2C%20Peso%20da%20R%C3%A9gua&query_place_id=ChIJecsRfJ5ROw0RKvSnx4o-TBk,41.184980,-7.688312,/productores/pt/norte/vila-real/coimbra-de-mattos.webp,pendiente,sí,ecommerce,,262,,,,,,
quinta-seara-d-ordens,Quinta Seara d'Ordens,Peso da Régua,Vino,"Vinho do Porto, Douro wine, olive oil","Quinta Seara d'Ordens, 5050-341 Poiares",,,+351254906415,geral@searadordens.com,https://searadordens.com/,,,https://www.google.com/maps/search/?api=1&query=Quinta%20Seara%20d%27Ordens%2C%20Quinta%20Seara%20d%27Ordens%2C%205050-341%20Poiares&query_place_id=ChIJZfFUmnZSOw0RzfNagUJOwjs,41.1883889,-7.7276389,/productores/pt/norte/vila-real/quinta-seara-d-ordens.webp,pendiente,no comprobado,,,789,,,,,,
mateus-sequeira-vinhos,Mateus & Sequeira Vinhos,Peso da Régua,Vino,Quinta da Pitarrela,"Quinta do Cadão, EN 222, 5130-602 São João da Pesqueira",,,,,https://mateusesequeiravinhos.com/,,,,41.165232,-7.797021,/productores/pt/norte/vila-real/mateus-sequeira-vinhos.webp,pendiente,sí,ecommerce,,502,,,,,,
quinta-do-portal,Quinta do Portal,Sabrosa,Vino,"Vinho do Porto, moscatel, olive oil","Celeirós do Douro, 5085-012 Sabrosa",,,+351259977100,geral@quintadoportal.com,https://quintadoportal.com/,,,,41.239135,-7.568047,/productores/pt/norte/vila-real/quinta-do-portal.webp,pendiente,no comprobado,,,758,,,,,,
quinta-do-crasto,Quinta do Crasto,Sabrosa,Vino,"Vinho do Porto, Douro wine, olive oil","Gouvinhas, Sabrosa",,,,,https://www.quintadocrasto.wine/,,,,41.163599,-7.628381,/productores/pt/norte/vila-real/quinta-do-crasto.webp,pendiente,no comprobado,,,739,,,,,,
