slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
bellinger-s-orchard,Bellinger's Orchard,Fultonviille,Fruta y verdura,,"685 Argersinger Rd, Fultonviille, New York 12072","Our 300 acre farm offers PYO sweet & tart cherries, apples (over 50 varieties!), peaches, nectarines, pears, plums, pumpkins, and a challenging 5-acre corn maze! Our new farm stand offers local fruits and vegetables, local honey, jams, fresh sweet cider, fudge, an on-site bakery, gifts by local artisans, and more.",,,,,,,,42.902931,-74.393467,,parcial,no comprobado,,,355,en,,,,,
bernard-farm,Bernard Farm,Cambridge,Lácteos y quesos,,"2275 State Route 22, Cambridge, NY, USA","Seasonal farmstand with a wide selection of farm grown produce, flowers, fresh baked bread, meat, dairy, eggs, pantry items and local goods.",,,,,,,,43.055604,-73.3731789,,parcial,no comprobado,,,379,en,,,,,
bughouse-farm-at-fitch-s-point,BugHouse Farm at Fitch's Point,Salem,Miel,,"4183 State Route 29, Salem, NY 12865",blackberries; raspberries Spring; raspberries Autumn; tomatoes; other vegetables; Home Grown Honey; Herb Vinegar;,,,,,,,,43.15071149410247,-73.3800328492094,,parcial,no comprobado,,,632,en,,,,,
carroll-gardens,Carroll Gardens,Brooklyn,Fruta y verdura,,"Carroll St and Smith St, Brooklyn, NY",Farmer's Market;,,,,,,,,40.680196998026304,-73.99488500971108,,parcial,no comprobado,,,710,en,,,,,
cherry-bank-farm,Cherry Bank Farm,Sanborn,Pan y cereal,,"5140 Townline Road, Sanborn, NY 14132",apples; bakery; pumpkins;,,,,,,,,43.164303462563225,-78.88556449622175,,parcial,no comprobado,,,786,en,,,,,
duryea-farm-of-the-fellowship-community,Duryea Farm of the Fellowship Community,Chestnut Ridge,Fruta y verdura,,"241 Hungry Hollow Road, Chestnut Ridge, NY 10977",prepicked produce; gift shop; snacks and refreshment stand; restrooms; picnic area; Farm store; handmade goods workshops; biodynamic produce; Christmas Festival and sale;,,,,,,,,41.08552165380004,-74.0644174227791,,parcial,no comprobado,,,1128,en,,,,,
echo-farm,Echo Farm,Essex,Miel,,"327 Walker Road, Essex, NY, USA","Echo Farm is a diversified farm selling only it\'s own organically-produced goods (no white labeling). We raise milk, poultry, beef, pork, chicken, vegetables, flowers, maple, honey, berries, fruit and biodiesel which is made from slaughter waste. Our farm has an on-site commercial kitchen where we produce value-added goods for retail and food service opportunities.",,,,,,,,44.2669603,-73.4488675,,parcial,no comprobado,,,1145,en,,,,,
emmifarms,EmmiFarms,Baldwinsville,Fruta y verdura,,"1482 West Genesee Road, Baldwinsville, NY 13027",Farm stand; farm market; school tours;,,,,,,,,43.16842689792088,-76.40162336472497,,parcial,no comprobado,,,1179,en,,,,,
fable-from-farm-to-table,Fable:  From Farm to Table,Ossining,Huevos,,"1311 Kitchawan Road, Ossining, NY, USA","Fable is a farm and food hub dedicated to sustainable agriculture and education. We believe that through dedication, hard work, and modern technological advancements in agriculture, we can provide the freshest produce all year round without the use of harmful pesticides._x000d_ From our farm to your table, Fable’s produce is sustainably grown in the Hudson Valley and truly set the standard of excellence in local fruit vegetable, and egg production.",,,,,,,,41.2116905,-73.8140142,,parcial,no comprobado,,,1212,en,,,,,
fergus-farm,Fergus Farm,East Aurora,Fruta y verdura,,"1810 Porterville Road, East Aurora, NY 14052",Farm stand; farm market; porta-potties; birthday parties; school tours; maze; games; hand stamp and sticker table;,,,,,,,,42.79123404658924,-78.56243391454333,,parcial,no comprobado,,,1248,en,,,,,
