slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
7-anubis-farms,7 Anubis Farms,Akron,Carne,,"23991 County Rd 40, Akron, CO, USA","7 Anubis Farms in Akron raises Berkshire pigs, chickens, turkeys, ducks and geese and produces seasonal crops and eggs. The farm follows organic gardening guidelines and does not use hormones, antibiotics or fillers.",,+19705711549,7anubisent@gmail.com,https://www.7anubisfarms.com/,,,,39.91768200000001,-102.973308,,pendiente,sí,ecommerce,,34,en,,,,,
berry-patch-farms,Berry Patch Farms,Brighton,Fruta y verdura,,"13785 Potomac Street, Brighton, CO 80601",Roadside market; School tours; Fun classes for kids in the summer; Cooking classes; Jr. Farmer Days; Birthday parties;,,,,,,,,39.94706201830277,-104.82856601701516,,pendiente,no comprobado,,,384,en,,,,,
farm-i,Farm-i,Durango,Fruta y verdura,,"2997 County Road 215, Durango, CO 81303",seasonal fruits and vegetables; locally grown produce; certified organically grown produce;,,,,,,,,37.14268898458346,-107.87524298200162,,pendiente,no comprobado,,,1230,en,,,,,
fritzler-farms-inc,Fritzler Farms Inc,La Salle,Fruta y verdura,Sweet corn and seasonal fruit and vegetables,"20861 County Road 33, Lasalle, CO 80645","Fritzler Farms in Lasalle operates a farm stand and seasonal market with locally grown fruit and vegetables. The farm also offers a pumpkin patch, corn maze and seasonal farm activities.",,+19707372129,info@fritzlermaze.com,https://www.fritzlerfarmpark.com/,,,"https://www.google.com/maps/dir//Fritzler+farm/@40.3025559,-104.8240769,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x876c1dd85b0e7e63:0xeec1b731af2604cd!2m2!1d-104.754037!2d40.302577",40.302577,-104.754037,,pendiente,no comprobado,,,1365,en,,,,,
honey-rock-landing,Honey Rock Landing,Delta,Miel,,"2444 Dominguez Canyon Road, Delta, CO, USA","A working organic farm on the Gunnison River, surrounded by the Dominguez-Escalante National Conservation Area. We offer rafter launches, U-pick, events, farm tours, farm dinners, a small farm store, and camping. We produce peaches, cherries, pears, blackberries, asparagus, eggs, honey, and other naturally delicious foods.",,,,,,,,38.795813,-108.320977,,pendiente,no comprobado,,,1694,en,,,,,
inti-farms,Inti Farms,Arvada,Fruta y verdura,,"8412 Alkire Street, Arvada, CO, USA",Inti Farms offers Farm Stand once a month (TBD).,,,,,,,,39.8485161,-105.1472437,,pendiente,sí,ecommerce,,1768,en,,,,,
keelor-family-ranch,Keelor Family Ranch,Colorado Springs,Lácteos y quesos,,,"Keelor Family Ranch in Colorado Springs produces chicken and quail eggs, goat milk and goat-milk products, seasonal vegetables, whole chickens and pasture-raised pork in small seasonal batches.",,+17194012494,KeelorFamilyRanch@gmail.com,https://keelorfamilyranch.com/,,,,,,,pendiente,sí,ecommerce,Carne|Huevos|Fruta y verdura,1887,en,,,,,
mountain-view-meats,Mountain View Meats,Fort Collins,Carne,,"5200 North County Rd 19, Fort Collins, Colorado 80524","At Mountain View Meats, our mission is to provide consumers with locally grown, fresh, high-quality beef and pork, at the best possible price. Staying local is best for the cattle, the consumers, and for our business.",,,,,,,,40.661499,-105.11135,,pendiente,no comprobado,,,2311,en,,,,,
plowshares-community-farm,Plowshares Community Farm,Longmont,Huevos,,"8040 Oxford Rd, Longmont, CO 80503","Farm stand; Farm market; Multiple stalls or vendors; Wide variety of seasonal, locally grown fruits and vegetables; Covered outdoor market; Fresh local eggs;",,,,,,,,40.116091218961394,-105.16730500827839,,pendiente,no comprobado,,,2622,en,,,,,
rk-creations-farm,RK Creations Farm,Elizabeth,Fruta y verdura,,"33784 County Road 21, Elizabeth, CO, USA","On farm greenhouse providing vegetable and fruit plants and flowers, and organic microgreens. Produce, fresh and dried herbs and fruit",,,,,,,,39.3575963,-104.570511,,pendiente,no comprobado,,,2817,en,,,,,
