slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
mullis-orchards,Mullis Orchards,Corinna,Fruta y verdura,,"370 Dexter Road Orchard, Corinna, ME 04928",apples; pears; pumpkins; raspberries; Autumn; red; winter squash; school tours;,,,,,,,,44.945174118012744,-69.24651288857987,,parcial,no comprobado,,,2324,en,,,,,
orchard-hill-farm,Orchard Hill Farm,Cumberland,Fruta y verdura,,"36 Orchard Rd, Cumberland, ME 04021",Horse and buggy rides; School tours; Picnic area; Gift shop; Snacks and refreshment stand;,,,,,,,,43.82893930833271,-70.299170543579,,parcial,no comprobado,,,2474,en,,,,,
peaked-mountain-farm,Peaked Mountain Farm,Dedham,Fruta y verdura,,"Ellery's Lane, Dedham, Maine",pick your own wild blueberries;,,,,,,,,44.67035426049501,-68.63133182369634,,parcial,no comprobado,,,2556,en,,,,,
roberts-orchard,Roberts' Orchard,Poland,Fruta y verdura,,"Poland Corner Road, Poland, ME 04274",Farm stand; Farm market; School tours;,,,,,,,,44.07032574448317,-70.37864613455935,,parcial,no comprobado,,,2822,en,,,,,
smithereen-farm,Smithereen Farm,Pembroke,Sidra,,"306 Youngs Cove Road, Pembroke, ME 04666",Roadside stand; Cider mill fresh apple cider made on the premises; restrooms;,,,,,,,,44.91014721529533,-67.16061770817907,,parcial,no comprobado,,,3043,en,,,,,
sweet-season-farm,Sweet Season Farm,Washington,Huevos,,"77 Liberty Road, Washington, ME 04574","Farm stand; Indoor market; Fresh local eggs; Baked goods; Preserves, jams, jellies; Crafts, artistic products; Gift shop; Restrooms; Picnic area;",,,,,,,,44.28104948451792,-69.36811192397406,,parcial,no comprobado,,,3236,en,,,,,
the-blueberry-jungle,The Blueberry Jungle,Kenduskeag,Fruta y verdura,,"498 Stetson Road, Kenduskeag, ME 04450",picking; eating;,,,,,,,,44.91313203001076,-68.96865749217973,,parcial,no comprobado,,,3314,en,,,,,
walker-keay-farm-eliot-me-csa,"Walker Keay Farm - Eliot, ME CSA",Eliot,Huevos,,"111 Hanscom Road, Eliot, ME, USA","Walker Keay Farm raises fresh vegetables, fruit & flowers We’re a small family farm, located in the coastal town of Eliot, in southern Maine._x000d_ Our passion is raising the healthiest produce + flowers we can, and sharing it all directly with you + your family. We hope to make your choice to eat locally + seasonally a joyous one; one that includes delicious veggies, sourced from farmers who you can put a face to._x000d_ Our vegetables are raised with care, and their freshness is measured in hours, not weeks. We sell direct to our community via our summer + fall CSA program, our farm stand, local markets + online sales.",,,,,,,,43.1230722,-70.7586578,,parcial,no comprobado,,,3544,en,,,,,
albee-farming,Albee Farming,Alna,Miel,,"1628 Alna Road, Alna, Maine 04535",,,,,,,,,44.1032357,-69.615267,,pendiente,no comprobado,,,89,,,,,,
allagash-brewing-company,Allagash Brewing Company,Portland,Cerveza,,,,,+18003305385,info@allagash.com,https://www.allagash.com/,https://www.facebook.com/AllagashBrewingCompany/,https://instagram.com/allagashbrewing,,43.633157,-70.185305,,parcial,no comprobado,,,96,,,,,,
