slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
99-oaks-farm,99 Oaks Farm,Cocoa,Lácteos y quesos,,"Cocoa, FL, USA",,,,,,,,,,,,pendiente,no comprobado,,,38,,,,,,,us,south-atlantic,florida,,,,,,
allison-family-farm-llc,Allison Family Farm LLC,Crescent City,Vino,,"124 Diamond Lake Lane, Crescent City, FL, USA",,,,,,,,,,,,pendiente,no comprobado,,,100,,,,,,,us,south-atlantic,florida,,,,,,
butthead-farm,Butthead Farm,Mount Dora,Lácteos y quesos,,"239 West 4th Avenue, Mount Dora, FL, USA",,,,,,,,,,,,pendiente,no comprobado,,,653,,,,,,,us,south-atlantic,florida,,,,,,
coastal-crown-produce,Coastal Crown Produce,Saint Augustine,Fruta y verdura,,"6200 State Road 13 North, Saint Augustine, FL 32092",,,,,,,,,,,,pendiente,no comprobado,,,851,,,,,,,us,south-atlantic,florida,,,,,,
ergle-farm,Ergle Farm,Dade City,Fruta y verdura,,"3325 Treiman Boulevard U.S. Hwy. 301, Dade City, FL 33523",,,,,,,,,,,,pendiente,no comprobado,,,1192,,,,,,,us,south-atlantic,florida,,,,,,
hatch-s-blueberry-patch,Hatch's Blueberry Patch,Fort White,Fruta y verdura,,"329 SW Elim Church Rd, Fort White, FL",,,,,,,,,,,,pendiente,no comprobado,,,1568,,,,,,,us,south-atlantic,florida,,,,,,
kai-kai-farm,Kai-Kai Farm,Indiantown,Fruta y verdura,seasonal produce,"8006 Southwest Kanner Highway, Indiantown, FL, USA","Kai-Kai Farm grows fresh produce in Indiantown and sells through its farm market, CSA, and direct farm-to-table channels.",,+17725971717,,https://www.kaikaifarm.com/,,,,,,/productores/us/south-atlantic/florida/kai-kai-farm.webp,pendiente,sí,ecommerce,,1865,en,,,,,,us,south-atlantic,florida,,,,,,
mick-farms,Mick Farms,Saint Cloud,Fruta y verdura,,"4261 Canoe Creek Road, Saint Cloud, Florida 34772",,,,,,,,,,,,pendiente,no comprobado,,,2221,,,,,,,us,south-atlantic,florida,,,,,,
al-s-family-farms,Al's Family Farms,Fort Pierce,Fruta y verdura,seasonal fruit and vegetables,,Al’s Family Farms offers seasonal Florida fruit and vegetables through its farm operation.,,,,https://www.alsfamilyfarms.com/,,,,,,/productores/us/south-atlantic/florida/al-s-family-farms.webp,pendiente,sí,ecommerce,,74,en,,,,,,us,south-atlantic,florida,,,,,,
bedner-s-farm-fresh-market,Bedner's Farm Fresh Market,Boynton Beach,Fruta y verdura,"seasonal produce, farm goods",,Bedner’s Farm Fresh Market combines South Florida farm production with a market selling seasonal produce and farm goods.,,+15617335490,,https://www.bedners.com/,https://www.facebook.com/Bedners/,,,,,,pendiente,no comprobado,,,328,en,,,,,,us,south-atlantic,florida,,,,,,
sweet-roots-organic-farm,Sweet Roots Organic Farm,Hawthorne,Fruta y verdura,organic seasonal vegetables,,Sweet Roots Organic Farm grows certified-organic seasonal vegetables.,,,,https://sweetrootsorganicfarm.com/,,,,,,,pendiente,no comprobado,,,3233,en,,,,,,us,south-atlantic,florida,,,,,,
two-docks-shellfish,Two Docks Shellfish,Bradenton,Pescado,"oysters, shellfish",,Two Docks Shellfish farms oysters and other shellfish through its Florida aquaculture operation.,,,,http://www.twodocksshellfish.com,,https://www.instagram.com/twodocksshellfish/,,,,,pendiente,no comprobado,,,3463,en,,,,,,us,south-atlantic,florida,,,,,,
