slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
cross-farms-llc,Cross Farms LLC,Berlin,Fruta y verdura,"Seasonal vegetables, berries, farm eggs","9933 Pitts Road, Berlin, MD, USA","Cross Farms is a four-acre family farm near Berlin growing Certified Naturally Grown seasonal fruit and vegetables. Its farm stand also offers farm eggs, with produce boxes available for local delivery or pickup.",,+14102516824,,,,,,38.3931992,-75.2282182,,,sí,telefono,Huevos,961,en,,,,,,us,south-atlantic,maryland,,,,,,
drds-gotyoursix-farms,DRDs GotYourSix Farms,Gaithersburg,Fruta y verdura,"Seasonal vegetables, berries, edible flowers, spice blends","9312 Harrisons Farm Way, Gaithersburg, MD, USA","DRDs GotYourSix Farms grows seasonal vegetables, berries and edible flowers in Gaithersburg, alongside spice blends and other shelf-stable farm goods. Customers can buy through its online shop, subscription boxes and farmers markets.",Daily 09:00–15:00,+13013067840,,https://gy6-farms.com/,https://www.facebook.com/profile.php?id=100089466674495,https://www.instagram.com/gotyoursix.farms/,,39.2204654,-77.1906165,/productores/us/south-atlantic/maryland/drds-gotyoursix-farms.webp,,sí,ecommerce,,1102,en,,,,,,us,south-atlantic,maryland,,,,,,
hilltop-haven-farms,Hilltop Haven Farms,Highfield-Cascade,Miel,"Raw honey, farm eggs, seasonal produce, berries, mushrooms","14615 Hilltop Road, Highfield-Cascade, MD, USA","Hilltop Haven Farms is a family-run regenerative farm in Cascade producing raw honey and eggs from its own hives and chickens, with seasonal organic vegetables, berries and mushrooms.",,+13152766798,hilltophavenhoney@gmail.com,https://hilltophavenfarms.com/,https://www.facebook.com/profile.php?id=61572239683633,,,39.7171527,-77.47253309999999,/productores/us/south-atlantic/maryland/hilltop-haven-farms.webp,,sí,ecommerce,Huevos|Fruta y verdura,1654,en,,,,,,us,south-atlantic,maryland,,,,,,
oakley-s-farm-market,Oakley's Farm Market,Hebron,Fruta y verdura,"Strawberries, pumpkins, vegetables, melons, jams","27466 Ocean Gateway US Rt. 50, West, Hebron, MD 21830","Oakley's Farm Market grows strawberries, pumpkins, herbs, vegetables, melons and other fruit at its Hebron farm. The seasonal farm market also makes jam from its strawberries and offers pick-your-own crops and autumn activities.",Late April–October; daily 08:00–19:00,+14108608553,,,,,,38.416047,-75.6606032,,,no,,,2432,en,sí,,,,,us,south-atlantic,maryland,,,,,,
the-farm-at-the-pines,The Farm at the Pines,Keymar,Carne,"Grass-fed Angus beef, Berkshire pork","2104 Hagerstown Lane, Keymar, MD, USA","The Farm at the Pines raises grass-fed, grass-finished Angus cattle and Berkshire hogs in Keymar. Its beef and pork are born and raised on the farm, processed at a USDA-inspected facility and sold directly through seasonal online bundles.",By arrangement; contact before visiting,+14106101138,thefarmatthepines@gmail.com,https://www.thefarmatthepines.com/,https://www.facebook.com/TheFarmatthePines/,https://www.instagram.com/thefarmatthepines/,,39.631984,-77.247516,,,sí,ecommerce,,3330,en,,,,,,us,south-atlantic,maryland,,,,,,
baugher-s-orchard-farm,Baugher's Orchard & Farm,Westminster,Fruta y verdura,"Apples, peaches, berries, pumpkins, pies, cider donuts","1015 Baugher Road, Westminster, Maryland 21158","Baugher's family orchard in Westminster grows seasonal fruit and vegetables for its orchard market and pick-your-own fields. Its on-farm bakery makes fruit pies, apple dumplings, loaves and cider donuts.",Tue–Sun 09:00–18:00; Monday closed; pick-your-own hours vary,+14108485541,,https://www.baughers.com/locations/,https://www.facebook.com/BaughersOrchard/,,,39.6020988,-77.0498014,/productores/us/south-atlantic/maryland/baugher-s-orchard-farm.webp,,sí,ecommerce,Dulces y repostería,298,en,,,,,,us,south-atlantic,maryland,,,,,,
sagamore-spirit,Sagamore Spirit,Baltimore,Destilados y licores,Maryland rye whiskey,"301 E Cromwell St, Baltimore, MD, 21230, US","Sagamore Spirit distills Maryland rye whiskey at its waterfront Baltimore distillery. The campus offers 45–60 minute guided distillery tours and tastings, a whiskey bar and a direct online shop for its rye releases.","Tours Wed–Sun; whiskey bar Thu 13:00–20:00, Fri 13:00–20:00, Sat 11:00–20:00, Sun 11:00–18:30",+14106247488,,https://sagamorespirit.com/,https://www.facebook.com/sagamorespirit/,https://www.instagram.com/sagamorespirit/,,39.26363,-76.6063108,/productores/us/south-atlantic/maryland/sagamore-spirit.webp,,sí,ecommerce,,2880,en,sí,,,,,us,south-atlantic,maryland,,,,,,
hoopers-island-oyster-co,Hoopers Island Oyster Co.,Fishing Creek,Pescado,"Chesapeake Gold oysters, Eastern oyster seed","2500 Old House Point Road, Fishing Creek, MD 21634, USA","Hoopers Island Oyster Co. grows Eastern oysters from hatchery seed through Chesapeake Bay grow-out, producing Chesapeake Gold oysters for retail, restaurants and restoration. Its direct shop ships fresh oysters by overnight delivery.",,+14103973664,info@blueoysterenv.com,https://hoopersisland.com/hoopers-island-oyster-co/,,,,38.3171992,-76.2215228,,pendiente,sí,ecommerce,,1704,en,,,,,,us,south-atlantic,maryland,,,,,,
hollywood-oyster-company,Hollywood Oyster Company,Hollywood,Pescado,Sweet Jesus oysters,"44149 Tranquility Farm Lane, Hollywood, MD 20636, USA",Hollywood Oyster Company cultivates Sweet Jesus oysters in the Patuxent River and hand-packs them for direct shipment and farm pickup.,,+13017106396,info@hollywoodoyster.com,https://hollywoodoyster.com,https://www.facebook.com/HollywoodOyster/,https://www.instagram.com/hollywood_oyster/,,38.3707545,-76.5429268,/productores/us/south-atlantic/maryland/hollywood-oyster-company.webp,,sí,ecommerce,,1672,en,,,,,,us,south-atlantic,maryland,,,,,,
orchard-point-oyster-company,Orchard Point Oyster Company,Chestertown,Pescado,"Orchard Point Classics, Orchard Point Primes","24179 Walnut Point Road, Chestertown, MD 21620, USA",Orchard Point Oyster Company raises oysters on two Chesapeake Bay leases near Eastern Neck Island and in Eastern Bay. Its Orchard Point Classics and Primes are sold through a direct Shuck Shop for scheduled pickup.,,+14434800302,info@orchardpointoysters.com,https://orchardpointoysters.com,https://www.facebook.com/orchardpointoysters/,https://www.instagram.com/orchardpointoysters/,,39.1462819,-76.1331941,/productores/us/south-atlantic/maryland/orchard-point-oyster-company.webp,pendiente,sí,ecommerce,,2475,en,,,,,,us,south-atlantic,maryland,,,,,,
