slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
d-round-barn-berries,D Round Barn Berries,Saint Michael,Fruta y verdura,"Asparagus, strawberries, pumpkins","2260 Jamison Ave NE, Saint Michael, MN 55376","D Round Barn Berries is a family-operated farm in Saint Michael offering seasonal asparagus, pick-your-own strawberries and a pumpkin patch.",,+16122378443,contactus@droundbarn.com,https://droundbarnberries.com/,https://www.facebook.com/663759927036841/,https://www.instagram.com/droundbarnberries/,,45.1841837,-93.6916494,/productores/us/west-north-central/minnesota/d-round-barn-berries.webp,,no comprobado,,,989,en,,,,,
enchanted-gardens,Enchanted Gardens,Minnetonka,Fruta y verdura,"Seasonal vegetables, eggs, raw honey","13500 Excelsior Blvd, Minnetonka, MN 55345","Enchanted Gardens is a Minnetonka farm and apiary producing seasonal vegetables, eggs and raw honey, with vegetable, flower and egg subscriptions.",Daily 09:00–18:00,,contact@enchantedgardensmn.com,https://www.enchantedgardens.blog/,,https://www.instagram.com/enchantedgardensmn/,,44.9132219,-93.4519978,/productores/us/west-north-central/minnesota/enchanted-gardens.webp,,sí,ecommerce|suscripcion,Huevos|Miel,1181,en,sí,,,,
packer-family-farms,Packer Family Farms,Andover,Fruta y verdura,"Pumpkins, seasonal fruit and vegetables","16029 Round Lake Blvd NW, Andover, MN 55304",Packer Family Farms operates a seasonal roadside stand in Andover with pumpkins and other locally grown fruit and vegetables.,"Sep 30–Oct 31, daily 09:30–19:00",+17639136061,,,,,,45.26171509887172,-93.34622124831482,,pendiente,no comprobado,,,2509,en,,,,,
remick-s-orchard,Remick's Orchard,Oak Grove,Fruta y verdura,Seasonal vegetables,"18978 Lake George Blvd NW, Oak Grove, MN 55303","Remick's Orchard operates a seasonal farm and orchard in Oak Grove, with vegetables sold from its farm stand.","Aug 19–Oct 24, daily 09:00–17:00",+16122403355,,,https://www.facebook.com/RemicksOrchard/,,,45.314382,-93.347477,,pendiente,no comprobado,,,2773,en,,,,,
wild-haven-farm,Wild Haven Farm,North Branch,Huevos,"Heritage-breed eggs, seasonal farm products","41494 Poor Farm Rd, North Branch, MN 55056","Wild Haven Farm in North Branch raises heritage poultry and offers farm-fresh eggs, seasonal farm products and CSA shares.",Mon–Fri 09:00–18:00,+16124405044,farm@sunrisewildhaven.com,https://sunrisewildhaven.com/,https://www.facebook.com/sunrisewildhavenfarm/,https://www.instagram.com/sunrisewildhavenfarm/,,45.5491472,-92.8377931,/productores/us/west-north-central/minnesota/wild-haven-farm.webp,,sí,ecommerce|suscripcion,,3622,en,sí,,,,
goldenrust-farm,Goldenrust Farm,Eyota,Carne,"Beef, pork, lamb","12503 County Road 9 E, Eyota, MN 55934","Goldenrust Farm in Eyota raises beef cattle, pigs and sheep, selling beef, pork and lamb directly from the farm.",,+15079935731,info@goldenrustfarm.com,,,,,44.020939,-92.229019,,pendiente,no comprobado,,,1432,en,,,,,
aronia-berries-llc,"Aronia Berries, LLC",Waseca,Fruta y verdura,Aronia berries,"9499 Wilton Bridge Rd, Waseca, MN 56093","Aronia Berries, LLC grows aronia berries in Waseca and offers seasonal pick-your-own access.",,+15074612396,,,https://www.facebook.com/aroniaberriesllc/,,,,,,pendiente,no comprobado,,,190,en,,,,,
bergmann-s-greenhouses-farm-market-inc-nc,Bergmann's Greenhouses & Farm Market,Stillwater,Fruta y verdura,,"12239 62nd St N, Stillwater, MN 55082",,,+16514399577,,,,,,,,,pendiente,no comprobado,,,374,,,,,,
berry-and-bloom-farm-llc,Berry and Bloom Farm LLC,Chatfield,Fruta y verdura,Blueberries,"6945 150th Ave SE, Chatfield, MN 55923",Berry and Bloom Farm in Chatfield grows blueberries and flowers and opens its fields seasonally for self-serve blueberry and flower picking.,Mon–Sat 06:00–20:00,+13093314649,berryandbloomfarm@gmail.com,https://www.berryandbloomfarm.com/,https://www.facebook.com/berryandbloomfarm/,https://www.instagram.com/berryandbloomfarm/,,43.92009300827985,-92.18239198074788,/productores/us/west-north-central/minnesota/berry-and-bloom-farm-llc.webp,,no,,,380,en,,,,,
bird-island-berries,Bird Island Berries,Bird Island,Fruta y verdura,"Asparagus, red raspberries, yellow raspberries","83105 425th St, Bird Island, MN 55310","Bird Island Berries operates a seasonal berry and produce farm in Bird Island, offering asparagus and red and yellow raspberries.",,+17013671870,,,,,,44.79068600330069,-94.82390199546884,,pendiente,no comprobado,,,422,en,,,,,
redhead-creamery,Redhead Creamery,Brooten,Lácteos y quesos,"Cheese, creamline milk, yogurt, whey spirits","31535 463rd Ave, Brooten, MN 56316","Redhead Creamery is a farmstead creamery near Brooten making cheese, creamline milk and yogurt from its own dairy, alongside whey-based spirits.",Wed–Thu 10:00–16:00; Fri–Sat 10:00–17:00,+13203462246,info@redheadcreamery.com,https://redheadcreamery.com/,https://www.facebook.com/RedheadCreamery/,https://www.instagram.com/redheadcreamery/,,45.581675,-95.075274,/productores/us/west-north-central/minnesota/redhead-creamery.webp,,sí,ecommerce,Destilados y licores,2761,en,sí,,,,
shepherd-s-way-farms,Shepherd's Way Farms,Nerstrand,Lácteos y quesos,"Sheep-milk cheese, bottled sheep milk, lamb","8626 160th St E, Nerstrand, MN 55053",Shepherd's Way Farms is a sheep dairy in Nerstrand that makes farmstead sheep-milk cheeses and also offers bottled sheep milk and lamb.,,+15076639040,,https://www.shepherdswayfarms.com/,https://www.facebook.com/shepherdswayfarm/,https://www.instagram.com/shepherdswaycheese/,,44.355997,-93.129175,,,no comprobado,,,2977,en,,,,,
alemar-cheese-company,Alemar Cheese Company,Minneapolis,Lácteos y quesos,"Bent River, Good Thunder, Blue Earth, St. James","1401 Marshall St NE, Suite 140, Minneapolis, MN 55413",Alemar Cheese Company makes small-batch soft-ripened cow's-milk cheeses at its Minneapolis creamery.,,+16123154609,info@alemarcheese.com,https://www.alemarcheese.com/,https://www.facebook.com/Alemar-Cheese-107491112608604/,https://www.instagram.com/alemarcheese/,,45.001266,-93.270826,,,sí,ecommerce,,92,en,,,,,
far-north-spirits,Far North Spirits,Hallock,Destilados y licores,"Rye whiskey, bourbon, gin, rum","2045 220th Ave, Hallock, MN 56728","Far North Spirits grows rye and corn on its Hallock farm and mills, ferments, distills and ages estate whiskey, gin and rum on site.",Sat 17:00–21:00,,,https://farnorthspirits.com/,https://www.facebook.com/farnorthspirits/,https://www.instagram.com/farnorthspirits/,,48.695309,-96.978897,/productores/us/west-north-central/minnesota/far-north-spirits.webp,,sí,ecommerce,,1227,en,sí,,,,
untiedt-s-vegetable-farm,Untiedt's Vegetable Farm,Waverly,Fruta y verdura,"Sweet corn, strawberries, tomatoes, flowers","4750 25th St SW, Waverly, MN 55390","Untiedt's Vegetable Farm grows fruit, vegetables and flowers at its Waverly farm and supplies seasonal farm stands and online preorders.",,+17636584672,,https://untiedts.com/,https://www.facebook.com/UntiedtsVegetableFarm/,https://www.instagram.com/untiedtsvegetablefarm/,,45.115951,-93.988850,/productores/us/west-north-central/minnesota/untiedt-s-vegetable-farm.webp,,sí,ecommerce,,3483,en,,,,,
ames-farm,Ames Farm,Delano,Miel,"Raw single-source honey, comb honey, beeswax candles","2425 County Road 127, Delano, MN 55328",Ames Farm produces raw single-source honey and comb honey from its apiaries and offers beeswax goods and seasonal bee products from its Delano farm.,,+19529553348,webstore@amesfarm.com,https://www.amesfarm.com/,https://www.facebook.com/amesfarm/,https://www.instagram.com/amesfarm/,,44.961941,-93.777620,,,sí,ecommerce|suscripcion,,128,en,sí,,,,
homestead-honey-farm,Homestead Honey Farm,Dennison,Miel,Raw Minnesota honey,"39155 70th Ave, Dennison, MN 55018",Homestead Honey Farm is a second-generation apiary outside Dennison producing raw Minnesota honey from thousands of managed hives.,,+15072635580,,https://homesteadhoneyfarm.com/,https://www.facebook.com/homesteadhoneyfarm/,https://www.instagram.com/homesteadhoneyfarm/,,44.382372,-92.891224,/productores/us/west-north-central/minnesota/homestead-honey-farm.webp,,sí,ecommerce,,1685,en,,,,,
mille-lacs-wild-rice-corp,Mille Lacs Wild Rice Corp.,Aitkin,Legumbres y cereales,Wild rice,"25300 Paddy Ave, Aitkin, MN 56431","Mille Lacs Wild Rice Corporation, trading as Canoe Wild Rice, processes Minnesota-grown wild rice at its Aitkin facility.",,+18006263809,info@canoewildrice.com,https://www.canoewildrice.com/,,,,46.523210,-93.810974,/productores/us/west-north-central/minnesota/mille-lacs-wild-rice-corp.webp,,sí,ecommerce,,3831,en,,,,,
pearson-organics,Pearson Organics,Lake City,Fruta y verdura,"Vegetables, plant starts","73072 327th Ave, Lake City, MN 55041","Pearson Organics is a family farm in Lake City growing vegetables and plant starts, with a seasonal online seedling store.",,+15072615098,pearsonorganics@gmail.com,https://www.pearsonorganicsfarm.com/,https://www.facebook.com/PearsonOrganics/,https://www.instagram.com/pearson_organics/,,44.440882,-92.323539,,,sí,ecommerce,,3833,en,,,,,
cannonbelles-cheese,CannonBelles Cheese,Cannon Falls,Lácteos y quesos,"Cheddar, queso fresco, gouda, cheese curds",,"CannonBelles Cheese makes artisanal cheddar, queso fresco, gouda and cheese curds at its licensed cheese plant in Cannon Falls.",,,,https://cannonbelles.com/,https://www.facebook.com/CannonBelles/,https://www.instagram.com/cannonbelles/,,,,,,sí,email,,3830,en,,,,,
peace-coffee,Peace Coffee,Minneapolis,Café,Organic fair-trade roasted coffee,"2801 21st Ave S, Suite 130, Minneapolis, MN 55407","Peace Coffee roasts organic, fair-trade coffee at its Minneapolis roastery and sells it through its online store.",,,,https://www.peacecoffee.com/,https://www.facebook.com/pages/Peace-Coffee/26583664405/,https://www.instagram.com/peace_coffee/,,44.951067,-93.241569,/productores/us/west-north-central/minnesota/peace-coffee.webp,,sí,ecommerce,,3832,en,,,,,
trout-lake-garlic,Trout Lake Garlic,Bovey,Fruta y verdura,"Garlic, wild rice, fingerling potatoes, cabbage, root vegetables, apples, herbs",,"Trout Lake Garlic supplies fresh garlic, wild rice, potatoes, cabbage, root vegetables, apples and herbs through the Grand Rapids Farmers' Market.",,+12182599740,,https://troutlakegarlic.blogspot.com/,https://www.facebook.com/pages/Trout-Lake-Garlic/545623935552077/,,,,,,pendiente,no comprobado,,,3835,en,,,,,
tc-fick-garden-goodies,TC Fick Garden Goodies,Lake City,Conservas,Canned goods,,TC Fick Garden Goodies is a Lake City family canning business producing small-batch canned goods from its gardens and more than 30 years of family canning experience.,,,,,,,,,,,pendiente,no comprobado,,,3834,en,,,,,
moto-i,moto-i,Minneapolis,Sake,House-brewed sake,"2940 Lyndale Ave S, Minneapolis, MN 55408",moto-i is a Minneapolis sake brewery and izakaya that brews house sake on site and sells bottles for online pickup.,Mon–Fri 12:00–00:00; Sat–Sun 11:00–00:00,+16128216262,info@moto-i.com,https://moto-i.com/,https://www.facebook.com/153550508534/,https://www.instagram.com/motoisake/,,44.948671,-93.288398,/productores/us/west-north-central/minnesota/moto-i.webp,,sí,ecommerce,,4005,en,,,,,
