slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
adams-farms,Adams Farms,Cave City,Huevos,eggs; seasonal fruit and vegetables,"200 Pebble Trail, Cave City, AR 72521",A Cave City farm offering eggs and seasonal fruit and vegetables through an on-farm stand.,,,,,,,,35.93387752116372,-91.60812474396458,,pendiente,no comprobado,,,60,en,,,,,,us,west-south-central,arkansas,,,,,,
barnhill-orchards,Barnhill Orchards,Cabot,Fruta y verdura,watermelons; cantaloupes; tomatoes; seasonal vegetables,"1 Sandhill Road, Cabot, AR 72086","Veteran- and woman-owned family farm established in 1980, growing seasonal fruits and vegetables and selling them through its drive-through market and online ordering.",,,,https://www.barnhillorchards.com/,,,,34.923016,-91.95567319999999,/productores/us/west-south-central/arkansas/barnhill-orchards.webp,,sí,ecommerce,,275,en,,,,,,us,west-south-central,arkansas,,,,,,
caney-creek-berry-farm,Caney Creek Berry Farm,Conway,Fruta y verdura,berries; vegetables,"2568 Little Creek Drive, Conway, AR 72032","A Conway berry farm offering berries and vegetables, including pick-your-own and pre-picked produce at seasonal market sales.",,,,,,,,,,,pendiente,no comprobado,,,683,en,,,,,,us,west-south-central,arkansas,,,,,,
carruths-peach-haven-orchard,Carruths Peach Haven Orchard,Poplar Grove,Fruta y verdura,peaches; blackberries,"Route 1, Box 155, Poplar Grove, AR, 72374",An orchard in Poplar Grove producing peaches and blackberries for seasonal picking.,,,,,,,,34.55547558714855,-90.83467367857283,,pendiente,no comprobado,,,711,en,,,,,,us,west-south-central,arkansas,,,,,,
esau-farms,Esau Farms,Dumas,Fruta y verdura,sweet corn; peas; seasonal crops,"304 State Police Road, Dumas, AR 71639","A family farm near Dumas growing and selling sweet corn and other seasonal crops, with on-farm sales and local outlets.",,+18703825738,,https://esausweetcorn.com/,,,,33.92165195782854,-91.52740115285687,,,no comprobado,,,1194,en,,,,,,us,west-south-central,arkansas,,,,,,
hwy-9-10-produce-market,Hwy 9 10 Produce Market,Perry,Fruta y verdura,seasonal produce; honey; salsa; jellies,"124 West Choctaw, Perry, AR 72125","A Perry produce market offering seasonal produce and locally made foods such as honey, salsa, jellies and preserves.",,,,,,,,35.04851390354458,-92.79351499295667,,pendiente,no comprobado,,,1740,en,,,,,,us,west-south-central,arkansas,,,,,,
jamison-farm,Jamison Farm,Nashville,Fruta y verdura,peaches; plums; blackberries,"169 Bluegrass Road, Nashville, AR 71852","A family-owned Nashville orchard growing peaches, plums and blackberries, with seasonal pick-your-own and orchard sales.",,,,,,,,34.00717734080142,-93.89957354119959,,pendiente,no comprobado,,,1816,en,,,,,,us,west-south-central,arkansas,,,,,,
krause-house-farms,Krause House Farms,Paron,Huevos,eggs; salad greens; tomatoes; mushrooms; cut flowers,"28000 Kanis Road, Paron, AR, USA","A farm growing seasonal produce such as salad greens and tomatoes, as well as mushrooms, pasture-raised eggs and cut flowers.",,,,,,,,,,,pendiente,no comprobado,,,1937,en,,,,,,us,west-south-central,arkansas,,,,,,
mountain-home-berry-farm-formerly-smittys-u-pick,Mountain Home Berry Farm formerly Smittys U-Pick,Mountain Home,Fruta y verdura,asparagus; blueberries; blackberries; strawberries; jams; salsas,"693 CR 57, Mountain Home, AR, 72653","A family-operated Ozarks farm offering seasonal asparagus, berries and other produce, with u-pick berries, a farm store and seasonal preserves.",,+18704257028,mountainhomeberryfarm@gmail.com,https://www.mountainhomeberryfarm.com/,,,,36.24636148125363,-92.41624434480616,,,no comprobado,,,2304,en,,,,,,us,west-south-central,arkansas,,,,,,
oakes-berry-farm,Oakes Berry Farm,Hensley,Fruta y verdura,strawberries; tomatoes; cucumbers; squash,"762 Grant 55, Hensley, AR 72065","A Hensley farm offering seasonal pick-your-own strawberries, tomatoes, cucumbers and squash, plus plants and nursery items.",,,,,,,,34.4737794084818,-92.3636176122183,,pendiente,no comprobado,,,2431,en,,,,,,us,west-south-central,arkansas,,,,,,
cox-berry-farm-nursery,Cox Berry Farm & Nursery,Clarksville,Fruta y verdura,berries; nursery plants,"359 County Road 348, Clarksville, AR 72830","A berry farm and nursery north of Clarksville, producing seasonal berries and selling nursery plants.",,,,https://coxberryfarm.com/,https://www.facebook.com/coxberryfarm/,,,,,,,no comprobado,,,935,en,,,,,,us,west-south-central,arkansas,,,,,,
onyx-coffee-lab,Onyx Coffee Lab,Rogers,Café,roasted coffee; espresso; tea; chocolate,"101 E Walnut Ave, Rogers, AR 72756","A specialty coffee roaster headquartered in Rogers, where its HQ includes production roasting, training and a cafe; the company sells coffee online.",,+14798996750,support@onyxcoffeelab.com,https://onyxcoffeelab.com/,,https://www.instagram.com/onyxcoffeelab/,,,,,,sí,ecommerce,,2470,en,,,,,,us,west-south-central,arkansas,,,,,,
honeyton-farms,Honeyton Farms,Cabot,Miel,raw honey; beeswax products,"75 Huntington Ln, Cabot, AR 72023",A Cabot honey producer founded in 2012 that produces and sources raw honey and sells honey products online.,,+15013511838,,https://honeytonfarms.com/,https://www.facebook.com/HoneytonFarms/,https://www.instagram.com/honeyton_farms/,,34.975106,-92.028288,/productores/us/west-south-central/arkansas/honeyton-farms.webp,,sí,ecommerce,,1697,en,,,,,,us,west-south-central,arkansas,,,,,,
acres-of-vitality,Acres of Vitality,Harrison,Lácteos y quesos,A2A2 raw milk; eggs; beef; pork,"6170 Sulphur Mountain Rd, Harrison, AR 72601, US","A family farm near Harrison focused on pasture-raised A2A2 cows and raw milk, with farm eggs, beef and pork sold directly to customers.",,+15037798407,mandyrose13@yahoo.com,,,,,36.1309307,-93.0710201,,pendiente,no comprobado,,Huevos|Carne,3927,en,,,,,,us,west-south-central,arkansas,,,,,,
promise-land-farmstead,Promise Land Farmstead,Center Ridge,Lácteos y quesos,raw milk; dairy products,"60 Lillie Ln, Center Ridge, AR 72027, US",,,+17543662873,promiselandfarmstead@gmail.com,,https://www.facebook.com/profile.php?id=61557244560478,,,35.375146,-92.57925999999999,,pendiente,no comprobado,,,3928,,,,,,,us,west-south-central,arkansas,,,,,,
sc-farm-and-dairy,SC Farm & Dairy,Green Forest,Lácteos y quesos,A2A2 cow milk; butter; cream; cheese,"3603 Co Rd 647, Green Forest, AR 72638, US","A small family dairy near Green Forest offering A2A2 milk and other dairy products including butter, cream and cheese.",,+18706541250,,,https://www.facebook.com/profile.php?id=61588501150827,,,36.4224991,-93.4585992,,pendiente,no comprobado,,,3929,en,,,,,,us,west-south-central,arkansas,,,,,,
